Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,4.0571,,,,,,,,,,,,,,44,-0.0280,-0.0274,-0.0049,14.7417,-14.9709,37.2997,17.6187,-12.1547,37.8014
1,Line,1.6196,,,,,,,,,,,,,,34,0.0120,0.0081,0.0063,6.6862,-14.6763,28.6146,5.4576,-15.5083,27.9654
1,Line,3.8413,,,,,,,,,,,,,,43,0.0274,0.0254,0.0021,17.5580,-12.3675,37.5144,14.7417,-14.9709,37.2997
1,Line,3.6546,,,,,,,,,,,,,,24,0.0315,0.0142,0.0084,17.5968,-10.2739,36.2279,14.3581,-11.7333,35.3699
1,Line,2.5527,,,,,,,,,,,,,,26,-0.0173,-0.0086,-0.0156,7.3949,-19.3976,33.1588,9.1714,-18.5151,34.7656
1,Line,7.0719,,,,,,,,,,,,,,32,-0.0542,-0.0345,-0.0247,9.1714,-18.5151,34.7656,14.7417,-14.9709,37.2997
1,Line,0.5696,,,,,,,,,,,,,,102,-0.0010,0.0050,-0.0022,11.2834,-9.6082,29.9688,11.3881,-10.1192,30.1977
1,Line,3.9228,,,,,,,,,,,,,,41,-0.0287,-0.0246,-0.0054,14.6059,-14.8899,36.9569,17.5580,-12.3675,37.5144
1,Line,0.7606,,,,,,,,,,,,,,137,-0.0008,0.0007,-0.0073,6.6862,-14.6763,28.6146,6.7638,-14.7488,29.3677
1,Line,4.7108,,,,,,,,,,,,,,39,-0.0357,-0.0287,-0.0025,13.9336,-13.2242,35.9664,17.5968,-10.2739,36.2279
1,Line,1.6609,,,,,,,,,,,,,,74,0.0041,0.0145,-0.0058,14.3581,-11.7333,35.3699,13.9336,-13.2242,35.9664
1,Line,2.8320,,,,,,,,,,,,,,77,-0.0053,-0.0239,-0.0128,13.6271,-14.6252,33.7607,14.1705,-12.1755,35.0738
1,Line,5.0964,,,,,,,,,,,,,,137,-0.0236,0.0220,-0.0377,3.7964,-17.8014,27.6413,6.2177,-20.0586,31.5163
1,Line,2.9818,,,,,,,,,,,,,,161,0.0184,-0.0065,0.0215,5.6905,-18.4685,29.8455,3.7964,-17.8014,27.6413
1,Line,1.7411,,,,,,,,,,,,,,151,0.0071,-0.0040,0.0148,9.1827,-11.9326,29.9848,8.4506,-11.5189,28.4602
1,Line,1.8122,,,,,,,,,,,,,,62,-0.0084,-0.0155,-0.0012,6.7638,-14.7488,29.3677,7.6238,-13.1585,29.4931
1,Line,4.2267,,,,,,,,,,,,,,1,0.0345,0.0008,0.0225,12.9341,-15.9717,32.4246,9.3934,-16.0512,30.1178
1,Line,2.3660,,,,,,,,,,,,,,108,-0.0051,0.0155,-0.0163,5.6905,-18.4685,29.8455,6.2177,-20.0586,31.5163
1,Line,1.8803,,,,,,,,,,,,,,17,0.0100,0.0031,0.0151,7.6408,-18.9990,33.0230,6.6167,-19.3123,31.4775
1,Line,2.1240,,,,,,,,,,,,,,76,0.0029,0.0120,0.0166,13.9263,-13.3979,35.4683,13.6271,-14.6252,33.7607
1,Line,2.1720,,,,,,,,,,,,,,128,0.0072,-0.0094,0.0175,5.6905,-18.4685,29.8455,4.9466,-17.5061,28.0461
1,Line,1.8547,,,,,,,,,,,,,,174,-0.0076,0.0008,-0.0164,6.6167,-19.3123,31.4775,7.3949,-19.3976,33.1588
1,Line,1.1457,,,,,,,,,,,,,,5,0.0104,0.0010,0.0041,5.4576,-15.5083,27.9654,4.3947,-15.6060,27.5489
1,Line,4.0332,,,,,,,,,,,,,,13,0.0353,0.0083,0.0151,17.5580,-12.3675,37.5144,13.9336,-13.2242,35.9664
1,Line,2.6699,,,,,,,,,,,,,,89,-0.0004,-0.0224,0.0132,17.6187,-12.1547,37.8014,17.6587,-9.8540,36.4472
1,Line,2.4576,,,,,,,,,,,,,,89,-0.0004,-0.0204,0.0125,17.5580,-12.3675,37.5144,17.5968,-10.2739,36.2279
1,Line,0.3625,,,,,,,,,,,,,,74,0.0006,0.0021,0.0028,17.6187,-12.1547,37.8014,17.5580,-12.3675,37.5144
1,Line,5.8297,,,,,,,,,,,,,,45,-0.0395,-0.0398,-0.0089,4.3947,-15.6060,27.5489,8.4506,-11.5189,28.4602
1,Line,5.6422,,,,,,,,,,,,,,51,0.0341,0.0427,0.0055,7.9011,-11.2221,28.1151,4.3947,-15.6060,27.5489
1,Line,0.4778,,,,,,,,,,,,,,82,-0.0006,-0.0041,-0.0021,17.5968,-10.2739,36.2279,17.6587,-9.8540,36.4472
1,Line,3.7633,,,,,,,,,,,,,,49,0.0236,0.0274,0.0060,9.1827,-11.9326,29.9848,6.7638,-14.7488,29.3677
1,Line,0.7135,,,,,,,,,,,,,,152,-0.0054,0.0029,-0.0034,7.9011,-11.2221,28.1151,8.4506,-11.5189,28.4602
1,Line,5.3437,,,,,,,,,,,,,,54,-0.0304,-0.0422,-0.0024,6.0644,-16.2651,29.7393,9.1827,-11.9326,29.9848
1,Line,3.6888,,,,,,,,,,,,,,25,-0.0286,-0.0136,-0.0169,8.4506,-11.5189,28.4602,11.3881,-10.1192,30.1977
