Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,105,-0.0055,0.0200,-0.0168,4.9447,0.2926,0.8015,0.0267,4.9502,0.2726,0.8183
1,Line,,,,,,,,,,,,,,116,-0.0097,0.0200,-0.0148,5.0393,0.2926,0.7559,0.0267,5.0490,0.2726,0.7708
1,Line,,,,,,,,,,,,,,123,-0.0132,0.0200,-0.0118,5.1189,0.2926,0.6874,0.0267,5.1321,0.2726,0.6993
1,Line,,,,,,,,,,,,,,68,0.0080,0.0200,-0.0158,4.6377,0.2926,0.7784,0.0267,4.6297,0.2726,0.7942
1,Line,,,,,,,,,,,,,,80,0.0036,0.0200,-0.0174,4.7368,0.2926,0.8131,0.0267,4.7331,0.2726,0.8305
1,Line,,,,,,,,,,,,,,93,-0.0010,0.0200,-0.0177,4.8415,0.2926,0.8210,0.0267,4.8425,0.2726,0.8387
1,Line,,,,,,,,,,,,,,128,-0.0158,0.0200,-0.0080,5.1781,0.2926,0.6007,0.0267,5.1939,0.2726,0.6087
1,Line,,,,,,,,,,,,,,127,-0.0148,0.0200,0.0097,5.1556,0.2926,0.1990,0.0267,5.1704,0.2726,0.1893
1,Line,,,,,,,,,,,,,,121,-0.0118,0.0200,0.0132,5.0871,0.2926,0.1194,0.0267,5.0989,0.2726,0.1062
1,Line,,,,,,,,,,,,,,131,0.0176,-0.0200,0.0536,4.9447,0.2926,0.8015,0.0599,4.9270,0.3126,0.7478
1,Line,,,,,,,,,,,,,,131,-0.0174,0.0200,-0.0036,5.2128,0.2926,0.5016,0.0267,5.2301,0.2726,0.5052
1,Line,,,,,,,,,,,,,,132,-0.0177,0.0200,0.0010,5.2206,0.2926,0.3968,0.0267,5.2383,0.2726,0.3959
1,Line,,,,,,,,,,,,,,130,-0.0168,0.0200,0.0055,5.2011,0.2926,0.2937,0.0267,5.2180,0.2726,0.2881
1,Line,,,,,,,,,,,,,,87,0.0010,0.0200,0.0177,4.7965,0.2926,0.0177,0.0267,4.7955,0.2726,0.0000
1,Line,,,,,,,,,,,,,,75,0.0055,0.0200,0.0168,4.6933,0.2926,0.0372,0.0267,4.6878,0.2726,0.0204
1,Line,,,,,,,,,,,,,,64,0.0097,0.0200,0.0148,4.5987,0.2926,0.0828,0.0267,4.5890,0.2726,0.0679
1,Circle,0.3242,4.8190,0.3126,0.4193,2.0184,0.6425,0.3212,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,112,0.0080,-0.0200,-0.0158,5.0083,0.2726,0.0444,0.0267,5.0003,0.2926,0.0603
1,Line,,,,,,,,,,,,,,100,-0.0036,0.0200,0.0174,4.9012,0.2926,0.0256,0.0267,4.9048,0.2726,0.0082
1,Line,,,,,,,,,,,,,,57,0.0132,0.0200,0.0118,4.5191,0.2926,0.1512,0.0267,4.5059,0.2726,0.1394
1,Line,,,,,,,,,,,,,,50,0.0168,0.0200,-0.0055,4.4369,0.2926,0.5450,0.0267,4.4200,0.2726,0.5506
1,Line,,,,,,,,,,,,,,53,0.0148,0.0200,-0.0097,4.4824,0.2926,0.6396,0.0267,4.4676,0.2726,0.6494
1,Line,,,,,,,,,,,,,,59,0.0118,0.0200,-0.0132,4.5509,0.2926,0.7192,0.0267,4.5391,0.2726,0.7325
1,Line,,,,,,,,,,,,,,52,0.0158,0.0200,0.0080,4.4599,0.2926,0.2380,0.0267,4.4441,0.2726,0.2300
1,Line,,,,,,,,,,,,,,49,0.0174,0.0200,0.0036,4.4252,0.2926,0.3371,0.0267,4.4079,0.2726,0.3335
1,Line,,,,,,,,,,,,,,48,0.0177,0.0200,-0.0010,4.4174,0.2926,0.4418,0.0267,4.3996,0.2726,0.4428
1,Line,,,,,,,,,,,,,,147,-0.0309,0.0200,-0.0472,5.0084,0.3126,0.7087,0.0599,5.0393,0.2926,0.7559
1,Line,,,,,,,,,,,,,,20,0.0536,0.0200,-0.0176,4.4905,0.3126,0.5274,0.0599,4.4369,0.2926,0.5450
1,Line,,,,,,,,,,,,,,23,0.0472,0.0200,-0.0309,4.5297,0.3126,0.6087,0.0599,4.4824,0.2926,0.6396
1,Line,,,,,,,,,,,,,,28,0.0376,0.0200,-0.0421,4.5885,0.3126,0.6772,0.0599,4.5509,0.2926,0.7192
1,Line,,,,,,,,,,,,,,22,0.0504,0.0200,0.0255,4.5103,0.3126,0.2635,0.0599,4.4599,0.2926,0.2380
1,Line,,,,,,,,,,,,,,20,0.0553,0.0200,0.0115,4.4805,0.3126,0.3487,0.0599,4.4252,0.2926,0.3371
1,Line,,,,,,,,,,,,,,20,0.0564,0.0200,-0.0032,4.4737,0.3126,0.4387,0.0599,4.4174,0.2926,0.4418
1,Line,,,,,,,,,,,,,,38,0.0255,0.0200,-0.0504,4.6631,0.3126,0.7280,0.0599,4.6377,0.2926,0.7784
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.8846,0.0826,0.1049,0.2300,4.8846,0.3126,0.1049
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.9638,0.0826,0.1326,0.2300,4.9638,0.3126,0.1326
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.8010,0.0826,0.0986,0.2300,4.8010,0.3126,0.0986
1,Line,,,,,,,,,,,,,,60,0.0115,0.0200,-0.0553,4.7483,0.3126,0.7578,0.0599,4.7368,0.2926,0.8131
1,Line,,,,,,,,,,,,,,99,-0.0032,0.0200,-0.0564,4.8383,0.3126,0.7646,0.0599,4.8415,0.2926,0.8210
1,Circle,0.3242,4.8190,0.0826,0.4193,2.0184,0.6425,0.3212,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,160,-0.0564,0.0200,0.0032,5.1643,0.3126,0.4000,0.0599,5.2206,0.2926,0.3968
1,Line,,,,,,,,,,,,,,160,-0.0536,0.0200,0.0176,5.1475,0.3126,0.3113,0.0599,5.2011,0.2926,0.2937
1,Line,,,,,,,,,,,,,,157,-0.0472,0.0200,0.0309,5.1083,0.3126,0.2300,0.0599,5.1556,0.2926,0.1990
1,Line,,,,,,,,,,,,,,155,-0.0421,0.0200,-0.0376,5.0768,0.3126,0.6498,0.0599,5.1189,0.2926,0.6874
1,Line,,,,,,,,,,,,,,158,-0.0504,0.0200,-0.0255,5.1277,0.3126,0.5752,0.0599,5.1781,0.2926,0.6007
1,Line,,,,,,,,,,,,,,160,-0.0553,0.0200,-0.0115,5.1575,0.3126,0.4900,0.0599,5.2128,0.2926,0.5016
1,Line,,,,,,,,,,,,,,152,-0.0376,0.0200,0.0421,5.0495,0.3126,0.1615,0.0599,5.0871,0.2926,0.1194
1,Line,,,,,,,,,,,,,,49,0.0176,0.0200,0.0536,4.7110,0.3126,0.0908,0.0599,4.6933,0.2926,0.0372
1,Line,,,,,,,,,,,,,,33,0.0309,0.0200,0.0472,4.6296,0.3126,0.1300,0.0599,4.5987,0.2926,0.0828
1,Line,,,,,,,,,,,,,,25,0.0421,0.0200,0.0376,4.5612,0.3126,0.1889,0.0599,4.5191,0.2926,0.1512
1,Line,,,,,,,,,,,,,,142,-0.0255,0.0200,0.0504,4.9749,0.3126,0.1107,0.0599,5.0003,0.2926,0.0603
1,Line,,,,,,,,,,,,,,120,-0.0115,0.0200,0.0553,4.8897,0.3126,0.0808,0.0599,4.9012,0.2926,0.0256
1,Line,,,,,,,,,,,,,,81,0.0032,0.0200,0.0564,4.7997,0.3126,0.0741,0.0599,4.7965,0.2926,0.0177
1,Circle,0.3757,4.8190,0.3126,0.4193,2.1727,0.6916,0.3458,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,101,-0.0019,0.0100,-0.0336,4.8342,0.0176,0.6911,0.0351,4.8361,0.0076,0.7247
1,Line,,,,,,,,,,,,,,55,0.0069,0.0100,-0.0329,4.7634,0.0176,0.6857,0.0351,4.7565,0.0076,0.7187
1,Line,,,,,,,,,,,,,,33,0.0152,0.0100,-0.0300,4.6963,0.0176,0.6623,0.0351,4.6811,0.0076,0.6923
1,Line,,,,,,,,,,,,,,158,-0.0251,0.0100,-0.0224,5.0219,0.0176,0.6007,0.0351,5.0470,0.0076,0.6231
1,Line,,,,,,,,,,,,,,152,-0.0184,0.0100,-0.0282,4.9680,0.0176,0.6471,0.0351,4.9865,0.0076,0.6752
1,Line,,,,,,,,,,,,,,136,-0.0105,0.0100,-0.0320,4.9040,0.0176,0.6779,0.0351,4.9145,0.0076,0.7098
1,Line,,,,,,,,,,,,,,24,0.0224,0.0100,-0.0251,4.6376,0.0176,0.6222,0.0351,4.6152,0.0076,0.6473
1,Line,,,,,,,,,,,,,,17,0.0329,0.0100,0.0069,4.5526,0.0176,0.3637,0.0351,4.5196,0.0076,0.3568
1,Line,,,,,,,,,,,,,,18,0.0300,0.0100,0.0152,4.5761,0.0176,0.2967,0.0351,4.5460,0.0076,0.2815
1,Line,,,,,,,,,,,,,,22,0.0251,0.0100,0.0224,4.6161,0.0176,0.2380,0.0351,4.5910,0.0076,0.2155
1,Line,,,,,,,,,,,,,,20,0.0282,0.0100,-0.0184,4.5913,0.0176,0.5684,0.0351,4.5631,0.0076,0.5868
1,Line,,,,,,,,,,,,,,17,0.0320,0.0100,-0.0105,4.5605,0.0176,0.5044,0.0351,4.5285,0.0076,0.5149
1,Line,,,,,,,,,,,,,,17,0.0336,0.0100,-0.0019,4.5473,0.0176,0.4346,0.0351,4.5137,0.0076,0.4364
1,Line,,,,,,,,,,,,,,128,0.0112,-0.0142,0.2006,4.8190,0.0034,0.4193,0.2014,4.8078,0.0176,0.2187
1,Line,,,,,,,,,,,,,,125,-0.0069,0.0100,0.0329,4.8746,0.0176,0.1529,0.0351,4.8815,0.0076,0.1200
