Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.4331,1.5637,5.8211,5.4331,1.5637
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,5.5240,0.7076,3.6937,5.5240,0.7076
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.4222,1.5348,5.8211,5.4222,1.5348
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.4185,1.5038,5.8211,5.4185,1.5038
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.5557,1.6195,5.8211,5.5557,1.6195
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.6046,1.5885,5.8211,5.6046,1.5885
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.6328,1.5348,5.8211,5.6328,1.5348
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.6219,1.5637,5.8211,5.6219,1.5637
1,Line,0.5473,,,,,,,,,,,,,,90,0.0000,4.1738,0.0000,5.8211,5.3105,0.8893,5.8211,4.7631,0.8893
1,Line,0.0683,,,,,,,,,,,,,,32,-0.4380,-0.2783,0.0451,5.8211,5.3105,0.8893,5.8786,5.3470,0.8834
1,Line,0.6290,,,,,,,,,,,,,,90,0.0000,-0.8304,-4.7245,5.8786,5.3470,0.8834,5.8786,5.4559,1.5029
1,Line,0.5577,,,,,,,,,,,,,,90,0.0000,-4.2528,0.0000,5.8786,4.7893,0.8834,5.8786,5.3470,0.8834
1,Line,0.6240,,,,,,,,,,,,,,90,0.0000,0.8237,4.6866,5.8211,5.4185,1.5038,5.8211,5.3105,0.8893
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,4.7291,0.8844,3.6937,4.7291,0.8844
1,Line,0.0685,,,,,,,,,,,,,,30,-0.4380,-0.2551,0.1250,5.8211,5.4331,1.5637,5.8786,5.4665,1.5473
1,Line,0.0376,,,,,,,,,,,,,,90,0.0000,-0.0341,-0.2849,5.8211,5.5240,0.7076,5.8211,5.5285,0.7449
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.3105,0.8893,5.8211,5.3105,0.8893
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,6.7752,0.6055,5.8211,6.7752,0.6055
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.7626,1.5038,3.6937,6.7626,1.5038
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,6.8341,0.6428,5.8211,6.8341,0.6428
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,6.8069,0.6199,5.8211,6.8069,0.6199
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.7945,1.5885,3.6937,6.7945,1.5885
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.8171,1.6076,3.6937,6.8171,1.6076
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,6.7663,1.5348,3.6937,6.7663,1.5348
