Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.0409,,,,,,,,,,,,,,,,12,-2.8522,-0.5951,1.5653,1.6863,0.3578,0.8248,1.7216,0.3651,0.8054,,,
1,Line,0.0089,,,,,,,,,,,,,,,,19,-0.3844,-0.1299,0.5939,1.7447,0.4169,0.8127,1.7495,0.4185,0.8054,,,
1,Line,0.0578,,,,,,,,,,,,,,,,3,-4.3982,-0.1843,1.5653,1.5859,0.3013,0.8248,1.6403,0.3036,0.8054,,,
1,Line,0.1270,,,,,,,,,,,,,,,,7,10.1903,1.2069,0.0000,1.5115,0.2531,0.8054,1.3854,0.2382,0.8054,,,
1,Line,0.0908,,,,,,,,,,,,,,,,178,-7.2450,0.2213,1.1091,1.4218,0.2559,0.8191,1.5115,0.2531,0.8054,,,
1,Line,0.0774,,,,,,,,,,,,,,,,5,4.6780,0.3766,-4.1310,1.7115,0.2335,0.6689,1.6536,0.2289,0.7201,,,
1,Line,0.0692,,,,,,,,,,,,,,,,90,0.0000,-3.3513,-4.4736,1.6536,0.1874,0.6647,1.6536,0.2289,0.7201,,,
1,Line,0.0529,,,,,,,,,,,,,,,,90,0.0000,-2.5604,-3.4178,1.7365,0.2587,0.6778,1.7365,0.2904,0.7201,,,
1,Line,0.0293,,,,,,,,,,,,,,,,155,1.0598,-0.5151,-2.0562,1.7626,0.4121,0.7799,1.7495,0.4185,0.8054,,,
1,Line,0.0565,,,,,,,,,,,,,,,,62,2.1477,4.0274,0.0000,1.7687,0.3954,0.7568,1.7421,0.3455,0.7568,,,
1,Line,0.1746,,,,,,,,,,,,,,,,20,-12.7908,-4.7156,-3.6278,1.3532,0.1947,0.7605,1.5115,0.2531,0.8054,,,
1,Line,0.0223,,,,,,,,,,,,,,,,90,0.0000,1.4252,1.1056,0.9054,0.0837,0.6440,0.9054,0.0660,0.6303,,,
1,Line,0.2651,,,,,,,,,,,,,,,,7,21.2688,2.4687,0.0000,1.5222,0.1235,0.6469,1.2589,0.0930,0.6469,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,-2.3399,0.0000,0.9054,0.1962,0.7816,0.9054,0.2251,0.7816,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,-2.3399,0.0000,1.2950,0.2076,0.7828,1.2950,0.2366,0.7828,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,-2.3399,0.0000,1.2076,0.1962,0.7816,1.2076,0.2251,0.7816,,,
