Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1356,,,,,,,,,,,,,,,,174,0.1241,-0.0138,-0.0530,0.1182,1.1503,0.8908,-0.0059,1.1641,0.9439
1,Line,0.0860,,,,,,,,,,,,,,,,168,-0.0768,0.0157,0.0354,0.1884,1.1244,0.8544,0.2653,1.1087,0.8190
1,Line,0.0450,,,,,,,,,,,,,,,,163,-0.0391,0.0117,0.0190,0.2261,1.0945,0.8313,0.2653,1.0828,0.8123
1,Line,0.0082,,,,,,,,,,,,,,,,154,-0.0067,0.0033,0.0034,0.2586,1.0331,0.8089,0.2653,1.0298,0.8055
1,Line,0.0218,,,,,,,,,,,,,,,,158,-0.0183,0.0073,0.0092,0.2469,1.0637,0.8170,0.2653,1.0564,0.8078
1,Line,0.2868,,,,,,,,,,,,,,,,4,-0.2712,-0.0176,0.0919,-0.0059,1.1641,0.9439,0.2653,1.1817,0.8520
1,Line,0.2890,,,,,,,,,,,,,,,,20,-0.2712,-0.0976,0.0215,-0.0059,1.1641,0.9439,0.2653,1.2617,0.9224
1,Line,0.2929,,,,,,,,,,,,,,,,22,-0.2712,-0.1106,-0.0060,-0.0059,1.1641,0.9439,0.2653,1.2747,0.9499
1,Line,0.2857,,,,,,,,,,,,,,,,16,0.2712,0.0799,-0.0416,0.2653,1.2440,0.9023,-0.0059,1.1641,0.9439
1,Line,0.2846,,,,,,,,,,,,,,,,8,-0.2712,-0.0398,0.0769,-0.0059,1.1641,0.9439,0.2653,1.2038,0.8670
1,Line,0.2843,,,,,,,,,,,,,,,,13,-0.2712,-0.0606,0.0601,-0.0059,1.1641,0.9439,0.2653,1.2247,0.8838
1,Line,0.3444,,,,,,,,,,,,,,,,149,-0.2712,0.1610,0.1384,-0.0059,1.1641,0.9439,0.2653,1.0030,0.8055
1,Line,0.1110,,,,,,,,,,,,,,,,90,0.0000,-0.1110,0.0000,0.8764,1.0059,1.1917,0.8764,1.1169,1.1917
1,Line,0.1110,,,,,,,,,,,,,,,,90,0.0000,-0.1110,0.0000,0.8317,1.0059,1.1870,0.8317,1.1169,1.1870
1,Line,0.1110,,,,,,,,,,,,,,,,90,0.0000,-0.1110,0.0000,0.9212,1.0059,1.1870,0.9212,1.1169,1.1870
1,Line,0.0163,,,,,,,,,,,,,,,,180,-0.0163,0.0000,0.0000,0.6731,0.8950,1.0417,0.6893,0.8950,1.0417
1,Line,0.2219,,,,,,,,,,,,,,,,90,0.0000,-0.2219,0.0000,1.0798,0.8950,1.0417,1.0798,1.1169,1.0417
1,Line,0.2219,,,,,,,,,,,,,,,,90,0.0000,-0.2219,0.0000,0.6731,0.8950,1.0417,0.6731,1.1169,1.0417
1,Line,0.3580,,,,,,,,,,,,,,,,0,-0.3580,0.0000,0.0000,0.4529,1.1425,1.0131,0.8108,1.1425,1.0131
1,Line,0.1312,,,,,,,,,,,,,,,,0,-0.1312,0.0000,0.0000,0.8108,1.1425,1.0131,0.9420,1.1425,1.0131
1,Line,0.0283,,,,,,,,,,,,,,,,180,-0.0283,0.0000,0.0000,0.6448,1.1169,1.0417,0.6731,1.1169,1.0417
1,Line,0.0163,,,,,,,,,,,,,,,,0,-0.0163,0.0000,0.0000,1.0635,0.8950,1.0417,1.0798,0.8950,1.0417
1,Arc,0.0442,0.0000,0.8764,0.8950,0.9789,0.2129,17,12,,,,,,,,,,,,,,,,,,
1,Line,0.0330,,,,,,,,,,,,,,,,90,0.0000,0.0143,-0.0298,0.2653,1.2890,0.9201,0.2653,1.2747,0.9499
1,Line,0.1875,,,,,,,,,,,,,,,,21,-0.1750,-0.0657,-0.0136,0.0902,1.1757,0.9797,0.2653,1.2414,0.9933
