Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0781,0.0000,0.0000,83.8932,-18.6771,1.4888,83.9363,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0766,0.0000,0.0000,83.9363,-18.6771,1.4888,83.9785,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.6634,0.0000,0.0000,83.9785,-18.6771,1.4888,84.3444,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.7456,-18.6771,1.4888,81.7456,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,180,-0.0767,0.0000,0.0000,83.7643,-18.6771,1.4888,83.8067,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,180,-0.0782,0.0000,0.0000,83.8067,-18.6771,1.4888,83.8498,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,180,-0.0787,0.0000,0.0000,83.8498,-18.6771,1.4888,83.8932,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.3674,0.0000,0.0000,85.5124,-18.6771,1.4888,85.7151,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,0,-0.2750,0.0000,0.0000,85.7151,-18.6771,1.4888,85.8668,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,0.0236,0.0000,0.0000,86.2092,-18.6771,1.4888,86.1962,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.4372,0.0000,0.0000,85.2713,-18.6771,1.4888,85.5124,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.6161,0.0000,0.0000,84.3444,-18.6771,1.4888,84.6842,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.5622,0.0000,0.0000,84.6842,-18.6771,1.4888,84.9942,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8460,-18.6771,1.4888,81.8460,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.0882,0.0000,0.0000,83.3919,-18.6771,1.4888,83.4406,-18.6771,1.4888
1,Line,,,,,2.1442,,,,,,,,,,,,90,0.0000,0.0000,0.0000,83.1240,-18.6771,1.4888,83.1240,-18.6771,1.4888
