Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,2.6389,,,,,,,,162,0.8079,-0.2605,-2.0486,56.0823,28.2522,7.5093,55.1209,28.5623,9.9471
1,Line,,,,,,,0.2563,,,,,,,,90,-0.0001,-0.1943,0.0929,56.0823,28.0210,7.6198,56.0823,28.2522,7.5093
1,Line,,,,,,,0.6213,,,,,,,,90,0.0000,-0.5221,0.0000,56.0823,28.2522,7.5093,56.0823,28.8735,7.5093
1,Line,,,,,,,1.0657,,,,,,,,42,-0.4088,-0.3661,0.7077,56.0976,29.4166,7.7421,56.5840,29.8523,6.8999
1,Line,,,,,,,0.5469,,,,,,,,66,0.1002,0.2279,-0.3863,56.8383,30.8304,6.4206,56.7190,30.5592,6.8803
1,Line,,,,,,,0.9203,,,,,,,,58,-0.2149,-0.3416,0.6597,56.5840,29.8523,6.8999,56.8397,30.2588,6.1148
1,Line,,,,,,,0.7200,,,,,,,,79,0.1135,0.5941,-0.0165,56.7190,30.5592,6.8803,56.5840,29.8523,6.8999
1,Line,,,,,,,0.5827,,,,,,,,92,0.0201,-0.4870,-0.0467,56.1062,28.2940,7.4537,56.0823,28.8735,7.5093
1,Line,,,,,,,1.0792,,,,,,,,47,-0.4071,-0.4373,0.6823,56.1062,28.2940,7.4537,56.5907,28.8144,6.6417
1,Line,,,,,,,0.5030,,,,,,,,90,0.0000,-0.4227,0.0000,56.5907,28.3114,6.6417,56.5907,28.8144,6.6417
1,Line,,,,,,,0.9456,,,,,,,,2,-0.4071,-0.0146,0.6823,56.1062,28.2940,7.4537,56.5907,28.3114,6.6417
1,Line,,,,,,,0.9456,,,,,,,,178,0.4071,-0.0146,-0.6823,56.5907,28.8144,6.6417,56.1062,28.8318,7.4537
1,Line,,,,,,,0.0735,,,,,,,,60,-0.0201,-0.0351,0.0467,56.0823,28.2522,7.5093,56.1062,28.2940,7.4537
1,Line,,,,,,,0.0735,,,,,,,,120,0.0201,-0.0351,-0.0467,56.1062,28.8318,7.4537,56.0823,28.8735,7.5093
1,Line,,,,,,,0.5378,,,,,,,,90,0.0000,-0.4519,0.0000,56.1062,28.2940,7.4537,56.1062,28.8318,7.4537
1,Line,,,,,,,0.8237,,,,,,,,90,-0.0001,0.6029,0.3400,56.7139,31.6647,5.0757,56.7140,30.9472,4.6711
1,Line,,,,,,,0.6804,,,,,,,,176,-0.5693,0.0423,-0.0309,56.0364,31.7151,5.0389,56.7139,31.6647,5.0757
1,Line,,,,,,,0.8647,,,,,,,,67,0.2021,0.4650,0.5206,56.9545,31.5006,5.2906,56.7140,30.9472,4.6711
1,Line,,,,,,,0.6881,,,,,,,,7,0.5694,0.0680,0.0745,56.7140,30.9472,4.6711,56.0364,30.8663,4.5825
1,Line,,,,,,,0.2563,,,,,,,,90,0.0001,-0.1943,-0.0929,56.0823,28.8735,7.5093,56.0823,29.1047,7.6198
1,Line,,,,,,,2.6390,,,,,,,,18,-0.8079,-0.2615,2.0486,55.1209,28.5623,9.9471,56.0823,28.8735,7.5093
1,Line,,,,,,,1.0881,,,,,,,,131,-0.5694,0.6453,0.3091,56.0364,31.7151,5.0389,56.7140,30.9472,4.6711
1,Line,,,,,,,0.3620,,,,,,,,146,-0.2022,0.1380,-0.1806,56.7139,31.6647,5.0757,56.9545,31.5006,5.2906
