Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,2.3966,,,,,,,,,,0,-2.1873,0.0000,-0.9794,80.7733,72.4087,52.3872,82.9606,72.4087,53.3666
1,Line,,,,,,,0.9020,,,,,,,,,,8,-0.8135,-0.1157,-0.3721,80.9046,47.9385,50.4785,81.7181,48.0542,50.8506
1,Line,,,,,,,2.2826,,,,,,,,,,0,2.0030,0.0000,1.0947,57.4115,72.4087,39.9149,55.4085,72.4087,38.8202
1,Line,,,,,,,8.1047,,,,,,,,,,99,-1.2320,8.0044,0.3150,79.6727,55.9429,50.7935,80.9046,47.9385,50.4785
1,Line,,,,,,,9.5536,,,,,,,,,,97,-1.2150,9.4719,0.2804,58.0048,61.7117,39.9016,59.2199,52.2398,39.6213
1,Line,,,,,,,2.2794,,,,,,,,,,10,1.9757,0.3577,1.0792,59.2199,52.2398,39.6213,57.2442,51.8821,38.5421
1,Line,,,,,,,3.2782,,,,,,,,,,180,-2.9920,0.0000,-1.3398,78.2263,77.9714,51.0474,81.2183,77.9714,52.3872
1,Line,,,,,,,4.8668,,,,,,,,,,112,-1.7376,4.3742,-1.2380,83.1143,93.2486,51.8453,84.8519,88.8744,53.0833
1,Line,,,,,,,2.0884,,,,,,,,,,172,-1.9026,0.2556,-0.8221,81.7181,96.7631,50.8506,83.6208,96.5075,51.6727
1,Line,,,,,,,1.6781,,,,,,,,,,112,-0.5992,1.5083,-0.4269,81.1190,98.2714,50.4237,81.7181,96.7631,50.8506
1,Line,,,,,,,2.4750,,,,,,,,,,165,-2.1513,0.5728,-1.0814,55.8535,62.2844,38.8202,58.0048,61.7117,39.9016
1,Line,,,,,,,3.9103,,,,,,,,,,112,-1.3961,3.5145,-0.9947,81.7181,96.7631,50.8506,83.1143,93.2486,51.8453
1,Line,,,,,,,0.5408,,,,,,,,,,100,-0.0942,0.5325,0.0000,57.8565,62.6928,39.9149,57.9507,62.1603,39.9149
1,Line,,,,,,,24.6472,,,,,,,,,,25,-19.9646,-9.2178,-11.1325,57.8167,63.1908,39.9149,77.7813,72.4087,51.0474
1,Line,,,,,,,4.3109,,,,,,,,,,97,0.5261,-4.2727,-0.2263,83.1143,51.5687,51.8453,82.5882,55.8414,52.0716
1,Line,,,,,,,9.2267,,,,,,,,,,93,-0.4052,9.2178,0.0000,57.4115,72.4087,39.9149,57.8167,63.1908,39.9149
1,Line,,,,,,,3.4814,,,,,,,,,,135,2.3752,-2.3492,0.9794,83.4056,66.8459,53.3666,81.0304,69.1951,52.3872
1,Line,,,,,,,2.3966,,,,,,,,,,0,-2.1873,0.0000,-0.9794,81.2183,66.8459,52.3872,83.4056,66.8459,53.3666
1,Line,,,,,,,5.5805,,,,,,,,,,95,-0.4450,5.5628,0.0000,77.7813,72.4087,51.0474,78.2263,66.8459,51.0474
1,Line,,,,,,,2.4236,,,,,,,,,,25,-1.9632,-0.9064,-1.0947,55.8535,62.2844,38.8202,57.8167,63.1908,39.9149
1,Line,,,,,,,0.3622,,,,,,,,,,10,-0.3128,-0.0542,-0.1744,80.5919,47.8843,50.3041,80.9046,47.9385,50.4785
1,Line,,,,,,,20.1933,,,,,,,,,,13,-17.2734,-3.8330,-9.7318,63.3185,44.0513,40.5723,80.5919,47.8843,50.3041
1,Line,,,,,,,22.6571,,,,,,,,,,36,16.3542,11.8916,10.2212,79.6727,55.9429,50.7935,63.3185,44.0513,40.5723
1,Line,,,,,,,4.7170,,,,,,,,,,97,0.5630,-4.6813,-0.1347,82.5702,55.9429,52.0745,82.0072,60.6242,52.2092
1,Line,,,,,,,23.5820,,,,,,,,,,12,20.3698,4.1531,11.1325,78.2263,66.8459,51.0474,57.8565,62.6928,39.9149
1,Line,,,,,,,3.3025,,,,,,,,,,99,0.5065,-3.2589,-0.1726,83.6208,48.3098,51.6727,83.1143,51.5687,51.8453
1,Line,,,,,,,3.2238,,,,,,,,,,85,0.2571,3.2135,0.0000,81.0304,75.6222,52.3872,80.7733,72.4087,52.3872
1,Line,,,,,,,0.1031,,,,,,,,,,80,0.0181,0.1015,-0.0029,82.5882,88.9759,52.0716,82.5702,88.8744,52.0745
1,Line,,,,,,,8.2470,,,,,,,,,,79,-1.5286,-8.0955,0.3724,59.3568,93.1990,39.6029,60.8854,101.2945,39.2305
1,Line,,,,,,,0.6366,,,,,,,,,,78,-0.1369,-0.6214,0.0184,59.2199,92.5775,39.6213,59.3568,93.1990,39.6029
1,Line,,,,,,,4.7622,,,,,,,,,,45,3.2491,3.2135,1.3398,81.0304,75.6222,52.3872,77.7813,72.4087,51.0474
1,Line,,,,,,,0.4521,,,,,,,,,,97,-0.0541,0.4486,0.0133,57.9507,62.1603,39.9149,58.0048,61.7117,39.9016
1,Line,,,,,,,5.5472,,,,,,,,,,59,2.8448,4.6813,0.8741,84.8519,88.8744,53.0833,82.0072,84.1931,52.2092
1,Line,,,,,,,5.5805,,,,,,,,,,85,-0.4450,-5.5628,0.0000,77.7813,72.4087,51.0474,78.2263,77.9714,51.0474
1,Line,,,,,,,23.2134,,,,,,,,,,0,20.3698,0.0000,11.1325,77.7813,72.4087,51.0474,57.4115,72.4087,39.9149
1,Line,,,,,,,24.6472,,,,,,,,,,155,-19.9646,9.2178,-11.1325,57.8167,81.6265,39.9149,77.7813,72.4087,51.0474
1,Line,,,,,,,3.4814,,,,,,,,,,45,2.3752,2.3492,0.9794,83.4056,77.9714,53.3666,81.0304,75.6222,52.3872
1,Line,,,,,,,2.3567,,,,,,,,,,85,0.1879,2.3492,0.0000,81.2183,77.9714,52.3872,81.0304,75.6222,52.3872
1,Line,,,,,,,2.3966,,,,,,,,,,180,-2.1873,0.0000,-0.9794,81.2183,77.9714,52.3872,83.4056,77.9714,53.3666
1,Line,,,,,,,7.3725,,,,,,,,,,59,3.7808,6.2217,1.1618,82.0072,84.1931,52.2092,78.2263,77.9714,51.0474
1,Line,,,,,,,0.0340,,,,,,,,,,79,0.0064,0.0334,0.0000,81.2247,78.0048,52.3872,81.2183,77.9714,52.3872
1,Line,,,,,,,6.2401,,,,,,,,,,83,0.7825,6.1883,-0.1780,82.0072,84.1931,52.2092,81.2247,78.0048,52.3872
1,Line,,,,,,,24.9280,,,,,,,,,,15,-21.6678,-5.7688,-10.8918,58.0048,83.1056,39.9016,79.6727,88.8744,50.7935
1,Line,,,,,,,11.0015,,,,,,,,,,82,-1.4463,-10.9030,0.2539,78.2263,77.9714,51.0474,79.6727,88.8744,50.7935
1,Line,,,,,,,3.1681,,,,,,,,,,180,-2.8975,0.0000,-1.2810,79.6727,88.8744,50.7935,82.5702,88.8744,52.0745
1,Line,,,,,,,1.4101,,,,,,,,,,81,-0.2143,-1.3926,0.0548,80.9046,96.8788,50.4785,81.1190,98.2714,50.4237
1,Line,,,,,,,0.4996,,,,,,,,,,85,-0.0398,-0.4980,0.0000,57.8167,81.6265,39.9149,57.8565,82.1245,39.9149
1,Line,,,,,,,5.4867,,,,,,,,,,144,3.9604,-2.8797,2.4752,63.3185,100.7660,40.5723,59.3581,103.6457,38.0971
1,Line,,,,,,,2.8283,,,,,,,,,,168,-2.4331,0.5285,-1.3417,60.8854,101.2945,39.2305,63.3185,100.7660,40.5723
