Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,33,0.0000,0.0000,-0.0515,4.9627,11.2795,0.3181,0.0502,4.9627,11.2795,0.3649
1,Line,,,,,,,,,,,,,,33,0.0000,0.0000,0.0515,4.9627,11.2795,0.3649,0.0503,4.9627,11.2795,0.3181
1,Line,,,,,,,,,,,,,,49,0.0000,0.0000,-0.0956,4.9627,11.2795,0.4510,0.0904,4.9627,11.2795,0.5380
1,Line,,,,,,,,,,,,,,37,0.0000,0.0000,-0.0946,4.9627,11.2795,0.3649,0.0912,4.9627,11.2795,0.4510
1,Line,,,,,,,,,,,,,,37,0.0000,0.0000,0.0946,4.9627,11.2795,0.4510,0.0912,4.9627,11.2795,0.3649
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.3048,0.0617,4.9627,11.2795,0.3048
1,Line,,,,,,,,,,,,,,64,0.0000,0.0000,0.0351,4.9627,11.2795,0.3368,0.0484,4.9627,11.2795,0.3048
1,Line,,,,,,,,,,,,,,55,0.0000,0.0000,0.0956,4.9627,11.2795,0.5380,0.0899,4.9627,11.2795,0.4510
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.5380,0.0648,4.9627,11.2795,0.5380
1,Line,,,,,,,,,,,,,,52,0.0000,0.0000,0.0451,4.9627,11.2795,0.3790,0.0483,4.9627,11.2795,0.3380
1,Line,,,,,,,,,,,,,,70,0.0000,0.0000,0.0564,4.9627,11.2795,0.6209,0.0581,4.9627,11.2795,0.5696
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.6209,0.0784,4.9627,11.2795,0.6209
1,Line,,,,,,,,,,,,,,63,0.0000,0.0000,0.1329,4.9627,11.2795,0.5000,0.1385,4.9627,11.2795,0.3790
1,Line,,,,,,,,,,,,,,68,0.0000,0.0000,0.0765,4.9627,11.2795,0.5696,0.0789,4.9627,11.2795,0.5000
1,Line,,,,,,,,,,,,,,79,0.0000,0.0000,-0.0564,4.9627,11.2795,0.5696,0.0575,4.9627,11.2795,0.6209
1,Line,,,,,,,,,,,,,,52,0.0000,0.0000,-0.0451,4.9627,11.2795,0.3380,0.0484,4.9627,11.2795,0.3790
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.3380,0.0617,4.9627,11.2795,0.3380
1,Line,,,,,,,,,,,,,,78,0.0000,0.0000,-0.0765,4.9627,11.2795,0.5000,0.0780,4.9627,11.2795,0.5696
1,Line,,,,,,,,,,,,,,67,0.0000,0.0000,-0.1329,4.9627,11.2795,0.3790,0.1372,4.9627,11.2795,0.5000
1,Line,,,,,,,,,,,,,,75,0.0000,0.0000,0.1036,4.9627,11.2795,0.4311,0.1372,4.9627,11.2795,0.3368
1,Line,,,,,,,,,,,,,,72,0.0000,0.0000,-0.0483,4.9627,11.2795,0.2393,0.0912,4.9627,11.2795,0.2833
1,Line,,,,,,,,,,,,,,70,0.0000,0.0000,-0.0263,4.9627,11.2795,0.2154,0.0503,4.9627,11.2795,0.2393
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.3278,0.0648,4.9627,11.2795,0.3278
1,Line,,,,,,,,,,,,,,80,0.0000,0.0000,-0.0489,4.9627,11.2795,0.2833,0.0899,4.9627,11.2795,0.3278
1,Line,,,,,,,,,,,,,,95,0.0000,0.0000,0.0137,4.9627,11.2795,1.5831,0.0149,4.9627,11.2795,1.5706
1,Line,,,,,,,,,,,,,,106,0.0000,0.0000,-0.0865,4.9627,11.2795,1.5918,0.0953,4.9627,11.2795,1.6705
1,Line,,,,,,,,,,,,,,102,0.0000,0.0000,-0.0096,4.9627,11.2795,1.5831,0.0106,4.9627,11.2795,1.5918
1,Line,,,,,,,,,,,,,,97,0.0000,0.0000,0.0096,4.9627,11.2795,1.5918,0.0105,4.9627,11.2795,1.5831
1,Line,,,,,,,,,,,,,,103,0.0000,0.0000,0.0865,4.9627,11.2795,1.6705,0.0949,4.9627,11.2795,1.5918
1,Line,,,,,,,,,,,,,,78,0.0000,0.0000,0.0489,4.9627,11.2795,0.3278,0.0904,4.9627,11.2795,0.2833
1,Line,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,4.9627,11.2795,0.5253,0.0784,4.9627,11.2795,0.5253
1,Line,,,,,,,,,,,,,,77,0.0000,0.0000,-0.0440,4.9627,11.2795,0.4853,0.0581,4.9627,11.2795,0.5253
1,Line,,,,,,,,,,,,,,82,0.0000,0.0000,0.0596,4.9627,11.2795,0.4853,0.0780,4.9627,11.2795,0.4311
1,Line,,,,,,,,,,,,,,83,0.0000,0.0000,0.0440,4.9627,11.2795,0.5253,0.0575,4.9627,11.2795,0.4853
