Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0743,,,,,,,90,0.0000,0.0095,-0.0146,9.6485,16.2545,2.3891,9.6485,16.2139,2.4513
1,Line,0.0579,,,,,,,108,0.0006,-0.0017,-0.0135,9.6509,16.2067,2.3939,9.6485,16.2139,2.4513
1,Line,0.0481,,,,,,,93,-0.0006,0.0112,-0.0011,9.6485,16.2545,2.3891,9.6509,16.2067,2.3939
1,Line,0.0612,,,,,,,117,-0.0062,0.0124,-0.0039,9.5265,16.8215,4.9151,9.5528,16.7688,4.9319
1,Line,0.0343,,,,,,,151,0.0062,-0.0034,-0.0039,9.5528,16.8071,4.8984,9.5265,16.8215,4.9151
1,Line,0.0559,,,,,,,135,-0.0017,0.0017,0.0129,9.6413,16.2617,2.4441,9.6485,16.2545,2.3891
1,Line,0.0333,,,,,,,172,-0.0039,0.0006,0.0067,9.6485,16.2545,2.3891,9.6653,16.2521,2.3604
1,Line,0.0751,,,,,,,99,-0.0017,0.0112,0.0135,9.6653,13.1903,2.2575,9.6724,13.1424,2.2001
1,Line,0.0535,,,,,,,180,-0.0022,0.0000,0.0124,9.6533,15.6182,2.3987,9.6629,15.6182,2.3460
1,Line,2.4296,,,,,,,90,-0.0006,0.5699,0.0208,9.6629,15.6182,2.3460,9.6653,13.1903,2.2575
1,Line,0.0583,,,,,,,72,0.0034,0.0107,-0.0079,9.6653,16.2521,2.3604,9.6509,16.2067,2.3939
1,Line,0.5885,,,,,,,90,-0.0006,0.1381,-0.0011,9.6509,16.2067,2.3939,9.6533,15.6182,2.3987
1,Line,0.0540,,,,,,,0,0.0028,0.0000,-0.0124,9.6724,13.1424,2.2001,9.6605,13.1424,2.2527
1,Line,0.2244,,,,,,,97,0.0067,-0.0522,0.0011,9.5648,16.9626,4.8099,9.5361,17.1851,4.8051
1,Line,0.0325,,,,,,,145,-0.0056,0.0039,0.0034,9.5337,16.7401,4.9917,9.5576,16.7234,4.9773
1,Line,0.0690,,,,,,,56,-0.0045,-0.0067,0.0140,9.5337,16.7401,4.9917,9.5528,16.7688,4.9319
1,Line,0.2156,,,,,,,93,0.0022,-0.0494,-0.0107,9.5361,17.1851,4.8051,9.5265,17.3956,4.8505
1,Line,0.0379,,,,,,,4,0.0073,0.0006,-0.0051,9.5672,17.1875,4.7836,9.5361,17.1851,4.8051
1,Line,0.1656,,,,,,,9,0.0247,0.0039,-0.0298,9.5361,17.1851,4.8051,9.4308,17.1683,4.9319
1,Line,0.2169,,,,,,,90,0.0000,-0.0505,0.0062,9.5361,16.9698,4.8314,9.5361,17.1851,4.8051
1,Line,0.1119,,,,,,,95,-0.0017,0.0191,-0.0180,9.5265,16.8215,4.9151,9.5337,16.7401,4.9917
1,Line,0.3602,,,,,,,105,-0.0225,0.0814,0.0039,9.4308,17.1683,4.9319,9.5265,16.8215,4.9151
1,Line,0.1706,,,,,,,86,0.0022,0.0348,-0.0197,9.5361,16.9698,4.8314,9.5265,16.8215,4.9151
