Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0183,,,,,,,,,,,,,,,,166,-0.0177,0.0045,0.0001,0.1285,1.3477,1.4531,0.1462,1.3432,1.4530
1,Line,0.0162,,,,,,,,,,,,,,,,158,-0.0148,0.0059,0.0029,0.1322,1.4353,1.4966,0.1470,1.4294,1.4937
1,Line,0.0295,,,,,,,,,,,,,,,,89,-0.0006,-0.0294,-0.0019,0.1470,1.4294,1.4937,0.1476,1.4588,1.4956
1,Line,0.0287,,,,,,,,,,,,,,,,90,0.0000,-0.0287,-0.0005,0.1916,1.3584,1.3253,0.1916,1.3871,1.3257
1,Line,0.0135,,,,,,,,,,,,,,,,176,-0.0134,0.0009,-0.0012,0.1513,1.3194,1.3214,0.1647,1.3185,1.3227
1,Line,0.0199,,,,,,,,,,,,,,,,101,-0.0025,0.0123,-0.0154,0.1647,1.3185,1.3227,0.1671,1.3062,1.3381
1,Line,0.0315,,,,,,,,,,,,,,,,39,0.0013,0.0010,0.0314,0.1571,1.3067,1.3717,0.1559,1.3057,1.3403
1,Line,0.0273,,,,,,,,,,,,,,,,161,0.0256,-0.0091,-0.0026,0.0464,1.4794,1.2960,0.0208,1.4884,1.2985
1,Line,0.0097,,,,,,,,,,,,,,,,165,-0.0091,0.0025,-0.0025,0.1591,1.4377,1.2919,0.1681,1.4352,1.2944
1,Line,0.0103,,,,,,,,,,,,,,,,149,0.0081,-0.0048,0.0040,0.1681,1.4352,1.2944,0.1600,1.4400,1.2904
1,Line,0.0112,,,,,,,,,,,,,,,,177,-0.0112,0.0007,-0.0012,0.1559,1.3057,1.3403,0.1670,1.3050,1.3415
1,Line,0.0249,,,,,,,,,,,,,,,,19,0.0035,0.0012,0.0246,0.0969,1.3292,1.3963,0.0933,1.3280,1.3717
1,Line,0.0226,,,,,,,,,,,,,,,,144,-0.0183,0.0132,0.0016,0.0208,1.4884,1.2985,0.0391,1.4752,1.2970
1,Line,0.0213,,,,,,,,,,,,,,,,159,0.0196,-0.0074,-0.0041,0.1451,1.4595,1.4892,0.1256,1.4669,1.4933
1,Line,0.0098,,,,,,,,,,,,,,,,26,0.0088,0.0042,-0.0005,0.1872,1.4008,1.3183,0.1784,1.3966,1.3188
1,Line,0.0420,,,,,,,,,,,,,,,,101,0.0077,-0.0411,0.0039,-0.0284,1.4811,1.4906,-0.0362,1.5222,1.4867
1,Line,0.0259,,,,,,,,,,,,,,,,99,0.0018,-0.0117,0.0231,-0.0429,1.4261,1.3491,-0.0447,1.4378,1.3260
1,Line,0.0087,,,,,,,,,,,,,,,,157,-0.0060,0.0025,0.0058,0.1747,1.4470,1.4518,0.1807,1.4445,1.4460
1,Line,0.0433,,,,,,,,,,,,,,,,145,0.0082,-0.0058,-0.0421,0.1829,1.4411,1.4097,0.1747,1.4470,1.4518
1,Line,0.0125,,,,,,,,,,,,,,,,9,-0.0112,-0.0019,-0.0051,-0.0397,1.4792,1.4855,-0.0284,1.4811,1.4906
1,Line,0.0194,,,,,,,,,,,,,,,,119,-0.0086,0.0154,0.0080,-0.0441,1.4496,1.4424,-0.0355,1.4342,1.4344
1,Line,0.0209,,,,,,,,,,,,,,,,128,0.0129,-0.0165,0.0005,-0.0299,1.4135,1.4107,-0.0428,1.4300,1.4102
1,Line,0.0147,,,,,,,,,,,,,,,,83,0.0010,0.0081,0.0123,0.1926,1.3665,1.3375,0.1916,1.3584,1.3253
1,Line,0.0214,,,,,,,,,,,,,,,,78,-0.0027,-0.0127,-0.0170,-0.0038,1.4231,1.4618,-0.0011,1.4357,1.4788
