Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1068,-0.0428,-16.3865,11.1068,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1393,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9175,-0.0428,-16.3865,10.9175,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0552,-0.0428,-16.3865,11.0552,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9096,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9880,-0.0428,-16.3865,10.9880,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0031,-0.0428,-16.3865,11.0031,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0766,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0031,-0.0428,-16.3865,11.0031,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9175,-0.0428,-16.3865,10.9175,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1331,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0766,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1331,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1806,-0.0428,-16.3865,11.1806,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.1537,0.0000,-16.3865,10.4827,-0.0428,-16.3865,10.5181,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2237,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5444,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.1406,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.2446,0.0000,-16.3865,10.5181,-0.0428,-16.3865,10.5746,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3983,0.0000,-16.3865,10.7337,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3712,0.0000,-16.3865,10.6481,-0.0428,-16.3865,10.7337,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3187,0.0000,-16.3865,10.5746,-0.0428,-16.3865,10.6481,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.0480,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.5009,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5444,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.0480,0.0000,-16.3865,10.5009,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5181,-0.0428,-16.3865,10.5181,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5746,-0.0428,-16.3865,10.5746,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3561,0.0000,-16.3865,10.7374,-0.0428,-16.3865,10.6553,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3822,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.7374,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3822,0.0000,-16.3865,10.9138,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3058,0.0000,-16.3865,10.6553,-0.0428,-16.3865,10.5847,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.0503,0.0000,-16.3865,10.4966,-0.0428,-16.3865,10.4850,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.1475,0.0000,-16.3865,10.5306,-0.0428,-16.3865,10.4966,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.2346,0.0000,-16.3865,10.5847,-0.0428,-16.3865,10.5306,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3561,0.0000,-16.3865,10.9959,-0.0428,-16.3865,10.9138,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,-0.0503,0.0000,-16.3865,11.1546,-0.0428,-16.3865,11.1662,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,-0.1475,0.0000,-16.3865,11.1206,-0.0428,-16.3865,11.1546,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,-0.2346,0.0000,-16.3865,11.0664,-0.0428,-16.3865,11.1206,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.0503,0.0000,-16.3865,11.1662,-0.0428,-16.3865,11.1546,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.3058,0.0000,-16.3865,11.0664,-0.0428,-16.3865,10.9959,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.2346,0.0000,-16.3865,11.1206,-0.0428,-16.3865,11.0664,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,0.1475,0.0000,-16.3865,11.1546,-0.0428,-16.3865,11.1206,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,-0.0503,0.0000,-16.3865,10.4850,-0.0428,-16.3865,10.4966,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1503,-0.0428,-16.3865,11.1503,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1393,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.1068,-0.0428,-16.3865,11.1068,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.7337,-0.0428,-16.3865,10.7337,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.6481,-0.0428,-16.3865,10.6481,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5009,-0.0428,-16.3865,10.5009,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,11.0552,-0.0428,-16.3865,11.0552,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5444,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9880,-0.0428,-16.3865,10.9880,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.9096,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.3389,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3983,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.9175,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5181,-0.0428,-16.3865,10.5181,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.5746,-0.0428,-16.3865,10.5746,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.6481,-0.0428,-16.3865,10.6481,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.4827,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2237,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.4706,-0.0428,-16.3865,10.4706,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.4827,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.7337,-0.0428,-16.3865,10.7337,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3395,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3643,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3643,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2915,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.2941,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.1406,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.5444,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2237,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2915,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.1406,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2237,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5444,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2915,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.0480,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.5009,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.1537,0.0000,-16.3865,10.5181,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.0524,0.0000,-16.3865,10.4827,-0.0428,-16.3865,10.4706,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.0480,0.0000,-16.3865,10.5009,-0.0428,-16.3865,10.5119,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3395,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3643,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3643,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3395,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.0480,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1503,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3643,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3395,0.0000,-16.3865,10.9880,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.1406,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1068,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.3395,0.0000,-16.3865,10.9096,-0.0428,-16.3865,10.9880,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3983,0.0000,-16.3865,10.9175,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3712,0.0000,-16.3865,11.0031,-0.0428,-16.3865,10.9175,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3187,0.0000,-16.3865,11.0766,-0.0428,-16.3865,11.0031,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3983,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.7337,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.2446,0.0000,-16.3865,10.5746,-0.0428,-16.3865,10.5181,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3187,0.0000,-16.3865,10.6481,-0.0428,-16.3865,10.5746,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.3712,0.0000,-16.3865,10.7337,-0.0428,-16.3865,10.6481,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.2446,0.0000,-16.3865,11.1331,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.2446,0.0000,-16.3865,11.0766,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3187,0.0000,-16.3865,11.0031,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.3712,0.0000,-16.3865,10.9175,-0.0428,-16.3865,11.0031,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.1537,0.0000,-16.3865,11.1331,-0.0428,-16.3865,11.1685,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.1537,0.0000,-16.3865,11.1685,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.0524,0.0000,-16.3865,11.1806,-0.0428,-16.3865,11.1685,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.0524,0.0000,-16.3865,11.1685,-0.0428,-16.3865,11.1806,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.1537,0.0000,-16.3865,10.5181,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.0480,0.0000,-16.3865,11.1503,-0.0428,-16.3865,11.1393,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.1406,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1068,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2237,0.0000,-16.3865,11.1068,-0.0428,-16.3865,11.0552,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.0480,0.0000,-16.3865,11.1393,-0.0428,-16.3865,11.1503,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2915,0.0000,-16.3865,10.9880,-0.0428,-16.3865,11.0552,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.2237,0.0000,-16.3865,11.0552,-0.0428,-16.3865,11.1068,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,-0.1406,0.0000,-16.3865,11.1068,-0.0428,-16.3865,11.1393,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2915,0.0000,-16.3865,11.0552,-0.0428,-16.3865,10.9880,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.2915,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.5960,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,-0.0524,0.0000,-16.3865,10.4706,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.0927,,,,,,,,,,,,,,,,90,0.0000,0.0524,0.0000,-16.3865,10.4827,-0.0428,-16.3865,10.4706,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3395,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.6632,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3395,0.0000,-16.3865,10.9880,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3643,0.0000,-16.3865,10.9096,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0848,,,,,,,,,,,,,,,,90,0.0000,0.3643,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.7415,-0.0428
1,Line,0.0889,,,,,,,,,,,,,,,,90,0.0000,-0.3058,0.0000,-16.3865,10.9959,-0.0428,-16.3865,11.0664,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,121,0.0000,0.0487,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5847,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,116,0.0000,0.0596,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5306,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,114,0.0000,0.0665,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.4966,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,130,0.0000,0.0344,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.6553,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,31,0.0000,0.0178,0.0000,-16.3865,10.9138,-0.0428,-16.3865,10.9096,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,149,0.0000,0.0178,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.7374,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,113,0.0000,0.0688,0.0000,-16.3865,10.5009,-0.0428,-16.3865,10.4850,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,149,0.0000,0.0178,0.0000,-16.3865,10.7415,-0.0428,-16.3865,10.7374,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-16.3865,10.8256,-0.0428,-16.3865,10.8256,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,31,0.0000,-0.0178,0.0000,-16.3865,10.9096,-0.0428,-16.3865,10.9138,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,130,0.0000,0.0344,0.0000,-16.3865,10.6632,-0.0428,-16.3865,10.6553,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,114,0.0000,0.0665,0.0000,-16.3865,10.5119,-0.0428,-16.3865,10.4966,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,116,0.0000,0.0596,0.0000,-16.3865,10.5444,-0.0428,-16.3865,10.5306,-0.0428
1,Line,0.0173,,,,,,,,,,,,,,,,121,0.0000,0.0487,0.0000,-16.3865,10.5960,-0.0428,-16.3865,10.5847,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,42,0.0000,0.0603,0.0000,-16.3865,10.4966,-0.0428,-16.3865,10.4827,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,137,0.0000,-0.0624,0.0000,-16.3865,11.1662,-0.0428,-16.3865,11.1806,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,138,0.0000,-0.0603,0.0000,-16.3865,11.1546,-0.0428,-16.3865,11.1685,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,141,0.0000,-0.0541,0.0000,-16.3865,11.1206,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,138,0.0000,-0.0603,0.0000,-16.3865,11.1546,-0.0428,-16.3865,11.1685,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,155,0.0000,-0.0312,0.0000,-16.3865,10.9959,-0.0428,-16.3865,11.0031,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,147,0.0000,-0.0442,0.0000,-16.3865,11.0664,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,141,0.0000,-0.0541,0.0000,-16.3865,11.1206,-0.0428,-16.3865,11.1331,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,147,0.0000,-0.0442,0.0000,-16.3865,11.0664,-0.0428,-16.3865,11.0766,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,25,0.0000,0.0312,0.0000,-16.3865,10.6553,-0.0428,-16.3865,10.6481,-0.0428
1,Line,0.0211,,,,,,,,,,,,,,,,33,0.0000,0.0442,0.0000,-16.3865,10.5847,-0.0428,-16.3865,10.5746,-0.0428
