Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,81,0.0009,0.0057,0.0002,-5.8539,2.8703,3.9055,0.2260,-5.8901,2.6474,3.8980
1,Line,,,,,,,89,0.0001,0.0057,-0.0002,-5.8849,2.8713,3.8882,0.2242,-5.8901,2.6474,3.8980
1,Line,,,,,,,55,0.0003,0.0004,-0.0005,-5.8901,2.6474,3.8980,0.0293,-5.9015,2.6311,3.9195
1,Line,,,,,,,4,0.0008,0.0000,0.0005,-5.8594,2.6493,3.9162,0.0357,-5.8901,2.6474,3.8980
1,Line,,,,,,,178,0.0008,0.0000,0.0004,-5.8539,2.8703,3.9055,0.0355,-5.8849,2.8713,3.8882
1,Line,,,,,,,179,0.0008,0.0000,0.0005,-5.8624,2.8925,3.9214,0.0356,-5.8933,2.8928,3.9038
1,Line,,,,,,,151,-0.0006,0.0004,0.0031,-5.9181,2.9065,4.0261,0.1255,-5.8933,2.8928,3.9038
1,Line,,,,,,,43,0.0006,0.0005,0.0009,-5.8624,2.8925,3.9214,0.0454,-5.8849,2.8713,3.8882
1,Line,,,,,,,112,-0.0002,0.0005,0.0004,-5.8933,2.8928,3.9038,0.0279,-5.8849,2.8713,3.8882
1,Line,,,,,,,23,0.0011,0.0005,-0.0001,-5.8594,2.6493,3.9162,0.0460,-5.9015,2.6311,3.9195
1,Line,,,,,,,0,0.0008,0.0000,0.0004,-5.9331,2.6734,4.0544,0.0357,-5.9647,2.6734,4.0378
1,Line,,,,,,,151,0.0010,-0.0006,0.0000,-5.9246,2.6513,4.0385,0.0458,-5.9647,2.6734,4.0378
1,Line,,,,,,,97,0.0007,-0.0056,0.0006,-5.9331,2.6734,4.0544,0.2208,-5.9605,2.8912,4.0300
1,Line,,,,,,,89,-0.0001,-0.0056,0.0002,-5.9647,2.6734,4.0378,0.2179,-5.9605,2.8912,4.0300
1,Line,,,,,,,112,0.0002,-0.0006,-0.0004,-5.9556,2.6506,4.0208,0.0299,-5.9647,2.6734,4.0378
1,Line,,,,,,,160,0.0014,-0.0005,-0.0026,-5.9015,2.6311,3.9195,0.1166,-5.9556,2.6506,4.0208
1,Line,,,,,,,1,0.0008,0.0000,0.0004,-5.8699,2.6314,3.9354,0.0354,-5.9015,2.6311,3.9195
1,Line,,,,,,,1,0.0008,0.0000,0.0005,-5.9246,2.6513,4.0385,0.0356,-5.9556,2.6506,4.0208
1,Line,,,,,,,167,0.0022,-0.0005,-0.0022,-5.8699,2.6314,3.9354,0.1225,-5.9556,2.6506,4.0208
1,Line,,,,,,,89,0.0001,0.0047,-0.0001,-5.9148,2.8697,3.9439,0.1833,-5.9178,2.6865,3.9491
1,Line,,,,,,,132,0.0009,-0.0010,-0.0017,-5.9148,2.8697,3.9439,0.0844,-5.9497,2.9088,4.0101
1,Line,,,,,,,149,0.0000,0.0000,0.0019,-5.9161,2.6855,4.0225,0.0734,-5.9178,2.6865,3.9491
1,Line,,,,,,,88,0.0001,0.0047,0.0017,-5.9126,2.8684,4.0153,0.1936,-5.9178,2.6865,3.9491
1,Line,,,,,,,155,-0.0012,0.0006,0.0022,-5.9605,2.8912,4.0300,0.0998,-5.9148,2.8697,3.9439
