Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.0100,,,,,,,,,,159,-0.0093,0.0035,-0.0005,1.3997,6.4492,2.3525,1.4090,6.4457,2.3530
1,Line,,,,,,,0.0217,,,,,,,,,,90,0.0000,-0.0059,-0.0209,1.4090,6.4457,2.3530,1.4090,6.4516,2.3739
1,Line,,,,,,,0.0026,,,,,,,,,,90,0.0000,0.0000,-0.0026,1.4187,6.5278,2.3384,1.4187,6.5278,2.3410
1,Line,,,,,,,0.0100,,,,,,,,,,166,-0.0097,0.0024,-0.0004,1.4090,6.4457,2.3530,1.4187,6.4433,2.3534
1,Line,,,,,,,0.0100,,,,,,,,,,153,-0.0089,0.0046,-0.0007,1.3908,6.4538,2.3519,1.3997,6.4492,2.3525
1,Line,,,,,,,0.0195,,,,,,,,,,90,0.0000,-0.0053,-0.0188,1.3908,6.4538,2.3519,1.3908,6.4591,2.3707
1,Line,,,,,,,0.0100,,,,,,,,,,140,-0.0076,0.0064,-0.0009,1.3750,6.4658,2.3501,1.3825,6.4593,2.3510
1,Line,,,,,,,0.0207,,,,,,,,,,90,0.0000,-0.0057,-0.0200,1.3997,6.4492,2.3525,1.3997,6.4549,2.3725
1,Line,,,,,,,0.0100,,,,,,,,,,146,-0.0083,0.0055,-0.0008,1.3825,6.4593,2.3510,1.3908,6.4538,2.3519
1,Line,,,,,,,0.0099,,,,,,,,,,100,-0.0016,0.0098,-0.0001,1.3492,6.5179,2.3385,1.3508,6.5082,2.3387
1,Line,,,,,,,0.0052,,,,,,,,,,90,0.0000,-0.0001,-0.0052,1.3508,6.5082,2.3387,1.3508,6.5082,2.3439
1,Line,,,,,,,0.0077,,,,,,,,,,90,0.0000,-0.0001,-0.0077,1.3574,6.4895,2.3390,1.3574,6.4896,2.3466
1,Line,,,,,,,0.0065,,,,,,,,,,90,0.0000,-0.0001,-0.0065,1.3536,6.4986,2.3388,1.3536,6.4987,2.3453
1,Line,,,,,,,0.0004,,,,,,,,,,91,0.0000,0.0004,0.0000,1.3491,6.5183,2.3385,1.3492,6.5179,2.3385
1,Line,,,,,,,0.0026,,,,,,,,,,90,0.0000,0.0000,-0.0026,1.3487,6.5278,2.3384,1.3487,6.5278,2.3410
1,Line,,,,,,,0.0138,,,,,,,,,,90,0.0000,0.0002,0.0138,1.4187,6.4433,2.3534,1.4187,6.4431,2.3396
