Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0742,,,,,,,,,,142,-0.0539,0.0418,0.0293,2.1732,5.5688,0.4991,2.2271,5.5270,0.4698
1,Line,0.0277,,,,,,,,,,1,0.0277,0.0006,0.0000,2.1455,5.5694,0.4991,2.1178,5.5688,0.4991
1,Line,0.0141,,,,,,,,,,265,-0.0011,-0.0114,-0.0083,2.2264,5.5120,0.4590,2.2275,5.5234,0.4673
1,Line,0.0045,,,,,,,,,,275,0.0003,-0.0036,-0.0026,2.2275,5.5234,0.4673,2.2271,5.5270,0.4698
1,Line,0.0742,,,,,,,,,,38,0.0539,0.0418,0.0293,2.1178,5.5688,0.4991,2.0639,5.5270,0.4698
1,Line,0.0135,,,,,,,,,,107,-0.0032,0.0106,0.0077,2.0646,5.5120,0.4590,2.0678,5.5014,0.4513
1,Line,0.0123,,,,,,,,,,119,-0.0051,0.0090,0.0066,2.0678,5.5014,0.4513,2.0729,5.4924,0.4447
1,Line,0.0045,,,,,,,,,,85,0.0003,0.0036,0.0026,2.0639,5.5270,0.4698,2.0635,5.5234,0.4673
1,Line,0.0141,,,,,,,,,,95,-0.0011,0.0114,0.0083,2.0635,5.5234,0.4673,2.0646,5.5120,0.4590
1,Line,0.0135,,,,,,,,,,253,-0.0032,-0.0106,-0.0077,2.2232,5.5014,0.4513,2.2264,5.5120,0.4590
1,Line,0.0220,,,,,,,,,,359,0.0220,-0.0003,0.0000,2.1952,5.5685,0.4991,2.1732,5.5688,0.4991
1,Line,0.0277,,,,,,,,,,359,0.0277,-0.0006,0.0000,2.1732,5.5688,0.4991,2.1455,5.5694,0.4991
1,Line,0.0095,,,,,,,,,,329,0.0077,-0.0045,-0.0032,2.2115,5.5623,0.4948,2.2038,5.5668,0.4980
1,Line,0.0088,,,,,,,,,,349,0.0086,-0.0017,-0.0011,2.2038,5.5668,0.4980,2.1952,5.5685,0.4991
1,Line,0.0496,,,,,,,,,,0,0.0496,0.0000,0.0008,2.1951,5.4799,0.4354,2.1455,5.4799,0.4346
1,Line,0.0108,,,,,,,,,,226,-0.0066,-0.0069,-0.0051,2.2115,5.4855,0.4397,2.2181,5.4924,0.4447
1,Line,0.0123,,,,,,,,,,241,-0.0051,-0.0090,-0.0066,2.2181,5.4924,0.4447,2.2232,5.5014,0.4513
1,Line,0.0088,,,,,,,,,,9,0.0086,0.0013,0.0011,2.2038,5.4813,0.4365,2.1951,5.4799,0.4354
1,Line,0.0093,,,,,,,,,,29,0.0077,0.0042,0.0032,2.2115,5.4855,0.4397,2.2038,5.4813,0.4365
1,Line,0.1512,,,,,,,,,,270,0.0000,-0.1512,0.0000,2.0771,5.4793,0.4352,2.0771,5.6305,0.4352
1,Line,0.1516,,,,,,,,,,270,0.0000,-0.1516,0.0000,2.0229,5.4799,0.4366,2.0229,5.6316,0.4366
1,Line,0.1830,,,,,,,,,,270,0.0000,-0.1830,0.0000,2.0635,5.4978,0.4488,2.0635,5.6808,0.4488
1,Line,0.1907,,,,,,,,,,270,0.0000,-0.1907,0.0000,2.0694,5.4873,0.4411,2.0694,5.6781,0.4411
1,Line,0.1510,,,,,,,,,,270,0.0000,-0.1510,0.0000,2.0146,5.4817,0.4379,2.0146,5.6327,0.4379
1,Line,0.1429,,,,,,,,,,270,0.0000,-0.1429,0.0000,1.9962,5.5025,0.4530,1.9962,5.6454,0.4530
1,Line,0.1386,,,,,,,,,,270,0.0000,-0.1386,0.0000,1.9933,5.5131,0.4606,1.9933,5.6517,0.4606
1,Line,0.1493,,,,,,,,,,270,0.0000,-0.1493,0.0000,2.0072,5.4862,0.4413,2.0072,5.6355,0.4413
1,Line,0.1465,,,,,,,,,,270,0.0000,-0.1465,0.0000,2.0010,5.4933,0.4464,2.0010,5.6398,0.4464
1,Line,0.1740,,,,,,,,,,270,0.0000,-0.1740,0.0000,2.0598,5.5101,0.4577,2.0598,5.6841,0.4577
1,Line,0.0088,,,,,,,,,,171,-0.0086,0.0013,0.0011,2.0872,5.4813,0.4365,2.0959,5.4799,0.4354
1,Line,0.0496,,,,,,,,,,180,-0.0496,0.0000,0.0008,2.0959,5.4799,0.4354,2.1455,5.4799,0.4346
1,Line,0.0108,,,,,,,,,,134,-0.0066,0.0069,0.0051,2.0729,5.4924,0.4447,2.0795,5.4855,0.4397
1,Line,0.0093,,,,,,,,,,151,-0.0077,0.0042,0.0032,2.0795,5.4855,0.4397,2.0872,5.4813,0.4365
1,Line,0.1103,,,,,,,,,,90,0.0000,0.0895,0.0645,2.1455,5.5694,0.4991,2.1455,5.4799,0.4346
1,Line,0.1543,,,,,,,,,,270,0.0000,-0.1543,0.0000,2.0598,5.5367,0.4768,2.0598,5.6910,0.4768
1,Line,0.1643,,,,,,,,,,270,0.0000,-0.1643,0.0000,2.0585,5.5233,0.4673,2.0585,5.6876,0.4673
1,Line,0.1370,,,,,,,,,,270,0.0000,-0.1370,0.0000,2.0693,5.5601,0.4934,2.0693,5.6971,0.4934
1,Line,0.1450,,,,,,,,,,270,0.0000,-0.1450,0.0000,2.0635,5.5493,0.4857,2.0635,5.6943,0.4857
1,Line,0.0110,,,,,,,,,,227,-0.0066,-0.0072,-0.0051,2.0729,5.5551,0.4898,2.0795,5.5623,0.4948
1,Line,0.0125,,,,,,,,,,61,0.0051,0.0093,0.0066,2.0729,5.5551,0.4898,2.0678,5.5458,0.4832
1,Line,0.0088,,,,,,,,,,11,0.0086,0.0017,0.0011,2.0958,5.5685,0.4991,2.0872,5.5668,0.4980
1,Line,0.0095,,,,,,,,,,31,0.0077,0.0045,0.0032,2.0872,5.5668,0.4980,2.0795,5.5623,0.4948
1,Line,0.0137,,,,,,,,,,74,0.0032,0.0108,0.0077,2.0678,5.5458,0.4832,2.0646,5.5350,0.4755
1,Line,0.0165,,,,,,,,,,265,-0.0013,-0.0134,-0.0096,2.0585,5.5233,0.4673,2.0598,5.5367,0.4768
1,Line,0.0158,,,,,,,,,,74,0.0037,0.0125,0.0089,2.0635,5.5493,0.4857,2.0598,5.5367,0.4768
1,Line,0.0098,,,,,,,,,,85,0.0007,0.0079,0.0057,2.0646,5.5350,0.4755,2.0639,5.5270,0.4698
1,Line,0.0005,,,,,,,,,,95,0.0000,0.0004,0.0003,2.0585,5.5233,0.4673,2.0585,5.5229,0.4669
1,Line,0.0220,,,,,,,,,,1,0.0220,0.0003,0.0000,2.1178,5.5688,0.4991,2.0958,5.5685,0.4991
1,Line,0.0142,,,,,,,,,,119,-0.0059,0.0105,0.0076,2.0635,5.4978,0.4488,2.0694,5.4873,0.4411
1,Line,0.0156,,,,,,,,,,107,-0.0037,0.0123,0.0089,2.0598,5.5101,0.4577,2.0635,5.4978,0.4488
1,Line,0.0127,,,,,,,,,,270,0.0000,-0.0127,0.0000,2.0955,5.6882,0.5041,2.0955,5.7010,0.5041
1,Line,0.0125,,,,,,,,,,314,0.0077,-0.0079,-0.0059,2.0770,5.4794,0.4353,2.0694,5.4873,0.4411
1,Line,0.0159,,,,,,,,,,275,0.0012,-0.0128,-0.0093,2.0598,5.5101,0.4577,2.0585,5.5229,0.4669
1,Line,0.0543,,,,,,,,,,179,-0.0542,0.0006,0.0013,2.0229,5.4799,0.4366,2.0771,5.4793,0.4352
1,Line,0.0002,,,,,,,,,,331,0.0001,-0.0001,-0.0001,2.0771,5.4793,0.4352,2.0770,5.4794,0.4353
1,Line,0.0066,,,,,,,,,,149,-0.0052,0.0032,0.0024,2.0094,5.4848,0.4403,2.0146,5.4817,0.4379
1,Line,0.0086,,,,,,,,,,168,-0.0083,0.0017,0.0014,2.0146,5.4817,0.4379,2.0229,5.4799,0.4366
1,Line,0.0108,,,,,,,,,,131,-0.0063,0.0071,0.0051,2.0010,5.4933,0.4464,2.0072,5.4862,0.4413
1,Line,0.0027,,,,,,,,,,148,-0.0022,0.0013,0.0010,2.0072,5.4862,0.4413,2.0094,5.4848,0.4403
1,Line,0.0133,,,,,,,,,,105,-0.0029,0.0106,0.0076,1.9933,5.5131,0.4606,1.9962,5.5025,0.4530
1,Line,0.0122,,,,,,,,,,117,-0.0047,0.0092,0.0066,1.9962,5.5025,0.4530,2.0010,5.4933,0.4464
1,Line,0.0676,,,,,,,,,,38,0.0491,0.0380,0.0266,2.0585,5.5229,0.4669,2.0094,5.4848,0.4403
1,Line,0.0125,,,,,,,,,,299,0.0051,-0.0093,-0.0066,2.2232,5.5458,0.4832,2.2181,5.5551,0.4898
1,Line,0.0110,,,,,,,,,,313,0.0066,-0.0072,-0.0051,2.2181,5.5551,0.4898,2.2115,5.5623,0.4948
1,Line,0.0098,,,,,,,,,,275,0.0007,-0.0079,-0.0057,2.2271,5.5270,0.4698,2.2264,5.5350,0.4755
1,Line,0.0137,,,,,,,,,,286,0.0032,-0.0108,-0.0077,2.2264,5.5350,0.4755,2.2232,5.5458,0.4832
1,Line,0.0140,,,,,,,,,,94,-0.0008,0.0114,0.0081,1.9925,5.5245,0.4687,1.9933,5.5131,0.4606
1,Line,0.0522,,,,,,,,,,1,0.0522,0.0007,0.0000,2.0769,5.5682,0.4991,2.0247,5.5675,0.4991
1,Line,0.0086,,,,,,,,,,10,0.0084,0.0014,0.0009,2.0247,5.5675,0.4991,2.0162,5.5661,0.4982
1,Line,0.0145,,,,,,,,,,61,0.0059,0.0108,0.0076,2.0693,5.5601,0.4934,2.0635,5.5493,0.4857
1,Line,0.0125,,,,,,,,,,227,-0.0075,-0.0082,-0.0057,2.0693,5.5601,0.4934,2.0769,5.5682,0.4991
1,Line,0.0092,,,,,,,,,,29,0.0076,0.0042,0.0029,2.0162,5.5661,0.4982,2.0087,5.5619,0.4952
1,Line,0.0132,,,,,,,,,,73,0.0033,0.0105,0.0074,1.9970,5.5461,0.4841,1.9938,5.5357,0.4767
1,Line,0.0138,,,,,,,,,,84,0.0013,0.0112,0.0080,1.9938,5.5357,0.4767,1.9925,5.5245,0.4687
1,Line,0.0106,,,,,,,,,,46,0.0065,0.0068,0.0048,2.0087,5.5619,0.4952,2.0021,5.5551,0.4904
1,Line,0.0121,,,,,,,,,,60,0.0051,0.0089,0.0063,2.0021,5.5551,0.4904,1.9970,5.5461,0.4841
1,Line,0.1341,,,,,,,,,,270,0.0000,-0.1341,0.0000,1.9925,5.5245,0.4687,1.9925,5.6585,0.4687
1,Line,0.0139,,,,,,,,,,276,0.0013,-0.0113,-0.0080,2.2985,5.5244,0.4687,2.2972,5.5357,0.4767
1,Line,0.0132,,,,,,,,,,287,0.0033,-0.0105,-0.0074,2.2972,5.5357,0.4767,2.2940,5.5461,0.4841
1,Line,0.0134,,,,,,,,,,75,0.0029,0.0106,0.0076,2.2977,5.5131,0.4606,2.2948,5.5025,0.4530
1,Line,0.0139,,,,,,,,,,86,0.0008,0.0113,0.0081,2.2985,5.5244,0.4687,2.2977,5.5131,0.4606
1,Line,0.0121,,,,,,,,,,120,-0.0051,0.0089,0.0063,2.2889,5.5551,0.4904,2.2940,5.5461,0.4841
1,Line,0.0086,,,,,,,,,,170,-0.0084,0.0014,0.0009,2.2663,5.5675,0.4991,2.2748,5.5661,0.4982
1,Line,0.0522,,,,,,,,,,179,-0.0522,0.0007,0.0000,2.2141,5.5682,0.4991,2.2663,5.5675,0.4991
1,Line,0.0106,,,,,,,,,,134,-0.0065,0.0068,0.0048,2.2823,5.5619,0.4952,2.2889,5.5551,0.4904
1,Line,0.0092,,,,,,,,,,151,-0.0076,0.0042,0.0029,2.2748,5.5661,0.4982,2.2823,5.5619,0.4952
1,Line,0.0122,,,,,,,,,,63,0.0047,0.0092,0.0066,2.2948,5.5025,0.4530,2.2900,5.4933,0.4464
1,Line,0.0145,,,,,,,,,,119,-0.0059,0.0108,0.0076,2.2217,5.5601,0.4934,2.2275,5.5493,0.4857
1,Line,0.0158,,,,,,,,,,106,-0.0037,0.0125,0.0089,2.2275,5.5493,0.4857,2.2312,5.5367,0.4768
1,Line,0.0086,,,,,,,,,,12,0.0083,0.0017,0.0014,2.2764,5.4817,0.4379,2.2681,5.4799,0.4366
1,Line,0.0066,,,,,,,,,,31,0.0052,0.0032,0.0024,2.2816,5.4848,0.4403,2.2764,5.4817,0.4379
1,Line,0.0165,,,,,,,,,,95,-0.0013,0.0134,0.0096,2.2312,5.5367,0.4768,2.2325,5.5233,0.4673
1,Line,0.0027,,,,,,,,,,32,0.0022,0.0013,0.0010,2.2838,5.4862,0.4413,2.2816,5.4848,0.4403
1,Line,0.0108,,,,,,,,,,49,0.0063,0.0071,0.0051,2.2900,5.4933,0.4464,2.2838,5.4862,0.4413
1,Line,0.0005,,,,,,,,,,85,0.0000,0.0004,0.0003,2.2325,5.5233,0.4673,2.2325,5.5229,0.4669
1,Line,0.0676,,,,,,,,,,142,-0.0491,0.0380,0.0266,2.2325,5.5229,0.4669,2.2816,5.4848,0.4403
1,Line,0.1516,,,,,,,,,,270,0.0000,-0.1516,0.0000,2.2681,5.4799,0.4366,2.2681,5.6316,0.4366
1,Line,0.1907,,,,,,,,,,270,0.0000,-0.1907,0.0000,2.2216,5.4873,0.4411,2.2216,5.6781,0.4411
1,Line,0.1493,,,,,,,,,,270,0.0000,-0.1493,0.0000,2.2838,5.4862,0.4413,2.2838,5.6355,0.4413
