,,,,117,0,0,0.0002,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,
1,Line,,,,,,,86,0,0,0.0001,0.7569,-0.2942,0.3806,0.0094,0.7569,-0.2942,0.3764
1,Line,,,,,,,85,0,0,-0.0008,0.7569,-0.2942,0.4108,0.036,0.7569,-0.2942,0.4422
1,Line,,,,,,,99,0,0,0.0003,0.7569,-0.2942,0.3998,0.0197,0.7569,-0.2942,0.387
1,Line,,,,,,,136,0,0,-0.0002,0.7569,-0.2942,0.3806,0.0091,0.7569,-0.2942,0.387
1,Line,,,,,,,172,0,0,-0.0002,0.7569,-0.2942,0.3805,0.0072,0.7569,-0.2942,0.387
1,Line,,,,,,,127,0,0,0.0003,0.7569,-0.2942,0.4108,0.029,0.7569,-0.2942,0.3998
1,Line,,,,,,,117,0,0,-0.0002,0.7569,-0.2942,0.4015,0.0129,0.7569,-0.2942,0.4108
1,Line,,,,,,,128,0,0,-0.0001,0.7569,-0.2942,0.387,0.0111,0.7569,-0.2942,0.3924
1,Line,,,,,,,154,0,0,0.0006,0.7569,-0.2942,0.4108,0.0284,0.7569,-0.2942,0.387
1,Line,,,,,,,111,0,0,0,0.7569,-0.2942,0.3806,0.0045,0.7569,-0.2942,0.3805
1,Line,,,,,,,20,0,0,0,0.7569,-0.2942,0.3753,0.0176,0.7569,-0.2942,0.3733
1,Line,,,,,,,114,0,0,-0.0004,0.7569,-0.2942,0.4108,0.0382,0.7569,-0.2942,0.4274
1,Line,,,,,,,138,0,0,0.0004,0.7569,-0.2942,0.4422,0.0255,0.7569,-0.2942,0.4274
1,Line,,,,,,,93,0,0,0,0.7569,-0.2942,0.3753,0.0063,0.7569,-0.2942,0.3733
1,Line,,,,,,,94,0,0,0.0001,0.7569,-0.2942,0.3806,0.0094,0.7569,-0.2942,0.3764
1,Line,,,,,,,75,0,0,-0.0001,0.7569,-0.2942,0.3764,0.006,0.7569,-0.2942,0.3805
1,Line,,,,,,,63,0,0,0.0002,0.7569,-0.2942,0.3806,0.0131,0.7569,-0.2942,0.3733
1,Line,,,,,,,81,0,0,0.0003,0.7569,-0.2942,0.3998,0.0197,0.7569,-0.2942,0.387
1,Line,,,,,,,139,0,0,0.0005,0.7569,-0.2942,0.4982,0.0274,0.7569,-0.2942,0.4788
1,Line,,,,,,,43,0,0,0.0001,0.7569,-0.2942,0.394,0.0037,0.7569,-0.2942,0.3914
1,Line,,,,,,,178,0,0,-0.0001,0.7569,-0.2942,0.3875,0.0125,0.7569,-0.2942,0.3914
1,Line,,,,,,,103,0,0,0.0002,0.7569,-0.2942,0.4874,0.0156,0.7569,-0.2942,0.4788
1,Line,,,,,,,164,0,0,0.0002,0.7569,-0.2942,0.4746,0.0142,0.7569,-0.2942,0.4649
1,Line,,,,,,,138,0,0,0.0003,0.7569,-0.2942,0.4874,0.0209,0.7569,-0.2942,0.4746
1,Line,,,,,,,10,0,0,0.0001,0.7569,-0.2942,0.4788,0.0103,0.7569,-0.2942,0.4746
1,Line,,,,,,,165,0,0,-0.0002,0.7569,-0.2942,0.3826,0.0111,0.7569,-0.2942,0.3914
1,Line,,,,,,,67,0,0,-0.0002,0.7569,-0.2942,0.366,0.0111,0.7569,-0.2942,0.3734
1,Line,,,,,,,20,0,0,0.0005,0.7569,-0.2942,0.3866,0.0284,0.7569,-0.2942,0.366
1,Line,,,,,,,76,0,0,0.0005,0.7569,-0.2942,0.3866,0.029,0.7569,-0.2942,0.3678
1,Line,,,,,,,176,0,0,0.0003,0.7569,-0.2942,0.3866,0.0201,0.7569,-0.2942,0.3734
1,Line,,,,,,,16,0,0,0.0001,0.7569,-0.2942,0.3875,0.0073,0.7569,-0.2942,0.3826
1,Line,,,,,,,92,0,0,-0.0002,0.7569,-0.2942,0.3734,0.0108,0.7569,-0.2942,0.3826
1,Line,,,,,,,55,0,0,0.0003,0.7569,-0.2942,0.3875,0.0165,0.7569,-0.2942,0.3734
1,Line,,,,,,,32,0,0,-0.0001,0.7569,-0.2942,0.4691,0.021,0.7569,-0.2942,0.4746
1,Line,,,,,,,31,0,0,0.0002,0.7569,-0.2942,0.4015,0.0165,0.7569,-0.2942,0.3924
1,Line,,,,,,,32,0,0,0.0001,0.7569,-0.2942,0.395,0.0108,0.7569,-0.2942,0.3924
1,Line,,,,,,,26,0,0,0.0002,0.7569,-0.2942,0.4015,0.0073,0.7569,-0.2942,0.395
1,Line,,,,,,,173,0,0,0.0005,0.7569,-0.2942,0.4108,0.0201,0.7569,-0.2942,0.3924
1,Line,,,,,,,26,0,0,0.0006,0.7569,-0.2942,0.4108,0.0284,0.7569,-0.2942,0.387
1,Line,,,,,,,53,0,0,-0.0003,0.7569,-0.2942,0.3998,0.029,0.7569,-0.2942,0.4108
1,Line,,,,,,,52,0,0,0.0001,0.7569,-0.2942,0.3924,0.0111,0.7569,-0.2942,0.387
1,Line,,,,,,,2,0,0,0.0002,0.7569,-0.2942,0.4015,0.0125,0.7569,-0.2942,0.3914
1,Line,,,,,,,79,0,0,0.0007,0.7569,-0.2942,0.4691,0.0335,0.7569,-0.2942,0.4422
1,Line,,,,,,,118,0,0,0.0006,0.7569,-0.2942,0.4649,0.0238,0.7569,-0.2942,0.4422
1,Line,,,,,,,62,0,0,0.0001,0.7569,-0.2942,0.4691,0.0159,0.7569,-0.2942,0.4649
1,Line,,,,,,,55,0,0,0.0002,0.7569,-0.2942,0.4515,0.0247,0.7569,-0.2942,0.4422
1,Line,,,,,,,10,0,0,-0.0001,0.7569,-0.2942,0.3914,0.0111,0.7569,-0.2942,0.395
1,Line,,,,,,,66,0,0,0.0004,0.7569,-0.2942,0.4274,0.0382,0.7569,-0.2942,0.4108
1,Line,,,,,,,42,0,0,-0.0004,0.7569,-0.2942,0.4274,0.0255,0.7569,-0.2942,0.4422
1,Line,,,,,,,87,0,0,-0.0001,0.7569,-0.2942,0.2173,0.008,0.7569,-0.2942,0.223
1,Line,,,,,,,162,0,0,-0.0007,1.0169,-0.2324,0.3043,0.0347,1.0169,-0.2324,0.3318
1,Line,,,,,,,166,0,0,-0.0005,1.0169,-0.2324,0.3118,0.0349,1.0169,-0.2324,0.3318
1,Line,,,,,,,0,0,0,-0.0002,1.0169,-0.2324,0.3043,0.0108,1.0169,-0.2324,0.3118
1,Line,,,,,,,148,0,0,0.0008,1.0169,-0.2324,0.3318,0.0349,1.0169,-0.2324,0.2992
1,Line,,,,,,,91,0,0,-0.0003,1.0169,-0.2324,0.1032,0.0129,1.0169,-0.2324,0.1145
1,Line,,,,,,,149,0,0,-0.0002,1.0169,-0.2324,0.1032,0.0129,1.0169,-0.2324,0.1125
1,Line,,,,,,,0,0,0,-0.0001,1.0169,-0.2324,0.2992,0.0108,1.0169,-0.2324,0.3043
1,Line,,,,,,,168,0,0,-0.0003,1.0169,-0.2324,0.3213,0.0345,1.0169,-0.2324,0.3318
1,Line,,,,,,,180,0,0,-0.0002,1.0169,-0.2324,0.3423,0.0108,1.0169,-0.2324,0.352
1,Line,,,,,,,162,0,0,0.0007,1.0169,-0.2324,0.3592,0.0345,1.0169,-0.2324,0.3318
1,Line,,,,,,,148,0,0,0.0008,1.0169,-0.2324,0.3643,0.0348,1.0169,-0.2324,0.3318
1,Line,,,,,,,166,0,0,0.0005,1.0169,-0.2324,0.352,0.0348,1.0169,-0.2324,0.3318
1,Line,,,,,,,169,0,0,0,1.0169,-0.2324,0.3317,0.0349,1.0169,-0.2324,0.3318
1,Line,,,,,,,180,0,0,-0.0003,1.0169,-0.2324,0.3317,0.0108,1.0169,-0.2324,0.3423
1,Line,,,,,,,168,0,0,0.0003,1.0169,-0.2324,0.3423,0.0347,1.0169,-0.2324,0.3318
1,Line,,,,,,,91,0,0,0.0002,1.0169,-0.2324,0.1125,0.0079,1.0169,-0.2324,0.1055
1,Line,,,,,,,93,0,0,-0.0003,1.0169,-0.2324,0.0969,0.0218,1.0169,-0.2324,0.1088
1,Line,,,,,,,111,0,0,-0.0004,1.0169,-0.2324,0.0913,0.0237,1.0169,-0.2324,0.1088
1,Line,,,,,,,34,0,0,0.0001,1.0169,-0.2324,0.0969,0.008,1.0169,-0.2324,0.0913
1,Line,,,,,,,149,0,0,-0.0001,1.0169,-0.2324,0.1088,0.008,1.0169,-0.2324,0.1145
1,Line,,,,,,,93,0,0,-0.0003,1.0169,-0.2324,0.1027,0.0218,1.0169,-0.2324,0.1145
1,Line,,,,,,,76,0,0,-0.0004,1.0169,-0.2324,0.0969,0.0237,1.0169,-0.2324,0.1145
1,Line,,,,,,,149,0,0,0.0001,1.0169,-0.2324,0.1027,0.008,1.0169,-0.2324,0.0969
1,Line,,,,,,,34,0,0,-0.0001,1.0169,-0.2324,0.1032,0.008,1.0169,-0.2324,0.1088
1,Line,,,,,,,93,0,0,-0.0003,1.0169,-0.2324,0.0936,0.0218,1.0169,-0.2324,0.1055
1,Line,,,,,,,92,0,0,-0.0001,1.0169,-0.2324,0.1006,0.0225,1.0169,-0.2324,0.1055
1,Line,,,,,,,91,0,0,-0.0002,1.0169,-0.2324,0.0936,0.0079,1.0169,-0.2324,0.1006
1,Line,,,,,,,174,0,0,0.0001,1.0169,-0.2324,0.1055,0.0081,1.0169,-0.2324,0.1032
1,Line,,,,,,,93,0,0,-0.0003,1.0169,-0.2324,0.0913,0.0218,1.0169,-0.2324,0.1032
1,Line,,,,,,,114,0,0,-0.0002,1.0169,-0.2324,0.0936,0.023,1.0169,-0.2324,0.1032
1,Line,,,,,,,174,0,0,-0.0001,1.0169,-0.2324,0.0913,0.0081,1.0169,-0.2324,0.0936
1,Line,,,,,,,180,0,0,0,1.0169,-0.2324,0.3643,0.0108,1.0169,-0.2324,0.3658
1,Line,,,,,,,0,0,0,0.0014,1.0169,-0.2324,0.5421,0.0813,1.0169,-0.2324,0.4846
1,Line,,,,,,,180,0,0,-0.0013,1.0169,-0.2324,0.4725,0.0749,1.0169,-0.2324,0.5255
1,Line,,,,,,,5,0,0,0.0003,1.0169,-0.2324,0.4846,0.0206,1.0169,-0.2324,0.4725
1,Line,,,,,,,1,0,0,-0.001,1.0169,-0.2324,0.4846,0.0807,1.0169,-0.2324,0.5255
1,Line,,,,,,,1,0,0,0.0004,1.0169,-0.2324,0.5595,0.0807,1.0169,-0.2324,0.5421
1,Line,,,,,,,0,0,0,-0.0008,1.0169,-0.2324,0.5255,0.0749,1.0169,-0.2324,0.5595
1,Line,,,,,,,7,0,0,0.0004,1.0169,-0.2324,0.5421,0.0206,1.0169,-0.2324,0.5255
1,Line,,,,,,,2,0,0,-0.0015,1.0169,-0.2324,0.4122,0.0807,1.0169,-0.2324,0.4725
1,Line,,,,,,,0,0,0,0.002,1.0169,-0.2324,0.4122,0.0813,1.0169,-0.2324,0.3318
1,Line,,,,,,,180,0,0,-0.0018,1.0169,-0.2324,0.3318,0.0749,1.0169,-0.2324,0.4058
1,Line,,,,,,,4,0,0,0,1.0169,-0.2324,0.3318,0.0206,1.0169,-0.2324,0.3318
1,Line,,,,,,,3,0,0,-0.0018,1.0169,-0.2324,0.3318,0.0807,1.0169,-0.2324,0.4058
1,Line,,,,,,,180,0,0,0.0018,1.0169,-0.2324,0.4846,0.0813,1.0169,-0.2324,0.4122
1,Line,,,,,,,180,0,0,-0.0016,1.0169,-0.2324,0.4058,0.0749,1.0169,-0.2324,0.4725
1,Line,,,,,,,4,0,0,0.0002,1.0169,-0.2324,0.4122,0.0206,1.0169,-0.2324,0.4058
1,Line,,,,,,,90,0,0,-0.0008,1.0169,-0.2324,0.2979,0.0345,1.0169,-0.2324,0.3318
1,Line,,,,,,,14,0,0,0.0005,1.0169,-0.2324,0.352,0.0348,1.0169,-0.2324,0.3318
1,Line,,,,,,,180,0,0,0.0002,1.0169,-0.2324,0.352,0.0108,1.0169,-0.2324,0.3423
1,Line,,,,,,,12,0,0,0.0003,1.0169,-0.2324,0.3423,0.0347,1.0169,-0.2324,0.3318
1,Line,,,,,,,18,0,0,0.0007,1.0169,-0.2324,0.3592,0.0345,1.0169,-0.2324,0.3318
1,Line,,,,,,,90,0,0,0.0008,1.0169,-0.2324,0.3658,0.0347,1.0169,-0.2324,0.3318
1,Line,,,,,,,32,0,0,0.0008,1.0169,-0.2324,0.3643,0.0348,1.0169,-0.2324,0.3318
1,Line,,,,,,,180,0,0,0,1.0169,-0.2324,0.3658,0.0108,1.0169,-0.2324,0.3643
1,Line,,,,,,,11,0,0,0,1.0169,-0.2324,0.3317,0.0349,1.0169,-0.2324,0.3318
1,Line,,,,,,,18,0,0,-0.0007,1.0169,-0.2324,0.3043,0.0347,1.0169,-0.2324,0.3318
1,Line,,,,,,,32,0,0,-0.0008,1.0169,-0.2324,0.2992,0.0349,1.0169,-0.2324,0.3318
1,Line,,,,,,,0,0,0,0.0001,1.0169,-0.2324,0.3043,0.0108,1.0169,-0.2324,0.2992
1,Line,,,,,,,0,0,0,0.0002,1.0169,-0.2324,0.3118,0.0108,1.0169,-0.2324,0.3043
1,Line,,,,,,,180,0,0,0.0003,1.0169,-0.2324,0.3423,0.0108,1.0169,-0.2324,0.3317
1,Line,,,,,,,12,0,0,-0.0003,1.0169,-0.2324,0.3213,0.0345,1.0169,-0.2324,0.3318
1,Line,,,,,,,14,0,0,-0.0005,1.0169,-0.2324,0.3118,0.0349,1.0169,-0.2324,0.3318
1,Line,,,,,,,11,0,0,0.0001,1.0169,-0.2324,0.1145,0.0081,1.0169,-0.2324,0.1125
1,Line,,,,,,,179,0,0,0.0002,1.0169,-0.2324,0.3869,0.0085,1.0169,-0.2324,0.3799
1,Line,,,,,,,1,0,0,0,1.0169,-0.2324,0.3041,0.0177,1.0169,-0.2324,0.3039
1,Line,,,,,,,1,0,0,-0.0001,1.0169,-0.2324,0.3008,0.011,1.0169,-0.2324,0.3041
1,Line,,,,,,,17,0,0,0.0005,1.0169,-0.2324,0.3799,0.0334,1.0169,-0.2324,0.3592
1,Line,,,,,,,33,0,0,0.0007,1.0169,-0.2324,0.3894,0.0334,1.0169,-0.2324,0.3592
1,Line,,,,,,,21,0,0,0.0007,1.0169,-0.2324,0.3869,0.035,1.0169,-0.2324,0.3592
1,Line,,,,,,,1,0,0,0.0001,1.0169,-0.2324,0.3894,0.0085,1.0169,-0.2324,0.3869
1,Line,,,,,,,1,0,0,0.0001,1.0169,-0.2324,0.3039,0.0079,1.0169,-0.2324,0.3008
1,Line,,,,,,,16,0,0,-0.0004,1.0169,-0.2324,0.3039,0.0334,1.0169,-0.2324,0.3213
1,Line,,,,,,,1,0,0,0.0002,1.0169,-0.2324,0.3108,0.0085,1.0169,-0.2324,0.3039
1,Line,,,,,,,176,0,0,0.0004,1.0169,-0.2324,0.2834,0.0177,1.0169,-0.2324,0.2665
1,Line,,,,,,,65,0,0,0.0002,1.0169,-0.2324,0.3193,0.0085,1.0169,-0.2324,0.3108
1,Line,,,,,,,2,0,0,-0.0001,1.0169,-0.2324,0.3041,0.0079,1.0169,-0.2324,0.3102
1,Line,,,,,,,13,0,0,0,1.0169,-0.2324,0.3193,0.0334,1.0169,-0.2324,0.3213
1,Line,,,,,,,13,0,0,-0.0003,1.0169,-0.2324,0.3108,0.035,1.0169,-0.2324,0.3213
1,Line,,,,,,,2,0,0,-0.0002,1.0169,-0.2324,0.3789,0.011,1.0169,-0.2324,0.3877
1,Line,,,,,,,179,0,0,-0.0001,1.0169,-0.2324,0.3602,0.0079,1.0169,-0.2324,0.3631
1,Line,,,,,,,10,0,0,-0.0002,1.0169,-0.2324,0.3721,0.0079,1.0169,-0.2324,0.3799
1,Line,,,,,,,178,0,0,-0.0002,1.0169,-0.2324,0.3631,0.011,1.0169,-0.2324,0.3721
1,Line,,,,,,,176,0,0,-0.0004,1.0169,-0.2324,0.3631,0.0177,1.0169,-0.2324,0.3799
1,Line,,,,,,,178,0,0,0.0001,1.0169,-0.2324,0.3102,0.0079,1.0169,-0.2324,0.3041
1,Line,,,,,,,179,0,0,-0.0001,1.0169,-0.2324,0.3008,0.0079,1.0169,-0.2324,0.3039
1,Line,,,,,,,179,0,0,0.0001,1.0169,-0.2324,0.3041,0.011,1.0169,-0.2324,0.3008
1,Line,,,,,,,163,0,0,0.0005,1.0169,-0.2324,0.3799,0.0334,1.0169,-0.2324,0.3592
1,Line,,,,,,,2,0,0,-0.0003,1.0169,-0.2324,0.3789,0.0177,1.0169,-0.2324,0.3894
1,Line,,,,,,,17,0,0,-0.0002,1.0169,-0.2324,0.371,0.0079,1.0169,-0.2324,0.3789
1,Line,,,,,,,1,0,0,0,1.0169,-0.2324,0.3877,0.0079,1.0169,-0.2324,0.3894
1,Line,,,,,,,179,0,0,-0.0001,1.0169,-0.2324,0.3869,0.0085,1.0169,-0.2324,0.3894
1,Line,,,,,,,159,0,0,0.0007,1.0169,-0.2324,0.3869,0.035,1.0169,-0.2324,0.3592
1,Line,,,,,,,1,0,0,-0.0002,1.0169,-0.2324,0.3799,0.0085,1.0169,-0.2324,0.3869
1,Line,,,,,,,147,0,0,0.0007,1.0169,-0.2324,0.3894,0.0334,1.0169,-0.2324,0.3592
1,Line,,,,,,,2,0,0,0.0002,1.0169,-0.2324,0.2901,0.0079,1.0169,-0.2324,0.2834
1,Line,,,,,,,167,0,0,0.0003,1.0169,-0.2324,0.3213,0.035,1.0169,-0.2324,0.3108
1,Line,,,,,,,164,0,0,0.0004,1.0169,-0.2324,0.3213,0.0334,1.0169,-0.2324,0.3039
1,Line,,,,,,,179,0,0,-0.0002,1.0169,-0.2324,0.3039,0.0085,1.0169,-0.2324,0.3108
1,Line,,,,,,,115,0,0,-0.0002,1.0169,-0.2324,0.3108,0.0085,1.0169,-0.2324,0.3193
