Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0479,0.0213,2.8637,3.2061,0.5993,2.8637,3.1582,0.5780
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0425,-0.0308,2.8637,3.1157,0.5472,2.8637,3.1582,0.5780
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0525,0.0000,2.8637,3.3099,0.6103,2.8637,3.2574,0.6103
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0513,-0.0109,2.8637,3.3099,0.1110,2.8637,3.3612,0.1219
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0425,-0.0308,2.8637,3.4092,0.1433,2.8637,3.4516,0.1741
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,-0.0068,0.0649,2.8891,2.9713,0.3606,2.8891,2.9782,0.2957
1,Line,0.0206,,,,,,,,,,,,,,,,176,-0.0175,0.0011,0.0108,2.8716,3.2522,0.0608,2.8891,3.2510,0.0500
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,0.0639,-0.0136,2.8891,3.2510,0.0500,2.8891,3.1872,0.0636
1,Line,0.0206,,,,,,,,,,,,,,,,4,-0.0175,-0.0011,0.0108,2.8716,3.3152,0.0608,2.8891,3.3163,0.0500
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0060,0.0576,2.8637,3.0069,0.3606,2.8637,3.0129,0.3031
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0566,0.0120,2.8637,3.1981,0.0974,2.8637,3.2547,0.0853
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0525,0.0000,2.8637,3.2574,0.1110,2.8637,3.3099,0.1110
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0162,0.0499,2.8637,3.0382,0.3085,2.8637,3.0544,0.2585
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0387,0.0430,2.8637,3.0597,0.1979,2.8637,3.0985,0.1549
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0351,-0.0390,2.8637,3.4867,0.5082,2.8637,3.4516,0.5472
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0262,0.0454,2.8637,3.0806,0.5082,2.8637,3.0544,0.4627
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0162,-0.0499,2.8637,3.5130,0.2585,2.8637,3.5292,0.3085
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0579,0.0000,2.8637,3.2547,0.0853,2.8637,3.3126,0.0853
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0262,0.0454,2.8637,3.0544,0.2585,2.8637,3.0806,0.2131
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0351,0.0390,2.8637,3.0806,0.2131,2.8637,3.1157,0.1741
1,Line,0.0259,,,,,,,,,,,,,,,,71,-0.0079,-0.0225,0.0100,2.8637,3.5366,0.2480,2.8716,3.5591,0.2380
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0179,0.0550,2.8637,3.0129,0.3031,2.8637,3.0308,0.2480
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0289,-0.0501,2.8637,3.5076,0.1979,2.8637,3.5366,0.2480
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.3163,0.6713,2.8891,3.3163,0.6713
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.2510,0.0500,2.8891,3.2510,0.0500
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.1872,0.0636,2.8891,3.1872,0.0636
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.3163,0.0500,2.8891,3.3163,0.0500
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.4399,0.0901,2.8891,3.4399,0.0901
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.3802,0.0636,2.8891,3.3802,0.0636
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.1275,0.0901,2.8891,3.1275,0.0901
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,2.9782,0.2957,2.8891,2.9782,0.2957
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,2.9713,0.3606,2.8891,2.9713,0.3606
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,2.9983,0.2336,2.8891,2.9983,0.2336
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.0747,0.1285,2.8891,3.0747,0.1285
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.0310,0.1770,2.8891,3.0310,0.1770
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.4927,0.1285,2.8891,3.4927,0.1285
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.4927,0.5928,2.8891,3.4927,0.5928
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5364,0.5442,2.8891,3.5364,0.5442
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.4399,0.6311,2.8891,3.4399,0.6311
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.2510,0.6713,2.8891,3.2510,0.6713
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.3802,0.6577,2.8891,3.3802,0.6577
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5690,0.4877,2.8891,3.5690,0.4877
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5690,0.2336,2.8891,3.5690,0.2336
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5364,0.1770,2.8891,3.5364,0.1770
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5892,0.2957,2.8891,3.5892,0.2957
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5892,0.4256,2.8891,3.5892,0.4256
1,Line,0.2504,,,,,,,,,,,,,,,,0,0.2504,0.0000,0.0000,3.1395,3.5960,0.3606,2.8891,3.5960,0.3606
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0289,0.0501,2.8637,3.0308,0.2480,2.8637,3.0597,0.1979
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,-0.0576,-0.0256,2.8716,3.3768,0.0739,2.8716,3.4344,0.0996
1,Line,0.0259,,,,,,,,,,,,,,,,112,-0.0079,0.0199,0.0145,2.8637,3.0597,0.1979,2.8716,3.0398,0.1834
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,0.0179,-0.0550,2.8637,3.5544,0.4182,2.8637,3.5366,0.4732
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,0.0289,0.0501,2.8637,3.0597,0.5233,2.8637,3.0308,0.4732
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,-0.0202,0.0621,2.8891,2.9782,0.2957,2.8891,2.9983,0.2336
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,-0.0616,0.0131,2.8716,3.1905,0.0739,2.8716,3.2522,0.0608
1,Line,0.0259,,,,,,,,,,,,,,,,136,-0.0079,0.0076,0.0234,2.8637,3.1981,0.0974,2.8716,3.1905,0.0739
1,Line,0.0259,,,,,,,,,,,,,,,,162,-0.0079,0.0026,0.0245,2.8637,3.2547,0.0853,2.8716,3.2522,0.0608
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,-0.0195,0.0599,2.8716,2.9888,0.2980,2.8716,3.0083,0.2380
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,-0.0202,0.0621,2.8891,3.5690,0.4877,2.8891,3.5892,0.4256
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,0.0437,0.0485,2.8891,3.5364,0.1770,2.8891,3.4927,0.1285
1,Line,0.0259,,,,,,,,,,,,,,,,109,-0.0079,0.0225,-0.0100,2.8637,3.0308,0.4732,2.8716,3.0083,0.4833
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,0.0179,0.0550,2.8637,3.0308,0.4732,2.8637,3.0129,0.4182
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,0.0195,0.0599,2.8716,3.0083,0.4833,2.8716,2.9888,0.4233
1,Line,0.0259,,,,,,,,,,,,,,,,116,0.0079,-0.0165,0.0183,2.8716,3.0820,0.5847,2.8637,3.0985,0.5663
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,0.0387,0.0430,2.8637,3.0985,0.5663,2.8637,3.0597,0.5233
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,0.0068,0.0649,2.8891,2.9782,0.4256,2.8891,2.9713,0.3606
1,Line,0.0206,,,,,,,,,,,,,,,,17,-0.0175,-0.0054,0.0094,2.8716,3.4344,0.0996,2.8891,3.4399,0.0901
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,-0.0202,-0.0621,2.8891,2.9782,0.4256,2.8891,2.9983,0.4877
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,0.0066,-0.0627,2.8716,3.5851,0.3606,2.8716,3.5786,0.4233
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,0.0437,-0.0485,2.8891,3.0747,0.1285,2.8891,3.0310,0.1770
1,Line,0.0259,,,,,,,,,,,,,,,,72,-0.0079,-0.0241,-0.0051,2.8637,3.5544,0.4182,2.8716,3.5786,0.4233
1,Line,0.0206,,,,,,,,,,,,,,,,11,0.0175,0.0034,0.0104,2.8891,3.3802,0.6577,2.8716,3.3768,0.6473
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0055,-0.0522,2.8637,3.5292,0.3085,2.8637,3.5347,0.3606
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0479,0.0213,2.8637,3.1582,0.1433,2.8637,3.2061,0.1219
1,Line,0.0259,,,,,,,,,,,,,,,,44,-0.0079,-0.0076,0.0234,2.8637,3.3692,0.0974,2.8716,3.3768,0.0739
1,Line,0.0653,,,,,,,,,,,,,,,,90,0.0000,-0.0597,0.0266,2.8891,3.3802,0.6577,2.8891,3.4399,0.6311
1,Line,0.0259,,,,,,,,,,,,,,,,18,-0.0079,-0.0026,0.0245,2.8637,3.3126,0.0853,2.8716,3.3152,0.0608
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0262,-0.0454,2.8637,3.5130,0.4627,2.8637,3.4867,0.5082
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0055,0.0522,2.8637,3.0327,0.3606,2.8637,3.0382,0.3085
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0513,0.0109,2.8637,3.2574,0.6103,2.8637,3.2061,0.5993
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0351,0.0390,2.8637,3.1157,0.5472,2.8637,3.0806,0.5082
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0055,0.0522,2.8637,3.0382,0.4128,2.8637,3.0327,0.3606
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0513,0.0109,2.8637,3.2061,0.1219,2.8637,3.2574,0.1110
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0566,-0.0120,2.8637,3.3126,0.0853,2.8637,3.3692,0.0974
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0468,0.0340,2.8637,3.0985,0.1549,2.8637,3.1453,0.1209
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,-0.0630,0.0000,2.8716,3.2522,0.0608,2.8716,3.3152,0.0608
1,Line,0.0630,,,,,,,,,,,,,,,,90,0.0000,-0.0616,-0.0131,2.8716,3.3152,0.0608,2.8716,3.3768,0.0739
1,Line,0.0206,,,,,,,,,,,,,,,,11,-0.0175,-0.0034,0.0104,2.8716,3.3768,0.0739,2.8891,3.3802,0.0636
1,Line,0.0259,,,,,,,,,,,,,,,,57,-0.0079,-0.0123,0.0213,2.8637,3.4221,0.1209,2.8716,3.4344,0.0996
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0479,-0.0213,2.8637,3.3612,0.1219,2.8637,3.4092,0.1433
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0468,-0.0340,2.8637,3.4221,0.1209,2.8637,3.4689,0.1549
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,-0.0529,-0.0235,2.8637,3.3692,0.0974,2.8637,3.4221,0.1209
1,Line,0.0579,,,,,,,,,,,,,,,,90,0.0000,0.0566,-0.0120,2.8637,3.3692,0.6239,2.8637,3.3126,0.6359
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,-0.0425,0.0308,2.8637,3.1157,0.1741,2.8637,3.1582,0.1433
1,Line,0.0525,,,,,,,,,,,,,,,,90,0.0000,0.0162,0.0499,2.8637,3.0544,0.4627,2.8637,3.0382,0.4128
1,Line,0.0267,,,,,,,,,,,,,,,,180,-0.0254,0.0000,0.0000,2.9016,3.3580,0.3417,2.9283,3.3580,0.3417
1,Line,0.0267,,,,,,,,,,,,,,,,180,-0.0254,0.0000,0.0000,2.9016,3.3504,0.3233,2.9283,3.3504,0.3233
1,Line,0.0267,,,,,,,,,,,,,,,,180,-0.0254,0.0000,0.0000,2.9016,3.3606,0.3614,2.9283,3.3606,0.3614
1,Line,0.0267,,,,,,,,,,,,,,,,180,-0.0254,0.0000,0.0000,2.9016,3.3504,0.3996,2.9283,3.3504,0.3996
1,Line,0.0267,,,,,,,,,,,,,,,,180,-0.0254,0.0000,0.0000,2.9016,3.3383,0.4154,2.9283,3.3383,0.4154
