Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.9458,5.7013,1.3370,0.0037,0.9458,5.7013,1.3370
1,Line,,,,,,,0,0.0136,0.0000,0.0000,0.9594,5.7013,1.3370,0.0671,0.9458,5.7013,1.3370
1,Line,,,,,,,15,-0.0136,0.0000,0.0000,0.9458,5.7013,1.3370,0.0672,0.9594,5.7013,1.3370
1,Line,,,,,,,32,-0.0372,0.0000,0.0000,0.7536,5.7013,1.3370,0.1007,0.7908,5.7013,1.3370
1,Line,,,,,,,19,0.0682,0.0000,0.0000,0.7908,5.7013,1.3370,0.1002,0.7225,5.7013,1.3370
1,tailligh01,0.7901,5.7013,1.3370,1.0000,1.0000,-1.0000,,,,,,,,,,,
1,Line,,,,,,,10,-0.0360,0.0000,0.0000,0.9098,5.7013,1.3370,0.0657,0.9458,5.7013,1.3370
1,Line,,,,,,,169,-0.0533,0.0000,0.0000,0.8565,5.7013,1.3370,0.0651,0.9098,5.7013,1.3370
1,Line,,,,,,,0,0.0533,0.0000,0.0000,0.9098,5.7013,1.3370,0.0643,0.8565,5.7013,1.3370
1,Line,,,,,,,174,-0.0360,0.0000,0.0000,0.9098,5.7013,1.3370,0.0655,0.9458,5.7013,1.3370
1,Line,,,,,,,0,0.0360,0.0000,0.0000,0.9458,5.7013,1.3370,0.0654,0.9098,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.9098,5.7013,1.3370,0.0099,0.9098,5.7013,1.3370
1,Line,,,,,,,32,0.0372,0.0000,0.0000,0.7908,5.7013,1.3370,0.0985,0.7536,5.7013,1.3370
1,Line,,,,,,,165,0.0893,0.0000,0.0000,0.8801,5.7013,1.3370,0.1000,0.7908,5.7013,1.3370
1,Line,,,,,,,19,0.0682,0.0000,0.0000,0.7908,5.7013,1.3370,0.0993,0.7225,5.7013,1.3370
1,Line,,,,,,,165,0.0893,0.0000,0.0000,0.8801,5.7013,1.3370,0.0996,0.7908,5.7013,1.3370
1,Line,,,,,,,93,-0.0012,0.0000,0.0000,0.7908,5.7013,1.3370,0.0984,0.7920,5.7013,1.3370
1,Line,,,,,,,166,0.0980,0.0000,0.0000,0.8887,5.7013,1.3370,0.1008,0.7908,5.7013,1.3370
1,Line,,,,,,,14,0.0967,0.0000,0.0000,0.7908,5.7013,1.3370,0.0996,0.6940,5.7013,1.3370
1,Line,,,,,,,93,0.0012,0.0000,0.0000,0.7920,5.7013,1.3370,0.1008,0.7908,5.7013,1.3370
1,Line,,,,,,,15,0.0881,0.0000,0.0000,0.7908,5.7013,1.3370,0.0989,0.7027,5.7013,1.3370
1,Line,,,,,,,161,0.0695,0.0000,0.0000,0.8602,5.7013,1.3370,0.1002,0.7908,5.7013,1.3370
1,Line,,,,,,,15,0.0881,0.0000,0.0000,0.7908,5.7013,1.3370,0.0985,0.7027,5.7013,1.3370
1,Line,,,,,,,148,0.0384,0.0000,0.0000,0.8292,5.7013,1.3370,0.1011,0.7908,5.7013,1.3370
1,Line,,,,,,,0,0.0360,0.0000,0.0000,0.6705,5.7013,1.3370,0.0654,0.6345,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.6345,5.7013,1.3370,0.0695,0.6345,5.7013,1.3370
1,Line,,,,,,,12,-0.0360,0.0000,0.0000,0.6345,5.7013,1.3370,0.0658,0.6705,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.6705,5.7013,1.3370,0.0620,0.6705,5.7013,1.3370
1,Line,,,,,,,13,-0.0533,0.0000,0.0000,0.6705,5.7013,1.3370,0.0655,0.7238,5.7013,1.3370
1,Line,,,,,,,120,-0.0360,0.0000,0.0000,0.6345,5.7013,1.3370,0.0901,0.6705,5.7013,1.3370
1,Line,,,,,,,20,-0.0136,0.0000,0.0000,0.6208,5.7013,1.3370,0.0673,0.6345,5.7013,1.3370
1,Line,,,,,,,80,0.0136,0.0000,0.0000,0.6345,5.7013,1.3370,0.1002,0.6208,5.7013,1.3370
1,Line,,,,,,,180,-0.0136,0.0000,0.0000,0.6208,5.7013,1.3370,0.0671,0.6345,5.7013,1.3370
1,Line,,,,,,,101,-0.0136,0.0000,0.0000,0.6208,5.7013,1.3370,0.0966,0.6345,5.7013,1.3370
1,Line,,,,,,,180,0.0136,0.0000,0.0000,0.6345,5.7013,1.3370,0.0671,0.6208,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.6208,5.7013,1.3370,0.0744,0.6208,5.7013,1.3370
1,Line,,,,,,,0,0.0670,0.0000,0.0000,0.8565,5.7013,1.3370,0.0683,0.7895,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.7895,5.7013,1.3370,0.0347,0.7895,5.7013,1.3370
1,Line,,,,,,,12,-0.0670,0.0000,0.0000,0.7895,5.7013,1.3370,0.0697,0.8565,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.8565,5.7013,1.3370,0.0211,0.8565,5.7013,1.3370
1,Line,,,,,,,12,-0.0533,0.0000,0.0000,0.8565,5.7013,1.3370,0.0653,0.9098,5.7013,1.3370
1,Line,,,,,,,163,-0.0670,0.0000,0.0000,0.7895,5.7013,1.3370,0.0715,0.8565,5.7013,1.3370
1,Line,,,,,,,13,-0.0657,0.0000,0.0000,0.7238,5.7013,1.3370,0.0688,0.7895,5.7013,1.3370
1,Line,,,,,,,137,-0.0533,0.0000,0.0000,0.6705,5.7013,1.3370,0.0812,0.7238,5.7013,1.3370
1,Line,,,,,,,180,0.0533,0.0000,0.0000,0.7238,5.7013,1.3370,0.0643,0.6705,5.7013,1.3370
1,Line,,,,,,,152,-0.0657,0.0000,0.0000,0.7238,5.7013,1.3370,0.0756,0.7895,5.7013,1.3370
1,Line,,,,,,,0,0.0657,0.0000,0.0000,0.7895,5.7013,1.3370,0.0671,0.7238,5.7013,1.3370
1,Line,,,,,,,90,0.0000,0.0000,0.0000,0.7238,5.7013,1.3370,0.0496,0.7238,5.7013,1.3370
1,Line,,,,,,,161,0.0682,0.0000,0.0000,0.8590,5.7013,1.3370,0.0993,0.7908,5.7013,1.3370
1,Line,,,,,,,89,-0.0012,0.0000,0.0000,0.8590,5.7013,1.3370,0.1141,0.8602,5.7013,1.3370
1,Line,,,,,,,105,0.0298,0.0000,0.0000,0.8590,5.7013,1.3370,0.1205,0.8292,5.7013,1.3370
1,Line,,,,,,,180,-0.0310,0.0000,0.0000,0.8292,5.7013,1.3370,0.0382,0.8602,5.7013,1.3370
1,Line,,,,,,,180,0.0273,0.0000,0.0000,0.8863,5.7013,1.3370,0.0723,0.8590,5.7013,1.3370
1,Line,,,,,,,80,-0.0211,0.0000,0.0000,0.8590,5.7013,1.3370,0.1192,0.8801,5.7013,1.3370
1,Line,,,,,,,180,-0.0198,0.0000,0.0000,0.8602,5.7013,1.3370,0.0358,0.8801,5.7013,1.3370
