Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0002,,,,,,,,,,,,,,170,0.0000,0.0000,-0.0012,-0.3275,1.1550,0.1072,-0.3275,1.1550,0.1073
1,Line,0.0211,,,,,,,,,,,,,,145,0.0000,0.0000,-0.2295,-0.3275,1.1550,0.0880,-0.3275,1.1550,0.1072
1,Line,0.0002,,,,,,,,,,,,,,170,0.0000,0.0000,-0.0012,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0880
1,Line,0.0002,,,,,,,,,,,,,,10,0.0000,0.0000,-0.0012,-0.3275,1.1550,0.1073,-0.3275,1.1550,0.1074
1,Line,0.0002,,,,,,,,,,,,,,25,0.0000,0.0000,0.0008,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1475
1,Line,0.0332,,,,,,,,,,,,,,55,0.0000,0.0000,0.2529,-0.3275,1.1550,0.1686,-0.3275,1.1550,0.1475
1,Line,0.0122,,,,,,,,,,,,,,19,0.0000,0.0000,-0.1136,-0.3275,1.1550,0.1074,-0.3275,1.1550,0.1168
1,Line,0.0332,,,,,,,,,,,,,,152,0.0000,0.0000,0.3454,-0.3275,1.1550,0.1168,-0.3275,1.1550,0.0880
1,Line,0.0002,,,,,,,,,,,,,,170,0.0000,0.0000,0.0012,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1168
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.0002,,,,,,,,,,,,,,170,0.0000,0.0000,0.0012,-0.3275,1.1550,0.0880,-0.3275,1.1550,0.0879
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.2697,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1475
1,Line,0.0332,,,,,,,,,,,,,,28,0.0000,0.0000,0.3454,-0.3275,1.1550,0.1168,-0.3275,1.1550,0.0880
1,Line,0.0211,,,,,,,,,,,,,,69,0.0000,0.0000,-0.0615,-0.3275,1.1550,0.2506,-0.3275,1.1550,0.2557
1,Line,0.0002,,,,,,,,,,,,,,33,0.0000,0.0000,-0.0003,-0.3275,1.1550,0.2506,-0.3275,1.1550,0.2506
1,Line,0.0002,,,,,,,,,,,,,,10,0.0000,0.0000,0.0012,-0.3275,1.1550,0.0880,-0.3275,1.1550,0.0879
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.2697,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.0879,-0.3275,1.1550,0.0879
1,Line,0.0002,,,,,,,,,,,,,,25,0.0000,0.0000,-0.0008,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1475
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1475
1,Line,0.2697,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1475
1,Line,0.0211,,,,,,,,,,,,,,63,0.0000,0.0000,-0.1680,-0.3275,1.1550,0.1475,-0.3275,1.1550,0.1615
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.2506,-0.3275,1.1550,0.2506
1,Line,0.0002,,,,,,,,,,,,,,155,0.0000,0.0000,-0.0008,-0.3275,1.1550,0.1616,-0.3275,1.1550,0.1617
1,Line,0.0002,,,,,,,,,,,,,,25,0.0000,0.0000,-0.0008,-0.3275,1.1550,0.1615,-0.3275,1.1550,0.1616
1,Line,0.2697,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1109,-0.3275,1.1550,0.1109
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1109,-0.3275,1.1550,0.1109
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,0.0010,-0.3275,1.1550,0.1110,-0.3275,1.1550,0.1109
1,Line,0.0001,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1109,-0.3275,1.1550,0.1109
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1281,-0.3275,1.1550,0.1282
1,Line,0.0211,,,,,,,,,,,,,,54,0.0000,0.0000,-0.2058,-0.3275,1.1550,0.1110,-0.3275,1.1550,0.1281
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1109,-0.3275,1.1550,0.1110
1,Line,0.0002,,,,,,,,,,,,,,180,0.0000,0.0000,-0.0012,-0.3275,1.1550,0.1100,-0.3275,1.1550,0.1101
1,Line,0.0122,,,,,,,,,,,,,,180,0.0000,0.0000,-0.1176,-0.3275,1.1550,0.1002,-0.3275,1.1550,0.1100
1,Line,0.0002,,,,,,,,,,,,,,162,0.0000,0.0000,0.0010,-0.3275,1.1550,0.1110,-0.3275,1.1550,0.1109
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.0002,,,,,,,,,,,,,,10,0.0000,0.0000,0.0012,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1168
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.2547,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.0002,,,,,,,,,,,,,,162,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1282,-0.3275,1.1550,0.1283
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1282,-0.3275,1.1550,0.1283
1,Line,0.0002,,,,,,,,,,,,,,162,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1281,-0.3275,1.1550,0.1282
1,Line,0.0211,,,,,,,,,,,,,,126,0.0000,0.0000,-0.2058,-0.3275,1.1550,0.1110,-0.3275,1.1550,0.1281
1,Line,0.0122,,,,,,,,,,,,,,34,0.0000,0.0000,-0.1018,-0.3275,1.1550,0.1283,-0.3275,1.1550,0.1368
1,Line,0.2547,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1169,-0.3275,1.1550,0.1169
1,Line,0.0002,,,,,,,,,,,,,,18,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1368,-0.3275,1.1550,0.1369
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1687,-0.3275,1.1550,0.1687
1,Line,0.0002,,,,,,,,,,,,,,162,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1368,-0.3275,1.1550,0.1369
1,Line,0.0122,,,,,,,,,,,,,,146,0.0000,0.0000,-0.1018,-0.3275,1.1550,0.1283,-0.3275,1.1550,0.1368
1,Line,0.2547,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1687,-0.3275,1.1550,0.1687
1,Line,0.0002,,,,,,,,,,,,,,162,0.0000,0.0000,-0.0010,-0.3275,1.1550,0.1109,-0.3275,1.1550,0.1110
1,Line,0.0002,,,,,,,,,,,,,,25,0.0000,0.0000,0.0008,-0.3275,1.1550,0.1687,-0.3275,1.1550,0.1686
1,Line,0.0001,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-0.3275,1.1550,0.1687,-0.3275,1.1550,0.1687
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.1235,-0.5977,1.0750,0.6017,-0.5977,1.0750,0.6119
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.3620,-0.5977,1.0750,0.5715,-0.5977,1.0750,0.6017
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.5758,-0.5977,1.0750,0.5235,-0.5977,1.0750,0.5715
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,0.1235,-0.5977,1.0750,0.6119,-0.5977,1.0750,0.6017
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,0.7504,-0.5977,1.0750,0.5235,-0.5977,1.0750,0.4610
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,0.5758,-0.5977,1.0750,0.5715,-0.5977,1.0750,0.5235
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,0.3620,-0.5977,1.0750,0.6017,-0.5977,1.0750,0.5715
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.8739,-0.5977,1.0750,0.1590,-0.5977,1.0750,0.2318
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.7504,-0.5977,1.0750,0.0965,-0.5977,1.0750,0.1590
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.5758,-0.5977,1.0750,0.0485,-0.5977,1.0750,0.0965
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.9378,-0.5977,1.0750,0.2318,-0.5977,1.0750,0.3100
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.7504,-0.5977,1.0750,0.4610,-0.5977,1.0750,0.5235
1,Line,0.0788,,,,,,,,,,,,,,90,0.0000,0.0000,-0.8739,-0.5977,1.0750,0.3881,-0.5977,1.0750,0.4610
