Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,314.1247,,,,,,,,,,,,29,215.7244,120.3846,194.0228,-2591.7792,7499.5948,760.5755,-2807.5036,7379.2102,566.5527
1,Line,,,,,194.7772,,,,,,,,,,,,27,172.7093,88.8545,14.6468,-2634.7943,7468.0647,581.1995,-2807.5036,7379.2102,566.5527
1,Line,,,,,594.1681,,,,,,,,,,,,84,62.3777,585.2018,-81.7528,-2177.1894,5447.5949,1687.4708,-2239.5671,4862.3930,1769.2235
1,Line,,,,,512.8001,,,,,,,,,,,,90,0.4039,-484.3920,168.3096,-2270.1811,5379.5494,1669.2294,-2270.5850,5863.9414,1500.9198
1,Line,,,,,242.1451,,,,,,,,,,,,42,100.3216,91.4316,200.5245,-2902.4947,7290.4991,748.4283,-3002.8163,7199.0675,547.9037
1,Line,,,,,425.4396,,,,,,,,,,,,41,299.9571,261.2686,150.8753,-2042.9900,3212.2399,1777.6986,-2342.9471,2950.9714,1626.8232
1,Line,,,,,491.3013,,,,,,,,,,,,68,184.2011,451.6800,58.5846,-2425.3018,5488.3249,1496.8693,-2609.5029,5036.6449,1438.2847
1,Line,,,,,277.2118,,,,,,,,,,,,159,-176.5041,67.6813,-202.7607,-2609.5029,5036.6449,1438.2847,-2432.9988,4968.9636,1641.0454
1,Line,,,,,426.7532,,,,,,,,,,,,27,378.6200,192.2523,42.4768,-2040.0918,1800.2144,1308.7891,-2418.7118,1607.9621,1266.3122
1,Line,,,,,105.8000,,,,,,,,,,,,58,-41.2458,-65.1258,-72.4641,-2544.6205,2621.1995,1424.5047,-2503.3746,2686.3254,1496.9688
1,Line,,,,,47.3837,,,,,,,,,,,,90,0.0000,0.4023,-47.3820,-1683.4503,7591.9960,913.8769,-1683.4503,7591.5937,961.2589
1,Line,,,,,231.5745,,,,,,,,,,,,90,0.0000,-230.1782,-25.3922,-2040.0918,1570.0362,1283.3969,-2040.0918,1800.2144,1308.7891
1,Line,,,,,145.2000,,,,,,,,,,,,25,-75.4497,-35.3418,-118.9174,-2620.0701,2585.8578,1305.5873,-2544.6205,2621.1995,1424.5047
1,Line,,,,,527.6237,,,,,,,,,,,,93,30.6140,-517.1564,99.9941,-2239.5671,4862.3930,1769.2235,-2270.1811,5379.5494,1669.2294
1,Line,,,,,245.1329,,,,,,,,,,,,97,29.3355,-243.3316,4.3918,-2635.8829,2583.3484,1281.4618,-2665.2183,2826.6800,1277.0700
1,Line,,,,,28.9548,,,,,,,,,,,,9,-15.8127,-2.5094,-24.1255,-2635.8829,2583.3484,1281.4618,-2620.0701,2585.8578,1305.5873
1,Line,,,,,526.3497,,,,,,,,,,,,8,483.1991,67.3090,197.5654,-2108.5800,7566.9038,958.1409,-2591.7792,7499.5948,760.5755
1,Line,,,,,463.7601,,,,,,,,,,,,8,-459.3018,-63.6451,-8.0375,-2567.8819,7503.2587,950.1034,-2108.5800,7566.9038,958.1409
1,Line,,,,,191.0637,,,,,,,,,,,,9,23.8973,3.6640,189.5279,-2567.8819,7503.2587,950.1034,-2591.7792,7499.5948,760.5755
1,Line,,,,,243.8968,,,,,,,,,,,,28,215.7244,112.8454,14.6468,-2591.7792,7499.5948,760.5755,-2807.5036,7386.7494,745.9287
1,Line,,,,,174.7820,,,,,,,,,,,,172,167.9201,-22.8253,42.7853,-2399.9617,7382.1712,1352.0413,-2567.8819,7404.9964,1309.2561
1,Line,,,,,183.6706,,,,,,,,,,,,7,182.0484,21.5887,11.2785,-2385.8335,7426.5851,1320.5345,-2567.8819,7404.9964,1309.2561
1,Line,,,,,254.0913,,,,,,,,,,,,31,172.7093,102.9017,155.3870,-2634.7943,7468.0647,581.1995,-2807.5036,7365.1631,425.8125
1,Line,,,,,87.7312,,,,,,,,,,,,97,11.1521,-85.4459,-16.4744,-2623.6422,7382.6188,564.7252,-2634.7943,7468.0647,581.1995
