Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0127,,,,,,,,,,,,,,,,180,-0.0127,0.0000,0.0000,0.4863,1.0130,0.4299,0.4990,1.0130,0.4299
1,Line,0.0155,,,,,,,,,,,,,,,,180,-0.0155,0.0000,0.0000,0.3703,1.0130,0.4299,0.3858,1.0130,0.4299
1,Line,0.0132,,,,,,,,,,,,,,,,180,0.0132,0.0000,0.0000,0.4863,0.9958,0.4327,0.4731,0.9958,0.4327
1,Line,0.0141,,,,,,,,,,,,,,,,0,0.0141,0.0000,0.0000,0.4594,0.9958,0.4327,0.4454,0.9958,0.4327
1,Line,0.0137,,,,,,,,,,,,,,,,0,0.0137,0.0000,0.0000,0.4731,0.9958,0.4327,0.4594,0.9958,0.4327
1,Line,0.0159,,,,,,,,,,,,,,,,0,-0.0159,0.0000,0.0000,0.3230,1.0130,0.4299,0.3388,1.0130,0.4299
1,Line,0.0157,,,,,,,,,,,,,,,,180,-0.0157,0.0000,0.0000,0.3546,1.0130,0.4299,0.3703,1.0130,0.4299
1,Line,0.0132,,,,,,,,,,,,,,,,180,-0.0132,0.0000,0.0000,0.4731,1.0130,0.4299,0.4863,1.0130,0.4299
1,Line,0.0153,,,,,,,,,,,,,,,,180,-0.0153,0.0000,0.0000,0.3858,1.0130,0.4299,0.4011,1.0130,0.4299
1,Line,0.0151,,,,,,,,,,,,,,,,0,-0.0151,0.0000,0.0000,0.4011,1.0130,0.4299,0.4162,1.0130,0.4299
1,Line,0.0144,,,,,,,,,,,,,,,,0,0.0144,0.0000,0.0000,0.4454,0.9958,0.4327,0.4309,0.9958,0.4327
1,Line,0.0153,,,,,,,,,,,,,,,,180,0.0153,0.0000,0.0000,0.4011,0.9958,0.4327,0.3858,0.9958,0.4327
