Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.2097,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,brake_system,-1.0087,14.4005,0.7806,3.5771,3.5771,3.5771,,,,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,0.0282,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Circle,,,,,,,2.7174,-1.2563,3.7441,1.7106,,0.9300,,,5.8436,1.8601,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,0.8123,-1.2563,3.7441,0.8123
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.9514,-1.2563,3.7441,1.9514
1,Line,,,,,,,,,,,0.1128,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0404,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0564,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.1305,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.1595,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0340,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,1.0530,-1.2563,3.7441,1.0530
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.6090,-1.2563,3.7441,2.6090
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.2593,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.1757,-1.2563,3.7441,2.1757
