Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0979,,,,,,,,,,,,,,,,249,-0.0137,-0.0350,0.0904,2.4249,1.8638,0.6397,2.4386,1.8988,0.5493
1,Line,0.3258,,,,,,,,,,,,,,,,0,0.3258,0.0000,-0.0018,2.7350,1.6782,0.8702,2.4092,1.6782,0.8719
1,Line,0.2068,,,,,,,,,,,,,,,,269,-0.0020,-0.1505,0.1418,2.4092,1.6782,0.8719,2.4112,1.8288,0.7302
1,Line,0.0317,,,,,,,,,,,,,,,,201,-0.0114,-0.0044,0.0292,2.4707,5.2268,0.4491,2.4821,5.2312,0.4198
1,Line,0.1792,,,,,,,,,,,,,,,,266,-0.0088,-0.1404,0.1109,2.4039,4.9863,0.8527,2.4128,5.1267,0.7418
1,Line,0.3229,,,,,,,,,,,,,,,,0,0.3229,0.0000,-0.0018,2.7341,1.8287,0.7284,2.4112,1.8288,0.7302
1,Line,0.3229,,,,,,,,,,,,,,,,0,0.3229,0.0000,-0.0018,2.7354,1.4883,0.9398,2.4125,1.4883,0.9416
1,Line,0.2207,,,,,,,,,,,,,,,,278,0.0118,-0.0870,-0.2025,2.4102,4.2282,0.5297,2.3984,4.3152,0.7322
1,Line,0.1879,,,,,,,,,,,,,,,,269,-0.0035,-0.1876,-0.0109,2.3924,4.6077,0.9079,2.3959,4.7952,0.9188
1,Line,0.0842,,,,,,,,,,,,,,,,183,-0.0779,-0.0047,0.0316,2.4821,5.2312,0.4198,2.5600,5.2359,0.3883
1,Line,0.2023,,,,,,,,,,,,,,,,271,0.0033,-0.1899,0.0697,2.4125,1.4883,0.9416,2.4092,1.6782,0.8719
1,Line,0.3361,,,,,,,,,,,,,,,,0,0.3361,0.0000,-0.0018,2.7345,4.3151,0.7303,2.3984,4.3152,0.7322
1,Line,0.1770,,,,,,,,,,,,,,,,273,0.0064,-0.1301,-0.1198,2.3984,4.3152,0.7322,2.3920,4.4452,0.8520
1,Line,0.3315,,,,,,,,,,,,,,,,180,-0.3315,0.0000,0.0018,2.4039,4.9863,0.8527,2.7354,4.9863,0.8509
1,Line,0.3433,,,,,,,,,,,,,,,,0,0.3433,0.0000,-0.0019,2.7353,4.4452,0.8501,2.3920,4.4452,0.8520
1,Line,0.1718,,,,,,,,,,,,,,,,270,-0.0004,-0.1624,-0.0560,2.3920,4.4452,0.8520,2.3924,4.6077,0.9079
1,Line,0.0706,,,,,,,,,,,,,,,,267,-0.0041,-0.0685,0.0166,2.3959,4.7952,0.9188,2.4000,4.8637,0.9023
1,Line,0.3357,,,,,,,,,,,,,,,,180,-0.3357,0.0000,0.0018,2.4000,4.8637,0.9023,2.7357,4.8637,0.9004
1,Line,0.1323,,,,,,,,,,,,,,,,268,-0.0039,-0.1226,0.0495,2.4000,4.8637,0.9023,2.4039,4.9863,0.8527
1,Line,0.3433,,,,,,,,,,,,,,,,180,-0.3433,0.0000,0.0019,2.3924,4.6077,0.9079,2.7357,4.6076,0.9061
1,Line,0.0546,,,,,,,,,,,,,,,,213,-0.0121,-0.0079,0.0526,2.4414,5.2102,0.5598,2.4535,5.2181,0.5072
1,Line,0.0279,,,,,,,,,,,,,,,,334,0.0082,-0.0040,0.0264,2.4535,5.2181,0.5072,2.4453,5.2221,0.4808
1,Line,0.0409,,,,,,,,,,,,,,,,191,-0.0254,-0.0047,0.0317,2.4453,5.2221,0.4808,2.4707,5.2268,0.4491
1,Line,0.0501,,,,,,,,,,,,,,,,271,0.0007,-0.0501,0.0001,2.3996,1.9220,0.2848,2.3989,1.9721,0.2847
1,Line,2.1053,,,,,,,,,,,,,,,,270,-0.0003,-2.1053,0.0041,2.3989,1.9721,0.2847,2.3992,4.0774,0.2806
1,Line,0.1252,,,,,,,,,,,,,,,,267,-0.0060,-0.1251,0.0003,2.3992,4.0774,0.2806,2.4052,4.2025,0.2804
1,Line,0.1726,,,,,,,,,,,,,,,,0,0.1726,0.0000,-0.0009,2.7326,5.2358,0.3873,2.5600,5.2359,0.3883
1,Line,0.1581,,,,,,,,,,,,,,,,183,-0.1579,-0.0070,0.0009,3.2243,5.4672,0.3842,3.3822,5.4742,0.3833
1,Line,0.1626,,,,,,,,,,,,,,,,181,-0.1625,-0.0035,0.0009,3.3822,5.4742,0.3833,3.5447,5.4777,0.3824
1,Line,2.1053,,,,,,,,,,,,,,,,90,0.0003,2.1053,-0.0041,4.6885,4.0771,0.2681,4.6882,1.9718,0.2722
1,Line,0.0845,,,,,,,,,,,,,,,,244,-0.0367,-0.0761,0.0003,2.5687,5.3129,0.3881,2.6053,5.3890,0.3877
1,Line,0.0776,,,,,,,,,,,,,,,,264,-0.0087,-0.0771,0.0002,2.5600,5.2359,0.3883,2.5687,5.3129,0.3881
1,Line,0.1541,,,,,,,,,,,,,,,,184,-0.1537,-0.0099,0.0009,3.0706,5.4573,0.3850,3.2243,5.4672,0.3842
1,Line,0.0501,,,,,,,,,,,,,,,,89,0.0007,0.0501,-0.0001,4.6882,1.9718,0.2722,4.6874,1.9217,0.2723
1,Line,0.1581,,,,,,,,,,,,,,,,177,-0.1579,0.0070,0.0009,3.7072,5.4741,0.3815,3.8651,5.4671,0.3807
1,Line,0.1541,,,,,,,,,,,,,,,,176,-0.1537,0.0099,0.0008,3.8651,5.4671,0.3807,4.0188,5.4572,0.3798
1,Line,0.0776,,,,,,,,,,,,,,,,96,-0.0087,0.0771,-0.0001,4.5207,5.3127,0.3774,4.5293,5.2356,0.3775
1,Line,0.1252,,,,,,,,,,,,,,,,93,-0.0060,0.1251,-0.0002,4.6825,4.2022,0.2679,4.6885,4.0771,0.2681
1,Line,1.6241,,,,,,,,,,,,,,,,0,1.6241,-0.0002,-0.0089,4.3551,0.8926,0.2228,2.7310,0.8928,0.2317
1,Line,0.1626,,,,,,,,,,,,,,,,179,-0.1625,0.0035,0.0009,3.5447,5.4777,0.3824,3.7072,5.4741,0.3815
1,Line,0.1586,,,,,,,,,,,,,,,,271,0.0037,-0.1544,-0.0362,2.4275,1.1586,0.9093,2.4238,1.3130,0.9455
1,Line,0.3077,,,,,,,,,,,,,,,,0,0.3077,0.0000,-0.0017,2.7347,1.0482,0.8385,2.4270,1.0482,0.8401
1,Line,0.1302,,,,,,,,,,,,,,,,270,-0.0004,-0.1104,-0.0692,2.4270,1.0482,0.8401,2.4275,1.1586,0.9093
1,Line,0.3116,,,,,,,,,,,,,,,,0,0.3116,0.0000,-0.0017,2.7354,1.3129,0.9438,2.4238,1.3130,0.9455
1,Line,0.1758,,,,,,,,,,,,,,,,274,0.0113,-0.1753,0.0039,2.4238,1.3130,0.9455,2.4125,1.4883,0.9416
1,Line,0.3077,,,,,,,,,,,,,,,,0,0.3077,0.0000,-0.0017,2.7351,1.1585,0.9076,2.4275,1.1586,0.9093
1,Line,0.1558,,,,,,,,,,,,,,,,270,-0.0007,-0.0995,-0.1198,2.4263,0.9487,0.7203,2.4270,1.0482,0.8401
1,Line,0.0937,,,,,,,,,,,,,,,,186,-0.0932,-0.0093,0.0005,2.8093,5.4344,0.3865,2.9025,5.4437,0.3860
1,Line,0.1113,,,,,,,,,,,,,,,,188,-0.1102,-0.0153,0.0006,2.6991,5.4191,0.3871,2.8093,5.4344,0.3865
1,Line,0.0984,,,,,,,,,,,,,,,,198,-0.0937,-0.0301,0.0006,2.6053,5.3890,0.3877,2.6991,5.4191,0.3871
1,Line,0.0704,,,,,,,,,,,,,,,,198,-0.0004,-0.0001,-0.0704,2.4309,0.8929,0.2333,2.4313,0.8930,0.3037
1,Line,0.3001,,,,,,,,,,,,,,,,0,0.3001,0.0000,-0.0016,2.7310,0.8928,0.2317,2.4309,0.8929,0.2333
1,Line,0.0857,,,,,,,,,,,,,,,,333,0.0071,-0.0036,-0.0853,2.4323,0.8919,0.4701,2.4253,0.8955,0.5554
1,Line,0.0794,,,,,,,,,,,,,,,,268,-0.0005,-0.0167,-0.0776,2.7328,4.2115,0.4503,2.7333,4.2282,0.5280
1,Line,0.2203,,,,,,,,,,,,,,,,269,-0.0012,-0.0870,-0.2024,2.7333,4.2282,0.5280,2.7345,4.3151,0.7303
1,Line,0.1768,,,,,,,,,,,,,,,,270,-0.0007,-0.1301,-0.1198,2.7345,4.3151,0.7303,2.7353,4.4452,0.8501
