Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0684,,,,,,,,,,,,,,90,0.0000,0.0272,-0.0628,-18.3424,26.2848,-1.3636,-18.3424,26.2576,-1.3008
1,Line,0.6192,,,,,,,,,,,,,,90,0.0000,0.1914,-0.5889,-17.3844,28.0499,-1.0443,-17.3844,27.8585,-0.4554
1,Line,0.0251,,,,,,,,,,,,,,51,-0.0143,-0.0179,-0.0103,-18.3568,26.2669,-1.3739,-18.3424,26.2848,-1.3636
1,Line,0.0254,,,,,,,,,,,,,,55,-0.0139,-0.0202,-0.0065,-18.3564,26.2375,-1.3073,-18.3424,26.2576,-1.3008
1,Line,0.0846,,,,,,,,,,,,,,180,-0.0846,0.0000,0.0000,-18.0204,26.5854,-0.4228,-17.9358,26.5854,-0.4228
1,Line,0.2527,,,,,,,,,,,,,,90,0.0007,0.1706,-0.1864,-18.3657,25.7566,-2.0980,-18.3663,25.5861,-1.9116
1,Line,0.0570,,,,,,,,,,,,,,87,-0.0026,-0.0461,-0.0334,-18.3663,25.5861,-1.9116,-18.3638,25.6322,-1.8782
1,Line,0.2688,,,,,,,,,,,,,,90,0.0000,0.2647,-0.0467,-17.9358,26.8501,-0.4695,-17.9358,26.5854,-0.4228
1,Line,0.0846,,,,,,,,,,,,,,180,-0.0846,0.0000,0.0000,-18.0204,26.8501,-0.4695,-17.9358,26.8501,-0.4695
1,Line,0.0748,,,,,,,,,,,,,,74,0.0139,0.0473,-0.0562,-18.3424,26.2848,-1.3636,-18.3564,26.2375,-1.3073
1,Line,0.1295,,,,,,,,,,,,,,166,-0.1098,0.0280,-0.0626,-18.3424,26.8958,-1.1613,-18.2326,26.8678,-1.0987
1,Line,0.2554,,,,,,,,,,,,,,90,0.0000,0.2498,-0.0529,-18.3663,26.4418,-2.4068,-18.3663,26.1919,-2.3538
1,Line,0.0334,,,,,,,,,,,,,,90,0.0000,-0.0316,-0.0109,-18.3424,26.8643,-1.1722,-18.3424,26.8958,-1.1613
1,Line,0.1322,,,,,,,,,,,,,,2,-0.1098,-0.0036,-0.0735,-18.3424,26.8643,-1.1722,-18.2326,26.8678,-1.0987
1,Line,0.0570,,,,,,,,,,,,,,82,0.0026,0.0177,0.0542,-18.3638,26.2096,-2.2997,-18.3663,26.1919,-2.3538
1,Line,0.0570,,,,,,,,,,,,,,98,-0.0026,0.0175,-0.0542,-18.3663,26.9421,-2.3542,-18.3638,26.9245,-2.3000
1,Line,0.2526,,,,,,,,,,,,,,90,0.0019,-0.2475,-0.0504,-18.3638,26.9245,-2.3000,-18.3657,27.1720,-2.2496
