Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,3634.4670,,,,,,,,,,131,2975.9402,-1718.1599,-129.8792,45608.2996,-16083.7370,24766.8975,42632.3593,-14365.5771,24896.7768
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.7289,85.3200,11.2625,45658.0284,-15998.4170,24778.1601,45608.2996,-16083.7370,24766.8975
1,Line,,,,,,,3634.5207,,,,,,,,,,131,2975.9842,-1718.1853,-129.8812,45658.0284,-15998.4170,24778.1601,42682.0442,-14280.2317,24908.0412
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.7653,85.5735,8.6251,45707.7937,-15912.8435,24786.7852,45658.0284,-15998.4170,24778.1601
1,Line,,,,,,,3634.6799,,,,,,,,,,131,2976.1146,-1718.2605,-129.8869,45606.2987,-16090.4246,24811.5386,42630.1842,-14372.1640,24941.4255
1,Line,,,,,,,113.2157,,,,,,,,,,40,-47.6598,-78.3245,-58.5338,45558.6389,-16168.7491,24753.0048,45606.2987,-16090.4246,24811.5386
1,Line,,,,,,,3634.4008,,,,,,,,,,131,2975.8860,-1718.1286,-129.8769,45558.6389,-16168.7491,24753.0048,42582.7529,-14450.6205,24882.8817
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.6607,85.0121,13.8927,45608.2996,-16083.7370,24766.8975,45558.6389,-16168.7491,24753.0048
1,Line,,,,,,,3634.6063,,,,,,,,,,131,2976.0543,-1718.2257,-129.8842,45807.3068,-15741.1543,24796.1030,42831.2525,-14022.9286,24925.9872
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.6843,86.0061,0.6867,45856.9910,-15655.1482,24796.7897,45807.3068,-15741.1543,24796.1030
1,Line,,,,,,,3634.6096,,,,,,,,,,131,2976.0570,-1718.2273,-129.8843,45856.9910,-15655.1482,24796.7897,42880.9341,-13936.9209,24926.6740
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.5938,86.0407,-1.9626,45906.5849,-15569.1075,24794.8271,45856.9910,-15655.1482,24796.7897
1,Line,,,,,,,3634.5619,,,,,,,,,,131,2976.0179,-1718.2047,-129.8826,45707.7937,-15912.8435,24786.7852,42731.7758,-14194.6387,24916.6678
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.7700,85.7724,5.9822,45757.5638,-15827.0710,24792.7674,45707.7937,-15912.8435,24786.7852
1,Line,,,,,,,3634.5904,,,,,,,,,,131,2976.0413,-1718.2182,-129.8837,45757.5638,-15827.0710,24792.7674,42781.5225,-14108.8528,24922.6511
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.7430,85.9167,3.3355,45807.3068,-15741.1543,24796.1030,45757.5638,-15827.0710,24792.7674
1,Line,,,,,,,3635.7243,,,,,,,,,,131,2976.9697,-1718.7543,-129.9242,45915.4586,-15570.7488,25030.5162,42938.4889,-13851.9945,25160.4404
1,Line,,,,,,,113.2157,,,,,,,,,,41,-53.3366,-90.9371,-20.0147,45862.1220,-15661.6859,25010.5015,45915.4586,-15570.7488,25030.5162
1,Line,,,,,,,3635.6288,,,,,,,,,,131,2976.8915,-1718.7091,-129.9208,45862.1220,-15661.6859,25010.5015,42885.2305,-13942.9768,25140.4222
1,Line,,,,,,,113.2157,,,,,,,,,,41,-52.8720,-89.6453,-26.7646,45809.2500,-15751.3312,24983.7369,45862.1220,-15661.6859,25010.5015
1,Line,,,,,,,3635.8173,,,,,,,,,,131,2977.0459,-1718.7982,-129.9275,46022.7312,-15386.3553,25050.0237,43045.6853,-13667.5570,25179.9512
1,Line,,,,,,,113.2157,,,,,,,,,,41,-53.6697,-92.5027,-6.3171,45969.0614,-15478.8580,25043.7066,46022.7312,-15386.3553,25050.0237
1,Line,,,,,,,3635.7872,,,,,,,,,,131,2977.0212,-1718.7840,-129.9264,45969.0614,-15478.8580,25043.7066,42992.0402,-13760.0740,25173.6330
1,Line,,,,,,,113.2157,,,,,,,,,,41,-53.6028,-91.8908,-13.1904,45915.4586,-15570.7488,25030.5162,45969.0614,-15478.8580,25043.7066
1,Line,,,,,,,3635.1513,,,,,,,,,,131,2976.5006,-1718.4834,-129.9037,45705.6836,-15925.4188,24910.3810,42729.1831,-14206.9354,25040.2847
1,Line,,,,,,,113.2157,,,,,,,,,,40,-50.3092,-83.7950,-46.3185,45655.3745,-16009.2138,24864.0624,45705.6836,-15925.4188,24910.3810
1,Line,,,,,,,3634.9304,,,,,,,,,,131,2976.3197,-1718.3790,-129.8958,45655.3745,-16009.2138,24864.0624,42679.0548,-14290.8348,24993.9582
1,Line,,,,,,,113.2157,,,,,,,,,,40,-49.0758,-81.2108,-52.5238,45606.2987,-16090.4246,24811.5386,45655.3745,-16009.2138,24864.0624
1,Line,,,,,,,3635.5012,,,,,,,,,,131,2976.7870,-1718.6488,-129.9162,45809.2500,-15751.3312,24983.7369,42832.4630,-14032.6824,25113.6531
1,Line,,,,,,,113.2157,,,,,,,,,,40,-52.2108,-88.0201,-33.4149,45757.0391,-15839.3513,24950.3220,45809.2500,-15751.3312,24983.7369
1,Line,,,,,,,3635.3418,,,,,,,,,,131,2976.6565,-1718.5734,-129.9105,45757.0391,-15839.3513,24950.3220,42780.3826,-14120.7778,25080.2325
1,Line,,,,,,,113.2157,,,,,,,,,,40,-51.3555,-86.0676,-39.9410,45705.6836,-15925.4188,24910.3810,45757.0391,-15839.3513,24950.3220
1,Line,,,,,,,3634.7599,,,,,,,,,,131,2976.1801,-1718.2984,-129.8897,46227.0854,-15016.4013,24828.3138,43250.9053,-13298.1029,24958.2036
1,Line,,,,,,,37.3305,,,,,,,,,,34,6.1419,8.0570,35.7617,46233.2273,-15008.3443,24864.0755,46227.0854,-15016.4013,24828.3138
1,Line,,,,,,,3634.9305,,,,,,,,,,131,2976.3197,-1718.3790,-129.8958,46233.2273,-15008.3443,24864.0755,43256.9076,-13289.9653,24993.9713
1,Line,,,,,,,37.3305,,,,,,,,,,166,1.6369,0.1438,37.2901,46234.8642,-15008.2006,24901.3656,46233.2273,-15008.3443,24864.0755
1,Line,,,,,,,3634.4859,,,,,,,,,,131,2975.9557,-1718.1688,-129.8799,46203.2393,-15053.5567,24770.8539,43227.2836,-13335.3879,24900.7338
1,Line,,,,,,,37.3305,,,,,,,,,,39,13.6177,21.7343,25.6638,46216.8570,-15031.8224,24796.5177,46203.2393,-15053.5567,24770.8539
1,Line,,,,,,,3634.6083,,,,,,,,,,131,2976.0559,-1718.2267,-129.8843,46216.8570,-15031.8224,24796.5177,43240.8011,-13313.5957,24926.4020
1,Line,,,,,,,37.3305,,,,,,,,,,38,10.2283,15.4211,31.7962,46227.0854,-15016.4013,24828.3138,46216.8570,-15031.8224,24796.5177
1,Line,,,,,,,3635.4377,,,,,,,,,,131,2976.7351,-1718.6188,-129.9139,46224.4914,-15031.1519,24970.4349,43247.7563,-13312.5331,25100.3488
1,Line,,,,,,,37.3305,,,,,,,,,,43,-11.3028,-21.5310,27.0723,46213.1886,-15052.6829,24997.5072,46224.4914,-15031.1519,24970.4349
1,Line,,,,,,,37.3305,,,,,,,,,,42,-14.4422,-26.4226,19.5076,46198.7464,-15079.1055,25017.0148,46213.1886,-15052.6829,24997.5072
1,Line,,,,,,,3635.6599,,,,,,,,,,131,-2976.9170,1718.7238,129.9219,43221.8294,-13360.3817,25146.9367,46198.7464,-15079.1055,25017.0148
1,Line,,,,,,,3635.1083,,,,,,,,,,131,2976.4654,-1718.4631,-129.9022,46234.8642,-15008.2006,24901.3656,43258.3988,-13289.7375,25031.2677
1,Line,,,,,,,37.3305,,,,,,,,,,50,-2.9796,-7.7792,36.2772,46231.8845,-15015.9798,24937.6428,46234.8642,-15008.2006,24901.3656
1,Line,,,,,,,3635.2813,,,,,,,,,,131,2976.6070,-1718.5449,-129.9083,46231.8845,-15015.9798,24937.6428,43255.2775,-13297.4349,25067.5511
1,Line,,,,,,,37.3305,,,,,,,,,,45,-7.3931,-15.1721,32.7921,46224.4914,-15031.1519,24970.4349,46231.8845,-15015.9798,24937.6428
1,Line,,,,,,,3634.5436,,,,,,,,,,131,2976.0030,-1718.1961,-129.8820,46005.3749,-15397.1418,24782.9608,43029.3719,-13678.9457,24912.8428
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.1331,85.8154,-9.8961,46054.5080,-15311.3264,24773.0647,46005.3749,-15397.1418,24782.9608
1,Line,,,,,,,3634.4964,,,,,,,,,,131,2975.9643,-1718.1738,-129.8803,46054.5080,-15311.3264,24773.0647,43078.5437,-13593.1526,24902.9450
1,Line,,,,,,,104.9881,,,,,,,,,,41,48.9168,85.6307,-12.5303,46103.4248,-15225.6957,24760.5344,46054.5080,-15311.3264,24773.0647
1,Line,,,,,,,3634.6002,,,,,,,,,,131,2976.0493,-1718.2229,-129.8840,45906.5849,-15569.1075,24794.8271,42930.5356,-13850.8846,24924.7111
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.4718,86.0204,-4.6106,45956.0567,-15483.0871,24790.2165,45906.5849,-15569.1075,24794.8271
1,Line,,,,,,,3634.5782,,,,,,,,,,131,2976.0313,-1718.2125,-129.8832,45956.0567,-15483.0871,24790.2165,42980.0254,-13764.8746,24920.0997
1,Line,,,,,,,104.9881,,,,,,,,,,41,49.3182,85.9453,-7.2557,46005.3749,-15397.1418,24782.9608,45956.0567,-15483.0871,24790.2165
1,Line,,,,,,,3634.3596,,,,,,,,,,131,2975.8523,-1718.1091,-129.8754,46169.7154,-15109.7111,24744.3820,43193.8631,-13391.6020,24874.2575
1,Line,,,,,,,37.3305,,,,,,,,,,41,17.4447,29.5880,8.6893,46187.1602,-15080.1231,24753.0714,46169.7154,-15109.7111,24744.3820
