Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,48.0000,,,,,,,,,,270,0.0000,-48.0000,0.0000,-73.6274,-216.0146,6.2179,-73.6274,-168.0146,6.2179
1,Line,58.0425,,,,,,,,,,180,-14.9672,0.0000,56.0795,-88.5945,-168.0146,62.2974,-73.6274,-168.0146,6.2179
1,Line,48.0671,,,,,,,,,,180,-12.3592,0.0000,46.4510,-85.9866,-216.0146,52.6690,-73.6274,-216.0146,6.2179
1,Line,48.0000,,,,,,,,,,270,0.0000,-48.0000,0.0000,1.6274,-216.0146,6.2179,1.6274,-168.0146,6.2179
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-90.5945,-168.0146,62.2974,-88.5945,-168.0146,62.2974
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-84.2284,-168.0146,90.2179,-82.2284,-168.0146,90.2179
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-79.4251,-216.0146,90.2179,-77.4251,-216.0146,90.2179
1,Line,48.2397,,,,,,,,,,264,-4.8033,-48.0000,0.0000,5.4251,-216.0146,90.2179,10.2284,-168.0146,90.2179
1,Line,28.6371,,,,,,,,,,180,-6.3661,0.0000,27.9205,10.2284,-168.0146,90.2179,16.5945,-168.0146,62.2974
1,Line,93.8023,,,,,,,,,,87,4.9898,91.8400,18.4225,21.5844,-76.1747,80.7199,16.5945,-168.0146,62.2974
1,Line,48.0671,,,,,,,,,,180,-12.3592,0.0000,-46.4510,1.6274,-216.0146,6.2179,13.9866,-216.0146,52.6690
1,Line,58.0425,,,,,,,,,,0,14.9672,0.0000,56.0795,16.5945,-168.0146,62.2974,1.6274,-168.0146,6.2179
1,Line,48.2397,,,,,,,,,,276,4.8033,-48.0000,0.0000,-77.4251,-216.0146,90.2179,-82.2284,-168.0146,90.2179
1,Line,28.6371,,,,,,,,,,0,6.3661,0.0000,27.9205,-82.2284,-168.0146,90.2179,-88.5945,-168.0146,62.2974
1,Line,93.8023,,,,,,,,,,93,-4.9898,91.8400,18.4225,-93.5844,-76.1747,80.7199,-88.5945,-168.0146,62.2974
1,Line,2.0000,,,,,,,,,,0,2.0000,0.0000,0.0000,12.2284,-168.0146,90.2179,10.2284,-168.0146,90.2179
1,Line,49.0256,,,,,,,,,,93,-2.6079,48.0000,9.6285,-90.5945,-168.0146,62.2974,-87.9866,-216.0146,52.6690
1,Line,48.2397,,,,,,,,,,96,-4.8033,48.0000,0.0000,-84.2284,-168.0146,90.2179,-79.4251,-216.0146,90.2179
1,Line,2.0000,,,,,,,,,,0,2.0000,0.0000,0.0000,7.4251,-216.0146,90.2179,5.4251,-216.0146,90.2179
1,Line,2.0000,,,,,,,,,,0,2.0000,0.0000,0.0000,15.9866,-216.0146,52.6690,13.9866,-216.0146,52.6690
1,Line,2.0000,,,,,,,,,,0,2.0000,0.0000,0.0000,18.5945,-168.0146,62.2974,16.5945,-168.0146,62.2974
1,Line,48.2397,,,,,,,,,,84,4.8033,48.0000,0.0000,12.2284,-168.0146,90.2179,7.4251,-216.0146,90.2179
1,Line,28.6371,,,,,,,,,,180,-6.3661,0.0000,-27.9205,-90.5945,-168.0146,62.2974,-84.2284,-168.0146,90.2179
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-75.6274,-216.0146,6.2179,-73.6274,-216.0146,6.2179
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-75.6274,-168.0146,6.2179,-73.6274,-168.0146,6.2179
1,Line,2.0000,,,,,,,,,,180,-2.0000,0.0000,0.0000,-87.9866,-216.0146,52.6690,-85.9866,-216.0146,52.6690
1,Line,48.0000,,,,,,,,,,90,0.0000,48.0000,0.0000,-75.6274,-168.0146,6.2179,-75.6274,-216.0146,6.2179
1,Line,38.5126,,,,,,,,,,0,8.5615,0.0000,37.5490,-79.4251,-216.0146,90.2179,-87.9866,-216.0146,52.6690
1,Line,58.0425,,,,,,,,,,0,14.9672,0.0000,-56.0795,-75.6274,-168.0146,6.2179,-90.5945,-168.0146,62.2974
1,Line,48.0671,,,,,,,,,,180,-12.3592,0.0000,46.4510,-87.9866,-216.0146,52.6690,-75.6274,-216.0146,6.2179
1,Line,38.5126,,,,,,,,,,180,-8.5615,0.0000,37.5490,5.4251,-216.0146,90.2179,13.9866,-216.0146,52.6690
1,Line,11.2495,,,,,,,,,,135,-8.0000,7.9089,0.0000,-8.0000,-27.9089,0.0000,0.0000,-35.8178,0.0000
1,Arc,5.5824,3.2872,0.0000,-31.9089,-0.6919,4.0000,10,80,,,,,,,,,,,,
1,Line,228.1822,,,,,,,,,,270,0.0000,-228.1822,0.0000,0.0000,-264.0000,0.0000,0.0000,-35.8178,0.0000
1,Line,11.3348,,,,,,,,,,315,8.0000,-8.0000,-0.6919,0.0000,-35.9089,-0.6919,-8.0000,-27.9089,0.0000
1,Line,11.2495,,,,,,,,,,45,8.0000,7.9089,0.0000,0.0000,-4.0000,0.0000,-8.0000,-11.9089,0.0000
1,Line,16.0000,,,,,,,,,,270,0.0000,-16.0000,0.0000,-8.0000,-27.9089,0.0000,-8.0000,-11.9089,0.0000
1,Line,0.6919,,,,,,,,,,0,0.0000,0.0000,0.6919,-8.0000,-11.9089,0.0000,-8.0000,-11.9089,-0.6919
1,Line,0.6919,,,,,,,,,,0,0.0000,0.0000,0.6919,-8.0000,-27.9089,0.0000,-8.0000,-27.9089,-0.6919
1,Line,11.2495,,,,,,,,,,225,-8.0000,-7.9089,0.0000,-72.0000,-35.8178,0.0000,-64.0000,-27.9089,0.0000
1,Arc,5.5824,3.2872,-72.0000,-31.9089,-0.6919,4.0000,10,80,,,,,,,,,,,,
1,Line,228.1822,,,,,,,,,,270,0.0000,-228.1822,0.0000,-72.0000,-264.0000,0.0000,-72.0000,-35.8178,0.0000
1,Line,11.3348,,,,,,,,,,45,8.0000,8.0000,0.6919,-64.0000,-27.9089,0.0000,-72.0000,-35.9089,-0.6919
1,Line,11.2495,,,,,,,,,,135,-8.0000,7.9089,0.0000,-72.0000,-4.0000,0.0000,-64.0000,-11.9089,0.0000
1,Line,16.0000,,,,,,,,,,270,0.0000,-16.0000,0.0000,-64.0000,-27.9089,0.0000,-64.0000,-11.9089,0.0000
1,Line,0.6919,,,,,,,,,,0,0.0000,0.0000,0.6919,-64.0000,-11.9089,0.0000,-64.0000,-11.9089,-0.6919
1,Line,85.6791,,,,,,,,,,83,4.9271,37.5708,76.8445,-80.6016,-230.4292,89.9513,-85.5287,-268.0000,13.1068
1,Line,8.8079,,,,,,,,,,228,-3.2626,-3.5935,-7.3499,-89.2201,-271.5935,5.7569,-85.9574,-268.0000,13.1068
1,Line,9.9637,,,,,,,,,,180,-4.0426,0.0000,-9.1068,-90.0000,-268.0000,4.0000,-85.9574,-268.0000,13.1068
1,Line,9.1190,,,,,,,,,,180,-0.4713,0.0000,-9.1068,-86.0000,-268.0000,4.0000,-85.5287,-268.0000,13.1068
1,Line,38.5126,,,,,,,,,,0,8.5615,0.0000,37.5490,-77.4251,-216.0146,90.2179,-85.9866,-216.0146,52.6690
1,Line,49.0256,,,,,,,,,,93,-2.6079,48.0000,9.6285,-88.5945,-168.0146,62.2974,-85.9866,-216.0146,52.6690
1,Line,49.0256,,,,,,,,,,87,2.6079,48.0000,9.6285,16.5945,-168.0146,62.2974,13.9866,-216.0146,52.6690
1,Line,9.1190,,,,,,,,,,0,0.4713,0.0000,-9.1068,14.0000,-268.0000,4.0000,13.5287,-268.0000,13.1068
