Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,58.8211,,,,,,,,,,,,,,,,62,-23.2425,-43.3956,-32.1951,3528.9757,7597.0720,1988.5683,3552.2183,7640.4676,2020.7634
1,Line,73.1178,,,,,,,,,,,,,,,,56,38.4388,56.3093,26.4184,3576.1122,7152.8030,2055.8280,3537.6734,7096.4937,2029.4096
1,Line,557.0178,,,,,,,,,,,,,,,,88,-18.0200,-556.7191,2.8185,3510.9557,7040.3529,1991.3868,3528.9757,7597.0720,1988.5683
1,Line,602.2485,,,,,,,,,,,,,,,,86,41.2626,600.1147,29.3766,3552.2183,7640.4676,2020.7634,3510.9557,7040.3529,1991.3868
1,Line,489.8118,,,,,,,,,,,,,,,,88,-13.5389,-489.5316,9.5448,3524.1345,6606.9621,2038.9545,3537.6734,7096.4937,2029.4096
1,Line,96.5203,,,,,,,,,,,,,,,,133,-66.1652,69.9631,6.5957,3740.9842,3809.1073,2365.3706,3807.1494,3739.1442,2358.7748
1,Line,103.8883,,,,,,,,,,,,,,,,134,-68.5812,69.9964,34.4949,3740.9842,3809.1073,2365.3706,3809.5654,3739.1109,2330.8757
1,Line,548.5697,,,,,,,,,,,,,,,,85,51.9777,545.8409,16.8736,3576.1122,7152.8030,2055.8280,3524.1345,6606.9621,2038.9545
1,Line,28.0036,,,,,,,,,,,,,,,,179,-2.4160,0.0333,27.8991,3807.1494,3739.1442,2358.7748,3809.5654,3739.1109,2330.8757
1,Line,79.5479,,,,,,,,,,,,,,,,68,-29.0435,-70.1863,23.6265,4178.2751,2130.6176,816.6653,4207.3186,2200.8039,793.0388
1,Line,75.4814,,,,,,,,,,,,,,,,19,-24.7164,-8.6681,-70.7913,3436.1019,4774.7300,2191.3626,3460.8183,4783.3981,2262.1539
1,Line,2.2224,,,,,,,,,,,,,,,,103,-0.3627,1.5696,-1.5309,2991.0528,3796.9395,1751.5639,2991.4156,3795.3699,1753.0947
1,Line,47.9273,,,,,,,,,,,,,,,,114,19.3443,-43.2559,7.1935,3480.1626,4740.1421,2269.3474,3460.8183,4783.3981,2262.1539
1,Line,82.5809,,,,,,,,,,,,,,,,86,4.4305,57.7942,58.8201,3460.8183,4783.3981,2262.1539,3456.3878,4725.6039,2203.3338
1,Line,57.7917,,,,,,,,,,,,,,,,175,-8.1877,0.7719,-57.2036,3353.9715,4376.5123,2107.0376,3362.1592,4375.7404,2164.2412
1,Line,30.9367,,,,,,,,,,,,,,,,180,25.5454,-0.0532,-17.4502,3590.6939,8244.2378,1884.6992,3565.1484,8244.2910,1902.1494
1,Line,35.8992,,,,,,,,,,,,,,,,35,-28.6328,-19.8197,8.7232,3565.1484,8244.2910,1902.1494,3593.7813,8264.1107,1893.4262
1,Line,116.0942,,,,,,,,,,,,,,,,79,19.6676,98.6596,57.9424,3373.6392,4475.1720,2164.9800,3353.9715,4376.5123,2107.0376
1,Line,21.9231,,,,,,,,,,,,,,,,81,3.0874,19.8729,8.7270,3593.7813,8264.1107,1893.4262,3590.6939,8244.2378,1884.6992
1,Line,28.9477,,,,,,,,,,,,,,,,74,0.1018,0.3594,-28.9453,3741.2774,3809.7854,2307.4651,3741.1755,3809.4260,2336.4104
1,Line,27.7616,,,,,,,,,,,,,,,,176,-25.9705,2.0309,9.5977,3940.2801,3404.4473,2141.2723,3966.2507,3402.4163,2131.6746
1,Line,68.5620,,,,,,,,,,,,,,,,90,0.0000,-67.9548,9.1051,3940.2801,3404.4473,2141.2723,3940.2801,3472.4020,2132.1672
1,Line,50.8379,,,,,,,,,,,,,,,,179,-35.5762,0.5169,36.3120,4148.4415,3776.3040,1911.4305,4184.0177,3775.7871,1875.1185
1,Line,117.2218,,,,,,,,,,,,,,,,93,6.3994,-116.3058,13.1515,3972.6501,3286.1106,2144.8261,3966.2507,3402.4163,2131.6746
1,Line,38.4641,,,,,,,,,,,,,,,,0,-35.9552,0.0000,13.6643,3904.3250,3472.4020,2145.8315,3940.2801,3472.4020,2132.1672
1,Line,2.9460,,,,,,,,,,,,,,,,132,0.9988,-1.1253,2.5327,2940.1309,3128.7394,1803.1109,2939.1321,3129.8647,1800.5782
1,Line,29.2357,,,,,,,,,,,,,,,,124,9.3658,-13.7707,24.0286,2949.4967,3114.9687,1827.1395,2940.1309,3128.7394,1803.1109
1,Line,0.9844,,,,,,,,,,,,,,,,176,-0.9211,0.0651,0.3413,3971.7290,3286.1757,2145.1674,3972.6501,3286.1106,2144.8261
1,Line,129.3802,,,,,,,,,,,,,,,,69,-36.7489,-93.5786,-81.4359,2939.1321,3129.8647,1800.5782,2975.8810,3223.4433,1882.0141
1,Line,1.4466,,,,,,,,,,,,,,,,2,-1.4380,-0.0517,-0.1488,3641.9387,1753.2950,1335.4468,3643.3767,1753.3467,1335.5956
1,Line,12.4866,,,,,,,,,,,,,,,,4,-12.1558,-0.7599,2.7518,3704.4859,1746.7469,1267.4327,3716.6418,1747.5068,1264.6809
1,Line,108.6461,,,,,,,,,,,,,,,,89,-2.4009,-95.0635,-52.5466,3460.8123,4873.7180,1676.7281,3463.2132,4968.7815,1729.2748
1,Line,99.7994,,,,,,,,,,,,,,,,135,70.4179,-70.5799,-4.4397,3811.6953,3739.2054,2303.0254,3741.2774,3809.7854,2307.4651
1,Line,8.7691,,,,,,,,,,,,,,,,118,-1.1699,2.2309,8.3995,4173.8586,2023.9983,1343.5404,4175.0284,2021.7674,1335.1409
1,Line,168.6936,,,,,,,,,,,,,,,,64,-69.9445,-145.8756,47.8082,3463.2132,4968.7815,1729.2748,3533.1578,5114.6570,1681.4666
1,Line,13.8438,,,,,,,,,,,,,,,,69,-4.8414,-12.3822,-3.8591,3015.7668,3814.0436,1791.4619,3020.6082,3826.4259,1795.3209
1,Line,3.6188,,,,,,,,,,,,,,,,178,3.4283,-0.1449,-1.1496,3644.0980,1753.1045,1334.1660,3640.6698,1753.2494,1335.3156
1,Line,4.6628,,,,,,,,,,,,,,,,83,-0.5530,-4.5516,0.8481,3013.8471,3814.1464,1787.8727,3014.4000,3818.6980,1787.0246
1,Line,4.0716,,,,,,,,,,,,,,,,177,-1.9197,0.1028,-3.5892,3013.8471,3814.1464,1787.8727,3015.7668,3814.0436,1791.4619
1,Line,32.2842,,,,,,,,,,,,,,,,64,12.0738,25.1460,16.2533,4172.8258,2081.6342,1460.3687,4160.7521,2056.4882,1444.1154
1,Line,37.3307,,,,,,,,,,,,,,,,175,36.8581,-3.4242,4.8313,3541.5008,1744.3387,1234.2561,3504.6428,1747.7629,1229.4248
