Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,146,-0.1795,0.0000,0.0000,5.3268,-3.3597,8.3582,0.2180,5.5062,-3.3597,8.3582
1,Line,,,,,,,146,0.3375,0.0000,0.0000,5.5853,-3.3551,8.4393,0.4101,5.2477,-3.3551,8.4393
1,Line,,,,,,,137,-0.0944,0.0000,-0.0791,5.5062,-3.3597,8.3582,0.1407,5.6006,-3.3597,8.4373
1,Line,,,,,,,152,0.0790,-0.0045,-0.0810,5.3268,-3.3597,8.3582,0.1273,5.2477,-3.3551,8.4393
1,Line,,,,,,,154,-0.0944,0.0000,0.0791,5.2324,-3.3597,8.4373,0.1407,5.3268,-3.3597,8.3582
1,Line,,,,,,,139,-0.0790,-0.0045,-0.0810,5.5062,-3.3597,8.3582,0.1273,5.5853,-3.3551,8.4393
1,Line,,,,,,,131,0.0153,-0.0045,-0.0019,5.6006,-3.3597,8.4373,0.0195,5.5853,-3.3551,8.4393
1,Line,,,,,,,177,0.0139,-0.0010,-0.0891,5.1968,-3.3542,8.5461,0.0933,5.1830,-3.3533,8.6353
1,Line,,,,,,,88,-0.0141,0.0577,0.0891,5.1830,-3.1976,8.6353,0.1165,5.1971,-3.2553,8.5461
1,Line,,,,,,,127,-0.0571,0.0000,-0.0938,5.1986,-3.3533,8.7383,0.1189,5.2558,-3.3533,8.8321
1,Line,,,,,,,32,-0.0506,-0.0998,-0.1068,5.5853,-3.3551,8.4393,0.1743,5.6359,-3.2553,8.5461
1,Line,,,,,,,122,0.0509,0.0009,0.1068,5.6362,-3.3542,8.5461,0.1262,5.5853,-3.3551,8.4393
1,Line,,,,,,,45,-0.0141,-0.0979,0.0891,5.1830,-3.3533,8.6353,0.1506,5.1971,-3.2553,8.5461
1,Line,,,,,,,159,-0.0571,0.0000,0.0938,5.5772,-3.3533,8.8321,0.1189,5.6344,-3.3533,8.7383
1,Line,,,,,,,145,-0.0122,0.0000,-0.0012,5.1708,-3.1976,8.6340,0.0149,5.1830,-3.1976,8.6353
1,Line,,,,,,,70,0.0162,0.0000,0.1043,5.1870,-3.1976,8.7383,0.1092,5.1708,-3.1976,8.6340
1,Line,,,,,,,58,0.0000,0.1557,0.0000,5.5772,-3.1976,8.8321,0.1878,5.5772,-3.3533,8.8321
1,Line,,,,,,,159,0.0571,0.0000,-0.0938,5.6344,-3.1976,8.7383,0.1189,5.5772,-3.1976,8.8321
1,Line,,,,,,,58,0.0000,-0.1557,0.0000,5.6344,-3.3533,8.7383,0.1878,5.6344,-3.1976,8.7383
1,Line,,,,,,,161,0.0569,0.0000,-0.1039,5.6460,-3.1976,8.7383,0.1274,5.5891,-3.1976,8.8422
1,Line,,,,,,,58,0.0000,1.5468,0.0000,5.2439,-3.1976,8.8422,1.8657,5.2439,-4.7444,8.8422
1,Line,,,,,,,125,-0.0569,0.0000,-0.1039,5.1870,-3.1976,8.7383,0.1274,5.2439,-3.1976,8.8422
1,Line,,,,,,,178,-0.0162,0.0000,0.1043,5.6460,-3.1976,8.7383,0.1092,5.6622,-3.1976,8.6340
1,Line,,,,,,,58,0.0000,1.5468,0.0000,5.1870,-3.1976,8.7383,1.8657,5.1870,-4.7444,8.7383
1,Line,,,,,,,58,0.0000,-1.5468,0.0000,5.5891,-4.7444,8.8422,1.8657,5.5891,-3.1976,8.8422
1,Line,,,,,,,58,0.0000,1.5468,0.0000,5.6460,-3.1976,8.7383,1.8657,5.6460,-4.7444,8.7383
1,Line,,,,,,,127,0.0571,0.0000,0.0938,5.2558,-3.1976,8.8321,0.1189,5.1986,-3.1976,8.7383
1,Line,,,,,,,58,0.0000,1.5468,0.0000,5.3486,-3.1976,8.9222,1.8657,5.3486,-4.7444,8.9222
1,Line,,,,,,,58,0.0000,1.5468,0.0000,5.4844,-3.1976,8.9222,1.8657,5.4844,-4.7444,8.9222
1,Line,,,,,,,149,0.3884,-0.0009,-0.1068,5.5853,-3.3551,8.4393,0.4846,5.1968,-3.3542,8.5461
1,Line,,,,,,,138,0.1047,0.0000,0.0800,5.3486,-3.1976,8.9222,0.1515,5.2439,-3.1976,8.8422
1,Line,,,,,,,146,0.1359,0.0000,0.0000,5.4844,-3.1976,8.9222,0.1650,5.3486,-3.1976,8.9222
1,Line,,,,,,,153,0.1047,0.0000,-0.0800,5.5891,-3.1976,8.8422,0.1515,5.4844,-3.1976,8.9222
1,Line,,,,,,,150,0.4023,-0.0019,-0.1960,5.5853,-3.3551,8.4393,0.5287,5.1830,-3.3533,8.6353
1,Line,,,,,,,58,0.0000,-1.3847,0.0000,5.3268,-4.7444,8.3582,1.6702,5.3268,-3.3597,8.3582
1,Line,,,,,,,58,0.0000,-1.3847,0.0000,5.5062,-4.7444,8.3582,1.6702,5.5062,-3.3597,8.3582
1,Line,,,,,,,149,-0.0362,0.0000,0.0098,5.3396,-5.0322,8.7762,0.0451,5.3758,-5.0322,8.7664
1,Line,,,,,,,148,0.4532,-0.0010,-0.0891,5.6362,-3.3542,8.5461,0.5582,5.1830,-3.3533,8.6353
1,Line,,,,,,,146,0.4671,0.0000,0.0000,5.6500,-3.3533,8.6353,0.5674,5.1830,-3.3533,8.6353
