Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1087,,,,,,,,,,,,,,,,10,-0.1071,-0.0183,0.0043,0.5118,2.0950,1.0047,0.6189,2.1133,1.0004
1,Line,0.0626,,,,,,,,,,,,,,,,142,0.0404,-0.0311,-0.0364,0.6593,2.0823,0.9640,0.6189,2.1133,1.0004
1,Line,0.0596,,,,,,,,,,,,,,,,164,0.0525,-0.0149,-0.0240,0.7118,2.0674,0.9401,0.6593,2.0823,0.9640
1,Line,0.1615,,,,,,,,,,,,,,,,11,-0.1586,-0.0301,0.0030,0.5532,2.2256,1.1430,0.7118,2.2557,1.1400
1,Line,0.1641,,,,,,,,,,,,,,,,11,-0.1611,-0.0313,0.0019,0.5507,2.2518,1.1896,0.7118,2.2830,1.1877
1,Line,0.0549,,,,,,,,,,,,,,,,90,0.0000,-0.0273,-0.0477,0.7118,2.2557,1.1400,0.7118,2.2830,1.1877
1,Line,0.0444,,,,,,,,,,,,,,,,20,-0.0274,-0.0099,-0.0335,0.5878,2.2962,1.3113,0.6153,2.3061,1.3448
1,Line,0.0158,,,,,,,,,,,,,,,,149,-0.0108,0.0066,0.0094,0.6081,2.1199,1.0098,0.6189,2.1133,1.0004
1,Line,0.0815,,,,,,,,,,,,,,,,128,-0.0358,0.0459,0.0570,0.5723,2.1658,1.0668,0.6081,2.1199,1.0098
1,Line,0.0452,,,,,,,,,,,,,,,,108,0.0094,-0.0291,-0.0332,0.5723,2.1658,1.0668,0.5628,2.1950,1.1000
1,Line,0.0227,,,,,,,,,,,,,,,,26,-0.0091,-0.0045,-0.0203,0.5788,2.2917,1.2910,0.5878,2.2962,1.3113
1,Line,0.0683,,,,,,,,,,,,,,,,11,-0.0670,-0.0133,-0.0003,0.5118,2.2784,1.2908,0.5788,2.2917,1.2910
1,Line,0.0944,,,,,,,,,,,,,,,,10,-0.0929,-0.0159,0.0037,0.6189,2.1133,1.0004,0.7118,2.1292,0.9966
1,Line,0.0043,,,,,,,,,,,,,,,,101,0.0003,-0.0016,-0.0040,0.5507,2.2518,1.1896,0.5504,2.2534,1.1936
1,Line,0.1820,,,,,,,,,,,,,,,,11,-0.1784,-0.0357,-0.0036,0.5118,2.2856,1.3969,0.6902,2.3213,1.4005
1,Line,0.0160,,,,,,,,,,,,,,,,11,-0.0147,-0.0030,-0.0056,0.6756,2.3184,1.3949,0.6902,2.3213,1.4005
1,Line,0.0617,,,,,,,,,,,,,,,,11,-0.0491,-0.0100,-0.0360,0.6265,2.3084,1.3589,0.6756,2.3184,1.3949
1,Line,0.1365,,,,,,,,,,,,,,,,90,0.0000,-0.1337,-0.0272,0.7118,1.1715,0.5091,0.7118,1.3052,0.5363
1,Line,0.0349,,,,,,,,,,,,,,,,18,0.0330,0.0109,-0.0030,0.7118,2.1929,1.6836,0.6788,2.1820,1.6866
1,Line,0.0450,,,,,,,,,,,,,,,,90,0.0000,0.0314,-0.0322,0.7118,2.2243,1.6514,0.7118,2.1929,1.6836
1,Line,0.0181,,,,,,,,,,,,,,,,12,-0.0112,-0.0023,-0.0141,0.6153,2.3061,1.3448,0.6265,2.3084,1.3589
1,Line,0.0703,,,,,,,,,,,,,,,,13,-0.0683,-0.0164,0.0000,0.6435,1.7990,0.7503,0.7118,1.8154,0.7503
1,Line,0.0483,,,,,,,,,,,,,,,,11,-0.0474,-0.0093,0.0002,0.5118,2.2646,1.2393,0.5592,2.2739,1.2391
1,Line,0.0507,,,,,,,,,,,,,,,,67,-0.0088,-0.0205,-0.0455,0.5504,2.2534,1.1936,0.5592,2.2739,1.2391
1,Line,0.1055,,,,,,,,,,,,,,,,11,-0.1035,-0.0207,-0.0013,0.5118,2.2854,1.3436,0.6153,2.3061,1.3448
1,Line,0.0079,,,,,,,,,,,,,,,,90,0.0000,0.0010,-0.0079,0.7118,2.3197,1.4476,0.7118,2.3187,1.4555
1,Line,0.0102,,,,,,,,,,,,,,,,20,-0.0063,-0.0022,0.0077,0.7055,2.3175,1.4553,0.7118,2.3197,1.4476
1,Line,0.1516,,,,,,,,,,,,,,,,10,-0.1490,-0.0275,0.0038,0.5628,2.1950,1.1000,0.7118,2.2225,1.0962
1,Line,0.0162,,,,,,,,,,,,,,,,5,0.0135,0.0011,-0.0089,0.7415,2.3234,1.4187,0.7280,2.3222,1.4277
1,Line,0.0777,,,,,,,,,,,,,,,,90,-0.0005,-0.0777,-0.0029,0.7588,2.3248,1.4072,0.7593,2.4025,1.4101
1,Line,0.0816,,,,,,,,,,,,,,,,77,0.0178,0.0791,-0.0086,0.7593,2.4025,1.4101,0.7415,2.3234,1.4187
1,Line,0.0517,,,,,,,,,,,,,,,,88,-0.0018,-0.0512,0.0068,0.7300,2.2723,1.4242,0.7318,2.3235,1.4174
1,Line,0.0549,,,,,,,,,,,,,,,,90,0.0000,-0.0332,-0.0438,0.7118,2.2225,1.0962,0.7118,2.2557,1.1400
1,Line,0.0656,,,,,,,,,,,,,,,,89,-0.0008,-0.0656,-0.0022,0.7272,2.2566,1.4254,0.7280,2.3222,1.4277
1,Line,0.0985,,,,,,,,,,,,,,,,11,-0.0965,-0.0193,-0.0012,0.6153,2.3061,1.3448,0.7118,2.3255,1.3460
1,Line,0.0180,,,,,,,,,,,,,,,,89,0.0001,0.0138,0.0115,0.7219,2.2628,1.1523,0.7218,2.2490,1.1409
1,Line,0.0081,,,,,,,,,,,,,,,,90,0.0000,0.0010,-0.0080,0.7118,2.3256,1.4010,0.7118,2.3246,1.4090
1,Line,0.0234,,,,,,,,,,,,,,,,9,0.0216,0.0033,0.0084,0.7118,2.3246,1.4090,0.6902,2.3213,1.4005
1,Line,0.0220,,,,,,,,,,,,,,,,11,-0.0216,-0.0043,-0.0004,0.6902,2.3213,1.4005,0.7118,2.3256,1.4010
1,Line,0.0137,,,,,,,,,,,,,,,,95,0.0002,-0.0017,0.0135,0.7249,2.3239,1.4145,0.7248,2.3256,1.4010
1,Line,0.0407,,,,,,,,,,,,,,,,89,0.0004,0.0202,0.0353,0.7223,2.2830,1.1877,0.7219,2.2628,1.1523
1,Line,0.2249,,,,,,,,,,,,,,,,88,-0.0080,-0.2228,0.0297,0.7318,2.3235,1.4174,0.7398,2.5464,1.3877
1,Line,0.2015,,,,,,,,,,,,,,,,177,-0.2000,0.0102,-0.0219,0.5118,0.6598,1.9749,0.7118,0.6496,1.9968
1,Line,0.2015,,,,,,,,,,,,,,,,177,-0.2000,0.0120,-0.0215,0.5118,0.6005,1.9607,0.7118,0.5885,1.9822
1,Line,0.2016,,,,,,,,,,,,,,,,176,-0.2000,0.0139,-0.0211,0.5118,0.5413,1.9465,0.7118,0.5274,1.9676
1,Line,0.1365,,,,,,,,,,,,,,,,90,0.0000,-0.0933,-0.0996,0.7118,2.1292,0.9966,0.7118,2.2225,1.0962
1,Line,0.2013,,,,,,,,,,,,,,,,179,-0.2000,0.0028,-0.0230,0.5118,0.9009,2.0094,0.7118,0.8982,2.0324
1,Line,0.2014,,,,,,,,,,,,,,,,178,-0.2000,0.0065,-0.0226,0.5118,0.7798,1.9959,0.7118,0.7733,2.0185
1,Line,0.0429,,,,,,,,,,,,,,,,34,0.0000,0.0000,-0.0429,0.7518,2.1797,1.4399,0.7518,2.1797,1.4828
1,Line,0.0075,,,,,,,,,,,,,,,,177,-0.0069,0.0004,-0.0029,0.7249,2.3239,1.4145,0.7318,2.3235,1.4174
1,Line,0.2183,,,,,,,,,,,,,,,,90,-0.0005,0.2160,-0.0322,0.7244,2.5399,1.3823,0.7249,2.3239,1.4145
1,Line,0.0175,,,,,,,,,,,,,,,,23,-0.0154,-0.0065,-0.0054,0.7244,2.5399,1.3823,0.7398,2.5464,1.3877
1,Line,0.0394,,,,,,,,,,,,,,,,88,-0.0014,-0.0390,0.0052,0.7286,2.2333,1.4295,0.7300,2.2723,1.4242
1,Line,0.0004,,,,,,,,,,,,,,,,83,0.0001,0.0004,0.0000,0.7255,2.2421,1.4269,0.7255,2.2417,1.4269
1,Line,0.0147,,,,,,,,,,,,,,,,83,0.0017,0.0145,-0.0014,0.7272,2.2566,1.4254,0.7255,2.2421,1.4269
1,Line,0.2014,,,,,,,,,,,,,,,,2,-0.2000,-0.0054,0.0227,0.5118,1.1660,0.5318,0.7118,1.1715,0.5091
1,Line,0.0900,,,,,,,,,,,,,,,,0,0.0900,0.0000,0.0000,0.8018,0.6456,0.5107,0.7118,0.6456,0.5107
1,Line,0.0900,,,,,,,,,,,,,,,,180,-0.0900,0.0000,0.0000,0.7118,0.7236,0.5052,0.8018,0.7236,0.5052
1,Arc,0.0889,,,,,,,0.0000,0.8018,1.0610,0.6826,1.4422,22,4,,,,,,,,,,,,
1,Line,0.0900,,,,,,,,,,,,,,,,0,0.0900,0.0000,0.0000,0.8018,0.2568,0.5515,0.7118,0.2568,0.5515
1,Line,0.0900,,,,,,,,,,,,,,,,180,-0.0900,0.0000,0.0000,0.7118,0.1793,0.5623,0.8018,0.1793,0.5623
1,Line,0.0900,,,,,,,,,,,,,,,,180,-0.0900,0.0000,0.0000,0.7118,0.5676,0.5170,0.8018,0.5676,0.5170
1,Line,0.0015,,,,,,,,,,,,,,,,0,0.0006,0.0000,-0.0014,0.2324,1.6016,1.0352,0.2318,1.6016,1.0365
1,Line,0.0677,,,,,,,,,,,,,,,,124,0.0060,-0.0088,-0.0669,0.7774,1.1613,2.2128,0.7714,1.1700,2.2797
1,Line,0.0685,,,,,,,,,,,,,,,,153,0.0132,-0.0068,0.0669,0.7714,1.1700,2.2797,0.7582,1.1768,2.2128
1,Line,0.0686,,,,,,,,,,,,,,,,144,0.0124,-0.0088,0.0669,0.7646,1.1789,2.2797,0.7522,1.1878,2.2128
1,Line,0.1280,,,,,,,,,,,,,,,,0,-0.1280,0.0000,0.0000,0.3838,1.6016,1.8454,0.5118,1.6016,1.8454
1,Line,0.0680,,,,,,,,,,,,,,,,179,0.0125,-0.0003,0.0669,0.8018,1.1574,2.2797,0.7893,1.1577,2.2128
1,Line,0.0677,,,,,,,,,,,,,,,,149,0.0090,-0.0054,-0.0669,0.7893,1.1577,2.2128,0.7803,1.1632,2.2797
1,Line,0.0900,,,,,,,,,,,,,,,,180,-0.0900,0.0000,0.0000,0.7118,1.6016,0.6384,0.8018,1.6016,0.6384
1,Line,0.1765,,,,,,,,,,,,,,,,90,0.0000,-0.0069,-0.1764,0.7518,4.7804,1.5195,0.7518,4.7873,1.6960
1,Line,0.0500,,,,,,,,,,,,,,,,180,-0.0500,0.0000,0.0000,0.7518,4.7634,1.4933,0.8018,4.7634,1.4933
1,Line,0.0500,,,,,,,,,,,,,,,,180,-0.0500,0.0000,0.0000,0.7518,4.7684,1.1061,0.8018,4.7684,1.1061
1,Line,0.0900,,,,,,,,,,,,,,,,180,-0.0900,0.0000,0.0000,0.7118,0.2843,0.5479,0.8018,0.2843,0.5479
1,Line,0.0900,,,,,,,,,,,,,,,,0,0.0900,0.0000,0.0000,0.8018,0.4898,0.5243,0.7118,0.4898,0.5243
1,Line,0.0180,,,,,,,,,,,,,,,,90,0.0000,-0.0180,0.0006,0.7518,4.7624,1.5201,0.7518,4.7804,1.5195
1,Line,0.0427,,,,,,,,,,,,,,,,90,0.0000,-0.0426,0.0014,0.7518,4.4141,1.5315,0.7518,4.4567,1.5301
1,Line,0.0672,,,,,,,,,,,,,,,,18,-0.0064,-0.0021,-0.0669,0.7582,1.1768,2.2128,0.7646,1.1789,2.2797
1,Line,0.0674,,,,,,,,,,,,,,,,11,-0.0081,-0.0015,-0.0669,0.7522,1.1878,2.2128,0.7603,1.1893,2.2797
1,Arc,0.0008,,,,,,,0.0000,0.2318,0.9273,1.8617,1.0661,309,0,,,,,,,,,,,,
1,Line,0.0669,,,,,,,,,,,,,,,,41,-0.0013,-0.0012,-0.0669,0.7893,1.1577,2.2128,0.7907,1.1589,2.2797
1,Line,0.0670,,,,,,,,,,,,,,,,33,-0.0029,-0.0019,-0.0669,0.7774,1.1613,2.2128,0.7803,1.1632,2.2797
1,Line,0.0671,,,,,,,,,,,,,,,,26,-0.0047,-0.0022,-0.0669,0.7667,1.1678,2.2128,0.7714,1.1700,2.2797
1,Line,0.0686,,,,,,,,,,,,,,,,136,0.0110,-0.0106,0.0669,0.7603,1.1893,2.2797,0.7493,1.1999,2.2128
1,Line,0.2028,,,,,,,,,,,,,,,,172,-0.2000,0.0266,0.0207,0.5118,0.1287,0.5948,0.7118,0.1020,0.5741
1,Arc,0.3727,,,,,,,0.0124,0.5118,0.0208,0.9689,0.3266,165,65,,,,,,,,,,,,
1,Arc,0.1778,,,,,,,0.0003,0.5118,1.0588,0.7001,1.3989,15,7,,,,,,,,,,,,
1,Line,0.0456,,,,,,,,,,,,,,,,11,-0.0447,-0.0087,-0.0020,0.6671,2.2756,1.5576,0.7118,2.2842,1.5596
1,Line,0.2023,,,,,,,,,,,,,,,,174,-0.2000,0.0220,0.0214,0.5118,0.2788,0.5729,0.7118,0.2568,0.5515
1,Line,0.2026,,,,,,,,,,,,,,,,173,-0.2000,0.0243,0.0211,0.5118,0.2037,0.5834,0.7118,0.1793,0.5623
1,Line,0.1357,,,,,,,,,,,,,,,,11,-0.1330,-0.0265,-0.0005,0.5788,2.2917,1.2910,0.7118,2.3182,1.2916
1,Line,0.1365,,,,,,,,,,,,,,,,90,0.0000,-0.1279,-0.0474,0.7118,1.4364,0.5738,0.7118,1.5644,0.6212
1,Line,0.2014,,,,,,,,,,,,,,,,3,-0.2000,-0.0095,0.0219,0.5118,1.2957,0.5582,0.7118,1.3052,0.5363
1,Line,0.1365,,,,,,,,,,,,,,,,90,0.0000,-0.1312,-0.0374,0.7118,1.3052,0.5363,0.7118,1.4364,0.5738
1,Line,0.0410,,,,,,,,,,,,,,,,90,0.0000,-0.0372,-0.0172,0.7118,1.5644,0.6212,0.7118,1.6016,0.6384
1,Line,0.2017,,,,,,,,,,,,,,,,5,-0.2000,-0.0172,0.0193,0.5118,1.5471,0.6405,0.7118,1.5644,0.6212
1,Line,0.2015,,,,,,,,,,,,,,,,4,-0.2000,-0.0134,0.0207,0.5118,1.4230,0.5945,0.7118,1.4364,0.5738
1,Line,0.2027,,,,,,,,,,,,,,,,9,-0.2000,-0.0312,0.0108,0.5118,1.9974,0.9154,0.7118,2.0285,0.9045
1,Line,0.0549,,,,,,,,,,,,,,,,90,0.0000,0.0139,-0.0532,0.7118,2.3187,1.4555,0.7118,2.3049,1.5086
1,Line,0.0064,,,,,,,,,,,,,,,,11,-0.0063,-0.0013,-0.0002,0.7055,2.3175,1.4553,0.7118,2.3187,1.4555
1,Line,0.0329,,,,,,,,,,,,,,,,11,-0.0322,-0.0064,-0.0012,0.6796,2.2985,1.5075,0.7118,2.3049,1.5086
1,Line,0.0678,,,,,,,,,,,,,,,,83,-0.0014,-0.0108,0.0669,0.7646,1.2219,2.2797,0.7660,1.2328,2.2128
1,Line,0.0090,,,,,,,,,,,,,,,,71,0.0028,0.0085,-0.0006,0.3647,1.4786,1.8701,0.3618,1.4701,1.8708
1,Line,0.0913,,,,,,,,,,,,,,,,0,0.0913,0.0000,0.0000,0.5122,1.7392,1.8194,0.4208,1.7392,1.8194
1,Line,0.2018,,,,,,,,,,,,,,,,176,-0.2000,0.0150,0.0222,0.5118,0.5048,0.5465,0.7118,0.4898,0.5243
1,Line,0.1555,,,,,,,,,,,,,,,,11,-0.1526,-0.0301,0.0006,0.5592,2.2739,1.2391,0.7118,2.3040,1.2385
1,Line,0.2021,,,,,,,,,,,,,,,,174,-0.2000,0.0197,0.0217,0.5118,0.3540,0.5632,0.7118,0.3343,0.5415
1,Line,0.2024,,,,,,,,,,,,,,,,8,-0.2000,-0.0279,0.0133,0.5118,1.8931,0.8338,0.7118,1.9211,0.8205
1,Line,0.0417,,,,,,,,,,,,,,,,38,0.0168,0.0129,0.0359,0.5788,2.2917,1.2910,0.5620,2.2788,1.2551
1,Line,0.0170,,,,,,,,,,,,,,,,60,0.0028,0.0049,0.0161,0.5620,2.2788,1.2551,0.5592,2.2739,1.2391
