Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,90,0.1557,44.9510,4.7358,-215.2996,7012.9947,2166.1879,45.2000,-215.4553,6968.0437,2161.4521
1,Line,,,,,,,,,,,,,,90,-0.0842,51.8618,5.2214,-194.8965,6881.6572,2026.5647,52.1240,-194.8123,6829.7955,2021.3433
1,Line,,,,,,,,,,,,,,90,0.1833,52.9112,5.5745,-215.1163,7065.9059,2171.7624,53.2044,-215.2996,7012.9947,2166.1879
1,Line,,,,,,,,,,,,,,90,-0.0790,48.6823,4.9013,-194.9755,6930.3395,2031.4661,48.9284,-194.8965,6881.6572,2026.5647
1,Line,,,,,,,,,,,,,,90,0.0032,0.9333,0.0983,-215.7936,6870.3697,2151.1616,0.9385,-215.7969,6869.4364,2151.0632
1,Line,,,,,,,,,,,,,,90,0.1696,48.9476,5.1569,-215.6241,6919.3173,2156.3185,49.2188,-215.7936,6870.3697,2151.1616
1,Line,,,,,,,,,,,,,,90,0.2817,50.9078,3.5977,-211.9429,7019.9123,2111.0315,51.0355,-212.2245,6969.0046,2107.4338
1,Line,,,,,,,,,,,,,,90,0.0202,3.6579,0.2585,-211.9226,7023.5703,2111.2900,3.6671,-211.9429,7019.9123,2111.0315
1,Line,,,,,,,,,,,,,,90,0.7384,213.1574,22.4573,-214.2791,7307.5713,2197.2231,214.3384,-215.0175,7094.4140,2174.7658
1,Line,,,,,,,,,,,,,,90,-0.1087,66.9926,6.7448,-195.1566,7041.9017,2042.6982,67.3313,-195.0478,6974.9092,2035.9533
1,Line,,,,,,,,,,,,,,90,0.2209,63.7569,6.7171,-214.0583,7371.3283,2203.9403,64.1102,-214.2791,7307.5713,2197.2231
1,Line,,,,,,,,,,,,,,90,-0.0207,12.7739,1.2861,-195.1773,7054.6756,2043.9842,12.8385,-195.1566,7041.9017,2042.6982
1,Line,,,,,,,,,,,,,,90,-0.0723,44.5697,4.4873,-195.0478,6974.9092,2035.9533,44.7950,-194.9755,6930.3395,2031.4661
1,Line,,,,,,,,,,,,,,90,1.4659,264.9595,18.7247,-210.3289,7311.6391,2131.6478,265.6244,-211.7948,7046.6796,2112.9231
1,Line,,,,,,,,,,,,,,90,0.3523,63.6726,4.4997,-209.9766,7375.3117,2136.1476,63.8324,-210.3289,7311.6391,2131.6478
1,Line,,,,,,,,,,,,,,90,0.0988,28.5081,3.0035,-215.0175,7094.4140,2174.7658,28.6660,-215.1163,7065.9059,2171.7624
1,Line,,,,,,,,,,,,,,90,0.1688,48.7264,5.1336,-215.4553,6968.0437,2161.4521,48.9964,-215.6241,6919.3173,2156.3185
1,Line,,,,,,,,,,,,,,90,0.1296,37.4000,3.9403,-215.8313,6859.5021,2150.0166,37.6072,-215.9609,6822.1021,2146.0763
1,Line,,,,,,,,,,,,,,90,-0.0128,7.8893,0.7943,-194.5779,6685.4060,2006.8061,7.9292,-194.5651,6677.5167,2006.0118
1,Line,,,,,,,,,,,,,,91,-3.2313,160.0998,14.3997,-151.0683,7294.8887,2235.0110,160.7786,-147.8370,7134.7889,2220.6113
1,Line,,,,,,,,,,,,,,90,0.2667,48.2088,3.4069,-212.4754,6923.6630,2104.2295,48.3298,-212.7421,6875.4542,2100.8226
1,Line,,,,,,,,,,,,,,91,-0.2008,9.9474,0.8947,-147.8370,7134.7889,2220.6113,9.9896,-147.6362,7124.8415,2219.7166
1,Line,,,,,,,,,,,,,,90,0.2894,52.3037,3.6963,-212.7421,6875.4542,2100.8226,52.4349,-213.0315,6823.1505,2097.1263
1,Line,,,,,,,,,,,,,,90,-0.2053,34.5374,2.8744,-111.6146,7155.4141,2261.4392,34.6574,-111.4092,7120.8768,2258.5648
1,Line,,,,,,,,,,,,,,91,-0.0980,11.1783,1.0231,-128.1456,7135.5973,2223.4195,11.2255,-128.0475,7124.4190,2222.3964
1,Line,,,,,,,,,,,,,,91,-0.4833,55.0991,5.0430,-130.0077,7347.8982,2242.8507,55.3315,-129.5244,7292.7991,2237.8076
1,Line,,,,,,,,,,,,,,91,-1.1200,55.4932,4.9912,-152.1884,7350.3819,2240.0022,55.7285,-151.0683,7294.8887,2235.0110
1,Line,,,,,,,,,,,,,,90,-0.0792,48.7838,4.9116,-194.8123,6829.7955,2021.3433,49.0305,-194.7331,6781.0117,2016.4317
1,Line,,,,,,,,,,,,,,90,-0.2938,49.4083,4.1121,-112.5676,7315.7130,2274.7802,49.5800,-112.2739,7266.3046,2270.6682
1,Line,,,,,,,,,,,,,,90,-0.6593,110.8905,9.2290,-112.2739,7266.3046,2270.6682,111.2758,-111.6146,7155.4141,2261.4392
1,Line,,,,,,,,,,,,,,91,-1.3788,157.2018,14.3881,-129.5244,7292.7991,2237.8076,157.8649,-128.1456,7135.5973,2223.4195
1,Line,,,,,,,,,,,,,,90,0.2509,45.3416,3.2043,-212.2245,6969.0046,2107.4338,45.4553,-212.4754,6923.6630,2104.2295
1,Line,,,,,,,,,,,,,,90,-0.0525,32.3454,3.2565,-194.7331,6781.0117,2016.4317,32.5090,-194.6806,6748.6662,2013.1752
1,Line,,,,,,,,,,,,,,269,-0.8938,-37.6177,-3.3157,157.6802,7289.3049,2231.1247,37.7741,158.5739,7326.9226,2234.4405
1,Line,,,,,,,,,,,,,,89,0.7617,37.7399,3.3944,151.7084,7326.5987,2237.8631,37.8999,150.9466,7288.8588,2234.4687
1,Line,,,,,,,,,,,,,,90,0.0504,8.4750,0.7053,112.6113,7323.0580,2275.3915,8.5045,112.5609,7314.5830,2274.6862
1,Line,,,,,,,,,,,,,,270,-0.0651,-22.8351,-2.2048,118.3998,7302.5725,2248.2245,22.9414,118.4649,7325.4076,2250.4293
1,Line,,,,,,,,,,,,,,89,0.7832,38.8026,3.4900,152.4915,7365.4014,2241.3531,38.9671,151.7084,7326.5987,2237.8631
1,Line,,,,,,,,,,,,,,89,0.3403,38.7968,3.5509,130.1586,7365.1062,2244.4257,38.9604,129.8183,7326.3095,2240.8747
1,Line,,,,,,,,,,,,,,89,0.3320,37.8474,3.4640,129.8183,7326.3095,2240.8747,38.0070,129.4864,7288.4621,2237.4107
1,Line,,,,,,,,,,,,,,269,-0.9221,-38.8092,-3.4208,158.5739,7326.9226,2234.4405,38.9706,159.4960,7365.7317,2237.8612
1,Line,,,,,,,,,,,,,,270,-0.0509,-26.9931,-2.4460,104.7886,7294.7430,2286.9756,27.1038,104.8396,7321.7362,2289.4217
1,Line,,,,,,,,,,,,,,90,0.2308,38.8268,3.2314,112.8421,7361.8848,2278.6229,38.9617,112.6113,7323.0580,2275.3915
1,Line,,,,,,,,,,,,,,89,0.2336,11.5747,1.0411,133.9884,6448.6483,2158.8982,11.6238,133.7548,6437.0736,2157.8572
1,Line,,,,,,,,,,,,,,269,-0.2547,-10.7201,-0.9449,137.4564,6438.1041,2156.0975,10.7646,137.7111,6448.8242,2157.0424
1,Line,,,,,,,,,,,,,,270,-0.0069,-3.6364,-0.3295,104.7818,7291.1067,2286.6461,3.6513,104.7886,7294.7430,2286.9756
