Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0091,,,,,,,,,,,,,,,,68,0.0016,0.0039,0.0081,0.5169,1.2621,2.6454,0.5154,1.2582,2.6373
1,Line,0.0253,,,,,,,,,,,,,,,,335,0.0228,-0.0107,0.0016,0.5398,1.2514,2.6470,0.5169,1.2621,2.6454
1,Line,0.0253,,,,,,,,,,,,,,,,333,0.0224,-0.0116,0.0019,0.5621,1.2398,2.6490,0.5398,1.2514,2.6470
1,Line,0.0253,,,,,,,,,,,,,,,,330,0.0218,-0.0125,0.0023,0.5840,1.2273,2.6513,0.5621,1.2398,2.6490
1,Line,0.0106,,,,,,,,,,,,,,,,68,0.0018,0.0045,0.0094,0.5398,1.2514,2.6470,0.5379,1.2469,2.6376
1,Line,0.0119,,,,,,,,,,,,,,,,87,0.0001,0.0028,0.0115,0.7198,1.1207,2.6886,0.7197,1.1179,2.6770
1,Line,0.0253,,,,,,,,,,,,,,,,311,0.0165,-0.0188,0.0038,0.7363,1.1020,2.6923,0.7198,1.1207,2.6886
1,Line,0.0091,,,,,,,,,,,,,,,,267,-0.0001,-0.0022,-0.0089,0.7519,1.0804,2.6873,0.7520,1.0826,2.6962
1,Line,0.0106,,,,,,,,,,,,,,,,87,0.0001,0.0025,0.0103,0.7363,1.1020,2.6923,0.7362,1.0994,2.6820
1,Line,0.0253,,,,,,,,,,,,,,,,309,0.0157,-0.0194,0.0038,0.7520,1.0826,2.6962,0.7363,1.1020,2.6923
1,Line,0.0140,,,,,,,,,,,,,,,,68,0.0024,0.0060,0.0124,0.6260,1.1999,2.6569,0.6236,1.1939,2.6445
1,Line,0.0253,,,,,,,,,,,,,,,,323,0.0201,-0.0149,0.0034,0.6461,1.1850,2.6603,0.6260,1.1999,2.6569
1,Line,0.0253,,,,,,,,,,,,,,,,321,0.0195,-0.0157,0.0037,0.6656,1.1693,2.6640,0.6461,1.1850,2.6603
1,Line,0.0253,,,,,,,,,,,,,,,,319,0.0188,-0.0164,0.0040,0.6843,1.1528,2.6680,0.6656,1.1693,2.6640
1,Line,0.0141,,,,,,,,,,,,,,,,68,0.0024,0.0060,0.0125,0.6461,1.1850,2.6603,0.6437,1.1789,2.6478
1,Line,0.0253,,,,,,,,,,,,,,,,328,0.0213,-0.0133,0.0027,0.6053,1.2140,2.6539,0.5840,1.2273,2.6513
1,Line,0.0119,,,,,,,,,,,,,,,,68,0.0020,0.0051,0.0105,0.5621,1.2398,2.6490,0.5601,1.2347,2.6384
1,Line,0.0129,,,,,,,,,,,,,,,,68,0.0022,0.0055,0.0114,0.5840,1.2273,2.6513,0.5817,1.2218,2.6399
1,Line,0.0135,,,,,,,,,,,,,,,,68,0.0023,0.0058,0.0120,0.6053,1.2140,2.6539,0.6029,1.2082,2.6419
1,Line,0.0253,,,,,,,,,,,,,,,,326,0.0207,-0.0141,0.0030,0.6260,1.1999,2.6569,0.6053,1.2140,2.6539
1,Line,0.0129,,,,,,,,,,,,,,,,87,0.0002,0.0031,0.0125,0.7025,1.1388,2.6848,0.7024,1.1357,2.6724
1,Line,0.0119,,,,,,,,,,,,,,,,87,0.0001,0.0028,0.0115,0.5623,1.2426,2.6605,0.5621,1.2398,2.6490
1,Line,0.0253,,,,,,,,,,,,,,,,331,0.0219,-0.0122,0.0032,0.5841,1.2304,2.6637,0.5623,1.2426,2.6605
1,Line,0.0253,,,,,,,,,,,,,,,,328,0.0213,-0.0131,0.0033,0.6054,1.2173,2.6671,0.5841,1.2304,2.6637
1,Line,0.0253,,,,,,,,,,,,,,,,326,0.0207,-0.0140,0.0034,0.6262,1.2032,2.6705,0.6054,1.2173,2.6671
