Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.9021,9.8620,2.8284,0.9069,9.8586,2.8288
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.9023,9.8618,2.8235,0.9070,9.8584,2.8239
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.9018,9.8608,2.8188,0.9065,9.8574,2.8192
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8955,9.8555,2.8435,0.9002,9.8521,2.8439
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8998,9.8600,2.8374,0.9046,9.8566,2.8379
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.9013,9.8614,2.8331,0.9060,9.8580,2.8336
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8942,9.8509,2.8076,0.8989,9.8475,2.8081
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8915,9.8478,2.8077,0.8963,9.8444,2.8082
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8889,9.8449,2.8091,0.8937,9.8415,2.8095
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.9006,9.8590,2.8146,0.9054,9.8556,2.8150
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8988,9.8567,2.8112,0.9036,9.8533,2.8116
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8966,9.8539,2.8088,0.9014,9.8505,2.8092
1,Line,,,,,,,0.0151,,,,,,,,,,88,-0.0057,-0.0063,0.0045,0.8913,9.8394,2.8180,0.8983,9.8472,2.8125
1,Line,,,,,,,0.0102,,,,,,,,,,86,0.0020,0.0017,-0.0069,0.8913,9.8394,2.8180,0.8889,9.8373,2.8265
1,Line,,,,,,,0.0137,,,,,,,,,,176,0.0018,0.0029,0.0093,0.8910,9.8408,2.8380,0.8889,9.8373,2.8265
1,Line,,,,,,,0.0162,,,,,,,,,,130,0.0002,0.0095,0.0011,0.9080,9.8275,2.8196,0.9078,9.8157,2.8182
1,3D Polyline,,,,,,,0.1286,,,,,,,,,,,,,,,,,,,
1,Line,,,,,,,0.0102,,,,,,,,,,90,0.0037,0.0046,0.0024,0.9029,9.8528,2.8154,0.8983,9.8472,2.8125
1,Line,,,,,,,0.0137,,,,,,,,,,176,-0.0018,-0.0029,-0.0093,0.9029,9.8528,2.8154,0.9051,9.8563,2.8269
1,3D Polyline,,,,,,,0.1286,,,,,,,,,,,,,,,,,,,
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8978,9.8580,2.8409,0.9026,9.8546,2.8414
1,Line,,,,,,,0.0102,,,,,,,,,,90,-0.0037,-0.0046,-0.0024,0.8910,9.8408,2.8380,0.8956,9.8464,2.8410
1,Line,,,,,,,0.0151,,,,,,,,,,88,0.0057,0.0063,-0.0045,0.9027,9.8542,2.8354,0.8956,9.8464,2.8410
1,Line,,,,,,,0.0102,,,,,,,,,,86,-0.0020,-0.0017,0.0069,0.9027,9.8542,2.8354,0.9051,9.8563,2.8269
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8749,9.8595,2.8353,0.8901,9.8486,2.8367
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8806,9.8660,2.8327,0.8959,9.8552,2.8341
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8712,9.8545,2.8275,0.8864,9.8436,2.8289
1,Line,,,,,,,0.0301,,,,,,,,,,178,0.0154,-0.0068,0.0106,0.9219,9.8444,2.8285,0.9029,9.8528,2.8154
1,3D Polyline,,,,,,,0.0714,,,,,,,,,,,,,,,,,,,
1,Circle,,,,,,,,0.0004,0.8769,9.8610,2.8248,0.0119,,,0.0748,0.0238,,,,,,,,,,
1,Line,,,,,,,0.0380,,,,,,,,,,143,-0.0073,0.0206,-0.0072,0.9949,9.8107,2.8094,1.0040,9.7852,2.8183
1,Line,,,,,,,0.0223,,,,,,,,,,178,0.0033,0.0043,0.0152,0.9472,9.8402,2.8276,0.9431,9.8349,2.8089
1,Line,,,,,,,0.0223,,,,,,,,,,178,0.0033,0.0043,0.0152,0.9690,9.8076,2.8361,0.9650,9.8023,2.8173
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8732,9.8560,2.8170,0.8885,9.8452,2.8184
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8790,9.8626,2.8144,0.8943,9.8517,2.8158
1,Line,,,,,,,0.0243,,,,,,,,,,178,-0.0124,0.0088,-0.0012,0.8827,9.8676,2.8222,0.8980,9.8567,2.8236
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8823,9.8384,2.8242,0.8871,9.8350,2.8246
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8821,9.8386,2.8291,0.8869,9.8352,2.8295
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8826,9.8396,2.8338,0.8874,9.8362,2.8342
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8866,9.8424,2.8116,0.8914,9.8390,2.8120
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8846,9.8403,2.8151,0.8894,9.8369,2.8156
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8831,9.8390,2.8194,0.8879,9.8356,2.8199
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8902,9.8495,2.8449,0.8950,9.8461,2.8454
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8929,9.8525,2.8448,0.8977,9.8491,2.8453
1,Line,,,,,,,0.0281,,,,,,,,,,14,-0.0171,0.0049,-0.0037,0.8983,9.8472,2.8125,0.9194,9.8411,2.8170
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8838,9.8413,2.8380,0.8886,9.8379,2.8384
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8856,9.8437,2.8414,0.8903,9.8403,2.8418
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8877,9.8464,2.8437,0.8925,9.8430,2.8442
