Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0019,0.0044,-0.0020,1.6644,0.9301,1.7729,1.6664,0.9257,1.7749
1,Line,0.0293,,,,,,,,,,,,,,,,25,0.0265,0.0125,0.0000,1.6681,0.9219,1.7780,1.6416,0.9094,1.7780
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0021,0.0047,-0.0007,1.6623,0.9348,1.7722,1.6644,0.9301,1.7729
1,Line,0.0296,,,,,,,,,,,,,,,,25,0.0268,0.0127,0.0000,1.6664,0.9257,1.7749,1.6396,0.9130,1.7749
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0017,0.0038,-0.0032,1.6664,0.9257,1.7749,1.6681,0.9219,1.7780
1,Line,0.0289,,,,,,,,,,,,,,,,25,0.0262,0.0124,0.0000,1.6701,0.9172,1.7870,1.6440,0.9048,1.7870
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0008,0.0018,-0.0048,1.6693,0.9190,1.7822,1.6701,0.9172,1.7870
1,Line,0.0291,,,,,,,,,,,,,,,,25,0.0263,0.0124,0.0000,1.6693,0.9190,1.7822,1.6431,0.9066,1.7822
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0013,0.0029,-0.0041,1.6681,0.9219,1.7780,1.6693,0.9190,1.7822
1,Line,0.0300,,,,,,,,,,,,,,,,25,0.0271,0.0128,0.0000,1.6644,0.9301,1.7729,1.6373,0.9173,1.7729
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0013,0.0029,0.0041,1.6553,0.9506,1.7822,1.6566,0.9477,1.7780
1,Line,0.0311,,,,,,,,,,,,,,,,25,0.0281,0.0133,0.0000,1.6583,0.9439,1.7749,1.6302,0.9306,1.7749
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0008,0.0018,0.0048,1.6545,0.9524,1.7870,1.6553,0.9506,1.7822
1,Line,0.0314,,,,,,,,,,,,,,,,25,0.0284,0.0134,0.0000,1.6566,0.9477,1.7780,1.6283,0.9343,1.7780
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0017,0.0038,0.0032,1.6566,0.9477,1.7780,1.6583,0.9439,1.7749
1,Line,0.0304,,,,,,,,,,,,,,,,25,0.0274,0.0130,0.0000,1.6623,0.9348,1.7722,1.6349,0.9218,1.7722
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0021,0.0047,0.0007,1.6602,0.9395,1.7729,1.6623,0.9348,1.7722
1,Line,0.0307,,,,,,,,,,,,,,,,25,0.0278,0.0131,0.0000,1.6602,0.9395,1.7729,1.6325,0.9264,1.7729
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0019,0.0044,0.0020,1.6583,0.9439,1.7749,1.6602,0.9395,1.7729
1,Line,0.5967,,,,,,,,,,,,,,,,23,0.5513,0.2285,0.0000,2.2136,1.1633,1.8121,1.6623,0.9348,1.8121
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0020,-0.0048,-0.0007,2.2156,1.1585,1.8114,2.2136,1.1633,1.8121
1,Line,0.5966,,,,,,,,,,,,,,,,23,0.5512,0.2284,0.0000,2.2156,1.1585,1.8114,1.6644,0.9301,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0018,-0.0044,-0.0020,2.2174,1.1541,1.8094,2.2156,1.1585,1.8114
1,Line,0.5969,,,,,,,,,,,,,,,,23,0.5514,0.2285,0.0000,2.2116,1.1680,1.8114,1.6602,0.9395,1.8114
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0018,-0.0044,0.0020,2.2116,1.1680,1.8114,2.2098,1.1725,1.8094
1,Line,0.5971,,,,,,,,,,,,,,,,23,0.5516,0.2286,0.0000,2.2082,1.1763,1.8062,1.6566,0.9477,1.8062
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0020,-0.0048,0.0007,2.2136,1.1633,1.8121,2.2116,1.1680,1.8114
1,Line,0.5970,,,,,,,,,,,,,,,,23,0.5515,0.2286,0.0000,2.2098,1.1725,1.8094,1.6583,0.9439,1.8094
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0016,-0.0038,-0.0032,2.2190,1.1503,1.8062,2.2174,1.1541,1.8094
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0003,-0.0006,-0.0052,1.6704,0.9166,1.7921,1.6701,0.9172,1.7973
1,Line,0.5963,,,,,,,,,,,,,,,,23,0.5509,0.2283,0.0000,2.2202,1.1473,1.8021,1.6693,0.9190,1.8021
1,Line,0.0289,,,,,,,,,,,,,,,,25,0.0261,0.0124,0.0000,1.6704,0.9166,1.7921,1.6443,0.9042,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,114,-0.0003,0.0006,-0.0052,1.6701,0.9172,1.7870,1.6704,0.9166,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0008,-0.0018,-0.0048,2.2210,1.1455,1.7973,2.2202,1.1473,1.8021
1,Line,0.0052,,,,,,,,,,,,,,,,293,0.0012,-0.0029,-0.0041,2.2202,1.1473,1.8021,2.2190,1.1503,1.8062
1,Line,0.5965,,,,,,,,,,,,,,,,23,0.5511,0.2284,0.0000,2.2174,1.1541,1.8094,1.6664,0.9257,1.8094
1,Line,0.5963,,,,,,,,,,,,,,,,203,-0.5508,-0.2283,0.0000,1.6701,0.9172,1.7973,2.2210,1.1455,1.7973
1,Line,0.5964,,,,,,,,,,,,,,,,23,0.5510,0.2283,0.0000,2.2190,1.1503,1.8062,1.6681,0.9219,1.8062
1,Line,0.0316,,,,,,,,,,,,,,,,25,0.0286,0.0135,0.0000,1.6553,0.9506,1.7822,1.6268,0.9371,1.7822
1,Line,0.0052,,,,,,,,,,,,,,,,298,0.0003,-0.0006,-0.0052,1.6443,0.9042,1.7921,1.6440,0.9048,1.7973
1,Line,0.0291,,,,,,,,,,,,,,,,25,0.0263,0.0124,0.0000,1.6693,0.9190,1.8021,1.6431,0.9066,1.8021
1,Line,0.0284,,,,,,,,,,,,,,,,31,0.0244,0.0146,0.0000,1.6443,0.9042,1.7921,1.6200,0.8896,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,118,-0.0003,0.0006,-0.0052,1.6440,0.9048,1.7870,1.6443,0.9042,1.7921
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0008,-0.0018,-0.0048,1.6701,0.9172,1.7973,1.6693,0.9190,1.8021
1,Line,0.0052,,,,,,,,,,,,,,,,294,0.0013,-0.0029,-0.0041,1.6693,0.9190,1.8021,1.6681,0.9219,1.8062
1,Line,0.0296,,,,,,,,,,,,,,,,25,0.0268,0.0127,0.0000,1.6664,0.9257,1.8094,1.6396,0.9130,1.8094
1,Line,0.0289,,,,,,,,,,,,,,,,205,-0.0262,-0.0124,0.0000,1.6440,0.9048,1.7973,1.6701,0.9172,1.7973
1,Line,0.0293,,,,,,,,,,,,,,,,25,0.0265,0.0125,0.0000,1.6681,0.9219,1.8062,1.6416,0.9094,1.8062
1,Line,0.0052,,,,,,,,,,,,,,,,118,-0.0009,0.0018,-0.0048,1.6431,0.9066,1.7822,1.6440,0.9048,1.7870
1,Line,0.0294,,,,,,,,,,,,,,,,31,0.0252,0.0151,0.0000,1.6396,0.9130,1.7749,1.6144,0.8979,1.7749
