Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0458,,,,,,,,,,335,0.0379,-0.0173,0.0189,194.7012,-1.7218,93.4853,194.6633,-1.7045,93.4665
1,Line,5.4576,,,,,,,,,,324,4.4039,-3.1875,-0.4803,144.7046,-10.9375,103.7762,140.3007,-7.7500,104.2565
1,Line,4.1579,,,,,,,,,,234,-2.3323,-3.1875,-1.2992,156.6573,-10.9375,105.2293,158.9896,-7.7500,106.5285
1,Line,1.4375,,,,,,,,,,90,0.0000,1.4375,0.0000,192.0400,5.0625,92.9461,192.0400,3.6250,92.9461
1,Line,0.4150,,,,,,,,,,173,-0.2144,0.0246,0.3545,194.5658,1.7434,93.8818,194.7802,1.7189,93.5273
1,Line,5.0877,,,,,,,,,,289,1.1249,-3.1875,-3.8025,150.5229,-10.9375,109.6711,149.3980,-7.7500,113.4736
1,Line,0.0465,,,,,,,,,,46,0.0298,0.0309,0.0179,194.8456,-1.6679,93.5654,194.8158,-1.6988,93.5475
1,Line,4.2779,,,,,,,,,,233,-2.3704,-3.1875,-1.5878,156.7250,-10.9375,105.7412,159.0954,-7.7500,107.3290
1,Line,1.4375,,,,,,,,,,270,0.0000,-1.4375,0.0000,188.5934,-5.0625,81.1551,188.5934,-3.6250,81.1551
1,Line,4.3016,,,,,,,,,,234,-2.3367,-3.1875,-1.6981,156.6652,-10.9375,105.9370,159.0019,-7.7500,107.6352
1,Line,4.8804,,,,,,,,,,279,0.4848,-3.1875,-3.6637,151.6586,-10.9375,109.4248,151.1737,-7.7500,113.0886
1,Line,4.3871,,,,,,,,,,234,-2.3176,-3.1875,-1.9275,156.6313,-10.9375,106.3441,158.9489,-7.7500,108.2716
1,Line,4.4464,,,,,,,,,,234,-2.3326,-3.1875,-2.0419,156.6579,-10.9375,106.5471,158.9905,-7.7500,108.5890
1,Line,5.5413,,,,,,,,,,307,2.4317,-3.1875,-3.8253,148.2041,-10.9375,109.7114,145.7724,-7.7500,113.5367
1,Line,5.8001,,,,,,,,,,326,4.7909,-3.1875,-0.7273,144.0179,-10.9375,104.2144,139.2270,-7.7500,104.9418
1,Line,5.6297,,,,,,,,,,325,4.6019,-3.1875,-0.5968,144.3533,-10.9375,103.9828,139.7514,-7.7500,104.5796
1,Arc,9.0511,4.5696,179.5132,2.8125,88.7592,13.2080,15,39,,,,,,,,,,,,
1,Line,4.3384,,,,,,,,,,234,-2.3190,-3.1875,-1.8121,156.6337,-10.9375,106.1393,158.9527,-7.7500,107.9515
1,Line,4.4050,,,,,,,,,,249,-1.2525,-3.1875,-2.7704,154.7412,-10.9375,107.8396,155.9937,-7.7500,110.6100
1,Line,5.2845,,,,,,,,,,323,4.1980,-3.1875,-0.3786,145.0700,-10.9375,103.5957,140.8720,-7.7500,103.9744
1,Line,4.2678,,,,,,,,,,233,-2.4194,-3.1875,-1.4833,156.8119,-10.9375,105.5558,159.2314,-7.7500,107.0392
1,Line,0.0483,,,,,,,,,,85,0.0039,0.0452,0.0167,192.6177,-1.7099,95.4273,192.6137,-1.7551,95.4106
1,Line,0.8125,,,,,,,,,,270,0.0000,-0.8125,0.0000,171.4430,2.8125,94.4187,171.4430,3.6250,94.4187
1,Line,0.0456,,,,,,,,,,98,-0.0025,0.0186,0.0416,191.3515,-1.8331,95.4859,191.3541,-1.8517,95.4443
1,Line,10.1613,,,,,,,,,,258,-2.0914,-9.9375,0.3540,159.2243,0.0000,82.6244,161.3157,9.9375,82.2704
1,Line,5.0527,,,,,,,,,,276,0.3405,-3.1875,3.9056,151.9147,-10.9375,95.9938,151.5743,-7.7500,92.0881
1,Line,0.3955,,,,,,,,,,0,0.3932,0.0030,-0.0430,192.1535,-1.7996,95.2369,191.7603,-1.8026,95.2800
