,1454.5729,2001.771,760.5483,,,,,,,,,,,,,,,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,45.2538,,,,,,,,,,,,,,,,103,-6.0118,28.669,34.3861,1482.6273,1996.4042,701.3835,1488.639,1967.7352,666.9973
1,Line,44.9138,,,,,,,,,,,,,,,,92,-0.6454,25.4301,36.9144,1481.9819,1994.6227,702.908,1482.6273,1969.1926,665.9936
1,Line,41.0105,,,,,,,,,,,,,,,,103,5.886,-27.915,-29.3577,1445.4525,2026.3925,675.7205,1439.5665,2054.3075,705.0782
1,Line,49.6256,,,,,,,,,,,,,,,,89,-0.6485,-24.8727,-42.831,1441.861,1975.1049,719.6108,1442.5095,1999.9776,762.4418
1,Line,47.7219,,,,,,,,,,,,,,,,86,-2.2945,-32.813,-34.4533,1439.5665,1975.0758,719.6357,1441.861,2007.8888,754.0889
1,Line,49.4671,,,,,,,,,,,,,,,,85,2.5703,29.4718,39.5319,1451.4902,2037.8709,793.0819,1448.9199,2008.3991,753.55
1,Line,49.2453,,,,,,,,,,,,,,,,78,8.2871,41.8887,24.3532,1462.86,2080.5766,816.3681,1454.5729,2038.688,792.0149
1,Line,49.2483,,,,,,,,,,,,,,,,85,-3.1152,-33.7431,-35.6112,1451.4577,2044.9489,783.8391,1454.5729,2078.692,819.4503
1,Line,48.7477,,,,,,,,,,,,,,,,83,4.403,34.4065,34.1238,1462.86,2080.5766,816.3681,1458.457,2046.1701,782.2443
1,Line,48.4408,,,,,,,,,,,,,,,,82,-4.7036,-34.7271,-33.3141,1461.0801,2047.0363,781.1132,1465.7837,2081.7634,814.4272
1,Line,47.3267,,,,,,,,,,,,,,,,86,2.6231,39.6849,25.4914,1461.0801,2085.855,807.7357,1458.457,2046.1701,782.2443
1,Line,49.6256,,,,,,,,,,,,,,,,89,-0.6485,-33.2345,-36.7238,1441.861,2044.0971,784.9514,1442.5095,2077.3315,821.6753
1,Line,47.7219,,,,,,,,,,,,,,,,87,2.2945,39.2593,26.8783,1441.861,2083.3331,811.8601,1439.5665,2044.0738,784.9818
1,Line,49.6404,,,,,,,,,,,,,,,,77,8.9807,40.8885,26.5114,1451.4902,2077.9909,820.5969,1442.5095,2037.1024,794.0854
1,Line,47.6246,,,,,,,,,,,,,,,,86,2.5378,39.5156,26.3027,1451.4577,2084.0639,810.6649,1448.9199,2044.5483,784.3621
1,Line,49.4671,,,,,,,,,,,,,,,,86,2.5703,33.4426,36.2347,1451.4902,2077.9909,820.5969,1448.9199,2044.5483,784.3621
1,Line,45.8565,,,,,,,,,,,,,,,,92,-1.3544,36.4397,27.6656,1476.5542,2092.1164,797.4956,1477.9085,2055.6768,769.83
1,Line,46.5126,,,,,,,,,,,,,,,,81,-5.3219,-35.9908,-28.8423,1476.5542,2054.3338,771.5836,1481.8761,2090.3247,800.4259
1,Line,46.2356,,,,,,,,,,,,,,,,81,5.3466,36.0161,28.3583,1483.2552,2091.6929,798.1883,1477.9085,2055.6768,769.83
1,Line,45.4317,,,,,,,,,,,,,,,,81,-5.3574,-36.0291,-27.0135,1481.959,2059.693,764.5854,1487.3164,2095.722,791.5989
1,Line,46.4077,,,,,,,,,,,,,,,,98,-4.0613,33.1568,32.0922,1483.2552,2091.6929,798.1883,1487.3164,2058.5361,766.0961
1,Line,47.7172,,,,,,,,,,,,,,,,81,5.1768,35.4407,31.397,1473.1479,2084.7525,809.5387,1467.9711,2049.3118,778.1417
1,Line,48.5846,,,,,,,,,,,,,,,,80,7.3642,42.4849,22.1983,1473.1479,2084.7525,809.5387,1465.7837,2042.2676,787.3404
1,Line,46.7487,,,,,,,,,,,,,,,,93,-2.0399,37.3351,27.9165,1467.9711,2087.8074,804.5426,1470.0111,2050.4724,776.6261
1,Line,47.8467,,,,,,,,,,,,,,,,102,-6.6298,33.8466,33.0373,1475.2462,2086.0921,807.3479,1481.8761,2052.2456,774.3106
1,Line,47.4152,,,,,,,,,,,,,,,,81,-5.2352,-35.6197,-30.7218,1470.0111,2050.4724,776.6261,1475.2462,2086.0921,807.3479
1,Line,48.5846,,,,,,,,,,,,,,,,104,-7.3642,32.5078,35.2271,1465.7837,2042.2676,787.3404,1473.1479,2009.7599,752.1133
1,Line,48.4408,,,,,,,,,,,,,,,,81,-4.7036,-31.0545,-36.7615,1461.0801,2011.2131,750.5789,1465.7837,2042.2676,787.3404
1,Line,47.7172,,,,,,,,,,,,,,,,80,5.1768,31.9646,34.9295,1473.1479,2045.7514,782.7911,1467.9711,2013.7868,747.8616
1,Line,47.4152,,,,,,,,,,,,,,,,80,-5.2352,-32.2132,-34.2767,1470.0111,2015.0994,746.4756,1475.2462,2047.3127,780.7523
1,Line,46.7487,,,,,,,,,,,,,,,,94,-2.0399,34.2124,31.6661,1467.9711,2049.3118,778.1417,1470.0111,2015.0994,746.4756
1,Line,49.2483,,,,,,,,,,,,,,,,84,-3.1152,-29.8358,-38.9432,1451.4577,2008.8522,753.0717,1454.5729,2038.688,792.0149
1,Line,47.6246,,,,,,,,,,,,,,,,86,2.5378,36.5497,30.289,1451.4577,2044.9489,783.8391,1448.9199,2008.3991,753.55
1,Line,49.2453,,,,,,,,,,,,,,,,78,8.2871,39.1135,28.5982,1462.86,2040.8845,789.1466,1454.5729,2001.771,760.5483
1,Line,47.3267,,,,,,,,,,,,,,,,86,2.6231,36.8029,29.4999,1461.0801,2047.0363,781.1132,1458.457,2010.2335,751.6133
1,Line,48.7477,,,,,,,,,,,,,,,,82,4.403,30.651,37.5333,1462.86,2040.8845,789.1466,1458.457,2010.2335,751.6133
1,Line,44.9728,,,,,,,,,,,,,,,,90,-0.0228,34.1393,29.1478,1481.959,2059.693,764.5854,1481.9819,2025.5537,735.4376
1,Line,45.4317,,,,,,,,,,,,,,,,80,-5.3574,-33.0079,-30.6315,1481.959,2025.5281,735.4646,1487.3164,2058.5361,766.0961
1,Line,44.9138,,,,,,,,,,,,,,,,91,-0.6454,32.5495,30.8207,1481.9819,2059.7156,764.5558,1482.6273,2027.1661,733.7351
1,Line,41.0105,,,,,,,,,,,,,,,,80,-5.886,-33.409,-22.9124,1439.5665,2085.1384,731.3572,1445.4525,2118.5474,754.2697
1,Line,45.2538,,,,,,,,,,,,,,,,79,6.0118,32.8992,30.364,1488.639,2060.0653,764.0991,1482.6273,2027.1661,733.7351
1,Line,46.5126,,,,,,,,,,,,,,,,80,-5.3219,-32.7788,-32.4462,1476.5542,2019.4668,741.8644,1481.8761,2052.2456,774.3106
1,Line,47.8467,,,,,,,,,,,,,,,,104,-6.6298,30.2077,36.3942,1475.2462,2047.3127,780.7523,1481.8761,2017.1049,744.3581
1,Line,45.8565,,,,,,,,,,,,,,,,93,-1.3544,33.3482,31.3229,1476.5542,2054.3338,771.5836,1477.9085,2020.9857,740.2607
1,Line,46.4077,,,,,,,,,,,,,,,,99,-4.0613,29.6205,35.3821,1483.2552,2053.8402,772.2283,1487.3164,2024.2196,736.8462
1,Line,46.2356,,,,,,,,,,,,,,,,80,5.3466,32.8545,31.9676,1483.2552,2053.8402,772.2283,1477.9085,2020.9857,740.2607
1,Line,48.5846,,,,,,,,,,,,,,,,77,-7.3642,-33.5458,-34.2401,1465.7837,1943.6265,683.6014,1473.1479,1977.1723,717.8416
1,Line,46.5126,,,,,,,,,,,,,,,,81,-5.3219,-32.447,32.778,1476.5542,2638.2365,725.0518,1481.8761,2670.6835,692.2737
1,Line,45.8565,,,,,,,,,,,,,,,,87,-1.3544,-27.9662,36.2092,1476.5542,2638.2365,725.0518,1477.9085,2666.2028,688.8426
1,Line,46.4077,,,,,,,,,,,,,,,,80,-4.0613,-23.6427,39.6268,1483.2552,2638.8261,725.6101,1487.3164,2662.4688,685.9834
1,Line,45.4317,,,,,,,,,,,,,,,,80,-5.3574,-30.6322,33.0072,1481.959,2631.8366,718.9906,1487.3164,2662.4688,685.9834
1,Line,46.2356,,,,,,,,,,,,,,,,80,5.3466,31.9683,-32.8538,1483.2552,2668.6012,690.6792,1477.9085,2636.6328,723.533
1,Line,47.7172,,,,,,,,,,,,,,,,100,5.1768,-26.0289,39.5511,1473.1479,2648.4857,734.7585,1467.9711,2674.5147,695.2074
1,Line,48.5846,,,,,,,,,,,,,,,,75,-7.3642,-26.5181,39.9309,1465.7837,2652.6461,738.6987,1473.1479,2679.1641,698.7678
1,Line,46.7487,,,,,,,,,,,,,,,,86,-2.0399,-28.7652,36.6848,1467.9711,2644.2339,730.7317,1470.0111,2672.9991,694.0469
1,Line,47.4152,,,,,,,,,,,,,,,,100,-5.2352,26.3778,-38.9459,1470.0111,2672.9991,694.0469,1475.2462,2646.6213,732.9927
1,Line,47.8467,,,,,,,,,,,,,,,,75,-6.6298,-24.0622,40.719,1475.2462,2646.6213,732.9927,1481.8761,2670.6835,692.2737
1,Line,46.5126,,,,,,,,,,,,,,,,97,5.3219,-37.3979,26.9929,1481.8761,2531.3172,811.5388,1476.5542,2568.7151,784.5459
1,Line,45.8565,,,,,,,,,,,,,,,,88,-1.3544,-37.7869,25.7951,1476.5542,2529.6753,808.522,1477.9085,2567.4622,782.7268
1,Line,46.2356,,,,,,,,,,,,,,,,97,-5.3466,37.3988,-26.5083,1477.9085,2567.4622,782.7268,1483.2552,2530.0634,809.2352
1,Line,47.7219,,,,,,,,,,,,,,,,94,2.2945,-26.942,39.2152,1441.861,2681.3245,700.4221,1439.5665,2708.2665,661.2069
1,Line,41.0105,,,,,,,,,,,,,,,,76,-5.886,-22.9129,33.4082,1439.5665,2627.7292,659.3816,1445.4525,2650.6421,625.9734
