Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0276,,,,,,,,,,,,,,,,79,-0.0004,-0.0002,-0.0296,13.8284,12.6185,15.0583,13.8288,12.6186,15.0843
1,Line,0.0206,,,,,,,,,,,,,,,,118,-0.0011,-0.0004,0.0092,13.8290,12.6189,15.1100,13.8300,12.6192,15.1019
1,Line,0.0276,,,,,,,,,,,,,,,,51,-0.0005,0.0000,-0.0294,13.8279,12.6184,15.0325,13.8284,12.6185,15.0583
1,Line,0.0140,,,,,,,,,,,,,,,,118,-0.0007,-0.0003,0.0063,13.8288,12.6186,15.0843,13.8294,12.6188,15.0788
1,Line,0.0276,,,,,,,,,,,,,,,,178,-0.0002,-0.0004,-0.0285,13.8290,12.6189,15.1100,13.8292,12.6192,15.1350
1,Line,0.0324,,,,,,,,,,,,,,,,118,-0.0017,-0.0006,0.0145,13.8293,12.6197,15.1589,13.8308,12.6202,15.1462
1,Line,0.0276,,,,,,,,,,,,,,,,146,-0.0003,-0.0003,-0.0293,13.8288,12.6186,15.0843,13.8290,12.6189,15.1100
1,Line,0.0268,,,,,,,,,,,,,,,,118,-0.0014,-0.0005,0.0120,13.8292,12.6192,15.1350,13.8305,12.6197,15.1245
1,Line,0.0071,,,,,,,,,,,,,,,,118,-0.0004,-0.0001,0.0032,13.8284,12.6185,15.0583,13.8287,12.6186,15.0555
1,Line,0.0497,,,,,,,,,,,,,,,,124,-0.0021,-0.0009,0.0341,13.8305,12.6241,15.2303,13.8324,12.6249,15.2004
1,Line,0.0276,,,,,,,,,,,,,,,,17,0.0004,-0.0010,-0.0143,13.8309,12.6232,15.2177,13.8305,12.6241,15.2303
1,Line,0.0479,,,,,,,,,,,,,,,,124,-0.0020,-0.0009,0.0328,13.8309,12.6232,15.2177,13.8327,12.6240,15.1889
1,Line,0.0276,,,,,,,,,,,,,,,,13,0.0002,-0.0010,-0.0170,13.8311,12.6224,15.2028,13.8309,12.6232,15.2177
1,Line,0.0276,,,,,,,,,,,,,,,,23,0.0007,-0.0010,-0.0082,13.8301,12.6250,15.2402,13.8295,12.6259,15.2474
1,Line,0.0507,,,,,,,,,,,,,,,,118,0.0027,0.0010,-0.0226,13.8295,12.6259,15.2474,13.8272,12.6251,15.2673
1,Line,0.0507,,,,,,,,,,,,,,,,124,-0.0022,-0.0010,0.0347,13.8301,12.6250,15.2402,13.8320,12.6258,15.2098
1,Line,0.0276,,,,,,,,,,,,,,,,20,0.0005,-0.0010,-0.0113,13.8305,12.6241,15.2303,13.8301,12.6250,15.2402
1,Line,0.0507,,,,,,,,,,,,,,,,118,-0.0027,-0.0010,0.0226,13.8277,12.6242,15.2601,13.8301,12.6250,15.2402
1,Line,0.0276,,,,,,,,,,,,,,,,22,0.0006,-0.0010,-0.0118,13.8282,12.6233,15.2498,13.8277,12.6242,15.2601
1,Line,0.0497,,,,,,,,,,,,,,,,118,-0.0026,-0.0009,0.0222,13.8282,12.6233,15.2498,13.8305,12.6241,15.2303
1,Line,0.0276,,,,,,,,,,,,,,,,21,0.0005,-0.0010,-0.0151,13.8287,12.6224,15.2365,13.8282,12.6233,15.2498
1,Line,0.0071,,,,,,,,,,,,,,,,112,-0.0004,-0.0001,0.0013,13.8280,12.6183,15.0594,13.8284,12.6185,15.0583
1,Line,0.0276,,,,,,,,,,,,,,,,164,-0.0001,0.0001,-0.0307,13.8279,12.6184,15.0325,13.8280,12.6183,15.0594
1,Line,0.0276,,,,,,,,,,,,,,,,23,0.0007,-0.0010,-0.0082,13.8277,12.6242,15.2601,13.8272,12.6251,15.2673
1,Line,0.0507,,,,,,,,,,,,,,,,112,0.0030,0.0009,-0.0090,13.8272,12.6251,15.2673,13.8245,12.6243,15.2752
1,Line,0.0276,,,,,,,,,,,,,,,,20,0.0004,-0.0009,-0.0182,13.8290,12.6216,15.2205,13.8287,12.6224,15.2365
1,Line,0.0276,,,,,,,,,,,,,,,,14,0.0000,-0.0006,-0.0256,13.8293,12.6197,15.1589,13.8293,12.6203,15.1814
1,Line,0.0417,,,,,,,,,,,,,,,,118,-0.0022,-0.0008,0.0186,13.8292,12.6209,15.2020,13.8311,12.6216,15.1857
1,Line,0.0276,,,,,,,,,,,,,,,,8,-0.0001,-0.0005,-0.0273,13.8292,12.6192,15.1350,13.8293,12.6197,15.1589
1,Line,0.0374,,,,,,,,,,,,,,,,118,-0.0020,-0.0007,0.0167,13.8293,12.6203,15.1814,13.8310,12.6209,15.1668
1,Line,0.0276,,,,,,,,,,,,,,,,18,0.0003,-0.0008,-0.0211,13.8292,12.6209,15.2020,13.8290,12.6216,15.2205
1,Line,0.0479,,,,,,,,,,,,,,,,118,-0.0025,-0.0009,0.0214,13.8287,12.6224,15.2365,13.8309,12.6232,15.2177
1,Line,0.0276,,,,,,,,,,,,,,,,16,0.0001,-0.0007,-0.0235,13.8293,12.6203,15.1814,13.8292,12.6209,15.2020
1,Line,0.0452,,,,,,,,,,,,,,,,118,-0.0024,-0.0008,0.0202,13.8290,12.6216,15.2205,13.8311,12.6224,15.2028
1,Line,0.0276,,,,,,,,,,,,,,,,7,0.0001,-0.0010,-0.0152,13.8328,12.6231,15.1756,13.8327,12.6240,15.1889
1,Line,0.0497,,,,,,,,,,,,,,,,131,-0.0015,-0.0009,0.0436,13.8324,12.6249,15.2004,13.8337,12.6257,15.1622
1,Line,0.0276,,,,,,,,,,,,,,,,180,-0.0001,-0.0010,-0.0171,13.8327,12.6223,15.1607,13.8328,12.6231,15.1756
1,Line,0.0479,,,,,,,,,,,,,,,,131,-0.0014,-0.0008,0.0420,13.8327,12.6240,15.1889,13.8339,12.6248,15.1521
