Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,562.2868,79.5580,2.0689,-52.9126,560.9611,81.0995
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,560.9611,81.0995,13.5286,-49.6502,560.9611,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,560.9611,94.2288,2.0689,-49.2672,562.2868,95.7703
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,568.2524,79.5580,5.9656,-53.2957,562.2868,79.5580
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,291.5723,95.7703,2.0689,-49.6502,292.8980,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,292.8980,94.2288,13.5286,-52.9126,292.8980,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,569.5781,81.0995,2.0689,-53.2957,568.2524,79.5580
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,325.1324,95.7703,5.9656,-49.2672,331.0980,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,331.0980,95.7703,2.0689,-49.6502,332.4237,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,332.4237,94.2288,13.5286,-52.9126,332.4237,81.0995
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,323.8067,94.2288,2.0689,-49.2672,325.1324,95.7703
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,562.2868,95.7703,5.9656,-49.2672,568.2524,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,568.2524,95.7703,2.0689,-49.6502,569.5781,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,569.5781,94.2288,13.5286,-52.9126,569.5781,81.0995
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,429.9124,95.7703,2.0689,-49.6502,431.2381,94.2288
1,Line,,,,,,,180,3.2624,0.0000,13.1293,-49.6502,431.2381,94.2288,13.5286,-52.9126,431.2381,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,431.2381,81.0995,2.0689,-53.2957,429.9124,79.5580
1,Line,,,,,,,90,0.0000,-4.2898,0.0000,-49.2672,425.6226,95.7703,4.2898,-49.2672,429.9124,95.7703
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,423.9467,79.5580,2.0689,-52.9126,422.6210,81.0995
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,422.6210,81.0995,13.5286,-49.6502,422.6210,94.2288
1,Line,,,,,,,74,-0.0776,-0.2685,-0.3122,-49.3447,423.6783,95.4582,0.4190,-49.2672,423.9467,95.7703
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,284.2810,81.0995,13.5286,-49.6502,284.2810,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,284.2810,94.2288,2.0689,-49.2672,285.6067,95.7703
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,285.6067,95.7703,5.9656,-49.2672,291.5723,95.7703
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,285.6067,79.5580,2.0689,-52.9126,284.2810,81.0995
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,429.9124,79.5580,5.9656,-53.2957,423.9467,79.5580
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,292.8980,81.0995,2.0689,-53.2957,291.5723,79.5580
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,291.5723,79.5580,5.9656,-53.2957,285.6067,79.5580
1,Line,,,,,,,74,0.2984,1.0327,1.2008,-52.9973,332.1307,80.7588,1.6116,-53.2957,331.0980,79.5580
1,Line,,,,,,,90,0.0000,1.8182,0.0000,-44.9844,273.3920,52.0667,1.8182,-44.9844,271.5738,52.0667
1,Line,,,,,,,90,0.0000,2.1133,0.0000,-44.9844,288.8573,52.0667,2.1133,-44.9844,286.7440,52.0667
1,Line,,,,,,,0,0.3372,0.0000,-0.4819,26.0203,650.1726,131.8252,0.5881,25.6831,650.1726,132.3071
1,Line,,,,,,,90,0.0000,1.8113,0.0000,-44.9844,256.6832,52.0667,1.8113,-44.9844,254.8718,52.0667
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,582.0497,95.7703,5.9656,-49.2672,588.0153,95.7703
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,589.3410,94.2288,13.5286,-52.9126,589.3410,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,589.3410,81.0995,2.0689,-53.2957,588.0153,79.5580
1,Line,,,,,,,113,-3.6235,8.6086,0.9004,22.0596,658.7812,133.2075,9.3834,25.6831,650.1726,132.3071
1,Line,,,,,,,69,22.4922,57.8260,3.1909,0.0000,769.0155,138.6890,62.1283,-22.4922,711.1895,135.4980
1,Line,,,,,,,81,9.6506,57.8260,0.0000,-12.8416,769.0155,135.4980,58.6257,-22.4922,711.1895,135.4980
1,Line,,,,,,,180,-22.4922,0.0000,3.1909,0.0000,711.1895,138.6890,22.7174,22.4922,711.1895,135.4980
1,Line,,,,,,,93,-0.2327,4.4505,0.2327,25.4504,654.6231,132.5398,4.4627,25.6831,650.1726,132.3071
1,Line,,,,,,,0,22.4922,0.0000,-35.3338,44.9844,711.1895,100.1642,41.8853,22.4922,711.1895,135.4980
1,Line,,,,,,,72,0.2218,0.7010,-0.3693,25.9049,650.8736,131.9378,0.8228,25.6831,650.1726,132.3071
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,364.6581,79.5580,2.0689,-52.9126,363.3324,81.0995
1,Line,,,,,,,180,-2.1022,0.0000,-8.4601,-51.7524,363.3324,85.7687,8.7174,-49.6502,363.3324,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,363.3324,94.2288,2.0689,-49.2672,364.6581,95.7703
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,370.6238,79.5580,5.9656,-53.2957,364.6581,79.5580
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,331.0980,79.5580,5.9656,-53.2957,325.1324,79.5580
1,Line,,,,,,,106,-0.3662,1.2674,-1.4737,-53.2788,325.0741,79.6258,1.9780,-52.9126,323.8067,81.0995
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,323.8067,81.0995,13.5286,-49.6502,323.8067,94.2288
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,582.0497,79.5580,2.0689,-52.9126,580.7240,81.0995
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,580.7240,81.0995,13.5286,-49.6502,580.7240,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,580.7240,94.2288,2.0689,-49.2672,582.0497,95.7703
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,371.9495,81.0995,2.0689,-53.2957,370.6238,79.5580
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,364.6581,95.7703,5.9656,-49.2672,370.6238,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,370.6238,95.7703,2.0689,-49.6502,371.9495,94.2288
1,Line,,,,,,,180,1.5040,0.0000,6.0528,-51.4086,371.9495,87.1523,6.2369,-52.9126,371.9495,81.0995
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,449.6752,79.5580,5.9656,-53.2957,443.7096,79.5580
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,481.9097,94.2288,2.0689,-49.2672,483.2353,95.7703
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,483.2353,95.7703,5.9656,-49.2672,489.2010,95.7703
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,489.2010,95.7703,2.0689,-49.6502,490.5267,94.2288
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,481.9097,81.0995,13.5286,-49.6502,481.9097,94.2288
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,470.7638,81.0995,2.0689,-53.2957,469.4381,79.5580
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,489.2010,79.5580,5.9656,-53.2957,483.2353,79.5580
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,483.2353,79.5580,2.0689,-52.9126,481.9097,81.0995
1,Line,,,,,,,106,-0.3830,1.3257,-1.5415,-53.2957,502.9982,79.5580,2.0689,-52.9126,501.6725,81.0995
1,Line,,,,,,,180,-3.2624,0.0000,-13.1293,-52.9126,501.6725,81.0995,13.5286,-49.6502,501.6725,94.2288
1,Line,,,,,,,74,-0.3830,-1.3257,-1.5415,-49.6502,501.6725,94.2288,2.0689,-49.2672,502.9982,95.7703
1,Line,,,,,,,90,0.0000,5.9656,0.0000,-53.2957,508.9638,79.5580,5.9656,-53.2957,502.9982,79.5580
1,Line,,,,,,,106,0.3830,-1.3257,1.5415,-49.2672,508.9638,95.7703,2.0689,-49.6502,510.2895,94.2288
1,Line,,,,,,,0,3.2624,0.0000,13.1293,-49.6502,510.2895,94.2288,13.5286,-52.9126,510.2895,81.0995
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,510.2895,81.0995,2.0689,-53.2957,508.9638,79.5580
1,Line,,,,,,,0,5.6256,0.0000,22.6395,-45.8138,156.0855,97.1206,23.3280,-51.4394,156.0855,74.4811
1,Line,,,,,,,74,0.3830,1.3257,1.5415,-52.9126,273.1351,81.0995,2.0689,-53.2957,271.8094,79.5580
1,Line,,,,,,,106,-0.5019,1.7371,2.0198,52.9967,273.8374,80.7613,2.7109,53.4986,272.1003,78.7415
1,Line,,,,,,,78,0.4183,1.9763,1.9763,-45.3955,158.0617,99.0969,2.8260,-45.8138,156.0855,97.1206
1,Line,,,,,,,180,-5.6256,0.0000,-22.6395,-52.4323,183.0646,74.4811,23.3280,-46.8068,183.0646,97.1206
1,Line,,,,,,,106,-0.5638,1.9763,-1.9763,-46.8068,183.0646,97.1206,2.8512,-46.2429,181.0883,99.0969
1,Line,,,,,,,92,-0.8475,23.0266,0.0000,-46.2429,181.0883,99.0969,23.0422,-45.3955,158.0617,99.0969
1,Line,,,,,,,90,0.0000,-5.9656,0.0000,-49.2672,463.4725,95.7703,5.9656,-49.2672,469.4381,95.7703
