Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.0580,,,,,,,,,,,,,,313,0.7230,-0.7675,0.0863,-7.3094,-5.1676,33.0145,-8.0324,-4.4001,32.9281
1,Line,1.0000,,,,,,,,,,,,,,43,0.7286,0.6708,-0.1382,-6.5808,-4.4968,32.8763,-7.3094,-5.1676,33.0145
1,Line,1.0000,,,,,,,,,,,,,,43,0.7286,0.6708,-0.1382,-7.3038,-3.7292,32.7899,-8.0324,-4.4001,32.9281
1,Line,0.2170,,,,,,,,,,,,,,71,0.0111,0.0320,0.2143,-7.3038,-3.7292,32.7899,-7.3150,-3.7613,32.5756
1,Line,1.0580,,,,,,,,,,,,,,313,0.7230,-0.7675,0.0863,-6.5808,-4.4968,32.8763,-7.3038,-3.7292,32.7899
1,Line,0.2170,,,,,,,,,,,,,,251,-0.0111,-0.0320,-0.2143,-6.5919,-4.5288,32.6620,-6.5808,-4.4968,32.8763
1,Line,1.0580,,,,,,,,,,,,,,133,-0.7230,0.7675,-0.0863,-7.3150,-3.7613,32.5756,-6.5919,-4.5288,32.6620
1,Line,0.6243,,,,,,,,,,,,,,125,-0.3593,0.5068,-0.0617,-0.6633,-12.3887,33.4701,-0.3040,-12.8955,33.5318
1,Line,1.0580,,,,,,,,,,,,,,133,-0.7230,0.7675,-0.0863,-8.0436,-4.4321,32.7138,-7.3205,-5.1996,32.8002
1,Line,1.0000,,,,,,,,,,,,,,43,0.7286,0.6708,-0.1382,-7.3150,-3.7613,32.5756,-8.0436,-4.4321,32.7138
1,Line,2.2017,,,,,,,,,,,,,,356,1.6592,-0.1215,-1.4422,-2.3664,0.0000,33.0508,-4.0256,0.1215,34.4930
1,Line,1.0000,,,,,,,,,,,,,,43,0.7286,0.6708,-0.1382,-6.5919,-4.5288,32.6620,-7.3205,-5.1996,32.8002
1,Line,0.1779,,,,,,,,,,,,,,125,-0.1024,0.1444,-0.0176,-1.1891,-11.6470,33.3799,-1.0867,-11.7914,33.3975
1,Line,2.2017,,,,,,,,,,,,,,184,-1.6592,-0.1215,1.4422,-4.0256,-0.1215,34.4930,-2.3664,0.0000,33.0508
1,Line,0.9729,,,,,,,,,,,,,,186,-0.9638,-0.1087,0.0762,-13.6826,-3.2368,34.1083,-12.7188,-3.1281,34.0322
1,Line,0.4382,,,,,,,,,,,,,,261,-0.0711,-0.4273,0.0667,-1.1891,-11.6470,33.3799,-1.1180,-11.2198,33.3132
1,Line,1.4682,,,,,,,,,,,,,,261,-0.2382,-1.4314,0.2234,-1.4291,-13.0892,33.6050,-1.1909,-11.6578,33.3816
1,Line,0.0110,,,,,,,,,,,,,,261,-0.0018,-0.0107,0.0017,-1.1909,-11.6578,33.3816,-1.1891,-11.6470,33.3799
1,Line,0.3370,,,,,,,,,,,,,,125,-0.1939,0.2736,-0.0333,-1.3831,-11.3735,33.3466,-1.1891,-11.6470,33.3799
1,Line,0.7139,,,,,,,,,,,,,,113,-0.2841,0.6535,-0.0425,-28.7696,-12.6764,34.7143,-28.4855,-13.3299,34.7568
1,Line,0.4338,,,,,,,,,,,,,,23,0.3948,0.1673,-0.0661,-28.0907,-13.1626,34.6907,-28.4855,-13.3299,34.7568
1,Line,0.1773,,,,,,,,,,,,,,305,0.1013,-0.1445,0.0176,-1.0896,-11.8022,33.3992,-1.1909,-11.6578,33.3816
1,Line,0.3833,,,,,,,,,,,,,,270,0.0000,-0.2334,-0.3041,-12.7188,-3.1281,34.0322,-12.7188,-2.8948,34.3363
1,Line,0.9755,,,,,,,,,,,,,,6,0.9662,0.0948,-0.0948,-12.7188,-2.8948,34.3363,-13.6850,-2.9896,34.4311
1,Line,0.4066,,,,,,,,,,,,,,91,-0.0024,0.2473,0.3228,-13.6850,-2.9896,34.4311,-13.6826,-3.2368,34.1083
1,Line,0.5127,,,,,,,,,,,,,,90,0.0000,0.3121,0.4068,-12.6539,-2.8485,34.3819,-12.6539,-3.1607,33.9751
1,Line,0.2033,,,,,,,,,,,,,,313,0.1390,-0.1475,0.0166,-0.9791,-11.3672,33.3298,-1.1180,-11.2198,33.3132
1,Line,0.5391,,,,,,,,,,,,,,91,-0.0032,0.3279,0.4280,-13.7502,-2.9561,34.4895,-13.7471,-3.2840,34.0615
1,Line,1.1068,,,,,,,,,,,,,,6,1.0963,0.1076,-0.1076,-12.6539,-2.8485,34.3819,-13.7502,-2.9561,34.4895
1,Line,0.2170,,,,,,,,,,,,,,251,-0.0111,-0.0320,-0.2143,-7.3205,-5.1996,32.8002,-7.3094,-5.1676,33.0145
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9676,-12.8961,34.1898,-25.1493,-12.8665,34.1898
1,Line,0.1874,,,,,,,,,,,,,,347,0.0000,0.0000,0.1874,-25.1493,-12.8665,34.1898,-25.1493,-12.8665,34.0024
1,Line,0.1874,,,,,,,,,,,,,,0,0.0000,0.0000,0.1874,-24.9676,-12.8961,34.1898,-24.9676,-12.8961,34.0024
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9676,-12.8961,34.0024,-25.1493,-12.8665,34.0024
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9577,-12.8504,33.8573,-25.1395,-12.8208,33.8573
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9638,-12.8785,33.9277,-25.1455,-12.8489,33.9277
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9675,-12.8960,34.0016,-25.1493,-12.8664,34.0016
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9630,-12.8750,34.4593,-25.1448,-12.8455,34.4593
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9565,-12.8445,34.5320,-25.1382,-12.8149,34.5320
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9476,-12.8032,34.5992,-25.1293,-12.7736,34.5992
1,3D Polyline,0.8364,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9676,-12.8961,34.3641,-25.1493,-12.8665,34.3641
1,Line,0.1743,,,,,,,,,,,,,,180,0.0000,0.0000,0.1743,-24.9676,-12.8961,34.3641,-24.9676,-12.8961,34.1898
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9672,-12.8943,34.3826,-25.1489,-12.8647,34.3826
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9495,-12.8120,33.7919,-25.1312,-12.7825,33.7919
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-18.9982,-3.6700,34.3495,-17.9587,-3.6044,34.2991
