Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.0323,,,,,,,,,,81,0.1368,0.8959,-0.4943,1.3325,8.2129,2.0672,1.1957,7.3171,2.5615
1,Line,1.7173,,,,,,,,,,265,-0.1557,-1.6974,0.2094,0.4619,17.4051,3.2578,0.6176,19.1025,3.0484
1,Line,0.1067,,,,,,,,,,170,-0.1002,0.0184,0.0315,-0.2313,0.1043,0.8565,-0.1311,0.0859,0.8250
1,Arc,0.0358,0.0000,0.0401,0.5130,1.0049,0.5126,213,4,,,,,,,,,,,,
1,Line,0.0191,,,,,,,,,,117,-0.0087,0.0167,-0.0027,5.8418,10.2769,2.8882,5.8505,10.2601,2.8909
1,Line,0.7031,,,,,,,,,,270,-0.0003,-0.3077,-0.6321,5.8502,9.9524,2.2587,5.8505,10.2601,2.8909
1,Line,0.1345,,,,,,,,,,270,0.0000,-0.1345,-0.0002,0.0365,23.4666,8.0407,0.0366,23.6011,8.0409
1,Arc,0.1631,0.0006,5.8611,9.1198,1.5241,0.6231,210,15,,,,,,,,,,,,
1,Arc,0.0320,0.0000,0.0143,0.4068,1.0297,0.4074,209,5,,,,,,,,,,,,
1,Line,0.8121,,,,,,,,,,270,-0.0035,-0.8121,-0.0020,5.2236,9.9421,1.1561,5.2271,10.7542,1.1581
1,Line,10.2852,,,,,,,,,,348,10.0783,-2.0525,0.0000,-5.9228,13.6294,3.1809,-16.0011,15.6819,3.1809
1,Arc,0.1927,0.0008,5.8611,9.9421,1.5241,0.7361,165,15,,,,,,,,,,,,
1,Arc,0.1927,0.0008,5.8611,9.9421,1.5241,0.7361,150,15,,,,,,,,,,,,
1,Line,0.9097,,,,,,,,,,263,-0.1081,-0.8959,0.1154,0.7651,7.3171,3.0311,0.8732,8.2129,2.9157
1,Line,0.8961,,,,,,,,,,91,-0.0185,0.8959,-0.0051,0.8732,8.2129,2.9157,0.8916,7.3171,2.9208
1,Line,6.3103,,,,,,,,,,21,5.8919,2.2573,-0.0966,5.8611,10.5526,3.1809,-0.0309,8.2953,3.2775
1,Line,4.1447,,,,,,,,,,88,0.1106,3.8950,1.4127,-0.8728,21.2289,2.5695,-0.9834,17.3340,1.1568
1,Line,0.7082,,,,,,,,,,91,-0.0084,0.3244,0.6295,5.8418,10.2769,2.8882,5.8502,9.9524,2.2587
1,Line,0.3299,,,,,,,,,,90,0.0000,0.3299,0.0000,3.4294,9.5964,2.1238,3.4294,9.2665,2.1238
1,Line,0.5728,,,,,,,,,,71,0.1673,0.4816,-0.2611,1.1618,3.4390,2.0897,0.9945,2.9574,2.3509
1,Line,0.1079,,,,,,,,,,81,0.0167,0.1066,-0.0045,2.7465,8.2366,1.6837,2.7298,8.1301,1.6881
1,Arc,0.1579,0.0005,3.3123,8.1301,1.5321,0.6030,0,15,,,,,,,,,,,,
