Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1455,,,,,,,,,,,,,,20,0.0014,-0.0116,-0.0360,2.1532,2.6610,0.2941,2.1500,2.6880,0.3776
1,Line,0.0540,,,,,,,,,,,,,,29,-0.0014,0.0048,-0.0080,2.1500,2.6880,0.3776,2.1532,2.6769,0.3962
1,Line,0.0536,,,,,,,,,,,,,,31,-0.0016,0.0050,0.0000,2.1495,2.6944,0.5191,2.1532,2.6827,0.5191
1,Line,0.1448,,,,,,,,,,,,,,13,0.0000,-0.0082,-0.0510,2.1500,2.6690,0.2593,2.1500,2.6880,0.3776
1,Line,0.1474,,,,,,,,,,,,,,13,0.0000,-0.0121,-0.0350,2.1500,2.6409,0.1781,2.1500,2.6690,0.2593
1,Line,0.0507,,,,,,,,,,,,,,100,0.0014,0.0000,0.0210,2.1532,2.6075,0.1990,2.1500,2.6075,0.1502
1,Line,0.1488,,,,,,,,,,,,,,13,0.0000,-0.0144,-0.0120,2.1500,2.6075,0.1502,2.1500,2.6409,0.1781
1,Line,0.1487,,,,,,,,,,,,,,19,0.0014,-0.0142,-0.0150,2.1532,2.6361,0.2245,2.1500,2.6690,0.2593
1,Line,0.0512,,,,,,,,,,,,,,35,-0.0014,0.0034,-0.0150,2.1500,2.6690,0.2593,2.1532,2.6610,0.2941
1,Line,0.1442,,,,,,,,,,,,,,173,0.0014,0.0034,-0.0600,2.1532,2.6769,0.6397,2.1500,2.6690,0.7789
1,Line,0.0512,,,,,,,,,,,,,,35,-0.0014,0.0034,0.0150,2.1500,2.6690,0.7789,2.1532,2.6610,0.7441
1,Line,0.0507,,,,,,,,,,,,,,48,-0.0014,0.0021,0.0190,2.1500,2.6409,0.8578,2.1532,2.6361,0.8137
1,Line,0.1467,,,,,,,,,,,,,,13,0.0000,0.0082,-0.0520,2.1500,2.6880,0.6583,2.1500,2.6690,0.7789
1,Line,0.1420,,,,,,,,,,,,,,18,-0.0002,0.0027,-0.0600,2.1495,2.6944,0.5191,2.1500,2.6880,0.6583
1,Line,0.1443,,,,,,,,,,,,,,18,0.0002,-0.0027,-0.0610,2.1500,2.6880,0.3776,2.1495,2.6944,0.5191
1,Line,0.1458,,,,,,,,,,,,,,26,0.0016,-0.0075,-0.0530,2.1532,2.6769,0.3962,2.1495,2.6944,0.5191
1,Line,0.1418,,,,,,,,,,,,,,47,0.0014,-0.0023,-0.0600,2.1532,2.6827,0.5191,2.1500,2.6880,0.6583
1,Line,0.0540,,,,,,,,,,,,,,29,-0.0014,0.0048,0.0080,2.1500,2.6880,0.6583,2.1532,2.6769,0.6397
1,Line,0.1483,,,,,,,,,,,,,,19,0.0014,-0.0144,0.0090,2.1532,2.6075,0.1990,2.1500,2.6409,0.1781
1,Line,0.1251,,,,,,,,,,,,,,13,0.0000,-0.0023,0.0530,2.1537,2.5323,0.5191,2.1537,2.5376,0.3962
1,Line,0.0467,,,,,,,,,,,,,,52,0.0027,-0.0034,-0.0060,2.1537,2.5376,0.3962,2.1474,2.5455,0.4101
1,Line,0.0457,,,,,,,,,,,,,,59,0.0027,-0.0027,-0.0100,2.1537,2.5540,0.2941,2.1474,2.5604,0.3173
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,0.0064,-0.0400,2.1474,2.5604,0.3173,2.1474,2.5455,0.4101
1,Line,0.1110,,,,,,,,,,,,,,13,0.0000,0.0021,-0.0470,2.1474,2.5455,0.4101,2.1474,2.5408,0.5191
1,Line,0.0464,,,,,,,,,,,,,,50,0.0027,-0.0037,0.0000,2.1537,2.5323,0.5191,2.1474,2.5408,0.5191
1,Line,0.1088,,,,,,,,,,,,,,13,0.0000,-0.0021,-0.0460,2.1474,2.5408,0.5191,2.1474,2.5455,0.6258
1,Line,0.1229,,,,,,,,,,,,,,13,0.0000,0.0023,0.0520,2.1537,2.5376,0.6397,2.1537,2.5323,0.5191
1,Line,0.1246,,,,,,,,,,,,,,40,-0.0027,0.0057,0.0460,2.1474,2.5455,0.6258,2.1537,2.5323,0.5191
1,Line,0.1286,,,,,,,,,,,,,,179,-0.0027,-0.0110,0.0250,2.1469,2.5821,0.2570,2.1532,2.6075,0.1990
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,0.0110,-0.0090,2.1469,2.6075,0.2361,2.1469,2.5821,0.2570
1,Line,0.0528,,,,,,,,,,,,,,46,-0.0014,0.0021,-0.0200,2.1500,2.6409,0.1781,2.1532,2.6361,0.2245
