Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,43.3461,,,,,,,,,,,,82,-3.1798,-21.4337,-3.9644,1249.9894,2213.9264,364.2372,1256.2465,2256.1032,372.0382
1,Line,,,,,41.5815,,,,,,,,,,,,92,-0.6235,21.1172,-0.4510,1256.2465,2256.1032,372.0382,1257.4734,2214.5492,372.9258
1,Line,,,,,11.4054,,,,,,,,,,,,7,3.0551,0.3522,4.9130,1263.4852,2215.2422,382.5934,1257.4734,2214.5492,372.9258
1,Line,,,,,11.1384,,,,,,,,,,,,5,3.6786,0.3076,4.2911,1256.2465,2256.1032,372.0382,1249.0079,2255.4979,363.5944
1,Line,,,,,43.3503,,,,,,,,,,,,80,-3.9280,-21.3980,-3.4669,1241.2785,2213.3914,356.7723,1249.0079,2255.4979,363.5944
1,Line,,,,,41.5880,,,,,,,,,,,,91,-0.4988,21.1261,-0.3267,1249.0079,2255.4979,363.5944,1249.9894,2213.9264,364.2372
1,Line,,,,,11.4844,,,,,,,,,,,,5,3.8033,0.3165,4.4154,1257.4734,2214.5492,372.9258,1249.9894,2213.9264,364.2372
1,Line,,,,,11.3113,,,,,,,,,,,,4,4.3644,0.2675,3.7314,1249.0079,2255.4979,363.5944,1240.4197,2254.9716,356.2519
1,Line,,,,,41.5853,,,,,,,,,,,,92,-0.6858,21.1172,-0.4510,1262.1356,2256.7962,381.7058,1263.4852,2215.2422,382.5934
1,Line,,,,,7.4835,,,,,,,,,,,,10,1.4627,0.2510,3.5015,1265.0139,2257.2901,388.5960,1262.1356,2256.7962,381.7058
1,Line,,,,,0.1984,,,,,,,,,,,,86,-0.0068,-0.0982,-0.0218,1266.4162,2257.3398,391.9424,1266.4297,2257.5330,391.9853
1,Line,,,,,12.0253,,,,,,,,,,,,92,-0.1985,6.1039,-0.2205,1270.0879,2228.8148,403.9422,1270.4784,2216.8036,404.3761
1,Line,,,,,8.5977,,,,,,,,,,,,16,1.0267,0.3036,4.2360,1269.7996,2216.6029,401.5756,1267.7793,2216.0054,393.2400
1,Line,,,,,11.3412,,,,,,,,,,,,7,2.9927,0.3522,4.9130,1262.1356,2256.7962,381.7058,1256.2465,2256.1032,372.0382
1,Line,,,,,43.4008,,,,,,,,,,,,84,-2.3693,-21.4693,-4.4619,1257.4734,2214.5492,372.9258,1262.1356,2256.7962,381.7058
1,Line,,,,,5.6762,,,,,,,,,,,,92,-0.0937,2.8817,-0.0871,1267.5950,2221.6760,393.0687,1267.7793,2216.0054,393.2400
1,Line,,,,,11.5053,,,,,,,,,,,,10,2.1822,0.3878,5.4105,1267.7793,2216.0054,393.2400,1263.4852,2215.2422,382.5934
1,Line,,,,,41.6003,,,,,,,,,,,,91,-0.1870,21.1395,-0.1401,1220.5441,2254.2523,346.2171,1220.9121,2212.6545,346.4928
1,Line,,,,,11.4863,,,,,,,,,,,,1,5.6737,0.0981,1.3682,1220.9121,2212.6545,346.4928,1209.7475,2212.4615,343.8006
1,Line,,,,,11.2480,,,,,,,,,,,,1,5.5490,0.0981,1.3682,1220.5441,2254.2523,346.2171,1209.6248,2254.0593,343.5249
1,Line,,,,,43.2305,,,,,,,,,,,,76,-5.4867,-21.2375,-1.2281,1209.7475,2212.4615,343.8006,1220.5441,2254.2523,346.2171
1,Line,,,,,41.5989,,,,,,,,,,,,90,-0.0623,21.1395,-0.1401,1209.6248,2254.0593,343.5249,1209.7475,2212.4615,343.8006
1,Line,,,,,11.4522,,,,,,,,,,,,0,5.7984,0.0357,0.4975,1209.7475,2212.4615,343.8006,1198.3374,2212.3914,342.8216
1,Line,,,,,11.3200,,,,,,,,,,,,0,5.7361,0.0312,0.4353,1209.6248,2254.0593,343.5249,1198.3374,2253.9979,342.6683
1,Line,,,,,43.1755,,,,,,,,,,,,75,-5.7361,-21.1751,-0.3574,1198.3374,2212.3914,342.8216,1209.6248,2254.0593,343.5249
1,Line,,,,,11.5053,,,,,,,,,,,,2,5.4243,0.1560,2.1766,1231.5861,2212.9615,350.7760,1220.9121,2212.6545,346.4928
1,Line,,,,,43.2766,,,,,,,,,,,,78,-4.4891,-21.3490,-2.7828,1231.5861,2212.9615,350.7760,1240.4197,2254.9716,356.2519
1,Line,,,,,41.5924,,,,,,,,,,,,91,-0.4364,21.1305,-0.2645,1240.4197,2254.9716,356.2519,1241.2785,2213.3914,356.7723
1,Line,,,,,11.4844,,,,,,,,,,,,4,4.4268,0.2719,3.7935,1249.9894,2213.9264,364.2372,1241.2785,2213.3914,356.7723
1,Line,,,,,11.1728,,,,,,,,,,,,2,4.8632,0.2095,2.9229,1240.4197,2254.9716,356.2519,1230.8499,2254.5593,350.5003
1,Line,,,,,43.2531,,,,,,,,,,,,77,-5.0503,-21.2955,-2.0365,1220.9121,2212.6545,346.4928,1230.8499,2254.5593,350.5003
1,Line,,,,,41.6052,,,,,,,,,,,,91,-0.3741,21.1395,-0.1401,1230.8499,2254.5593,350.5003,1231.5861,2212.9615,350.7760
1,Line,,,,,11.4054,,,,,,,,,,,,3,4.9256,0.2184,3.0473,1241.2785,2213.3914,356.7723,1231.5861,2212.9615,350.7760
1,Line,,,,,11.1647,,,,,,,,,,,,2,5.2373,0.1560,2.1766,1230.8499,2254.5593,350.5003,1220.5441,2254.2523,346.2171
1,Line,,,,,43.1324,,,,,,,,,,,,101,4.3021,-21.3356,-2.5962,1257.4734,2220.7949,460.0566,1249.0079,2262.7786,465.1655
1,Line,,,,,41.5256,,,,,,,,,,,,91,-0.4988,21.0236,-1.7570,1249.0079,2262.7786,465.1655,1249.9894,2221.4089,468.6229
1,Line,,,,,11.4048,,,,,,,,,,,,177,-4.4268,0.2675,3.7314,1241.2785,2221.9352,475.9654,1249.9894,2221.4089,468.6229
1,Line,,,,,11.1384,,,,,,,,,,,,175,-3.6786,0.3076,4.2911,1249.0079,2262.7786,465.1655,1256.2465,2262.1734,456.7216
1,Line,,,,,43.1835,,,,,,,,,,,,100,3.6786,-21.3846,-3.2803,1263.4852,2220.0931,450.2667,1256.2465,2262.1734,456.7216
1,Line,,,,,41.5308,,,,,,,,,,,,92,-0.6235,21.0280,-1.6948,1256.2465,2262.1734,456.7216,1257.4734,2220.7949,460.0566
1,Line,,,,,11.3916,,,,,,,,,,,,175,-3.8033,0.3120,4.3532,1249.9894,2221.4089,468.6229,1257.4734,2220.7949,460.0566
1,Line,,,,,11.2366,,,,,,,,,,,,173,-2.9927,0.3477,4.8508,1256.2465,2262.1734,456.7216,1262.1356,2261.4892,447.1764
1,Line,,,,,41.5245,,,,,,,,,,,,91,-0.4364,21.0191,-1.8192,1240.4197,2263.2962,472.3856,1241.2785,2221.9352,475.9654
1,Line,,,,,11.2366,,,,,,,,,,,,177,-4.8632,0.2140,2.9851,1230.8499,2263.7172,478.2596,1240.4197,2263.2962,472.3856
1,Line,,,,,43.1249,,,,,,,,,,,,104,5.2997,-21.2331,-1.1659,1241.2785,2221.9352,475.9654,1230.8499,2263.7172,478.2596
1,Line,,,,,41.5216,,,,,,,,,,,,91,-0.1870,21.0102,-1.9436,1220.5441,2264.0243,482.5427,1220.9121,2222.6808,486.3672
1,Line,,,,,11.5517,,,,,,,,,,,,178,-5.4243,0.1605,2.2388,1220.9121,2222.6808,486.3672,1231.5861,2222.3650,481.9617
1,Line,,,,,11.2319,,,,,,,,,,,,177,-4.3644,0.2630,3.6692,1240.4197,2263.2962,472.3856,1249.0079,2262.7786,465.1655
1,Line,,,,,43.1310,,,,,,,,,,,,103,4.8632,-21.2866,-1.9121,1249.9894,2221.4089,468.6229,1240.4197,2263.2962,472.3856
1,Line,,,,,41.5241,,,,,,,,,,,,91,-0.3741,21.0146,-1.8814,1230.8499,2263.7172,478.2596,1231.5861,2222.3650,481.9617
1,Line,,,,,11.4054,,,,,,,,,,,,177,-4.9256,0.2184,3.0473,1231.5861,2222.3650,481.9617,1241.2785,2221.9352,475.9654
1,Line,,,,,11.9318,,,,,,,,,,,,45,0.4364,0.4324,6.0324,1269.9877,2259.1646,414.7470,1269.1288,2258.3137,402.8767
1,Line,,,,,1.8788,,,,,,,,,,,,91,0.0107,-0.9274,-0.2270,1270.0088,2257.3398,414.3003,1269.9877,2259.1646,414.7470
1,Line,,,,,2.6920,,,,,,,,,,,,93,0.0738,-1.3375,-0.2780,1269.2741,2257.3398,425.4585,1269.1288,2259.9716,426.0055
1,Line,,,,,11.4522,,,,,,,,,,,,140,-0.4988,0.4146,5.7836,1270.4784,2218.5405,428.6063,1271.4599,2217.7247,417.2255
1,Line,,,,,11.2480,,,,,,,,,,,,16,1.3717,0.3967,5.5348,1269.1288,2258.3137,402.8767,1266.4297,2257.5330,391.9853
1,Line,,,,,0.9994,,,,,,,,,,,,88,-0.0158,-0.4950,-0.1127,1269.0978,2257.3398,402.6548,1269.1288,2258.3137,402.8767
1,Line,,,,,1.2104,,,,,,,,,,,,92,-0.0218,0.6136,-0.0367,1271.4170,2218.9322,417.1533,1271.4599,2217.7247,417.2255
1,Line,,,,,10.4587,,,,,,,,,,,,43,0.4038,0.3789,5.2861,1271.2730,2217.5492,414.7779,1270.4784,2216.8036,404.3761
1,Line,,,,,26.4758,,,,,,,,,,,,92,-0.4372,13.4211,-0.8425,1269.6181,2244.9503,426.9485,1270.4784,2218.5405,428.6063
1,Line,,,,,7.4489,,,,,,,,,,,,170,-1.4559,0.2498,3.4853,1263.5647,2261.2439,443.7551,1266.4297,2260.7523,436.8969
1,Line,,,,,43.1714,,,,,,,,,,,,98,2.8680,-21.4203,-3.7778,1267.7793,2219.3387,439.7424,1262.1356,2261.4892,447.1764
1,Line,,,,,11.5099,,,,,,,,,,,,173,-3.0551,0.3566,4.9751,1257.4734,2220.7949,460.0566,1263.4852,2220.0931,450.2667
1,Line,,,,,25.6856,,,,,,,,,,,,92,-0.4241,13.0155,-0.8943,1266.9446,2244.9503,437.9826,1267.7793,2219.3387,439.7424
1,Line,,,,,11.4863,,,,,,,,,,,,164,-1.3717,0.4057,5.6592,1267.7793,2219.3387,439.7424,1270.4784,2218.5405,428.6063
1,Line,,,,,11.3200,,,,,,,,,,,,137,-0.4364,0.4101,5.7214,1269.1288,2259.9716,426.0055,1269.9877,2259.1646,414.7470
1,Line,,,,,41.5332,,,,,,,,,,,,92,-0.6858,21.0369,-1.5705,1262.1356,2261.4892,447.1764,1263.4852,2220.0931,450.2667
1,Line,,,,,11.3916,,,,,,,,,,,,170,-2.1822,0.3834,5.3483,1263.4852,2220.0931,450.2667,1267.7793,2219.3387,439.7424
1,Line,,,,,12.5138,,,,,,,,,,,,140,-4.7385,3.9993,-1.4118,1229.8684,1977.4710,389.0587,1239.1928,1969.6012,391.8369
1,Line,,,,,9.1444,,,,,,,,,,,,110,1.4964,-4.1954,-1.3245,1239.1928,1969.6012,391.8369,1236.2482,1977.8569,394.4432
1,Line,,,,,12.6314,,,,,,,,,,,,138,-4.4891,4.0453,-2.1652,1236.2482,1977.8569,394.4432,1245.0818,1969.8967,398.7039
1,Line,,,,,9.3305,,,,,,,,,,,,112,1.7458,-4.2771,-1.0686,1245.0818,1969.8967,398.7039,1241.6466,1978.3131,400.8067
1,Line,,,,,12.2526,,,,,,,,,,,,142,-4.9256,3.8078,0.1021,1214.9004,1976.9271,381.4715,1224.5928,1969.4342,381.2706
1,Line,,,,,8.6550,,,,,,,,,,,,104,0.9976,-3.9237,-1.7190,1224.5928,1969.4342,381.2706,1222.6298,1977.1552,384.6533
1,Line,,,,,12.3731,,,,,,,,,,,,142,-4.9256,3.8538,-0.6513,1222.6298,1977.1552,384.6533,1232.3222,1969.5718,385.9349
1,Line,,,,,8.8418,,,,,,,,,,,,107,1.2470,-4.0143,-1.5875,1232.3222,1969.5718,385.9349,1229.8684,1977.4710,389.0587
1,Line,,,,,9.8677,,,,,,,,,,,,113,1.9328,-4.5578,-0.7985,1249.8667,1969.8619,406.4557,1246.0633,1978.8306,408.0268
1,Line,,,,,11.0767,,,,,,,,,,,,113,2.1822,-5.1830,0.2465,1256.1238,1970.3685,432.7421,1251.8297,1980.5675,432.2571
