Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,0.2495,,,,,,77,0.0230,-0.0002,-0.2235,-5646.9654,2174.6364,43.6309,-5646.9884,2174.6366,43.8545
1,Line,,,,,,,,,,,0.8254,,,,,,167,0.0017,0.1716,0.0000,-5646.9799,2175.4517,43.8545,-5646.9816,2175.2801,43.8545
1,Line,,,,,,,,,,,0.2495,,,,,,77,0.0230,-0.0002,-0.2235,-5646.9568,2175.4515,43.6309,-5646.9799,2175.4517,43.8545
1,Line,,,,,,,,,,,1.2605,,,,,,130,-0.0877,-0.1109,-1.0614,-5647.0110,2175.3473,44.4895,-5646.9233,2175.4582,45.5509
1,Line,,,,,,,,,,,2.9898,,,,,,167,0.0065,0.6155,-0.4173,-5646.9233,2175.4582,45.5509,-5646.9298,2174.8427,45.9682
1,Line,,,,,,,,,,,3.0953,,,,,,167,0.0068,0.6435,0.0000,-5646.9816,2175.2801,43.8545,-5646.9884,2174.6366,43.8545
1,Line,,,,,,,,,,,3.8627,,,,,,165,-0.0478,-0.8015,0.0687,-5646.2484,2174.7167,44.7866,-5646.2006,2175.5183,44.7179
1,Line,,,,,,,,,,,1.5977,,,,,,166,0.0104,0.2603,-0.9913,-5646.3079,2174.8255,45.9611,-5646.3183,2174.5652,46.9524
1,Line,,,,,,,,,,,4.0743,,,,,,166,-0.0318,-0.8406,0.4812,-5647.0805,2173.8885,45.2747,-5647.0487,2174.7291,44.7935
1,Line,,,,,,,,,,,2.6798,,,,,,151,-0.1605,-0.5096,0.7607,-5646.6427,2170.9490,85.0491,-5646.4822,2171.4585,84.2884
1,Line,,,,,,,,,,,0.9221,,,,,,117,0.0508,0.0416,0.8663,-5646.2006,2175.5183,44.7179,-5646.2515,2175.4767,43.8516
1,Line,,,,,,,,,,,4.0743,,,,,,165,0.0508,0.8456,0.0000,-5646.2515,2175.4767,43.8516,-5646.3023,2174.6311,43.8516
1,Line,,,,,,,,,,,2.9924,,,,,,76,-0.6219,0.0172,0.0071,-5646.9298,2174.8427,45.9682,-5646.3079,2174.8255,45.9611
1,Line,,,,,,,,,,,2.9946,,,,,,165,-0.0378,-0.6183,0.3040,-5647.0487,2174.7291,44.7935,-5647.0110,2175.3473,44.4895
1,Line,,,,,,,,,,,2.6420,,,,,,94,0.5271,0.1537,0.0855,-5646.3633,2173.4251,43.8137,-5646.8904,2173.2714,43.7282
1,Line,,,,,,,,,,,0.2487,,,,,,79,0.0250,0.0003,-0.2177,-5646.8904,2173.2714,43.7282,-5646.9154,2173.2711,43.9459
1,Line,,,,,,,,,,,1.3313,,,,,,177,-0.0396,0.2430,-0.6077,-5646.3017,2175.8017,44.9289,-5646.2621,2175.5587,45.5367
1,Line,,,,,,,,,,,6.5776,,,,,,171,-0.0730,1.3655,-0.0914,-5646.9884,2174.6366,43.8545,-5646.9154,2173.2711,43.9459
1,Line,,,,,,,,,,,6.5757,,,,,,171,0.0750,-1.3650,0.0973,-5646.8904,2173.2714,43.7282,-5646.9654,2174.6364,43.6309
1,Line,,,,,,,,,,,0.2363,,,,,,94,0.0130,0.0037,0.2272,-5646.3503,2173.4288,44.0409,-5646.3633,2173.4251,43.8137
1,Line,,,,,,,,,,,1.0636,,,,,,166,-0.0070,-0.2192,0.1355,-5647.0110,2175.3473,44.4895,-5647.0039,2175.5666,44.3540
1,Line,,,,,,,,,,,0.8254,,,,,,167,0.0017,0.1716,0.0000,-5646.2497,2175.6483,43.8516,-5646.2515,2175.4767,43.8516
1,Line,,,,,,,,,,,3.2167,,,,,,87,-0.6612,-0.1005,0.0143,-5646.9233,2175.4582,45.5509,-5646.2621,2175.5587,45.5367
1,Line,,,,,,,,,,,3.5585,,,,,,164,0.0458,0.7331,-0.4245,-5646.2621,2175.5587,45.5367,-5646.3079,2174.8255,45.9611
1,Line,,,,,,,,,,,1.3157,,,,,,167,0.0025,0.2426,-0.6077,-5646.9208,2175.7008,44.9432,-5646.9233,2175.4582,45.5509
1,Line,,,,,,,,,,,0.2354,,,,,,77,-0.0153,0.0002,-0.2235,-5646.2650,2175.6485,43.6281,-5646.2497,2175.6483,43.8516
1,Line,,,,,,,,,,,1.0269,,,,,,172,0.0154,-0.1963,0.3970,-5646.2006,2175.5183,44.7179,-5646.2160,2175.7145,44.3209
