Count,Name,Length,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,91.4898,170,89.7142,-15.8765,-8.3479,-1639.5800,5604.5488,1198.5763,-1729.2941,5620.4252,1206.9241,,,,,,
1,Line,11.2137,170,10.9901,-1.9449,-1.0865,-1628.5898,5602.6039,1197.4898,-1639.5800,5604.5488,1198.5763,,,,,,
1,Line,107.1143,170,104.9522,-18.5731,-10.6562,-1523.6377,5584.0308,1186.8336,-1628.5898,5602.6039,1197.4898,,,,,,
1,Line,115.0347,170,112.8012,-19.9621,-10.5073,-1759.8738,5625.8368,1209.7682,-1872.6750,5645.7989,1220.2755,,,,,,
1,Line,4.0108,170,3.9328,-0.6960,-0.3678,-1755.9410,5625.1408,1209.4004,-1759.8738,5625.8368,1209.7682,,,,,,
1,Line,27.1739,170,26.6468,-4.7156,-2.4762,-1729.2941,5620.4252,1206.9241,-1755.9410,5625.1408,1209.4004,,,,,,
1,Line,76.5950,170,75.1689,-13.3024,-6.2830,-1310.1575,5546.2518,1167.6908,-1385.3264,5559.5542,1173.9738,,,,,,
1,Line,67.6055,170,66.3531,-11.7423,-5.4668,-1202.8343,5527.2592,1158.8949,-1269.1874,5539.0015,1164.3617,,,,,,
1,Line,50.4286,170,49.4682,-8.7542,-4.3940,-1153.3661,5518.5049,1154.5009,-1202.8343,5527.2592,1158.8949,,,,,,
1,Line,22.2705,170,21.8359,-3.8642,-2.0580,-1501.8018,5580.1665,1184.7756,-1523.6377,5584.0308,1186.8336,,,,,,
1,Line,86.4031,170,84.6924,-14.9878,-8.2503,-1417.1094,5565.1788,1176.5253,-1501.8018,5580.1665,1184.7756,,,,,,
1,Line,32.3775,170,31.7830,-5.6245,-2.5515,-1385.3264,5559.5542,1173.9738,-1417.1094,5565.1788,1176.5253,,,,,,
1,Line,23.1661,170,22.7298,-4.0224,-1.9608,-1872.6750,5645.7989,1220.2755,-1895.4048,5649.8213,1222.2363,,,,,,
1,Line,52.8593,8,-52.1639,-7.3058,4.4346,-2183.4714,5700.7996,1225.6740,-2131.3075,5708.1054,1221.2394,,,,,,
1,Line,47.5082,170,46.6052,-8.2476,-4.1176,-2354.7242,5731.1057,1262.8738,-2401.3295,5739.3533,1266.9914,,,,,,
1,Line,84.7360,170,83.1336,-14.7119,-7.2492,-2259.2877,5714.2166,1254.5376,-2342.4214,5728.9285,1261.7869,,,,,,
1,Line,57.1100,140,43.5372,-36.6636,-4.6736,-1159.2971,5674.7273,1136.2788,-1202.8343,5711.3909,1140.9524,,,,,,
1,Line,48.2306,138,35.8284,-32.0496,-3.9168,-1167.0059,5537.4558,1135.6535,-1202.8343,5569.5054,1139.5703,,,,,,
1,Line,31.0237,138,23.0462,-20.6155,-2.5194,-1143.9597,5516.8403,1133.1341,-1167.0059,5537.4558,1135.6535,,,,,,
1,Line,46.5028,170,45.5680,-8.0640,-4.5865,-2061.5102,5679.2165,1237.5419,-2107.0782,5687.2805,1242.1284,,,,,,
1,Line,73.2383,170,71.7741,-12.7017,-7.1408,-1989.7361,5666.5148,1230.4011,-2061.5102,5679.2165,1237.5419,,,,,,
1,Line,96.1443,170,94.3313,-16.6935,-8.1648,-1895.4048,5649.8213,1222.2363,-1989.7361,5666.5148,1230.4011,,,,,,
1,Line,35.2968,170,34.6323,-6.1288,-2.9837,-2224.6554,5708.0878,1251.5540,-2259.2877,5714.2166,1254.5376,,,,,,
1,Line,64.4363,170,63.2552,-11.1941,-5.0502,-2161.4002,5696.8937,1246.5038,-2224.6554,5708.0878,1251.5540,,,,,,
1,Line,55.3393,170,54.3220,-9.6132,-4.3754,-2107.0782,5687.2805,1242.1284,-2161.4002,5696.8937,1246.5038,,,,,,
1,Line,19.7652,170,-19.3754,3.4288,1.8708,-1872.6750,5645.7989,1195.9940,-1853.2996,5642.3701,1194.1231,,,,,,
1,Line,84.9982,170,-83.3373,14.7480,7.8789,-1956.0123,5660.5468,1203.8729,-1872.6750,5645.7989,1195.9940,,,,,,
1,Line,34.3961,170,-33.7238,5.9680,3.1911,-1989.7361,5666.5148,1207.0640,-1956.0123,5660.5468,1203.8729,,,,,,
1,Line,57.3652,170,-56.2912,9.9617,4.7779,-1749.4982,5624.0007,1184.1692,-1693.2070,5614.0390,1179.3913,,,,,,
1,Line,6.5654,170,-6.4428,1.1402,0.5432,-1755.9410,5625.1408,1184.7125,-1749.4982,5624.0007,1184.1692,,,,,,
1,Line,99.3182,170,-97.3586,17.2293,9.4107,-1853.2996,5642.3701,1194.1231,-1755.9410,5625.1408,1184.7125,,,,,,
1,Line,41.9878,170,-41.1840,7.2882,3.7067,-2224.6554,5708.0878,1229.3807,-2183.4714,5700.7996,1225.6740,,,,,,
1,Line,109.2259,170,-107.1600,18.9638,9.3501,-2331.8154,5727.0516,1238.7308,-2224.6554,5708.0878,1229.3807,,,,,,
1,Line,24.5524,8,-24.2293,-3.3934,2.0598,-2131.3075,5708.1054,1221.2394,-2107.0782,5711.4989,1219.1796,,,,,,
1,Line,51.4662,170,-50.4356,8.9254,5.0356,-2040.1717,5675.4403,1212.0996,-1989.7361,5666.5148,1207.0640,,,,,,
1,Line,68.2748,170,-66.9066,11.8403,6.6912,-2107.0782,5687.2805,1218.7908,-2040.1717,5675.4403,1212.0996,,,,,,
1,Line,77.8849,170,-76.3932,13.5191,6.8833,-2183.4714,5700.7996,1225.6740,-2107.0782,5687.2805,1218.7908,,,,,,
1,Line,48.7670,170,-47.8540,8.4686,4.0611,-1693.2070,5614.0390,1179.3913,-1645.3530,5605.5704,1175.3303,,,,,,
1,Line,42.1630,170,-41.3884,7.3244,3.3273,-1244.2227,5534.5835,1142.4527,-1202.8343,5527.2592,1139.1254,,,,,,
1,Line,67.1676,170,-65.9348,11.6683,5.2855,-1310.1575,5546.2518,1147.7382,-1244.2227,5534.5835,1142.4527,,,,,,
1,Line,34.0915,170,-33.4899,5.9266,2.3516,-1343.6474,5552.1784,1150.0898,-1310.1575,5546.2518,1147.7382,,,,,,
1,Line,10.5524,170,10.3531,-1.8322,-0.8993,-1143.0130,5516.6728,1153.6016,-1153.3661,5518.5049,1154.5009,,,,,,
1,Line,0.9662,170,-0.9467,0.1675,0.0960,-1143.9597,5516.8403,1133.1341,-1143.0130,5516.6728,1133.0381,,,,,,
1,Line,60.0888,170,-58.8746,10.4189,5.9912,-1202.8343,5527.2592,1139.1254,-1143.9597,5516.8403,1133.1341,,,,,,
1,Line,17.7003,170,-17.3582,3.0718,1.5989,-1540.9959,5587.1026,1165.8117,-1523.6377,5584.0308,1164.2127,,,,,,
1,Line,100.5219,170,-98.5841,17.4461,9.0257,-1639.5800,5604.5488,1174.8374,-1540.9959,5587.1026,1165.8117,,,,,,
1,Line,5.8834,170,-5.7730,1.0216,0.4929,-1645.3530,5605.5704,1175.3303,-1639.5800,5604.5488,1174.8374,,,,,,
1,Line,74.7781,170,-73.4620,13.0003,5.1087,-1417.1094,5565.1788,1155.1985,-1343.6474,5552.1784,1150.0898,,,,,,
1,Line,25.5066,170,-25.0286,4.4292,2.1303,-1442.1380,5569.6080,1157.3289,-1417.1094,5565.1788,1155.1985,,,,,,
1,Line,83.0518,170,-81.4997,14.4228,6.8839,-1523.6377,5584.0308,1164.2127,-1442.1380,5569.6080,1157.3289,,,,,,
1,Line,6.5518,29,5.6617,3.1608,-0.9377,-1089.5305,5697.0962,1135.7371,-1095.1922,5693.9353,1136.6749,,,,,,
1,Line,5.7881,170,-5.6617,1.0389,0.6065,-1095.1922,5619.5215,1142.1183,-1089.5305,5618.4826,1141.5118,,,,,,
1,Line,7.5229,139,-5.6617,4.9432,0.3209,-1095.1922,5693.9353,1136.6749,-1089.5305,5688.9921,1136.3540,,,,,,
1,Line,5.6097,173,-5.5426,0.7240,0.4745,-2578.3345,5962.0118,1263.8089,-2572.7919,5961.2878,1263.3345,,,,,,
1,Line,5.7446,173,-5.6617,0.7396,0.6310,-1095.1922,5768.2742,1130.8279,-1089.5305,5767.5346,1130.1970,,,,,,
1,Line,5.7644,171,-5.6617,0.8891,0.6183,-1095.1922,5693.9353,1136.6749,-1089.5305,5693.0462,1136.0566,,,,,,
1,Line,38.2443,28,33.6349,17.8170,-3.7243,-817.9050,5451.8584,1129.6186,-851.5400,5434.0415,1133.3428,,,,,,
1,Line,31.4076,28,27.6223,14.6320,-3.0585,-851.5400,5434.0415,1133.3428,-879.1622,5419.4095,1136.4013,,,,,,
1,Line,36.2519,143,28.9293,-21.6566,-2.8778,-1540.9959,5587.1026,1165.8117,-1569.9252,5608.7593,1168.6895,,,,,,
1,Line,32.9092,2,-32.7793,-1.1116,2.7013,-2493.1092,5755.5953,1253.6195,-2460.3298,5756.7069,1250.9182,,,,,,
1,Line,18.6171,28,16.2841,8.6886,-2.4359,-1143.0130,5742.7586,1137.9815,-1159.2971,5734.0700,1140.4174,,,,,,
1,Line,16.5565,171,-16.2841,2.5573,1.5514,-1159.2971,5704.0026,1142.7823,-1143.0130,5701.4453,1141.2309,,,,,,
1,Line,6.0956,156,-5.5426,2.5217,0.2772,-2578.3345,5962.0118,1263.8089,-2572.7919,5959.4901,1263.5317,,,,,,
1,Line,59.5547,21,55.1750,21.1476,-7.4335,-1417.1094,5612.6277,1173.3653,-1472.2844,5591.4800,1180.7989,,,,,,
1,Line,41.2124,122,-21.5927,34.9707,-3.0439,-42.1648,5611.0185,1078.3792,-20.5721,5576.0478,1081.4232,,,,,,
1,Line,23.7676,155,-21.5927,9.9266,0.3374,-42.1648,5620.2919,1077.1272,-20.5721,5610.3652,1076.7898,,,,,,
1,Line,20.6307,141,15.9310,-12.9984,-1.6952,-1095.1922,5694.5082,1130.1330,-1111.1232,5707.5065,1131.8283,,,,,,
1,Line,16.1451,173,-15.9310,2.0810,1.5924,-1111.1232,5770.3552,1132.4203,-1095.1922,5768.2742,1130.8279,,,,,,
1,Line,31.8604,21,29.5174,11.3135,-3.9768,-1472.2844,5591.4800,1180.7989,-1501.8018,5580.1665,1184.7756,,,,,,
1,Line,27.4828,167,-26.6468,6.3007,2.3562,-1755.9410,5626.7259,1209.2804,-1729.2941,5620.4252,1206.9241,,,,,,
1,Line,36.9781,29,32.1435,17.9909,-3.2409,-692.8016,5437.2706,1122.7635,-724.9451,5419.2797,1126.0043,,,,,,
1,Line,34.8708,29,30.3117,16.9656,-3.0562,-662.4899,5454.2362,1119.7073,-692.8016,5437.2706,1122.7635,,,,,,
1,Line,17.9424,137,12.9891,-12.2780,-1.5702,-1082.2032,5460.9383,1126.2326,-1095.1922,5473.2163,1127.8028,,,,,,
1,Line,45.8039,136,32.7940,-31.8479,-2.8743,-770.8799,5396.6120,1098.4229,-803.6739,5428.4600,1101.2972,,,,,,
1,Line,17.3402,32,14.6487,9.2009,-1.2001,-337.2039,5384.9756,1113.4188,-351.8527,5375.7747,1114.6189,,,,,,
1,Line,39.2647,27,34.9184,17.6673,-3.2069,-944.5030,5466.6206,1136.7037,-979.4214,5448.9533,1139.9106,,,,,,
1,Line,73.4737,27,65.3408,33.0598,-6.0009,-879.1622,5499.6804,1130.7028,-944.5030,5466.6206,1136.7037,,,,,,
1,Line,48.6799,26,43.5372,20.9847,-5.8206,-1159.2971,5588.6232,1150.6887,-1202.8343,5567.6385,1156.5093,,,,,,
1,Line,5.7906,170,-5.6617,1.0364,0.6341,-1095.1922,5620.7432,1129.3972,-1089.5305,5619.7068,1128.7632,,,,,,
1,Line,25.6715,26,22.9320,11.0276,-3.3975,-1072.2603,5481.5179,1148.3958,-1095.1922,5470.4903,1151.7933,,,,,,
1,Line,95.1279,26,84.9763,40.8637,-12.5897,-987.2840,5522.3816,1135.8061,-1072.2603,5481.5179,1148.3958,,,,,,
1,Line,20.8975,140,15.9310,-13.4158,-1.7102,-1095.1922,5620.7432,1129.3972,-1111.1232,5634.1590,1131.1074,,,,,,
1,Line,16.2051,171,-15.9310,2.4986,1.6013,-1111.1232,5697.0068,1131.7343,-1095.1922,5694.5082,1130.1330,,,,,,
1,Line,44.2862,171,-43.5372,6.8284,4.3760,-1202.8343,5711.3909,1140.9524,-1159.2971,5704.5625,1136.5764,,,,,,
1,Line,44.4407,170,-43.5372,7.9886,3.9581,-1202.8343,5639.2727,1151.9043,-1159.2971,5631.2841,1147.9462,,,,,,
1,Line,16.2616,170,-15.9310,2.9232,1.4483,-1111.1232,5622.4446,1143.5666,-1095.1922,5619.5215,1142.1183,,,,,,
1,Line,17.8128,26,15.9310,7.6787,-2.1299,-1095.1922,5619.5215,1142.1183,-1111.1232,5611.8428,1144.2482,,,,,,
1,Line,7.5222,139,5.6617,-4.9067,-0.6727,-1089.5305,5689.6015,1129.4604,-1095.1922,5694.5082,1130.1330,,,,,,
1,Line,5.8535,32,-4.9470,-3.1289,-0.0032,-25.5191,5337.7221,1072.4139,-20.5721,5340.8509,1072.4171,,,,,,
1,Line,44.2030,138,32.8365,-29.3732,-3.5897,-1111.1232,5487.4670,1129.5444,-1143.9597,5516.8403,1133.1341,,,,,,
1,Line,94.6862,167,-91.7111,21.5965,9.3893,-1202.8343,5498.5642,1138.8231,-1111.1232,5476.9678,1129.4338,,,,,,
1,Line,87.2856,143,69.6548,-52.1439,-6.9291,-1569.9252,5608.7593,1168.6895,-1639.5800,5660.9031,1175.6186,,,,,,
1,Line,5.6549,170,-5.5426,1.0146,0.4782,-2578.3345,5892.2409,1262.8619,-2572.7919,5891.2263,1262.3837,,,,,,
1,Line,5.5960,6,-5.5426,-0.6239,0.4541,-2578.3345,5857.3562,1262.3478,-2572.7919,5857.9801,1261.8937,,,,,,
1,Line,23.2027,42,-17.2870,-15.4693,0.4733,-228.9133,5365.6931,1078.2840,-211.6263,5381.1624,1077.8107,,,,,,
1,Line,46.9476,168,-45.9074,9.6070,2.0717,-228.9133,5365.6931,1078.2840,-183.0060,5356.0860,1076.2123,,,,,,
1,Line,96.9245,42,-72.2129,-64.6199,1.9773,-211.6263,5381.1624,1077.8107,-139.4134,5445.7823,1075.8334,,,,,,
1,Line,30.7465,22,28.3030,11.5284,-3.3735,-1357.0234,5571.0826,1170.6003,-1385.3264,5559.5542,1173.9738,,,,,,
1,Line,109.6025,168,-106.9519,22.4556,8.3510,-1417.1094,5612.6277,1173.3653,-1310.1575,5590.1721,1165.0143,,,,,,
1,Line,50.9119,22,46.8659,19.0894,-5.5860,-1310.1575,5590.1721,1165.0143,-1357.0234,5571.0826,1170.6003,,,,,,
1,Line,16.4238,167,-15.9310,3.7669,1.3249,-1111.1232,5474.2572,1153.1181,-1095.1922,5470.4903,1151.7933,,,,,,
1,Line,16.0983,23,14.7006,6.3232,-1.7505,-1095.1922,5470.4903,1151.7933,-1109.8928,5464.1671,1153.5438,,,,,,
1,Line,44.2656,171,-43.5372,6.8373,4.1479,-1202.8343,5710.8399,1146.9302,-1159.2971,5704.0026,1142.7823,,,,,,
1,Line,44.7003,168,-43.5372,9.1110,4.4288,-1202.8343,5569.5054,1139.5703,-1159.2971,5560.3944,1135.1415,,,,,,
1,Line,5.5817,5,-5.5426,-0.4786,0.4549,-2578.3345,5822.4720,1261.8066,-2572.7919,5822.9506,1261.3517,,,,,,
1,Line,5.7146,167,-5.5426,1.3052,0.4825,-2578.3345,5822.4720,1261.8066,-2572.7919,5821.1668,1261.3242,,,,,,
1,Line,21.0880,141,16.2841,-13.2864,-1.7328,-1143.0130,5733.5259,1135.2217,-1159.2971,5746.8123,1136.9545,,,,,,
1,Line,16.5642,171,-16.2841,2.5540,1.6368,-1159.2971,5704.5625,1136.5764,-1143.0130,5702.0084,1134.9396,,,,,,
1,Line,41.2975,141,31.8898,-26.0194,-3.3934,-1111.1232,5707.5065,1131.8283,-1143.0130,5733.5259,1135.2217,,,,,,
1,Line,49.7749,28,43.5372,23.2300,-6.5128,-1159.2971,5734.0700,1140.4174,-1202.8343,5710.8399,1146.9302,,,,,,
1,Line,18.2135,28,15.9310,8.5002,-2.3831,-1095.1922,5768.2742,1130.8279,-1111.1232,5759.7739,1133.2111,,,,,,
1,Line,16.1975,171,-15.9310,2.5019,1.5178,-1111.1232,5696.4372,1138.1927,-1095.1922,5693.9353,1136.6749,,,,,,
1,Line,16.3566,168,-15.9310,3.3339,1.6206,-1111.1232,5550.3131,1130.2411,-1095.1922,5546.9792,1128.6205,,,,,,
1,Line,46.3152,170,-45.4393,8.0413,3.9623,-2342.4214,5745.4656,1260.4790,-2296.9820,5737.4244,1256.5167,,,,,,
1,Line,53.4796,170,-52.4633,9.2843,4.6348,-2394.8846,5754.7499,1265.1139,-2342.4214,5745.4656,1260.4790,,,,,,
1,Line,41.7397,170,40.9701,-7.2504,-3.3291,-1269.1874,5539.0015,1164.3617,-1310.1575,5546.2518,1167.6908,,,,,,
1,Line,91.5037,170,-89.8216,15.8955,7.2348,-2196.8998,5719.7131,1248.0696,-2107.0782,5703.8176,1240.8349,,,,,,
1,Line,28.2738,170,-27.7556,4.9118,2.2160,-2224.6554,5724.6249,1250.2856,-2196.8998,5719.7131,1248.0696,,,,,,
1,Line,73.7143,170,-72.3266,12.7994,6.2311,-2296.9820,5737.4244,1256.5167,-2224.6554,5724.6249,1250.2856,,,,,,
1,Line,65.4448,135,46.3920,-46.0406,-3.3258,-662.4899,5371.3660,1091.7504,-708.8819,5417.4066,1095.0762,,,,,,
1,Line,16.7191,168,-16.2841,3.4078,1.6565,-1159.2971,5560.3944,1135.1415,-1143.0130,5556.9866,1133.4850,,,,,,
1,Line,18.1003,25,-16.2841,-7.7512,1.5390,-1159.2971,5590.2292,1135.4557,-1143.0130,5597.9804,1133.9167,,,,,,
1,Line,44.8856,23,40.9701,17.6821,-4.8485,-1269.1874,5539.0015,1164.3617,-1310.1575,5521.3193,1169.2101,,,,,,
1,Line,35.5315,136,25.4393,-24.7054,-2.2297,-803.6739,5428.4600,1101.2972,-829.1132,5453.1654,1103.5269,,,,,,
1,Line,69.9044,136,50.0491,-48.6052,-4.3867,-829.1132,5453.1654,1103.5269,-879.1622,5501.7706,1107.9136,,,,,,
1,Line,78.7051,173,-78.0783,9.1044,3.9219,-770.8799,5446.3750,1126.6854,-692.8016,5437.2706,1122.7635,,,,,,
1,Line,47.4345,173,-47.0251,5.4834,2.9332,-817.9050,5451.8584,1129.6186,-770.8799,5446.3750,1126.6854,,,,,,
1,Line,61.8000,173,-61.2572,7.1430,3.9721,-879.1622,5459.0014,1133.5906,-817.9050,5451.8584,1129.6186,,,,,,
1,Line,14.8762,173,-14.7678,1.7220,0.4974,-568.8130,5422.8127,1118.0180,-554.0452,5421.0907,1117.5205,,,,,,
1,Line,94.3688,173,-93.6769,10.9233,3.2851,-662.4899,5433.7360,1121.3030,-568.8130,5422.8127,1118.0180,,,,,,
1,Line,30.5520,173,-30.3117,3.5345,1.4605,-692.8016,5437.2706,1122.7635,-662.4899,5433.7360,1121.3030,,,,,,
1,Line,17.4926,173,-17.2702,2.0138,1.9171,-1089.5305,5483.5317,1150.3128,-1072.2603,5481.5179,1148.3958,,,,,,
1,Line,73.5198,173,72.5829,-8.4636,-8.0773,-1016.9476,5475.0681,1119.2171,-1089.5305,5483.5317,1127.2944,,,,,,
1,Line,30.0464,173,29.6636,-3.4590,-3.3003,-987.2840,5471.6091,1115.9168,-1016.9476,5475.0681,1119.2171,,,,,,
