Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,38.7106,,,,,,,,,,,,,,,,179,0.0000,239.8427,0.0000,403.5201,501.1019,122.4741,403.5201,500.1521,122.4741
1,Line,39.4364,,,,,,,,,,,,,,,,169,0.0000,-1914.2813,0.0000,403.5201,535.5143,122.4741,403.5201,543.0949,122.4741
1,Line,40.3524,,,,,,,,,,,,,,,,164,0.0000,-2884.6842,0.0000,403.5201,535.5143,122.4741,403.5201,546.9377,122.4741
1,Line,40.0070,,,,,,,,,,,,,,,,165,0.0000,-2561.5053,0.0000,403.5201,529.1182,122.4741,403.5201,539.2617,122.4741
1,Line,39.3206,,,,,,,,,,,,,,,,170,0.0000,-1756.1054,0.0000,403.5201,532.3076,122.4741,403.5201,539.2617,122.4741
1,Line,40.1760,,,,,,,,,,,,,,,,164,0.0000,-2724.0676,0.0000,403.5201,532.3076,122.4741,403.5201,543.0949,122.4741
1,Line,39.5621,,,,,,,,,,,,,,,,168,0.0000,-2072.8561,0.0000,403.5201,538.7292,122.4741,403.5201,546.9377,122.4741
1,Line,42.8850,,,,,,,,,,,,,,,,155,0.0000,-4663.0401,0.0000,403.5201,546.1050,122.4741,403.5201,564.5706,122.4741
1,Line,40.2595,,,,,,,,,,,,,,,,164,0.0000,-2800.4876,0.0000,403.5201,553.4807,122.4741,403.5201,564.5706,122.4741
1,Line,43.5261,,,,,,,,,,,,,,,,153,0.0000,-5026.7435,0.0000,403.5201,553.4807,122.4741,403.5201,573.3866,122.4741
1,Line,42.2832,,,,,,,,,,,,,,,,156,0.0000,-4299.2514,0.0000,403.5201,538.7292,122.4741,403.5201,555.7542,122.4741
1,Line,39.0953,,,,,,,,,,,,,,,,172,0.0000,-1408.9905,0.0000,403.5201,508.0415,122.4741,403.5201,513.6211,122.4741
1,Line,39.8863,,,,,,,,,,,,,,,,166,0.0000,-2436.6742,0.0000,403.5201,546.1050,122.4741,403.5201,555.7542,122.4741
1,Line,39.2150,,,,,,,,,,,,,,,,171,0.0000,-1598.7862,0.0000,403.5201,529.1182,122.4741,403.5201,535.4494,122.4741
1,Line,50.7768,,,,,,,,,,,,,,,,140,0.0000,-8294.0603,0.0000,403.5201,619.8136,122.4741,403.5201,652.6581,122.4741
1,Line,38.8961,,,,,,,,,,,,,,,,174,0.0000,-987.1217,0.0000,403.5201,516.7177,122.4741,403.5201,520.6267,122.4741
1,Line,39.3018,,,,,,,,,,,,,,,,170,0.0000,-1736.1029,0.0000,403.5201,513.7517,122.4741,403.5201,520.6267,122.4741
1,Line,39.4221,,,,,,,,,,,,,,,,169,0.0000,-1901.2688,0.0000,403.5201,516.7177,122.4741,403.5201,524.2467,122.4741
1,Line,38.9604,,,,,,,,,,,,,,,,173,0.0000,-1136.5037,0.0000,403.5201,519.7462,122.4741,403.5201,524.2467,122.4741
1,Line,39.5532,,,,,,,,,,,,,,,,168,0.0000,-2066.8713,0.0000,403.5201,519.7462,122.4741,403.5201,527.9310,122.4741
1,Line,38.7003,,,,,,,,,,,,,,,,180,0.0000,66.6948,0.0000,403.5201,502.9455,122.4741,403.5201,502.6814,122.4741
1,Line,39.8463,,,,,,,,,,,,,,,,166,0.0000,-2397.4681,0.0000,403.5201,525.9554,122.4741,403.5201,535.4494,122.4741
1,Line,50.7443,,,,,,,,,,,,,,,,140,0.0000,8285.1703,0.0000,403.5201,652.6581,122.4741,403.5201,619.8488,122.4741
1,Line,46.3424,,,,,,,,,,,,,,,,147,0.0000,-6435.4602,0.0000,403.5201,627.1737,122.4741,403.5201,652.6581,122.4741
1,Line,39.0349,,,,,,,,,,,,,,,,173,0.0000,-1288.5363,0.0000,403.5201,522.8284,122.4741,403.5201,527.9310,122.4741
1,Line,39.6948,,,,,,,,,,,,,,,,167,0.0000,-2232.4308,0.0000,403.5201,522.8284,122.4741,403.5201,531.6688,122.4741
1,Line,39.1197,,,,,,,,,,,,,,,,172,0.0000,-1442.7793,0.0000,403.5201,525.9554,122.4741,403.5201,531.6688,122.4741
1,Line,40.6802,,,,,,,,,,,,,,,,162,0.0000,-3164.2829,0.0000,403.5201,560.8560,122.4741,403.5201,573.3866,122.4741
1,Line,38.7046,,,,,,,,,,,,,,,,179,0.0000,-200.1348,0.0000,403.5201,500.7629,122.4741,403.5201,501.5554,122.4741
1,Line,38.7014,,,,,,,,,,,,,,,,180,0.0000,85.6168,0.0000,403.5201,501.1019,122.4741,403.5201,500.7629,122.4741
1,Line,38.7146,,,,,,,,,,,,,,,,178,0.0000,-294.7701,0.0000,403.5201,502.6814,122.4741,403.5201,503.8487,122.4741
1,Line,46.4388,,,,,,,,,,,,,,,,146,0.0000,6479.8444,0.0000,403.5201,608.8599,122.4741,403.5201,583.1997,122.4741
1,Line,45.6628,,,,,,,,,,,,,,,,148,0.0000,6118.4897,0.0000,403.5201,600.0946,122.4741,403.5201,575.8654,122.4741
1,Line,42.2263,,,,,,,,,,,,,,,,156,0.0000,-4266.4035,0.0000,403.5201,583.1997,122.4741,403.5201,600.0946,122.4741
1,Line,38.9347,,,,,,,,,,,,,,,,174,0.0000,-1089.3197,0.0000,403.5201,502.6814,122.4741,403.5201,506.9951,122.4741
1,Line,44.8300,,,,,,,,,,,,,,,,150,0.0000,-5712.7637,0.0000,403.5201,612.5222,122.4741,403.5201,635.1448,122.4741
1,Line,43.5340,,,,,,,,,,,,,,,,153,0.0000,5033.9160,0.0000,403.5201,573.7895,122.4741,403.5201,553.8552,122.4741
1,Line,42.8964,,,,,,,,,,,,,,,,154,0.0000,4672.2345,0.0000,403.5201,565.0183,122.4741,403.5201,546.5162,122.4741
1,Line,49.8314,,,,,,,,,,,,,,,,141,0.0000,7924.3110,0.0000,403.5201,643.9025,122.4741,403.5201,612.5222,122.4741
1,Line,45.5701,,,,,,,,,,,,,,,,148,0.0000,-6074.1555,0.0000,403.5201,619.8488,122.4741,403.5201,643.9025,122.4741
1,Line,48.9429,,,,,,,,,,,,,,,,142,0.0000,7563.3449,0.0000,403.5201,635.1448,122.4741,403.5201,605.1939,122.4741
1,Line,48.9662,,,,,,,,,,,,,,,,142,0.0000,-7569.1707,0.0000,403.5201,605.0855,122.4741,403.5201,635.0594,122.4741
1,Line,41.6585,,,,,,,,,,,,,,,,158,0.0000,-3891.7671,0.0000,403.5201,575.6045,122.4741,403.5201,591.0159,122.4741
1,Line,45.6673,,,,,,,,,,,,,,,,148,0.0000,-6117.2096,0.0000,403.5201,575.6045,122.4741,403.5201,599.8287,122.4741
1,Line,42.2129,,,,,,,,,,,,,,,,156,0.0000,-4255.4295,0.0000,403.5201,582.9772,122.4741,403.5201,599.8287,122.4741
1,Line,44.2047,,,,,,,,,,,,,,,,151,0.0000,-5390.3483,0.0000,403.5201,560.8560,122.4741,403.5201,582.2018,122.4741
1,Line,41.1471,,,,,,,,,,,,,,,,160,0.0000,-3528.0471,0.0000,403.5201,568.2307,122.4741,403.5201,582.2018,122.4741
1,Line,44.9190,,,,,,,,,,,,,,,,150,0.0000,-5753.8414,0.0000,403.5201,568.2307,122.4741,403.5201,591.0159,122.4741
1,Line,46.4478,,,,,,,,,,,,,,,,146,0.0000,-6480.4398,0.0000,403.5201,582.9772,122.4741,403.5201,608.6397,122.4741
1,Line,43.4433,,,,,,,,,,,,,,,,153,0.0000,-4982.5293,0.0000,403.5201,597.7179,122.4741,403.5201,617.4487,122.4741
1,Line,48.0989,,,,,,,,,,,,,,,,144,0.0000,-7206.4335,0.0000,403.5201,597.7179,122.4741,403.5201,626.2554,122.4741
1,Line,44.1159,,,,,,,,,,,,,,,,151,0.0000,-5345.9403,0.0000,403.5201,605.0855,122.4741,403.5201,626.2554,122.4741
1,Line,42.8084,,,,,,,,,,,,,,,,155,0.0000,-4619.0213,0.0000,403.5201,590.3484,122.4741,403.5201,608.6397,122.4741
1,Line,47.2589,,,,,,,,,,,,,,,,145,0.0000,-6843.5188,0.0000,403.5201,590.3484,122.4741,403.5201,617.4487,122.4741
1,Line,38.7009,,,,,,,,,,,,,,,,180,0.0000,69.2549,0.0000,403.5201,501.5554,122.4741,403.5201,501.2811,122.4741
1,Group_35,,431.6274,490.7858,91.2964,0.0040,0.0040,0.0040,,,,,,,,,,,,,,,,,,,
1,Line,30.1749,,,,,,,,,,,,,,,,98,-994.3387,7441.9868,-1276.1649,468.3387,596.8238,135.8709,472.2763,567.3536,140.9245
1,Line,7.3416,,,,,,,,,,,,,,,,180,-1827.9106,0.0000,-309.3805,452.0630,532.1737,146.8338,459.3015,532.1737,148.0589
1,Line,12.0707,,,,,,,,,,,,,,,,90,-18.0981,3046.4161,-3.0037,452.0630,532.1737,146.8338,452.1346,520.1098,146.8456
1,Line,12.0713,,,,,,,,,,,,,,,,91,-34.8262,3046.4161,-10.2879,445.3724,532.1737,143.8627,445.5103,520.1098,143.9034
1,Line,30.5536,,,,,,,,,,,,,,,,86,540.9351,7442.3945,-1944.9998,468.1862,596.8255,135.9370,466.0441,567.3536,143.6392
1,Line,0.1662,,,,,,,,,,,,,,,,0,-38.5114,0.4077,16.6813,468.1862,596.8255,135.9370,468.3387,596.8238,135.8709
1,Line,7.2689,,,,,,,,,,,,,,,,180,-1809.8125,0.0000,-306.3768,452.1346,520.1098,146.8456,459.3015,520.1098,148.0589
1,Line,20.0967,,,,,,,,,,,,,,,,88,193.7501,5068.4354,4.8592,433.3268,552.2447,126.8888,432.5596,532.1737,126.8695
1,Line,6.7916,,,,,,,,,,,,,,,,14,221.8289,0.0000,-1699.7111,434.1021,505.4852,114.0633,433.2236,505.4852,120.7941
1,Line,7.3999,,,,,,,,,,,,,,,,96,190.9049,-1846.5467,204.7405,434.1021,505.4852,114.0633,433.3461,512.7975,113.2525
1,Line,14.0902,,,,,,,,,,,,,,,,59,1809.8125,3046.4161,306.3768,459.3015,532.1737,148.0589,452.1346,520.1098,146.8456
1,Line,12.0704,,,,,,,,,,,,,,,,90,0.0000,3046.4161,0.0000,459.3015,532.1737,148.0589,459.3015,520.1098,148.0589
1,Line,7.4838,,,,,,,,,,,,,,,,167,-270.8709,0.0000,-1869.3101,432.2542,552.2447,119.4863,433.3268,552.2447,126.8888
1,Line,13.9956,,,,,,,,,,,,,,,,65,1393.2109,3046.4161,1121.4587,445.3724,532.1737,143.8627,439.8553,520.1098,139.4217
1,Line,20.4928,,,,,,,,,,,,,,,,101,1001.4656,-5068.4354,-244.7265,459.3015,532.1737,91.4029,455.3357,552.2447,92.3720
1,Line,20.0975,,,,,,,,,,,,,,,,90,-41.4018,5068.4354,-194.3974,466.3761,552.2447,146.0639,466.5400,532.1737,146.8338
1,Line,4.0047,,,,,,,,,,,,,,,,1,-925.6523,0.0000,407.0671,466.3761,552.2447,146.0639,470.0417,552.2447,144.4520
1,Line,20.5244,,,,,,,,,,,,,,,,82,710.5395,5068.4354,-799.9126,476.0443,552.2447,140.6950,473.2306,532.1737,143.8627
1,Line,20.0844,,,,,,,,,,,,,,,,90,0.0000,5068.4354,76.8705,459.3015,552.2447,91.7073,459.3015,532.1737,91.4029
1,Line,4.0212,,,,,,,,,,,,,,,,0,1001.4656,0.0000,-167.8561,459.3015,552.2447,91.7073,455.3357,552.2447,92.3720
1,Line,20.5239,,,,,,,,,,,,,,,,80,884.2505,5068.4354,-601.4646,470.0417,552.2447,144.4520,466.5400,532.1737,146.8338
1,Line,30.2029,,,,,,,,,,,,,,,,96,-741.0316,7455.6041,-1404.4981,463.1096,596.8778,138.0773,466.0441,567.3536,143.6392
1,Line,5.5101,,,,,,,,,,,,,,,,0,-1281.9667,13.2096,540.5017,463.1096,596.8778,138.0773,468.1862,596.8255,135.9370
1,Line,7.2171,,,,,,,,,,,,,,,,178,-1428.0371,0.0000,-1131.7467,439.8553,520.1098,139.4217,445.5103,520.1098,143.9034
1,Line,20.5239,,,,,,,,,,,,,,,,100,-884.2505,5068.4354,-601.4646,448.5613,552.2447,144.4520,452.0630,532.1737,146.8338
1,Line,4.0047,,,,,,,,,,,,,,,,179,-925.6523,0.0000,-407.0671,448.5613,552.2447,144.4520,452.2269,552.2447,146.0639
1,Line,20.0975,,,,,,,,,,,,,,,,90,41.4018,5068.4354,-194.3974,452.2269,552.2447,146.0639,452.0630,532.1737,146.8338
1,Line,20.0847,,,,,,,,,,,,,,,,90,41.4018,5068.4354,70.8748,452.2269,552.2447,92.9087,452.0630,532.1737,92.6280
1,Line,10.3837,,,,,,,,,,,,,,,,114,842.1014,-1846.5467,1658.3141,436.6808,505.4852,133.8223,433.3461,512.7975,127.2553
1,Line,7.0717,,,,,,,,,,,,,,,,175,-670.7325,0.0000,-1654.1369,433.3461,512.7975,127.2553,436.0022,512.7975,133.8057
1,Line,7.3478,,,,,,,,,,,,,,,,95,-171.3690,1846.5467,-4.1772,436.0022,512.7975,133.8057,436.6808,505.4852,133.8223
1,Line,20.5244,,,,,,,,,,,,,,,,98,-710.5395,5068.4354,-799.9126,442.5587,552.2447,140.6950,445.3724,532.1737,143.8627
1,Line,3.9784,,,,,,,,,,,,,,,,179,-790.2090,0.0000,-620.0551,442.5587,552.2447,140.6950,445.6879,552.2447,143.1504
1,Line,20.0972,,,,,,,,,,,,,,,,89,79.6695,5068.4354,-179.8575,445.6879,552.2447,143.1504,445.3724,532.1737,143.8627
1,Line,7.2032,,,,,,,,,,,,,,,,166,-235.4070,0.0000,-1802.6896,431.6274,532.1737,119.7309,432.5596,532.1737,126.8695
1,Line,5.3825,,,,,,,,,,,,,,,,0,1341.6798,-5.3140,-217.4372,457.5233,595.8644,96.6113,452.2102,595.8854,97.4723
1,Line,29.7546,,,,,,,,,,,,,,,,104,1790.7280,-7205.0068,-1131.1687,459.3015,567.3536,92.9929,452.2102,595.8854,97.4723
1,Group_43,,431.6274,490.7858,91.2964,0.0040,0.0040,0.0040,,,,,,,,,,,,,,,,,,,
1,Line,20.0933,,,,,,,,,,,,,,,,88,-158.2863,-5068.4354,61.7613,431.6274,532.1737,119.7309,432.2542,552.2447,119.4863
1,Line,21.3999,,,,,,,,,,,,,,,,91,-77.1208,5068.4354,-1864.4509,432.2542,552.2447,119.4863,432.5596,532.1737,126.8695
1,Line,28.8102,,,,,,,,,,,,,,,,94,-449.0482,7199.6927,913.7316,457.5233,595.8644,96.6113,459.3015,567.3536,92.9929
1,Line,31.1588,,,,,,,,,,,,,,,,104,-1853.0500,7455.7601,-1680.7912,451.9634,596.8784,138.1026,459.3015,567.3536,144.7585
1,Line,30.1778,,,,,,,,,,,,,,,,94,-465.3595,7461.2160,-1457.5504,457.4587,596.9000,138.9866,459.3015,567.3536,144.7585
1,Line,6.8350,,,,,,,,,,,,,,,,0,1702.6823,0.0000,-282.6759,459.3015,567.3536,92.9929,452.5589,567.3536,94.1123
1,Line,0.3798,,,,,,,,,,,,,,,,0,94.5992,-0.3849,-15.7497,452.2102,595.8854,97.4723,451.8356,595.8869,97.5347
1,Line,4.0047,,,,,,,,,,,,,,,,1,925.6523,0.0000,-407.0671,452.2269,552.2447,92.9087,448.5613,552.2447,94.5207
1,Line,20.4728,,,,,,,,,,,,,,,,100,884.2505,-5068.4354,-477.9420,452.0630,532.1737,92.6280,448.5613,552.2447,94.5207
1,Line,5.5660,,,,,,,,,,,,,,,,180,-1387.6906,-5.4559,-223.2408,451.9634,596.8784,138.1026,457.4587,596.9000,138.9866
1,Line,28.7628,,,,,,,,,,,,,,,,91,-182.6449,7205.3917,864.2426,451.8356,595.8869,97.5347,452.5589,567.3536,94.1123
1,Line,6.8350,,,,,,,,,,,,,,,,180,-1702.6823,0.0000,-282.6759,452.5589,567.3536,143.6392,459.3015,567.3536,144.7585
1,Line,30.0693,,,,,,,,,,,,,,,,91,-188.9874,7455.6041,-1404.4981,451.8105,596.8778,138.0773,452.5589,567.3536,143.6392
1,Line,0.1550,,,,,,,,,,,,,,,,180,-38.6196,-0.1560,-6.3828,451.8105,596.8778,138.0773,451.9634,596.8784,138.1026
1,Line,10.5111,,,,,,,,,,,,,,,,89,-30.9240,-1846.5467,1904.4517,433.2236,505.4852,120.7941,433.3461,512.7975,113.2525
1,Line,7.0635,,,,,,,,,,,,,,,,14,228.4838,0.0000,-1768.0327,433.3461,512.7975,113.2525,432.4413,512.7975,120.2539
1,Line,7.3779,,,,,,,,,,,,,,,,96,-197.5598,1846.5467,-136.4190,432.4413,512.7975,120.2539,433.2236,505.4852,120.7941
1,Line,40.2744,,,,,,,,,,,,,,,,164,0.0000,-2818.9605,0.0000,403.5201,553.8552,122.4741,403.5201,565.0183,122.4741
1,Line,7.0363,,,,,,,,,,,,,,,,90,0.0000,-1773.5718,-90.2728,459.2833,490.8675,106.8030,459.2833,497.8908,107.1605
1,Line,7.0356,,,,,,,,,,,,,,,,88,72.5102,1773.5718,-47.5515,446.0975,497.8908,131.0380,445.8103,490.8675,131.2263
1,Line,7.0364,,,,,,,,,,,,,,,,91,-16.5507,1773.5718,89.2386,462.7906,497.8908,107.3796,462.8562,490.8675,107.0263
1,Line,7.0356,,,,,,,,,,,,,,,,92,-72.5102,1773.5718,-47.5515,472.4690,497.8908,131.0380,472.7562,490.8675,131.2263
1,Line,7.0362,,,,,,,,,,,,,,,,89,38.5823,1773.5718,81.0785,451.9654,497.8908,108.7910,451.8126,490.8675,108.4699
1,Line,7.0356,,,,,,,,,,,,,,,,92,-72.5102,1773.5718,47.5515,472.4690,497.8908,114.5896,472.7562,490.8675,114.4013
1,Line,7.0364,,,,,,,,,,,,,,,,89,16.5507,1773.5718,-89.2386,455.7759,497.8908,138.2479,455.7103,490.8675,138.6013
1,Line,7.0364,,,,,,,,,,,,,,,,91,-16.5507,1773.5718,-89.2386,462.7906,497.8908,138.2479,462.8562,490.8675,138.6013
1,Line,7.0362,,,,,,,,,,,,,,,,91,-38.5823,1773.5718,81.0785,466.6011,497.8908,108.7910,466.7539,490.8675,108.4699
1,Line,7.0359,,,,,,,,,,,,,,,,92,-57.7147,1773.5718,66.8258,469.9101,497.8908,111.2560,470.1387,490.8675,110.9914
1,Line,7.0362,,,,,,,,,,,,,,,,91,-38.5823,1773.5718,-81.0785,466.6011,497.8908,136.8366,466.7539,490.8675,137.1577
1,Line,7.0354,,,,,,,,,,,,,,,,93,-81.8569,1773.5718,24.7039,474.0856,497.8908,118.5412,474.4097,490.8675,118.4433
1,Line,7.0359,,,,,,,,,,,,,,,,88,57.7147,1773.5718,-66.8258,448.6564,497.8908,134.3716,448.4278,490.8675,134.6362
1,Line,7.0354,,,,,,,,,,,,,,,,93,-81.8569,1773.5718,-24.7039,474.0856,497.8908,127.0864,474.4097,490.8675,127.1842
1,Line,44.8245,,,,,,,,,,,,,,,,150,0.0000,-5709.2413,0.0000,403.5201,612.4508,122.4741,403.5201,635.0594,122.4741
1,Line,49.8593,,,,,,,,,,,,,,,,141,0.0000,-7931.7173,0.0000,403.5201,612.4508,122.4741,403.5201,643.8604,122.4741
1,Line,39.4468,,,,,,,,,,,,,,,,169,0.0000,-1934.9435,0.0000,403.5201,535.9332,122.4741,403.5201,543.5956,122.4741
1,Line,38.7237,,,,,,,,,,,,,,,,178,0.0000,356.5795,0.0000,403.5201,502.1749,122.4741,403.5201,500.7629,122.4741
1,Line,38.7037,,,,,,,,,,,,,,,,179,0.0000,-200.1348,0.0000,403.5201,500.7629,122.4741,403.5201,501.5554,122.4741
1,Line,45.5672,,,,,,,,,,,,,,,,148,0.0000,-6072.4190,0.0000,403.5201,619.8136,122.4741,403.5201,643.8604,122.4741
1,Line,40.2030,,,,,,,,,,,,,,,,164,0.0000,2753.2451,0.0000,403.5201,543.5956,122.4741,403.5201,532.6927,122.4741
1,Line,0.3808,,,,,,,,,,,,,,,,90,0.0000,-91.9625,27.9302,459.2833,488.6569,139.4959,459.2833,489.0211,139.3853
1,Line,0.3808,,,,,,,,,,,,,,,,90,0.0000,91.9625,27.9302,459.2833,489.0211,106.2422,459.2833,488.6569,106.1316
1,Line,1.9307,,,,,,,,,,,,,,,,90,0.0000,-466.2569,141.6085,459.2833,489.0211,139.3853,459.2833,490.8675,138.8246
1,Line,39.3286,,,,,,,,,,,,,,,,170,0.0000,-1775.1043,0.0000,403.5201,532.6927,122.4741,403.5201,539.7222,122.4741
1,Group_30,,403.5201,653.5098,116.9695,0.0040,0.0040,0.0040,,,,,,,,,,,,,,,,,,,
