Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,3D Polyline,0.0767,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.2091,,,,,,,,,,,,,,,,154,0.1857,-0.0820,-0.0471,3.5760,39.3194,11.3561,3.3903,39.4014,11.4032
1,Line,0.1400,,,,,,,,,,,,,,,,160,-0.1321,0.0454,0.0000,3.5760,39.3482,11.4310,3.7081,39.3028,11.4310
1,Line,0.2077,,,,,,,,,,,,,,,,154,-0.1857,0.0805,0.0432,3.3903,39.4287,11.4742,3.5760,39.3482,11.4310
1,Line,0.1178,,,,,,,,,,,,,,,,160,0.1111,-0.0382,0.0000,3.6871,39.2812,11.3561,3.5760,39.3194,11.3561
1,Line,11.3425,,,,,,,,,,,,,,,,179,-11.3118,0.0231,-0.1924,15.5763,38.5677,10.1707,26.8880,38.5445,10.3632
1,Line,0.0745,,,,,,,,,,,,,,,,179,-0.0743,-0.0001,-0.0001,16.9951,39.4273,13.3029,17.0694,39.4274,13.3030
1,Line,0.1525,,,,,,,,,,,,,,,,7,-0.1071,-0.0045,-0.1073,3.6871,39.2812,11.3561,3.7942,39.2857,11.4633
1,Line,0.4327,,,,,,,,,,,,,,,,82,0.0000,0.1542,0.4006,3.7942,39.4398,11.8639,3.7942,39.2857,11.4633
1,Line,0.2992,,,,,,,,,,,,,,,,47,0.1761,0.1877,0.1493,27.4371,39.8574,13.6634,27.2610,39.6697,13.5141
1,Line,1.1165,,,,,,,,,,,,,,,,178,-1.0762,0.0610,-0.2782,4.3733,41.0551,13.4847,5.4495,40.9941,13.7629
1,Line,0.7946,,,,,,,,,,,,,,,,84,-0.0876,-0.7182,0.3163,8.5085,40.1423,7.7699,8.5961,40.8605,7.4536
1,Line,47.2527,,,,,,,,,,,,,,,,179,-47.1317,-0.0809,0.0346,8.5961,40.8605,7.4536,55.7278,40.9414,7.4190
1,Line,1.3536,,,,,,,,,,,,,,,,142,-1.0762,0.8111,0.0492,4.3733,41.0551,13.4847,5.4495,40.2440,13.4355
1,Line,0.0925,,,,,,,,,,,,,,,,169,-0.0861,0.0193,-0.0267,3.7081,39.4592,11.8372,3.7942,39.4398,11.8639
1,Line,0.4388,,,,,,,,,,,,,,,,82,0.0000,-0.1563,-0.4062,3.7081,39.3028,11.4310,3.7081,39.4592,11.8372
1,Line,1.1166,,,,,,,,,,,,,,,,175,-1.0762,0.1178,-0.2598,4.3733,40.3618,13.1757,5.4495,40.2440,13.4355
1,Line,1.3493,,,,,,,,,,,,,,,,143,-1.0762,0.7619,0.2609,4.3733,40.3618,13.1757,5.4495,39.5999,12.9147
1,Line,0.0024,,,,,,,,,,,,,,,,129,0.0014,-0.0015,-0.0012,21.8646,39.6005,13.4606,21.8632,39.6020,13.4618
1,Line,0.7196,,,,,,,,,,,,,,,,19,-0.4963,-0.1307,-0.4987,5.8687,44.9135,10.1707,6.3650,45.0442,10.6695
1,Line,0.0481,,,,,,,,,,,,,,,,178,-0.0480,0.0007,0.0005,22.0748,39.9452,13.7284,22.1228,39.9445,13.7279
1,Line,0.0168,,,,,,,,,,,,,,,,101,0.0034,-0.0129,-0.0100,21.8632,39.6020,13.4618,21.8598,39.6149,13.4718
1,Line,0.1242,,,,,,,,,,,,,,,,10,-0.0924,-0.0097,-0.0815,8.8045,45.0308,10.1707,8.8969,45.0405,10.2522
1,Line,0.1281,,,,,,,,,,,,,,,,161,-0.0235,0.0242,-0.1226,-0.7024,41.7310,9.8639,-0.6789,41.7069,9.9865
1,Line,0.2487,,,,,,,,,,,,,,,,52,-0.1350,-0.1714,-0.1164,-0.5595,42.2588,9.8639,-0.4245,42.4302,9.9804
1,Line,0.1281,,,,,,,,,,,,,,,,49,-0.0235,-0.0242,-0.1226,-0.7024,41.8670,9.8639,-0.6789,41.8912,9.9865
1,Line,0.0828,,,,,,,,,,,,,,,,62,-0.0159,-0.0315,-0.0742,-0.6948,41.9455,9.8639,-0.6789,41.9770,9.9381
1,Line,0.0284,,,,,,,,,,,,,,,,178,-0.0284,0.0004,0.0003,20.7488,39.9644,13.7426,20.7771,39.9640,13.7423
