Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,12,1.4167,0.0000,-0.2001,10.0134,-54.6877,9.4096,2.9663,7.1426,-54.6877,9.8151
1,Line,,,,,,,,,,,,,,130,0.2276,-0.4391,0.0000,5.9995,-54.6877,10.1874,1.0258,5.5384,-53.7979,10.1874
1,Line,,,,,,,,,,,,,,62,0.3686,0.4391,-0.1870,6.7465,-53.7979,9.8085,1.2480,5.9995,-54.6877,10.1874
1,Line,,,,,,,,,,,,,,12,1.4135,0.0000,0.2165,12.8777,-54.6877,9.8483,2.9644,10.0134,-54.6877,9.4096
1,Line,,,,,,,,,,,,,,126,0.1955,-0.4391,0.0033,7.1426,-54.6877,9.8151,0.9970,6.7465,-53.7979,9.8085
1,Line,,,,,,,,,,,,,,29,1.4167,0.4391,-0.2362,10.0134,-53.7979,9.3365,3.1133,7.1426,-54.6877,9.8151
1,Line,,,,,,,,,,,,,,12,0.4840,0.0000,-0.1739,5.9995,-54.6877,10.1874,1.0639,5.0188,-54.6877,10.5397
1,Line,,,,,,,,,,,,,,155,0.5705,-0.4391,-0.1968,4.9539,-54.6877,10.6328,1.5456,3.7978,-53.7979,11.0317
1,Line,,,,,,,,,,,,,,129,-0.2212,0.4391,-0.0033,4.5057,-53.7979,10.6261,1.0198,4.9539,-54.6877,10.6328
1,Line,,,,,,,,,,,,,,12,0.5641,0.0000,-0.1837,7.1426,-54.6877,9.8151,1.2278,5.9995,-54.6877,10.1874
1,Line,,,,,,,,,,,,,,132,0.2532,-0.4391,-0.0426,5.0188,-54.6877,10.5397,1.0549,4.5057,-53.7979,10.6261
1,Line,,,,,,,,,,,,,,72,0.2564,0.4391,-0.1739,5.5384,-53.7979,10.1874,1.1120,5.0188,-54.6877,10.5397
1,Line,,,,,,,,,,,,,,48,0.6026,0.4391,0.1837,16.1901,-53.7979,10.9984,1.5906,14.9690,-54.6877,10.6261
1,Line,,,,,,,,,,,,,,12,0.0481,0.0000,0.0033,15.0664,-54.6877,10.6328,0.0999,14.9690,-54.6877,10.6261
1,Line,,,,,,,,,,,,,,72,-0.2532,-0.4391,0.0000,13.9948,-54.6877,10.1874,1.0513,14.5079,-53.7979,10.1874
