Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.4494,,,,,,,,,,5,-0.4473,-0.0369,-0.0233,8.4539,3.0366,2.1517,8.9012,3.0735,2.1749
1,Line,,,,,,,0.0524,,,,,,,,,,172,-0.0519,0.0069,-0.0002,8.4539,3.0366,2.1517,8.5059,3.0297,2.1519
1,Line,,,,,,,0.3972,,,,,,,,,,5,0.3954,0.0326,0.0206,8.9012,3.0623,2.1725,8.5059,3.0297,2.1519
1,Line,,,,,,,0.0847,,,,,,,,,,90,0.0000,-0.0729,-0.0432,10.0011,2.9806,2.1588,10.0011,3.0535,2.2020
1,Line,,,,,,,0.0846,,,,,,,,,,90,0.0000,0.0728,0.0431,10.0123,3.0543,2.2025,10.0123,2.9814,2.1594
1,Line,,,,,,,0.0115,,,,,,,,,,90,0.0000,0.0112,0.0025,8.9012,3.0735,2.1749,8.9012,3.0623,2.1725
1,Line,,,,,,,0.1208,,,,,,,,,,90,0.0000,0.1201,-0.0135,10.0011,3.1087,2.0646,10.0011,2.9886,2.0781
1,Line,,,,,,,0.0350,,,,,,,,,,90,0.0000,-0.0302,-0.0178,8.3113,2.8479,2.0732,8.3113,2.8781,2.0910
1,Line,,,,,,,0.0668,,,,,,,,,,90,0.0000,-0.0575,-0.0340,8.3113,2.8781,2.0910,8.3113,2.9356,2.1251
1,Line,,,,,,,0.0229,,,,,,,,,,90,0.0000,-0.0224,-0.0048,8.3113,2.9356,2.1251,8.3113,2.9580,2.1299
1,Line,,,,,,,0.5085,,,,,,,,,,8,-0.5023,-0.0742,-0.0276,8.3989,2.9655,1.9701,8.9012,3.0397,1.9977
1,Line,,,,,,,0.0315,,,,,,,,,,90,0.0000,-0.0313,0.0035,8.9012,3.0084,2.0012,8.9012,3.0397,1.9977
1,Line,,,,,,,1.1041,,,,,,,,,,4,1.0999,0.0690,0.0670,10.0011,3.1087,2.0646,8.9012,3.0397,1.9977
1,Line,,,,,,,0.0476,,,,,,,,,,90,0.0000,-0.0299,0.0371,10.0123,2.9596,2.1159,10.0123,2.9895,2.0788
1,Line,,,,,,,0.0112,,,,,,,,,,4,0.0112,0.0009,0.0005,10.0123,2.9814,2.1594,10.0011,2.9806,2.1588
1,Line,,,,,,,0.0487,,,,,,,,,,90,0.0000,-0.0219,-0.0435,10.0011,2.9587,2.1153,10.0011,2.9806,2.1588
1,Line,,,,,,,0.0112,,,,,,,,,,4,0.0112,0.0009,0.0007,10.0123,2.9895,2.0788,10.0011,2.9886,2.0781
1,Line,,,,,,,0.0477,,,,,,,,,,90,0.0000,0.0299,-0.0372,10.0011,2.9886,2.0781,10.0011,2.9587,2.1153
