Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.7629,,,,,,,,,,,,,,269,-0.0171,-0.7400,-0.1848,-6.3250,33.4638,5.3072,-6.3079,34.2038,5.4920
1,Line,1.9809,,,,,,,,,,,,,,86,0.1379,1.9336,0.4079,-6.2908,34.0644,4.9258,-6.4286,32.1309,4.5179
1,Line,1.6082,,,,,,,,,,,,,,265,-0.1346,-1.5436,-0.4303,-6.4286,32.1309,4.5179,-6.2940,33.6745,4.9482
1,Line,0.2675,,,,,,,,,,,,,,93,-0.0092,0.1858,0.1922,-6.4414,38.5804,4.8696,-6.4322,38.3946,4.6774
1,Line,0.6279,,,,,,,,,,,,,,90,0.0024,0.5869,0.2232,-6.3121,36.3463,5.0516,-6.3146,35.7595,4.8284
1,Line,1.3353,,,,,,,,,,,,,,88,0.0427,1.3057,0.2762,-6.3349,33.3760,5.3169,-6.3776,32.0703,5.0407
1,Line,0.6474,,,,,,,,,,,,,,80,0.0019,0.0110,0.6473,-6.4950,37.8099,10.3714,-6.4969,37.7988,9.7241
1,Line,2.0679,,,,,,,,,,,,,,86,0.1519,2.0220,0.4057,-6.2940,33.6745,4.9482,-6.4458,31.6525,4.5425
1,Line,1.1498,,,,,,,,,,,,,,269,-0.0127,-0.5850,-0.9897,-6.5218,36.4331,5.8067,-6.5092,37.0181,6.7964
1,Line,0.7713,,,,,,,,,,,,,,269,-0.0076,-0.7551,-0.1570,-6.4594,33.3088,5.3454,-6.4517,34.0639,5.5024
1,Line,0.8433,,,,,,,,,,,,,,271,0.0069,-0.7248,-0.4310,-6.4517,34.0639,5.5024,-6.4586,34.7886,5.9334
1,Line,2.7465,,,,,,,,,,,,,,94,-0.0701,0.9641,2.5707,-6.3981,36.2239,9.5276,-6.3280,35.2598,6.9568
1,Line,1.2694,,,,,,,,,,,,,,269,-0.0201,-0.7840,-0.9981,-6.3187,34.5901,5.9481,-6.2986,35.3741,6.9462
1,Line,2.3733,,,,,,,,,,,,,,84,0.2307,2.3278,0.4010,-6.4097,31.8384,5.0542,-6.6404,29.5106,4.6531
1,Line,0.0940,,,,,,,,,,,,,,91,-0.0011,0.0882,0.0325,-6.5006,37.1014,10.4559,-6.4995,37.0132,10.4234
1,Line,0.6794,,,,,,,,,,,,,,269,-0.0109,-0.5272,-0.4284,-6.5222,36.7101,5.3162,-6.5114,37.2373,5.7445
1,Line,2.9762,,,,,,,,,,,,,,292,0.0844,-0.2041,-2.9680,-6.2962,37.4179,6.7588,-6.3806,37.6220,9.7268
1,Line,1.6844,,,,,,,,,,,,,,266,-0.1247,-1.6270,-0.4180,-6.6812,33.3695,4.4552,-6.5565,34.9964,4.8732
1,Line,0.7200,,,,,,,,,,,,,,80,0.0021,0.0123,0.7199,-6.5006,37.1033,10.4561,-6.5027,37.0910,9.7362
1,Line,0.0970,,,,,,,,,,,,,,90,-0.0003,0.0965,0.0098,-6.5009,37.1997,10.4659,-6.5006,37.1033,10.4561
1,Line,1.2926,,,,,,,,,,,,,,270,-0.0034,-0.8326,-0.9886,-6.4761,34.9429,5.9215,-6.4727,35.7756,6.9102
1,Line,1.2099,,,,,,,,,,,,,,88,0.0326,1.1802,0.2644,-6.2970,33.8117,5.2727,-6.3296,32.6315,5.0083
1,Line,2.7700,,,,,,,,,,,,,,272,0.0374,-1.0525,-2.5619,-6.3635,35.1635,6.9658,-6.4009,36.2160,9.5278
1,Line,0.3234,,,,,,,,,,,,,,268,-0.0031,-0.1041,-0.3062,-6.4302,38.4630,4.8786,-6.4271,38.5672,5.1848
1,Line,0.7249,,,,,,,,,,,,,,90,0.0055,0.6853,0.2362,-6.2929,36.6690,5.3181,-6.2983,35.9837,5.0819
1,Line,0.5650,,,,,,,,,,,,,,269,-0.0121,-0.5109,-0.2409,-6.3036,35.3211,4.8536,-6.2915,35.8320,5.0945
1,Line,0.7587,,,,,,,,,,,,,,89,0.0082,0.7234,0.2285,-6.2792,36.3533,5.3403,-6.2874,35.6298,5.1118
1,Line,0.8198,,,,,,,,,,,,,,89,0.0137,0.7907,0.2159,-6.2617,35.7409,5.3834,-6.2754,34.9501,5.1675
