Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,224.9184,,,,,,,,,,,,,,,,79,-7.6603,1.7130,0.0000,-11294.9664,20054.3947,4659.5851,-11287.3060,20052.6816,4659.5851
1,Line,224.9184,,,,,,,,,,,,,,,,105,-7.6603,-1.7130,0.0000,-11294.9664,20036.9449,4659.5851,-11287.3060,20038.6579,4659.5851
1,Line,1430.5414,,,,,,,,,,,,,,,,95,-49.8567,-2.6142,0.0000,-11397.5586,20050.8425,4659.5851,-11347.7019,20053.4567,4659.5851
1,Line,1511.3082,,,,,,,,,,,,,,,,91,-52.7356,0.9379,0.0000,-11347.7019,20037.8828,4659.5851,-11294.9664,20036.9449,4659.5851
1,Line,1511.3082,,,,,,,,,,,,,,,,93,-52.7356,-0.9379,0.0000,-11347.7019,20053.4567,4659.5851,-11294.9664,20054.3947,4659.5851
1,Line,755.7154,,,,,,,,,,,,,,,,97,-26.2804,-2.2210,0.0000,-11474.0907,20045.6698,4659.5851,-11447.8103,20047.8908,4659.5851
1,Line,40.0626,,,,,,,,,,,,,,,,2,0.0000,1.3982,0.0000,-11281.5679,20046.3689,4659.5851,-11281.5679,20044.9707,4659.5851
1,Line,1442.3776,,,,,,,,,,,,,,,,95,-50.2516,-2.9517,0.0000,-11447.8103,20047.8908,4659.5851,-11397.5586,20050.8425,4659.5851
1,Line,67.9318,,,,,,,,,,,,,,,,11,-0.3884,2.3387,0.0000,-11281.9563,20048.7076,4659.5851,-11281.5679,20046.3689,4659.5851
1,Line,1430.5414,,,,,,,,,,,,,,,,89,-49.8567,2.6142,0.0000,-11397.5586,20040.4971,4659.5851,-11347.7019,20037.8828,4659.5851
1,Line,248.7198,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-4803.9520,27534.8658,797.9394,-4803.9520,27534.8658,797.9394
1,pilon1,,,,,,,,,-23388.8697,20346.1863,2935.4043,1.0000,1.0000,1.0000,,,,,,,,,,,,
1,Line,248.7198,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-4803.9520,27534.8658,497.9394,-4803.9520,27534.8658,497.9394
1,Line,70.0000,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-4803.9520,27534.8658,555.8642,-4803.9520,27534.8658,555.8642
1,Line,70.0000,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-4803.9520,27534.8658,582.8324,-4803.9520,27534.8658,582.8324
1,Line,67.9318,,,,,,,,,,,,,,,,173,-0.3884,-2.3387,0.0000,-11281.9563,20042.6319,4659.5851,-11281.5679,20044.9707,4659.5851
1,Line,755.7154,,,,,,,,,,,,,,,,87,-26.2804,2.2210,0.0000,-11474.0907,20045.6698,4659.5851,-11447.8103,20043.4488,4659.5851
1,Line,1442.3776,,,,,,,,,,,,,,,,89,-50.2516,2.9517,0.0000,-11447.8103,20043.4488,4659.5851,-11397.5586,20040.4971,4659.5851
1,Line,116.3205,,,,,,,,,,,,,,,,120,-3.5958,-1.8841,0.0000,-11287.3060,20038.6579,4659.5851,-11283.7102,20040.5420,4659.5851
1,Line,78.1772,,,,,,,,,,,,,,,,142,-1.7539,-2.0899,0.0000,-11283.7102,20040.5420,4659.5851,-11281.9563,20042.6319,4659.5851
1,Line,306.2117,,,,,,,,,,,,,,,,92,3.5291,0.0000,-289.0326,-11278.0388,20044.9707,4370.5524,-11281.5679,20044.9707,4659.5851
1,Line,67.9415,,,,,,,,,,,,,,,,173,-0.3905,-2.3387,0.0000,-11278.4293,20042.6319,4370.5524,-11278.0388,20044.9707,4370.5524
1,Line,40.0626,,,,,,,,,,,,,,,,2,0.0000,1.3982,0.0000,-11278.0388,20046.3689,4370.5524,-11278.0388,20044.9707,4370.5524
1,Line,306.1044,,,,,,,,,,,,,,,,92,3.5178,0.0000,-289.0326,-11280.1925,20050.7975,4370.5524,-11283.7102,20050.7975,4659.5851
1,Line,306.2117,,,,,,,,,,,,,,,,92,3.5291,0.0000,-289.0326,-11278.0388,20046.3689,4370.5524,-11281.5679,20046.3689,4659.5851
1,Line,303.0415,,,,,,,,,,,,,,,,92,3.1784,0.0000,-289.0326,-11344.5235,20037.8828,4370.5524,-11347.7019,20037.8828,4659.5851
1,Line,1438.1070,,,,,,,,,,,,,,,,89,-50.1211,2.6142,0.0000,-11394.6446,20040.4971,4370.5524,-11344.5235,20037.8828,4370.5524
1,Line,305.5454,,,,,,,,,,,,,,,,92,3.4581,0.0000,-289.0326,-11291.5083,20036.9449,4370.5524,-11294.9664,20036.9449,4659.5851
1,Line,305.9249,,,,,,,,,,,,,,,,92,3.4987,0.0000,-289.0326,-11283.8074,20038.6579,4370.5524,-11287.3060,20038.6579,4659.5851
1,Line,226.0545,,,,,,,,,,,,,,,,105,-7.7010,-1.7130,0.0000,-11291.5083,20036.9449,4370.5524,-11283.8074,20038.6579,4370.5524
1,Line,78.3488,,,,,,,,,,,,,,,,142,-1.7632,-2.0899,0.0000,-11280.1925,20040.5420,4370.5524,-11278.4293,20042.6319,4370.5524
1,Line,306.1044,,,,,,,,,,,,,,,,92,3.5178,0.0000,-289.0326,-11280.1925,20040.5420,4370.5524,-11283.7102,20040.5420,4659.5851
1,Line,306.1922,,,,,,,,,,,,,,,,92,3.5271,0.0000,-289.0326,-11278.4293,20042.6319,4370.5524,-11281.9563,20042.6319,4659.5851
1,Line,116.3205,,,,,,,,,,,,,,,,64,-3.5958,1.8841,0.0000,-11287.3060,20052.6816,4659.5851,-11283.7102,20050.7975,4659.5851
1,Line,78.1772,,,,,,,,,,,,,,,,42,-1.7539,2.0899,0.0000,-11283.7102,20050.7975,4659.5851,-11281.9563,20048.7076,4659.5851
1,Line,305.9249,,,,,,,,,,,,,,,,92,3.4987,0.0000,-289.0326,-11283.8074,20052.6816,4370.5524,-11287.3060,20052.6816,4659.5851
1,Line,116.8048,,,,,,,,,,,,,,,,64,-3.6149,1.8841,0.0000,-11283.8074,20052.6816,4370.5524,-11280.1925,20050.7975,4370.5524
1,Line,300.8515,,,,,,,,,,,,,,,,92,2.9140,0.0000,-289.0326,-11394.6446,20050.8425,4370.5524,-11397.5586,20050.8425,4659.5851
1,Line,298.8223,,,,,,,,,,,,,,,,92,2.6475,0.0000,-289.0326,-11445.1627,20047.8908,4370.5524,-11447.8103,20047.8908,4659.5851
1,Line,1450.0005,,,,,,,,,,,,,,,,95,-50.5181,-2.9517,0.0000,-11445.1627,20047.8908,4370.5524,-11394.6446,20050.8425,4370.5524
1,Line,70.0000,,,,,,,,,,,,,,,,180,0.0000,0.0000,0.0000,-4803.9520,27534.8658,582.8324,-4803.9520,27534.8658,582.8324
1,Line,129.8471,,,,,,,,,,,,,,,,9,0.0000,0.0000,-63.9972,-4803.9520,27534.8658,22.0780,-4803.9520,27534.8658,86.0752
1,Line,129.8471,,,,,,,,,,,,,,,,23,0.0000,0.0000,-46.8492,-4803.9520,27534.8658,189.7771,-4803.9520,27534.8658,236.6263
1,Line,129.8471,,,,,,,,,,,,,,,,17,0.0000,0.0000,-57.3783,-4803.9520,27534.8658,86.8074,-4803.9520,27534.8658,144.1857
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,102.9696,-4803.9520,27534.8658,189.7771,-4803.9520,27534.8658,86.8074
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,156.2706,-4803.9520,27534.8658,971.9091,-4803.9520,27534.8658,815.6384
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,102.9696,-4803.9520,27534.8658,1209.0714,-4803.9520,27534.8658,1106.1017
1,Line,129.8471,,,,,,,,,,,,,,,,157,0.0000,0.0000,46.8492,-4803.9520,27534.8658,236.6263,-4803.9520,27534.8658,189.7771
1,Line,215.8464,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-4803.9520,27534.8658,86.8074,-4803.9520,27534.8658,86.8074
1,Line,129.8471,,,,,,,,,,,,,,,,171,0.0000,0.0000,63.9972,-4803.9520,27534.8658,86.0752,-4803.9520,27534.8658,22.0780
1,Line,215.8464,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-4803.9520,27534.8658,22.0780,-4803.9520,27534.8658,22.0780
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,-134.1926,-4803.9520,27534.8658,971.9091,-4803.9520,27534.8658,1106.1017
1,Line,129.8471,,,,,,,,,,,,,,,,150,0.0000,0.0000,17.1480,-4803.9520,27534.8658,815.6384,-4803.9520,27534.8658,798.4904
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,64.7294,-4803.9520,27534.8658,86.8074,-4803.9520,27534.8658,22.0780
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,64.7294,-4803.9520,27534.8658,1273.8008,-4803.9520,27534.8658,1209.0714
1,Line,215.8464,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,-4803.9520,27534.8658,22.0780,-4803.9520,27534.8658,22.0780
1,Line,129.8471,,,,,,,,,,,,,,,,0,0.0000,0.0000,66.2548,-4803.9520,27534.8658,1295.8788,-4803.9520,27534.8658,1229.6240
1,Line,129.8471,,,,,,,,,,,,,,,,163,0.0000,0.0000,-57.3783,-4803.9520,27534.8658,86.8074,-4803.9520,27534.8658,144.1857
1,Line,169.1461,,,,,,,,,,,,,,,,90,0.0000,0.0000,-22.0780,-4803.9520,27534.8658,1273.8008,-4803.9520,27534.8658,1295.8788
1,Line,129.8471,,,,,,,,,,,,,,,,23,0.0000,0.0000,46.8492,-4803.9520,27534.8658,236.6263,-4803.9520,27534.8658,189.7771
1,Line,129.8471,,,,,,,,,,,,,,,,9,0.0000,0.0000,-63.9972,-4803.9520,27534.8658,1209.8036,-4803.9520,27534.8658,1273.8008
