Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,248.7533,,,,,,,83,-31.5141,-246.3398,-14.2039,-492.0000,1814.7949,1359.6795,-460.4859,2061.1348,1373.8833
1,Line,248.0573,,,,,,,95,20.1386,-247.2033,-4.1676,-369.0000,1813.9315,1374.6546,-389.1386,2061.1348,1378.8222
1,Line,122.1736,,,,,,,90,0.0000,-121.9710,-7.0328,-307.0000,2061.1348,1357.8568,-307.0000,2183.1058,1364.8896
1,Line,125.8769,,,,,,,179,122.0000,-1.7845,30.9486,230.0000,595.9545,1304.4265,108.0000,597.7390,1273.4779
1,Line,722.4061,,,,,,,6,716.8905,79.9730,-39.2795,-753.0000,2335.0659,1404.7030,-1469.8905,2255.0929,1443.9825
1,Line,248.7368,,,,,,,90,0.0000,-246.3398,-34.4478,-492.0000,1814.7949,1359.6795,-492.0000,2061.1348,1394.1273
1,Line,2086.9159,,,,,,,6,-2073.0000,-208.4266,-120.1972,753.0000,1534.7429,1404.6331,2826.0000,1743.1694,1524.8303
1,Line,94.2019,,,,,,,90,0.0000,-91.9823,-20.3286,-15.0000,1036.4575,2038.0000,-15.0000,1128.4398,2058.3286
1,Line,155.0309,,,,,,,85,14.3374,154.1105,8.8860,-538.0000,1813.9315,1374.6546,-552.3374,1659.8210,1365.7686
1,Line,215.0000,,,,,,,180,-215.0000,0.0000,0.0000,-753.0000,1813.9315,1374.6546,-538.0000,1813.9315,1374.6546
1,Line,151.1567,,,,,,,149,-129.4267,77.0978,12.3694,-1751.0000,2223.7336,1459.3849,-1621.5733,2146.6358,1447.0155
1,Line,495.6006,,,,,,,74,138.0000,475.2107,27.4005,276.0000,1463.1456,1847.2456,138.0000,987.9349,1819.8451
1,Line,476.9444,,,,,,,90,0.0000,473.4838,57.3507,138.0000,1461.4187,1877.1958,138.0000,987.9349,1819.8451
1,Line,5.1898,,,,,,,95,0.4969,-5.1621,0.2001,285.7028,3194.5393,1771.4888,285.2059,3199.7014,1771.2887
1,Line,22.3444,,,,,,,175,-12.4873,1.0666,-18.4988,-196.4873,346.4308,1601.6598,-184.0000,345.3641,1620.1585
1,Line,512.9542,,,,,,,104,-123.0000,495.6166,-48.5508,-261.0000,2646.8895,1868.4218,-138.0000,2151.2728,1916.9726
