Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,4.8493,,,,,,,78,0.0000,0.0000,4.8493,334.9781,62.8703,233.8321,334.9781,62.8703,228.9829
1,Line,39.3464,,,,,,,270,0.0000,-20.2286,-33.7482,334.9781,62.8703,233.8321,334.9781,83.0989,267.5804
1,Line,87.1196,,,,,,,0,0.0000,0.0000,87.1196,334.9781,98.2626,250.1670,334.9781,98.2626,163.0475
1,Line,87.5011,,,,,,,345,0.0000,0.0000,87.5011,334.9781,62.8703,226.0462,334.9781,62.8703,138.5451
1,Line,14.2589,,,,,,,270,0.0000,-13.9391,-3.0029,334.9781,96.5360,271.5222,334.9781,110.4751,274.5251
1,Line,5.4450,,,,,,,90,0.0000,5.4450,0.0000,716.1263,98.2626,163.0475,716.1263,92.8176,163.0475
1,Line,54.4497,,,,,,,0,0.0000,0.0000,54.4497,743.3511,190.8272,157.6025,743.3511,190.8272,103.1527
1,Line,16.0919,,,,,,,270,0.0000,-16.0651,-0.9278,334.9781,125.7573,276.7364,334.9781,141.8224,277.6642
1,Line,21.8639,,,,,,,0,21.0732,0.0000,5.8265,334.9781,62.8703,226.0462,313.9048,62.8703,220.2197
1,Line,35.3923,,,,,,,270,0.0000,-35.3923,0.0000,334.9781,185.3822,138.5451,334.9781,220.7745,138.5451
1,Line,9.5186,,,,,,,90,0.0000,9.0326,-3.0029,334.9781,171.1680,260.6323,334.9781,162.1354,263.6352
1,Line,2.9366,,,,,,,90,0.0000,0.0000,-2.9366,334.9781,220.7745,226.0462,334.9781,220.7745,228.9829
1,Line,87.5011,,,,,,,90,0.0000,0.0000,-87.5011,334.9781,220.7745,138.5451,334.9781,220.7745,226.0462
1,Line,10.1467,,,,,,,270,0.0000,-9.9028,2.2112,334.9781,152.2326,265.8464,334.9781,162.1354,263.6352
1,Line,10.1467,,,,,,,90,0.0000,9.9028,2.2112,334.9781,131.4122,265.8464,334.9781,121.5094,263.6352
1,Line,9.2625,,,,,,,270,0.0000,-8.0266,-4.6225,334.9781,104.4502,256.0098,334.9781,112.4768,260.6323
1,Line,10.4515,,,,,,,270,0.0000,-10.4102,0.9278,334.9781,141.8224,266.7742,334.9781,152.2326,265.8464
1,Line,10.4515,,,,,,,90,0.0000,10.4102,0.9278,334.9781,141.8224,266.7742,334.9781,131.4122,265.8464
1,Line,16.3349,,,,,,,270,0.0000,-16.3349,0.0000,190.6863,68.3152,222.9422,190.6863,84.6501,222.9422
1,Line,27.2249,,,,,,,0,0.0000,0.0000,27.2249,152.5714,226.2195,130.3776,152.5714,226.2195,103.1528
1,Line,1.4503,,,,,,,270,0.0000,-1.2059,-0.8058,232.1285,214.6076,56.1588,232.1285,215.8136,56.9646
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,190.6863,68.3152,222.9422,185.2413,68.3152,222.9422
1,Line,7.5625,,,,,,,90,0.0000,7.5625,0.0000,386.4028,202.5977,20.2682,386.4028,195.0353,20.2682
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,939.3702,174.4923,160.3250,933.9252,174.4923,160.3250
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,933.9252,174.4923,152.1575,939.3702,174.4923,152.1575
1,Line,33.2748,,,,,,,0,0.0000,0.0000,-33.2748,386.4028,195.0353,20.2682,386.4028,195.0353,53.5430
1,Line,2.5239,,,,,,,90,0.0000,0.7799,-2.4004,168.2007,138.5186,262.7404,168.2007,137.7386,265.1408
1,Line,7.5625,,,,,,,90,0.0000,7.5625,0.0000,138.3540,202.5977,62.6180,138.3540,195.0353,62.6180
1,Line,10.5874,,,,,,,270,0.0000,-10.5874,0.0000,223.0536,72.2209,26.3181,223.0536,82.8083,26.3181
1,Line,54.4497,,,,,,,0,0.0000,0.0000,54.4497,743.3511,196.2721,157.6025,743.3511,196.2721,103.1527
1,Line,3.5409,,,,,,,120,-1.1266,1.9672,-2.7200,339.3320,226.1068,41.6265,340.4586,224.1396,44.3466
1,Line,2.5038,,,,,,,180,-2.0818,0.0000,-1.3910,183.1595,224.1396,32.4896,185.2413,224.1396,33.8806
1,Line,5.4450,,,,,,,0,0.0000,0.0000,5.4450,680.7339,162.1354,269.0801,680.7339,162.1354,263.6352
1,Line,40.8373,,,,,,,0,0.0000,0.0000,-40.8373,816.8583,231.6645,97.7078,816.8583,231.6645,138.5451
1,Line,29.9474,,,,,,,180,-29.9474,0.0000,0.0000,152.5714,62.8703,103.1528,182.5188,62.8703,103.1527
1,Line,7.5625,,,,,,,270,0.0000,-7.5625,0.0000,380.3528,195.0353,56.5680,380.3528,202.5977,56.5680
1,Line,14.0034,,,,,,,270,0.0000,-13.4371,3.9419,334.9781,187.1088,271.5222,334.9781,200.5459,267.5804
1,Line,2.7225,,,,,,,270,0.0000,-2.7225,0.0000,503.7723,49.2578,138.5451,503.7723,51.9803,138.5451
1,Line,3.2713,,,,,,,180,-1.8175,0.0000,-2.7200,330.2570,221.1955,41.6265,332.0745,221.1955,44.3466
1,Line,21.7799,,,,,,,0,21.7799,0.0000,0.0000,797.8009,87.3727,168.4924,776.0210,87.3727,168.4924
1,Line,57.1722,,,,,,,0,57.1722,0.0000,0.0000,503.7723,49.2578,138.5451,446.6000,49.2578,138.5451
1,Line,27.8890,,,,,,,0,21.1749,0.0000,18.1499,316.8281,222.2601,56.5680,295.6532,222.2601,38.4181
1,Line,2.7225,,,,,,,270,0.0000,-2.7225,0.0000,634.4517,49.2578,138.5451,634.4517,51.9803,138.5451
1,Line,2.5038,,,,,,,0,2.0818,0.0000,1.3910,713.6706,224.1396,44.3466,711.5888,224.1396,42.9555
1,Line,13.2331,,,,,,,350,12.0999,-2.0504,-4.9500,779.6509,68.7480,51.2088,767.5510,70.7984,56.1588
1,Line,40.8373,,,,,,,0,0.0000,0.0000,40.8373,634.4517,49.2578,138.5451,634.4516,49.2578,97.7078
1,Line,4.5375,,,,,,,270,0.0000,-4.5375,0.0000,162.5539,63.1459,53.5430,162.5539,67.6834,53.5430
1,Line,40.8373,,,,,,,0,0.0000,0.0000,-40.8373,879.4755,49.2578,97.7077,879.4755,49.2578,138.5451
1,Line,3.5409,,,,,,,240,-1.1267,-1.9672,-2.7200,182.0328,59.2992,41.6265,183.1595,61.2664,44.3466
1,Line,3.2714,,,,,,,180,-3.2085,0.0000,0.6382,338.0030,64.2105,46.8022,341.2115,64.2105,46.1640
1,Line,3.5409,,,,,,,180,-0.6908,0.0000,3.4728,189.0879,217.7226,41.8909,189.7787,217.7226,38.4181
1,Line,1.4503,,,,,,,270,0.0000,-1.4225,0.2829,822.0007,70.7984,56.1588,822.0007,72.2209,55.8758
1,Line,13.6124,,,,,,,0,0.0000,0.0000,-13.6124,168.2007,148.6286,251.5283,168.2007,148.6286,265.1408
1,Line,3.5409,,,,,,,270,0.0000,-2.9441,-1.9672,274.4783,216.6580,51.2088,274.4783,219.6021,53.1760
1,Line,3.5409,,,,,,,90,0.0000,3.4728,-0.6908,809.9008,72.2209,50.5180,809.9008,68.7480,51.2088
1,Line,4.8493,,,,,,,270,0.0000,0.0000,-4.8493,334.9781,220.7745,228.9829,334.9781,220.7745,233.8321
1,Line,381.1482,,,,,,,0,381.1482,0.0000,0.0000,716.1263,185.3822,163.0475,334.9781,185.3822,163.0475
1,Line,10.1467,,,,,,,270,0.0000,-9.9028,-2.2112,661.6765,121.5094,263.6352,661.6765,131.4122,265.8464
1,Line,4.8493,,,,,,,0,0.0000,0.0000,4.8493,185.2413,220.7745,233.8321,185.2413,220.7745,228.9829
1,Line,5.2091,,,,,,,0,0.0000,0.0000,5.2091,716.1263,98.2626,163.0475,716.1263,98.2626,157.8384
1,Line,8.1675,,,,,,,0,0.0000,0.0000,8.1675,939.3702,174.4923,111.3202,939.3702,174.4923,103.1527
1,Line,6.0500,,,,,,,180,-6.0500,0.0000,0.0000,673.7765,217.7227,56.5680,679.8264,217.7227,56.5680
1,Line,381.1482,,,,,,,0,381.1482,0.0000,0.0000,716.1263,98.2626,163.0475,334.9781,98.2626,163.0475
1,Line,21.7799,,,,,,,180,-21.7799,0.0000,0.0000,776.0210,87.3727,201.1623,797.8009,87.3727,201.1623
1,Line,5.4450,,,,,,,90,0.0000,5.4450,0.0000,394.8728,226.2195,103.1527,394.8728,220.7745,103.1527
1,Line,2.7225,,,,,,,90,0.0000,2.7225,0.0000,759.6861,234.3870,138.5451,759.6861,231.6645,138.5451
1,Line,3.5409,,,,,,,266,-0.2644,-3.4728,0.6382,177.2310,217.7226,46.8022,177.4953,221.1955,46.1640
1,Line,5.4450,,,,,,,270,0.0000,-5.4450,0.0000,394.8728,220.7745,130.3776,394.8728,226.2195,130.3776
1,Line,19.0574,,,,,,,90,0.0000,19.0574,0.0000,939.3702,174.4923,152.1575,939.3702,155.4348,152.1575
1,Line,13.6124,,,,,,,270,0.0000,-13.6124,0.0000,939.3702,158.1573,154.8800,939.3702,171.7698,154.8800
1,Line,8.1675,,,,,,,0,0.0000,0.0000,8.1675,939.3702,174.4923,160.3250,939.3702,174.4923,152.1575
1,Line,8.1675,,,,,,,0,0.0000,0.0000,-8.1675,939.3702,155.4348,152.1575,939.3702,155.4348,160.3250
1,Line,5.4450,,,,,,,0,0.0000,0.0000,5.4450,939.3702,158.1573,160.3250,939.3702,158.1573,154.8800
1,Line,5.4450,,,,,,,90,0.0000,5.4450,0.0000,716.1263,190.8272,157.8384,716.1263,185.3822,157.8384
1,Line,5.4450,,,,,,,180,-5.4450,0.0000,0.0000,171.6289,231.6644,176.6599,177.0738,231.6644,176.6599
1,Line,6.7641,,,,,,,180,-3.0250,0.0000,6.0500,129.2790,202.5977,59.5930,132.3040,202.5977,53.5430
1,Line,78.9521,,,,,,,0,0.0000,0.0000,-78.9521,171.6289,231.6644,97.7078,171.6289,231.6644,176.6599
1,Line,3.5409,,,,,,,86,0.2644,3.4728,-0.6382,876.8983,67.6834,30.0339,876.6340,64.2106,30.6721
1,Line,27.2249,,,,,,,0,0.0000,0.0000,27.2249,132.3040,202.5977,53.5430,132.3040,202.5977,26.3181
1,Line,3.5409,,,,,,,90,0.0000,1.9672,2.9441,338.0030,226.1068,34.9452,338.0030,224.1396,32.0011
1,Line,32.6698,,,,,,,0,0.0000,0.0000,32.6698,306.3920,68.3152,220.2197,306.3920,68.3152,187.5499
1,Line,9.0750,,,,,,,180,-9.0750,0.0000,0.0000,132.3040,202.5977,26.3181,141.3790,202.5977,26.3181
1,Line,24.3882,,,,,,,0,3.0250,0.0000,-24.1999,141.3790,202.5977,26.3181,138.3540,202.5977,50.5180
1,Line,49.0048,,,,,,,0,0.0000,0.0000,49.0048,57.2844,158.1573,152.1575,57.2844,158.1573,103.1528
1,Line,5.4450,,,,,,,0,5.4450,0.0000,0.0000,62.7294,158.1573,152.1575,57.2844,158.1573,152.1575
1,Line,2.9044,,,,,,,0,0.0000,0.0000,-2.9044,185.2413,220.7745,184.6455,185.2413,220.7745,187.5499
