Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,78.0733,4.9468,0.0873,78.0733,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,73.0713,4.9468,0.0873,73.0713,1.9988
1,Line,3.0278,,,,,,,,90,0.0000,3.0278,0.0000,0.0873,86.0452,1.9988,0.0873,83.0173,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,81.0133,1.9988,0.0873,81.0133,4.9468
1,Line,2.9400,,,,,,,,270,0.0000,-2.9400,0.0000,0.0873,78.0733,1.9988,0.0873,81.0133,1.9988
1,Line,2.9460,,,,,,,,270,0.0000,-2.9460,0.0000,0.0873,73.0713,1.9988,0.0873,76.0173,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,86.0452,4.9468,0.0873,86.0452,1.9988
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,76.0173,1.9988,0.0873,76.0173,4.9468
1,Line,2.9460,,,,,,,,90,0.0000,2.9460,0.0000,0.0873,76.0173,4.9468,0.0873,73.0713,4.9468
1,Line,2.9400,,,,,,,,90,0.0000,2.9400,0.0000,0.0873,81.0133,4.9468,0.0873,78.0733,4.9468
1,Line,0.0007,,,,,,,,0,0.0007,0.0000,0.0000,-7.0209,82.8351,-0.0492,-7.0217,82.8351,-0.0492
1,Line,61.1740,,,,,,,,270,0.0000,-61.1740,0.0000,-1.9817,69.8571,6.9728,-1.9817,131.0311,6.9728
1,Line,2.0000,,,,,,,,0,0.0000,0.0000,-2.0000,-7.0217,69.8571,6.9728,-7.0217,69.8571,8.9728
1,Line,2.0000,,,,,,,,0,0.0000,0.0000,-2.0000,-7.0217,131.0311,6.9728,-7.0217,131.0311,8.9728
1,Line,5.0400,,,,,,,,0,5.0400,0.0000,0.0000,-1.9817,69.8571,6.9728,-7.0217,69.8571,6.9728
1,Line,61.1740,,,,,,,,90,0.0000,61.1740,0.0000,-7.0217,131.0311,6.9728,-7.0217,69.8571,6.9728
1,Line,2.0522,,,,,,,,270,0.0000,-2.0522,0.0000,-1.9817,131.0311,6.9728,-1.9817,133.0833,6.9728
1,Line,2.0690,,,,,,,,0,2.0690,0.0000,0.0000,0.0873,131.0311,6.9728,-1.9817,131.0311,6.9728
1,Line,5.0400,,,,,,,,0,5.0400,0.0000,0.0000,-1.9817,131.0311,6.9728,-7.0217,131.0311,6.9728
1,Line,3.0528,,,,,,,,180,-3.0528,0.0000,0.0000,-6.0424,67.8311,6.9728,-2.9897,67.8311,6.9728
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,98.0733,1.9988,0.0873,98.0733,4.9468
1,Line,2.9611,,,,,,,,270,0.0000,-2.9611,0.0000,0.0873,98.0733,4.9468,0.0873,101.0345,4.9468
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,101.0345,4.9468,0.0873,101.0345,1.9988
1,Line,3.0125,,,,,,,,270,0.0000,-3.0125,0.0000,0.0873,103.0433,4.9468,0.0873,106.0558,4.9468
1,Line,3.0125,,,,,,,,90,0.0000,3.0125,0.0000,0.0873,106.0558,1.9988,0.0873,103.0433,1.9988
1,Line,3.0183,,,,,,,,270,0.0000,-3.0183,0.0000,0.0873,107.9941,4.9468,0.0873,111.0123,4.9468
1,Line,2.9611,,,,,,,,90,0.0000,2.9611,0.0000,0.0873,101.0345,1.9988,0.0873,98.0733,1.9988
