Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,225.6995,536.4758,-2.7500,225.6995,536.4758
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,186.0738,519.9254,-2.7500,186.0738,519.9254
1,Line,5.2500,,,,,,,,,,0,0.0000,0.0000,-5.2500,317.7222,553.5000,361.3543,317.7222,553.5000,366.6043
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,268.2585,542.2064,-2.7500,268.2585,542.2064
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,109.7235,419.8146,-2.7500,109.7235,419.8146
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,104.2437,377.2225,-2.7500,104.2437,377.2225
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,152.0819,493.6830,-2.7500,152.0819,493.6830
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,126.0402,459.5371,-2.7500,126.0402,459.5371
1,Line,11.5000,,,,,,,,,,0,0.0000,0.0000,11.5000,265.4722,553.5000,275.3543,265.4722,553.5000,263.8543
1,Line,51.2500,,,,,,,,,,180,-51.2500,0.0000,0.0000,265.4722,553.5000,263.8543,316.7222,553.5000,263.8543
1,Line,97.7500,,,,,,,,,,0,0.0000,0.0000,97.7500,279.7222,553.5000,373.1043,279.7222,553.5000,275.3543
1,Line,14.2500,,,,,,,,,,0,14.2500,0.0000,0.0000,279.7222,553.5000,275.3543,265.4722,553.5000,275.3543
1,Line,86.0000,,,,,,,,,,0,0.0000,0.0000,-86.0000,302.7222,553.5000,275.3543,302.7222,553.5000,361.3543
1,Line,15.0000,,,,,,,,,,180,-15.0000,0.0000,0.0000,302.7222,553.5000,361.3543,317.7222,553.5000,361.3543
1,Line,11.5000,,,,,,,,,,0,0.0000,0.0000,-11.5000,316.7222,553.5000,263.8543,316.7222,553.5000,275.3543
1,Line,14.0000,,,,,,,,,,0,14.0000,0.0000,0.0000,316.7222,553.5000,275.3543,302.7222,553.5000,275.3543
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,427.7625,335.5996,-2.7500,427.7625,335.5996
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,433.2423,378.1916,-2.7500,433.2423,378.1916
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,385.4042,261.7311,-2.7500,385.4042,261.7311
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,411.4459,295.8771,-2.7500,411.4459,295.8771
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,384.7190,494.3683,-2.7500,384.7190,494.3683
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,310.8506,536.7266,-2.7500,310.8506,536.7266
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,427.5117,420.7507,-2.7500,427.5117,420.7507
1,Line,379.7500,,,,,,,,,,180,-379.7500,0.0000,0.0000,-382.5000,410.9613,460.3763,-2.7500,410.9613,460.3763
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,152.7671,261.0459,-2.7500,152.7671,261.0459
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,186.9130,235.0043,-2.7500,186.9130,235.0043
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,109.9743,334.6635,-2.7500,109.9743,334.6635
1,Line,376.5000,,,,,,,,,,180,-376.5000,0.0000,0.0000,-379.2500,126.5247,295.0378,-2.7500,126.5247,295.0378
