Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.7667,,,,0,0.7667,0.0000,0.0000,13.0935,-2.2739,2.7142,12.3268,-2.2739,2.7142
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.3355,2.7187,9.9038,-2.3355,2.7187
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.3972,2.7219,13.0935,-2.3972,2.7219
1,Line,,,,,0.7724,,,,0,0.7724,0.0000,0.0000,13.0935,-2.2125,2.7085,12.3211,-2.2125,2.7085
1,Line,,,,,0.6921,,,,0,0.6921,0.0000,0.0000,12.5414,-3.3422,0.1384,11.8492,-3.3422,0.1384
1,Line,,,,,0.4136,,,,0,0.4136,0.0000,0.0000,12.4786,-3.2367,0.0677,12.0650,-3.2367,0.0677
1,Line,,,,,0.0569,,,,0,0.0569,0.0000,0.0000,12.3142,-2.1511,2.7014,12.2573,-2.1511,2.7014
1,Line,,,,,0.0787,,,,0,0.0787,0.0000,0.0000,12.3268,-2.7673,2.7142,12.2481,-2.7673,2.7142
1,Line,,,,,0.0689,,,,0,0.0689,0.0000,0.0000,12.3211,-2.8288,2.7085,12.2522,-2.8288,2.7085
1,Line,,,,,0.6055,,,,0,0.6055,0.0000,0.0000,10.6123,-2.8901,2.7014,10.0068,-2.8901,2.7014
1,Line,,,,,3.6192,,,,0,3.6192,0.0000,0.0000,9.9038,-2.7057,2.7187,6.2846,-2.7057,2.7187
1,Line,,,,,0.0934,,,,0,0.0934,0.0000,0.0000,12.3345,-2.4589,2.7238,12.2411,-2.4589,2.7238
1,Line,,,,,0.7613,,,,0,0.7613,0.0000,0.0000,11.4009,-2.5824,2.7238,10.6396,-2.5824,2.7238
1,Line,,,,,0.7591,,,,0,0.7591,0.0000,0.0000,13.0935,-2.6441,2.7219,12.3344,-2.6441,2.7219
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.8901,2.7014,9.9038,-2.8901,2.7014
1,Line,,,,,0.8144,,,,0,0.8144,0.0000,0.0000,12.2573,-2.1511,2.7014,11.4429,-2.1511,2.7014
1,Line,,,,,0.0689,,,,0,0.0689,0.0000,0.0000,12.3211,-2.2125,2.7085,12.2522,-2.2125,2.7085
1,Line,,,,,0.0787,,,,0,0.0787,0.0000,0.0000,12.3268,-2.2739,2.7142,12.2481,-2.2739,2.7142
1,Line,,,,,0.6855,,,,0,0.6855,0.0000,0.0000,12.5387,-1.6516,0.1351,11.8532,-1.6516,0.1351
1,Line,,,,,0.1408,,,,0,0.1408,0.0000,0.0000,11.1051,-3.2367,-0.0033,10.9643,-3.2367,-0.0033
1,Line,,,,,0.0938,,,,0,0.0938,0.0000,0.0000,12.3345,-2.5206,2.7244,12.2407,-2.5206,2.7244
1,Line,,,,,0.4136,,,,0,0.4136,0.0000,0.0000,12.4786,-1.7533,0.0677,12.0650,-1.7533,0.0677
1,Line,,,,,0.0918,,,,0,0.0918,0.0000,0.0000,12.3344,-2.6441,2.7219,12.2425,-2.6441,2.7219
1,Line,,,,,0.7741,,,,0,0.7741,0.0000,0.0000,12.2481,-2.7673,2.7142,11.4739,-2.7673,2.7142
1,Line,,,,,0.7783,,,,0,0.7783,0.0000,0.0000,12.2522,-2.8288,2.7085,11.4739,-2.8288,2.7085
1,Line,,,,,0.6328,,,,0,0.6328,0.0000,0.0000,10.6396,-2.5824,2.7238,10.0068,-2.5824,2.7238
1,Line,,,,,1.8250,,,,0,1.8250,0.0000,0.0000,9.9038,-2.3355,2.7187,8.0788,-2.3355,2.7187
1,Line,,,,,0.7591,,,,0,0.7591,0.0000,0.0000,13.0935,-2.3972,2.7219,12.3344,-2.3972,2.7219
1,Line,,,,,0.7672,,,,0,0.7672,0.0000,0.0000,12.2411,-2.4589,2.7238,11.4739,-2.4589,2.7238
1,Line,,,,,0.1149,,,,0,0.1149,0.0000,0.0000,12.3311,-3.2367,-0.0033,12.2161,-3.2367,-0.0033
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.5206,2.7244,13.1195,-2.5206,2.7244
1,Line,,,,,0.1700,,,,0,0.1700,0.0000,0.0000,14.3905,-1.6516,0.1351,14.2205,-1.6516,0.1351
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.1511,2.7014,13.1555,-2.1511,2.7014
1,Line,,,,,0.1221,,,,0,0.1221,0.0000,0.0000,13.5621,-3.2367,-0.0033,13.4400,-3.2367,-0.0033
1,Line,,,,,0.8010,,,,0,0.8010,0.0000,0.0000,11.4133,-2.8901,2.7014,10.6123,-2.8901,2.7014
1,Line,,,,,0.6836,,,,0,0.6836,0.0000,0.0000,13.7697,-3.3422,0.1384,13.0861,-3.3422,0.1384
1,Line,,,,,0.4151,,,,0,0.4151,0.0000,0.0000,13.7091,-3.2367,0.0677,13.2940,-3.2367,0.0677
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.4589,2.7238,13.0935,-2.4589,2.7238
1,Line,,,,,0.7672,,,,0,0.7672,0.0000,0.0000,12.2411,-2.5824,2.7238,11.4739,-2.5824,2.7238
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.6441,2.7219,13.1195,-2.6441,2.7219
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.3972,2.7219,13.1555,-2.3972,2.7219
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.2125,2.7085,13.1195,-2.2125,2.7085
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.2739,2.7142,13.1195,-2.2739,2.7142
1,Line,,,,,0.7682,,,,0,0.7682,0.0000,0.0000,11.4037,-2.3355,2.7187,10.6356,-2.3355,2.7187
1,Line,,,,,0.0296,,,,0,0.0296,0.0000,0.0000,11.4429,-2.8901,2.7014,11.4133,-2.8901,2.7014
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.2125,2.7085,13.0935,-2.2125,2.7085
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.2739,2.7142,13.0935,-2.2739,2.7142
1,Line,,,,,0.6288,,,,0,0.6288,0.0000,0.0000,10.6356,-2.3355,2.7187,10.0068,-2.3355,2.7187
1,Line,,,,,0.8413,,,,0,0.8413,0.0000,0.0000,13.1555,-2.1511,2.7014,12.3142,-2.1511,2.7014
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.5206,2.7244,13.0935,-2.5206,2.7244
1,Line,,,,,0.4151,,,,0,0.4151,0.0000,0.0000,13.7091,-1.7533,0.0677,13.2940,-1.7533,0.0677
1,Line,,,,,0.6775,,,,0,0.6775,0.0000,0.0000,13.7678,-1.6516,0.1351,13.0903,-1.6516,0.1351
1,Line,,,,,0.1030,,,,0,0.1030,0.0000,0.0000,10.0068,-2.7057,2.7187,9.9038,-2.7057,2.7187
1,Line,,,,,0.7667,,,,0,0.7667,0.0000,0.0000,13.0935,-2.7673,2.7142,12.3268,-2.7673,2.7142
1,Line,,,,,0.7724,,,,0,0.7724,0.0000,0.0000,13.0935,-2.8288,2.7085,12.3211,-2.8288,2.7085
1,Line,,,,,0.0260,,,,0,0.0260,0.0000,0.0000,13.1195,-2.6441,2.7219,13.0935,-2.6441,2.7219
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.3972,2.7219,13.1195,-2.3972,2.7219
1,Line,,,,,0.7590,,,,0,0.7590,0.0000,0.0000,13.0935,-2.4589,2.7238,12.3345,-2.4589,2.7238
1,Line,,,,,0.0730,,,,0,0.0730,0.0000,0.0000,11.4739,-2.5824,2.7238,11.4009,-2.5824,2.7238
