Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-20.1499,16.7988,183.4124,-20.1499,16.7988
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-2.1997,0.7938,183.4124,-2.1997,0.7938
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-7.2465,1.8389,183.4124,-7.2465,1.8389
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-18.5305,11.9001,183.4124,-18.5305,11.9001
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,16.9683,37.9732,339.7552,16.9683,37.9732
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-17.3322,3.6299,339.7552,-17.3322,3.6299
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-12.6226,41.8876,186.5185,-12.6226,41.8876
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,15.5719,9.4012,183.4124,15.5719,9.4012
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-0.4955,-3.4278,186.5185,-0.4955,-3.4278
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,77.0390,37.9732,186.4737,77.0390,37.9732
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,87.4383,1.7838,183.3675,87.4383,1.7838
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-6.7729,-2.6003,186.5185,-6.7729,-2.6003
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,23.7585,20.8566,186.5185,23.7585,20.8566
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,74.5349,16.7437,183.3675,74.5349,16.7437
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,111.3395,3.6299,339.7552,111.3395,3.6299
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,115.1939,8.6593,339.7552,115.1939,8.6593
1,3D Polyline,,,,,,,6.3394,,,,,,,,,,,,,,,,,
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,106.3163,-0.2294,339.7552,106.3163,-0.2294
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,73.1846,8.6593,339.7552,73.1846,8.6593
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,77.0390,3.6299,339.7552,77.0390,3.6299
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,82.0622,-0.2294,339.7552,82.0622,-0.2294
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,8.7593,38.3264,342.8613,8.7593,38.3264
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,3.8667,39.9479,342.8613,3.8667,39.9479
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,73.1846,32.9438,186.4737,73.1846,32.9438
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,-14.7785,33.4520,342.8613,-14.7785,33.4520
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,74.2369,21.8951,183.3675,74.2369,21.8951
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,70.7616,14.5163,186.4737,70.7616,14.5163
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,76.1543,11.8450,183.3675,76.1543,11.8450
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,102.5226,2.6585,183.3675,102.5226,2.6585
1,3D Polyline,,,,,,,69.6872,,,,,,,,,,,,,,,,,
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,77.5952,31.5587,183.3675,77.5952,31.5587
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,-16.1681,9.4263,342.8613,-16.1681,9.4263
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,13.0660,35.4923,342.8613,13.0660,35.4923
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-0.1820,-3.4829,339.7552,-0.1820,-3.4829
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,6.6503,1.8640,342.8613,6.6503,1.8640
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,112.3055,11.9251,342.8613,112.3055,11.9251
1,Line,,,,,,,153.2366,,,,,,,,0,153.2366,0.0000,0.0000,339.7552,129.5722,46.7416,186.5185,129.5722,46.7416
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,16.4934,31.6388,342.8613,16.4934,31.6388
1,Line,,,,,,,71.8840,,,,,,,,270,0.0000,-71.8840,0.0000,339.7552,57.6882,46.7416,339.7552,129.5722,46.7416
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,75.2807,26.9482,183.3675,75.2807,26.9482
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-21.1866,32.9438,339.7552,-21.1866,32.9438
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,81.6305,5.5727,342.8613,81.6305,5.5727
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,103.1305,38.3264,342.8613,103.1305,38.3264
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,98.2379,39.9479,342.8613,98.2379,39.9479
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,-1.2783,40.2462,342.8613,-1.2783,40.2462
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,112.5712,13.9566,183.3675,112.5712,13.9566
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,18.9302,19.0648,183.4124,18.9302,19.0648
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,82.0622,41.8325,186.4737,82.0622,41.8325
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-6.4594,-2.6554,339.7552,-6.4594,-2.6554
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,107.4372,35.4923,342.8613,107.4372,35.4923
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,5.7289,39.1760,183.4124,5.7289,39.1760
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,1.6035,0.8188,342.8613,1.6035,0.8188
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,113.6150,19.0097,183.3675,113.6150,19.0097
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,100.4137,39.1209,183.3675,100.4137,39.1209
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-11.8512,4.1563,183.4124,-11.8512,4.1563
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,90.2219,39.8677,183.3675,90.2219,39.8677
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,70.7616,14.5163,339.7552,70.7616,14.5163
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,16.6547,3.6850,186.5185,16.6547,3.6850
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,11.6315,-0.1743,186.5185,11.6315,-0.1743
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,5.7819,44.3136,186.5185,5.7819,44.3136
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-15.7000,7.5880,183.4124,-15.7000,7.5880
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,87.9118,44.2585,186.4737,87.9118,44.2585
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,94.1893,45.0860,186.4737,94.1893,45.0860
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,20.5091,8.7144,186.5185,20.5091,8.7144
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-0.4955,45.1411,186.5185,-0.4955,45.1411
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,111.3395,37.9732,339.7552,111.3395,37.9732
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,94.1893,45.0860,339.7552,94.1893,45.0860
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-6.7729,44.3136,186.5185,-6.7729,44.3136
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,11.6315,41.8876,186.5185,11.6315,41.8876
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,16.6547,38.0283,186.5185,16.6547,38.0283
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,115.1939,32.9438,186.4737,115.1939,32.9438
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,239.1832,83.0955,56.9071,239.1832,83.0955,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,249.0634,90.0398,56.9071,249.0634,90.0398,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,260.2566,93.9613,56.9071,260.2566,93.9613,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,231.2893,73.6017,56.9071,231.2893,73.6017,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,224.0196,36.8881,56.9071,224.0196,36.8881,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,223.4401,49.6830,56.9071,223.4401,49.6830,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,225.9196,62.2053,56.9071,225.9196,62.2053,46.7416
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-6.4594,44.2585,339.7552,-6.4594,44.2585
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,-12.3090,41.8325,339.7552,-12.3090,41.8325
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,114.2229,21.9752,342.8613,114.2229,21.9752
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,345.9675,101.0215,1.8640,342.8613,101.0215,1.8640
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,271.9999,94.5928,56.9071,271.9999,94.5928,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,293.9528,86.0407,56.9071,293.9528,86.0407,46.7416
1,Line,,,,,,,10.1656,,,,,,,,0,0.0000,0.0000,10.1656,283.4930,91.8912,56.9071,283.4930,91.8912,46.7416
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,115.1939,8.6593,186.4737,115.1939,8.6593
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.2614,78.9848,7.5329,183.3675,78.9848,7.5329
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,111.3395,3.6299,186.4737,111.3395,3.6299
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,87.9118,-2.6554,186.4737,87.9118,-2.6554
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,87.9118,-2.6554,339.7552,87.9118,-2.6554
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,100.4667,-2.6554,186.4737,100.4667,-2.6554
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.3675,94.1893,-3.4829,186.4737,94.1893,-3.4829
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-23.9232,14.5714,186.5185,-23.9232,14.5714
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,100.4667,-2.6554,339.7552,100.4667,-2.6554
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,69.9352,20.8016,339.7552,69.9352,20.8016
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-21.5002,8.7144,186.5185,-21.5002,8.7144
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-20.4479,21.9502,183.4124,-20.4479,21.9502
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-19.4040,27.0033,183.4124,-19.4040,27.0033
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,-4.4629,39.9228,183.4124,-4.4629,39.9228
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,180.3062,10.3336,36.8587,183.4124,10.3336,36.8587
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-12.6226,-0.1743,186.5185,-12.6226,-0.1743
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,-17.6458,3.6850,186.5185,-17.6458,3.6850
1,Line,,,,,,,3.1061,,,,,,,,180,-3.1061,0.0000,0.0000,183.4124,20.5091,32.9989,186.5185,20.5091,32.9989
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,87.9118,44.2585,339.7552,87.9118,44.2585
1,Line,,,,,,,3.1061,,,,,,,,0,3.1061,0.0000,0.0000,342.8613,82.0622,41.8325,339.7552,82.0622,41.8325
