Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,,,,,,,,0,0.0000,0.0000,0.3048,3.3884,-0.1619,2.5899,0.3048,3.3884,-0.1619,2.2851,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7939,3.3884,34.1730,2.5899,0.7939,3.3884,34.1730,1.7960,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,15.3450,3.5218,0.0826,0.4357,15.3450,3.5218,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,17.0210,3.5218,0.0826,0.4357,17.0210,3.5218,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,33.7542,3.7532,0.0826,3.3884,33.7542,3.7532,,,,,,
1,Line,,,,,,,,90,0.0000,-0.5334,0.0000,3.3059,33.2208,3.7532,0.5334,3.3059,33.7542,3.7532,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.8631,3.3059,33.2208,2.8901,0.8631,3.3059,33.2208,3.7532,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,33.2208,2.8901,0.0826,3.3884,33.2208,2.8901,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,9.9570,2.7693,0.0826,3.3884,9.9570,2.7693,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7939,3.3884,32.6521,1.7960,0.7939,3.3884,32.6521,2.5899,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,0.4357,29.3401,3.5858,0.0826,0.5182,29.3401,3.5858,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,9.9570,3.5218,0.0826,3.3884,9.9570,3.5218,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,4.6980,0.4870,0.0400,2.8098,4.6980,0.4870,,,,,,
1,Line,,,,,,,,0,0.0400,0.0000,0.0000,1.1782,1.3333,0.9597,0.0400,1.1382,1.3333,0.9597,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,3.3059,13.6304,2.7693,0.7525,3.3059,13.6304,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,1.6336,0.0000,3.3884,7.6052,3.5218,1.6336,3.3884,5.9716,3.5218,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,33.2208,3.7532,0.0826,3.3884,33.2208,3.7532,,,,,,
1,Line,,,,,,,,0,1.8512,0.0000,0.0000,2.8782,34.3330,4.7807,1.8512,1.0270,34.3330,4.7807,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-2.9932,2.8782,34.3330,1.7875,2.9932,2.8782,34.3330,4.7807,,,,,,
1,Line,,,,,,,,180,-1.3900,0.0000,0.0000,1.2668,34.3330,1.9850,1.3900,2.6568,34.3330,1.9850,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-2.5700,2.6568,34.3330,1.9850,2.5700,2.6568,34.3330,4.5550,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,7.9661,2.7693,0.0826,3.3884,7.9661,2.7693,,,,,,
1,Line,,,,,,,,0,0.0700,0.0000,0.0000,2.4931,-1.2092,2.8124,0.0700,2.4231,-1.2092,2.8124,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,4.3007,0.7683,0.0400,2.8098,4.3007,0.7683,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,3.3059,7.9661,3.8742,0.2884,3.3059,7.9661,3.5858,,,,,,
1,Line,,,,,,,,0,0.0400,0.0000,0.0000,1.1782,5.4479,0.9192,0.0400,1.1382,5.4479,0.9192,,,,,,
1,Line,,,,,,,,180,-0.6600,0.0000,0.0000,1.6459,34.2030,3.1719,0.6600,2.3059,34.2030,3.1719,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-2.9932,2.8782,34.1730,1.7875,2.9932,2.8782,34.1730,4.7807,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.9223,2.2631,34.2030,3.2674,0.9223,2.2631,34.2030,4.1897,,,,,,
1,Line,,,,,,,,90,0.0000,0.1600,0.0000,2.8782,34.3330,4.7807,0.1600,2.8782,34.1730,4.7807,,,,,,
1,Line,,,,,,,,0,1.8512,0.0000,0.0000,2.8782,34.1730,4.7807,1.8512,1.0270,34.1730,4.7807,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,1.9601,3.8708,0.0826,3.3884,1.9601,3.8708,,,,,,
1,Line,,,,,,,,90,0.0000,0.1600,0.0000,2.6568,34.3330,1.9850,0.1600,2.6568,34.1730,1.9850,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2350,0.4357,32.3352,4.0270,0.2350,0.4357,32.3352,4.2619,,,,,,
