Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,0,0.2066,0.0000,-0.0197,-26.9844,92.4894,8.5705,0.2075,-27.1910,92.4894,8.5902
1,Line,,,,,,,0,1.2620,0.0000,1.3091,-25.7225,92.4895,9.8796,1.8183,-26.9844,92.4894,8.5705
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-27.1907,92.4894,7.5727,1.0174,-27.1910,92.4894,8.5902
1,Line,,,,,,,0,0.1942,0.0000,-0.0197,-25.5283,92.4895,9.8599,0.1952,-25.7225,92.4895,9.8796
1,Line,,,,,,,88,-0.1940,-4.7322,0.0197,-25.7223,87.7572,9.8796,4.7362,-25.5283,92.4895,9.8599
1,Line,,,,,,,0,-1.4685,0.0000,-1.2894,-27.1910,92.4894,8.5902,1.9543,-25.7225,92.4895,9.8796
1,Line,,,,,,,90,0.0000,-1.4709,0.0000,-12.7844,87.7505,8.5747,1.4709,-12.7844,89.2214,8.5747
1,Line,,,,,,,90,-0.0001,3.1051,0.0000,-12.7844,90.8556,8.5747,3.1051,-12.7844,87.7505,8.5747
1,Line,,,,,,,90,0.0000,-1.4709,0.0000,-12.7843,86.2796,8.5747,1.4709,-12.7844,87.7505,8.5747
1,Line,,,,,,,0,0.2066,0.0000,-0.0197,-26.9841,92.4894,7.5530,0.2075,-27.1907,92.4894,7.5727
1,Line,,,,,,,0,-0.2069,0.0000,1.0372,-27.1910,92.4894,8.5902,1.0576,-26.9841,92.4894,7.5530
1,Line,,,,,,,90,0.0000,-1.6342,0.0000,-12.7844,89.2214,8.5747,1.6342,-12.7844,90.8556,8.5747
1,Line,,,,,,,0,-0.2063,0.0000,-0.9977,-27.1904,83.0392,7.5727,1.0188,-26.9842,83.0392,8.5705
1,Line,,,,,,,0,-0.2066,0.0000,0.0197,-27.1904,83.0392,7.5727,0.2075,-26.9839,83.0392,7.5530
1,Line,,,,,,,0,1.4685,0.0000,1.2894,-25.7222,83.0392,9.8796,1.9543,-27.1907,83.0392,8.5902
1,Line,,,,,,,90,0.0000,1.2520,0.0000,-25.5279,43.5212,9.8517,1.2520,-25.5279,42.2692,9.8517
1,Line,,,,,,,180,-0.0003,0.0000,1.0174,-27.1907,83.0392,8.5902,1.0174,-27.1904,83.0392,7.5727
1,Line,,,,,,,0,0.2066,0.0000,-0.0197,-26.9842,83.0392,8.5705,0.2075,-27.1907,83.0392,8.5902
1,Line,,,,,,,0,0.1942,0.0000,-0.0197,-25.5282,87.7572,9.8599,0.1952,-25.7223,87.7572,9.8796
1,Line,,,,,,,88,-0.1940,-4.7180,0.0197,-25.7222,83.0392,9.8796,4.7221,-25.5282,87.7572,9.8599
1,Line,,,,,,,90,-0.0001,4.7322,0.0000,-25.7225,92.4895,9.8796,4.7322,-25.7223,87.7572,9.8796
1,Line,,,,,,,0,0.1942,0.0000,-0.0197,-25.5280,83.0392,9.8599,0.1952,-25.7222,83.0392,9.8796
1,Line,,,,,,,0,-1.6627,0.0000,-1.2697,-27.1907,83.0392,8.5902,2.0920,-25.5280,83.0392,9.8599
1,Line,,,,,,,90,-0.0001,4.7180,0.0000,-25.7223,87.7572,9.8796,4.7180,-25.7222,83.0392,9.8796
1,Line,,,,,,,90,-0.0001,4.5760,0.0000,-12.7844,90.8556,8.5747,4.5760,-12.7843,86.2796,8.5747
1,Line,,,,,,,90,0.0001,-2.6566,0.0000,-12.7847,63.1344,8.5930,2.6566,-12.7847,65.7910,8.5930
1,Line,,,,,,,90,-0.0001,4.5890,0.0000,-12.7848,67.7234,8.5930,4.5890,-12.7847,63.1344,8.5930
1,Line,,,,,,,90,0.0001,-2.6566,0.0000,-12.7846,60.4778,8.5930,2.6566,-12.7847,63.1344,8.5930
1,Line,,,,,,,180,-0.0003,0.0000,1.0174,-12.7845,92.4898,8.5747,1.0174,-12.7842,92.4898,7.5572
1,Line,,,,,,,90,0.0000,-1.6342,0.0000,-12.7844,90.8556,8.5747,1.6342,-12.7845,92.4898,8.5747
1,Line,,,,,,,90,0.0001,-1.9324,0.0000,-12.7847,65.7910,8.5930,1.9324,-12.7848,67.7234,8.5930
1,Line,,,,,,,90,-0.0001,5.3132,0.0000,-12.7844,65.7910,7.5756,5.3132,-12.7843,60.4778,7.5756
1,Line,,,,,,,90,-0.0004,1.9324,1.0174,-12.7848,67.7234,8.5930,2.1839,-12.7844,65.7910,7.5756
1,Line,,,,,,,90,-0.0001,3.8648,0.0000,-12.7845,69.6559,7.5756,3.8648,-12.7844,65.7910,7.5756
1,Line,,,,,,,90,-0.0002,7.2457,0.0000,-12.7848,67.7234,8.5930,7.2457,-12.7846,60.4778,8.5930
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-12.7843,60.4778,7.5756,1.0174,-12.7846,60.4778,8.5930
1,Line,,,,,,,90,-0.0005,7.2457,1.0174,-12.7848,67.7234,8.5930,7.3167,-12.7843,60.4778,7.5756
1,Line,,,,,,,90,-0.0002,7.8160,0.0000,-12.7844,90.8556,8.5747,7.8160,-12.7842,83.0396,8.5747
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-12.7839,83.0396,7.5572,1.0174,-12.7842,83.0396,8.5747
1,Line,,,,,,,90,-0.0005,7.8160,1.0174,-12.7844,90.8556,8.5747,7.8820,-12.7839,83.0396,7.5572
1,Line,,,,,,,90,0.0000,-1.6200,0.0000,-12.7843,84.6596,8.5747,1.6200,-12.7843,86.2796,8.5747
1,Line,,,,,,,90,-0.0002,6.1960,0.0000,-12.7844,90.8556,8.5747,6.1960,-12.7843,84.6596,8.5747
1,Line,,,,,,,90,0.0000,-1.6200,0.0000,-12.7842,83.0396,8.5747,1.6200,-12.7843,84.6596,8.5747
1,Line,,,,,,,90,-0.0003,1.6342,1.0174,-12.7844,90.8556,8.5747,1.9250,-12.7841,89.2214,7.5572
1,Line,,,,,,,90,-0.0001,3.2684,0.0000,-12.7842,92.4898,7.5572,3.2684,-12.7841,89.2214,7.5572
1,Line,,,,,,,90,-0.0003,-1.6342,1.0174,-12.7844,90.8556,8.5747,1.9250,-12.7842,92.4898,7.5572
1,Line,,,,,,,90,-0.0001,3.2400,0.0000,-12.7840,86.2796,7.5572,3.2400,-12.7839,83.0396,7.5572
1,Line,,,,,,,90,-0.0004,4.5760,1.0174,-12.7844,90.8556,8.5747,4.6878,-12.7840,86.2796,7.5572
1,Line,,,,,,,90,-0.0001,2.9418,0.0000,-12.7841,89.2214,7.5572,2.9418,-12.7840,86.2796,7.5572
1,Line,,,,,,,45,-1.4561,-1.4553,-1.2894,-26.9842,48.2536,8.5623,2.4292,-25.5281,49.7090,9.8517
1,Line,,,,,,,90,-0.0001,2.6921,0.0000,-25.5281,52.4011,9.8517,2.6921,-25.5281,49.7090,9.8517
1,Line,,,,,,,71,-1.4561,-4.1475,-1.2894,-26.9842,48.2536,8.5623,4.5809,-25.5281,52.4011,9.8517
1,Line,,,,,,,90,-0.0002,9.1781,0.0000,-25.9185,69.6163,9.8781,9.1781,-25.9182,60.4383,9.8781
1,Line,,,,,,,180,1.4562,-0.0096,1.2894,-25.5280,48.2440,9.8517,1.9450,-26.9842,48.2536,8.5623
