Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0280,,,,,,,,,,,,,,,,60,0.0125,0.0217,0.0125,9.7874,1.2333,2.9774,9.7749,1.2116,2.9649
1,Line,0.0347,,,,,,,,,,,,,,,,160,-0.0326,0.0119,0.0000,9.7749,1.2116,2.9649,9.8076,1.1997,2.9649
1,Line,0.0347,,,,,,,,,,,,,,,,100,-0.0060,0.0342,0.0000,9.7249,1.2982,2.9649,9.7309,1.2640,2.9649
1,Line,0.0280,,,,,,,,,,,,,,,,180,-0.0250,0.0000,0.0125,9.7249,1.2982,3.0399,9.7499,1.2982,3.0274
1,Line,0.0280,,,,,,,,,,,,,,,,20,-0.0235,-0.0086,0.0125,9.7309,1.2640,3.0399,9.7544,1.2726,3.0274
1,Line,0.0260,,,,,,,,,,,,,,,,100,-0.0045,0.0257,0.0000,9.7499,1.2982,3.0274,9.7544,1.2726,3.0274
1,Line,0.0280,,,,,,,,,,,,,,,,180,-0.0250,0.0000,0.0125,9.7249,1.2982,2.9649,9.7499,1.2982,2.9524
1,Line,0.0280,,,,,,,,,,,,,,,,120,0.0125,-0.0217,0.0125,9.8749,1.2116,3.0649,9.8624,1.2333,3.0524
1,Line,0.0260,,,,,,,,,,,,,,,,40,-0.0200,-0.0167,0.0000,9.8624,1.2333,3.0524,9.8824,1.2500,3.0524
1,Line,0.0280,,,,,,,,,,,,,,,,140,-0.0192,0.0161,0.0125,9.8824,1.2500,3.0774,9.9015,1.2339,3.0649
1,Line,0.0280,,,,,,,,,,,,,,,,20,-0.0235,-0.0086,0.0125,9.7309,1.2640,2.9649,9.7544,1.2726,2.9524
1,Line,0.0260,,,,,,,,,,,,,,,,160,0.0245,-0.0089,0.0000,9.8119,1.2244,3.0774,9.7874,1.2333,3.0774
1,Line,0.0280,,,,,,,,,,,,,,,,140,0.0192,-0.0161,0.0125,9.9015,1.2339,3.0649,9.8824,1.2500,3.0524
1,Line,0.0347,,,,,,,,,,,,,,,,100,-0.0060,0.0342,0.0000,9.7249,1.2982,3.0399,9.7309,1.2640,3.0399
1,Line,0.0260,,,,,,,,,,,,,,,,170,-0.0257,0.0045,0.0000,8.7993,1.6277,3.0774,8.8249,1.6232,3.0774
1,Line,0.0260,,,,,,,,,,,,,,,,70,-0.0089,-0.0245,0.0000,8.8899,1.6607,3.0774,8.8988,1.6852,3.0774
1,Line,0.0260,,,,,,,,,,,,,,,,90,0.0000,-0.0260,0.0000,8.8988,1.6852,3.0774,8.8988,1.7112,3.0774
