Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,14.3524,63.0710,12.7833,13.8640,63.0710,12.1638
1,Line,,,,,,,25.3260,,,,,,,,,,90,0.0000,-25.3260,0.0000,13.8640,37.7450,12.1638,13.8640,63.0710,12.1638
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,13.2906,36.3930,13.6204,12.8022,36.3930,13.0009
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,13.2906,64.4230,13.6204,12.8022,64.4230,13.0009
1,Line,,,,,,,28.0300,,,,,,,,,,90,0.0000,-28.0300,0.0000,13.2906,36.3930,13.6204,13.2906,64.4230,13.6204
1,Line,,,,,,,25.3260,,,,,,,,,,90,0.0000,-25.3260,0.0000,14.3524,37.7450,12.7833,14.3524,63.0710,12.7833
1,Line,,,,,,,6.7990,,,,,,,,,,0,5.3391,0.0000,-4.2094,19.6915,37.7450,8.5738,14.3524,37.7450,12.7833
1,Line,,,,,,,3.3021,,,,,,,,,,0,2.5931,0.0000,-2.0444,18.9618,39.4935,10.4723,16.3687,39.4935,12.5167
1,Line,,,,,,,1.8280,,,,,,,,,,0,1.1317,0.0000,1.4355,18.9618,39.4935,10.4723,17.8301,39.4935,9.0368
1,Line,,,,,,,3.3021,,,,,,,,,,0,2.5931,0.0000,-2.0444,17.8301,39.4935,9.0368,15.2370,39.4935,11.0813
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,19.6915,63.0710,8.5738,19.2031,63.0710,7.9543
1,Line,,,,,,,21.8291,,,,,,,,,,90,0.0000,21.8291,0.0000,18.9618,61.3226,10.4723,18.9618,39.4935,10.4723
1,Line,,,,,,,1.8280,,,,,,,,,,0,1.1317,0.0000,1.4355,16.3687,39.4935,12.5167,15.2370,39.4935,11.0813
1,Line,,,,,,,21.8291,,,,,,,,,,90,0.0000,-21.8291,0.0000,15.2370,39.4935,11.0813,15.2370,61.3226,11.0813
1,Line,,,,,,,21.8291,,,,,,,,,,90,0.0000,21.8291,0.0000,17.8301,61.3226,9.0368,17.8301,39.4935,9.0368
1,Line,,,,,,,9.5030,,,,,,,,,,0,7.4626,0.0000,-5.8836,20.7532,36.3930,7.7367,13.2906,36.3930,13.6204
1,Line,,,,,,,25.3260,,,,,,,,,,90,0.0000,25.3260,0.0000,19.6915,63.0710,8.5738,19.6915,37.7450,8.5738
1,Line,,,,,,,9.5030,,,,,,,,,,180,-7.4626,0.0000,5.8836,13.2906,64.4230,13.6204,20.7532,64.4230,7.7367
1,Line,,,,,,,6.7990,,,,,,,,,,180,-5.3391,0.0000,4.2094,13.8640,63.0710,12.1638,19.2031,63.0710,7.9543
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,20.7532,64.4230,7.7367,20.2648,64.4230,7.1173
1,Line,,,,,,,28.0300,,,,,,,,,,90,0.0000,28.0300,0.0000,20.7532,64.4230,7.7367,20.7532,36.3930,7.7367
1,Line,,,,,,,6.7990,,,,,,,,,,180,-5.3391,0.0000,4.2094,14.3524,63.0710,12.7833,19.6915,63.0710,8.5738
1,Line,,,,,,,1.8280,,,,,,,,,,0,1.1317,0.0000,1.4355,16.3687,61.3226,12.5167,15.2370,61.3226,11.0813
