Count,Name,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,90,0.0000,-1.4583,1.0224,394.2396,-206.6548,3.7834,1.7810,394.2396,-205.1965,2.7609,,,,,,
1,Line,90,0.0000,-1.1440,1.3650,394.2396,-207.7988,5.1484,1.7810,394.2396,-206.6548,3.7834,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-206.6548,3.7834,1.8504,392.3892,-206.6548,3.7834,,,,,,
1,Line,90,0.0000,1.0224,1.4583,394.2396,-207.0699,13.4229,1.7810,394.2396,-208.0923,11.9646,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-207.0699,13.4229,1.8504,394.2396,-207.0699,13.4229,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-205.1965,2.7609,1.8504,392.3892,-205.1965,2.7609,,,,,,
1,Line,90,0.0000,-0.7517,1.6146,394.2396,-208.5505,6.7630,1.7810,394.2396,-207.7988,5.1484,,,,,,
1,Line,90,0.0000,0.1563,1.7742,394.2396,-208.7025,10.2913,1.7810,394.2396,-208.8588,8.5172,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-208.8588,8.5172,1.8504,392.3892,-208.8588,8.5172,,,,,,
1,Line,90,0.0000,0.6101,1.6733,394.2396,-208.0923,11.9646,1.7810,394.2396,-208.7025,10.2913,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-207.7988,5.1484,1.8504,392.3892,-207.7988,5.1484,,,,,,
1,Line,90,0.0000,-0.3082,1.7542,394.2396,-208.8588,8.5172,1.7810,394.2396,-208.5505,6.7630,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-208.5505,6.7630,1.8504,392.3892,-208.5505,6.7630,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-201.7490,1.9945,1.8504,392.3892,-201.7490,1.9945,,,,,,
1,Line,90,0.0000,1.7742,-0.1563,394.2396,-201.7490,1.9945,1.7810,394.2396,-203.5232,2.1508,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-202.3361,15.6269,1.8504,394.2396,-202.3361,15.6269,,,,,,
1,Line,90,0.0000,1.7542,0.3082,394.2396,-199.9949,2.3027,1.7810,394.2396,-201.7490,1.9945,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-200.5619,15.4706,1.8504,394.2396,-200.5619,15.4706,,,,,,
1,Line,90,0.0000,1.7742,-0.1563,394.2396,-200.5619,15.4706,1.7810,394.2396,-202.3361,15.6269,,,,,,
