Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,1.1946,,,,,,,,,,,,180,-1.1946,0.0000,0.0000,558.9131,111.7416,38.6131,560.1077,111.7416,38.6131
1,Line,,,,,392.4791,,,,,,,,,,,,180,-392.4791,0.0000,-0.0385,133.0192,158.7416,5.9615,525.4984,158.7416,6.0000
1,Line,,,,,13.4409,,,,,,,,,,,,90,0.0000,13.4409,0.0000,291.1179,125.1825,125.1550,291.1179,111.7416,125.1550
1,Line,,,,,4.8921,,,,,,,,,,,,0,0.0000,0.0000,4.8921,291.1179,125.1825,130.0471,291.1179,125.1825,125.1550
1,Line,,,,,45.2085,,,,,,,,,,,,90,0.0000,45.2085,0.0000,133.1024,158.7416,16.3822,133.1024,113.5331,16.3822
1,Line,,,,,1.1266,,,,,,,,,,,,180,-1.1265,0.0000,-0.0092,131.9759,158.7416,16.3730,133.1024,158.7416,16.3822
1,Line,,,,,46.0223,,,,,,,,,,,,90,0.0000,46.0223,0.0000,133.0192,158.7416,5.9615,133.0192,112.7193,5.9615
1,Line,,,,,10.4210,,,,,,,,,,,,180,-0.0832,0.0000,-10.4207,133.0192,158.7416,5.9615,133.1024,158.7416,16.3822
1,Line,,,,,4.8505,,,,,,,,,,,,0,0.0000,0.0000,4.8505,527.9035,209.0921,24.9466,527.9035,209.0921,20.0961
1,Group_8,,,,,,,,,,,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,,,,,,,,,,
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,5.5000,527.9035,210.3911,25.5961,527.9035,210.3911,20.0961
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,5.5000,527.5285,209.7416,25.5961,527.5285,209.7416,20.0961
1,Line,,,,,8.2500,,,,,,,,,,,,180,-8.2500,0.0000,0.0000,528.2785,209.7416,20.0961,536.5285,209.7416,20.0961
1,Group_5,,,,,,,,,,,528.2785,57.7416,20.0961,1.0000,1.0000,1.0000,,,,,,,,,,
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,5.5000,528.2785,209.7416,25.5961,528.2785,209.7416,20.0961
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,-5.5000,536.5285,209.7416,20.0961,536.5285,209.7416,25.5961
1,Line,,,,,27.7005,,,,,,,,,,,,158,10.2788,-4.1507,-25.3857,133.2367,113.8989,21.3172,122.9578,118.0496,46.7029
1,Line,,,,,34.6331,,,,,,,,,,,,16,-5.4727,-1.5922,-34.1608,122.9578,118.0496,46.7029,128.4305,119.6417,80.8638
1,Line,,,,,1.1503,,,,,,,,,,,,168,-1.1265,0.2323,-0.0092,131.9759,113.7654,16.3730,133.1024,113.5331,16.3822
1,Line,,,,,5.1042,,,,,,,,,,,,6,-1.2608,-0.1335,-4.9442,131.9759,113.7654,16.3730,133.2367,113.8989,21.3172
1,Line,,,,,39.0999,,,,,,,,,,,,90,0.0000,39.0999,0.0000,128.4305,158.7416,80.8638,128.4305,119.6417,80.8638
1,Line,,,,,42.3884,,,,,,,,,,,,180,-22.9654,0.0000,-35.6282,128.4305,158.7416,80.8638,151.3960,158.7416,116.4920
1,Line,,,,,37.4324,,,,,,,,,,,,170,-34.7496,6.1944,-12.4610,148.9479,117.9360,112.6940,183.6975,111.7416,125.1550
1,Line,,,,,37.9083,,,,,,,,,,,,175,-20.5174,1.7057,-31.8303,128.4305,119.6417,80.8638,148.9479,117.9360,112.6940
