Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.7083,0.6547,-1.0622,7.7083,0.6547,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.6491,0.6092,-1.0622,7.6491,0.6092,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.8513,0.6930,-1.0622,7.8513,0.6930,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.7773,0.6833,-1.0622,7.7773,0.6833,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.6036,0.5500,-1.0622,7.6036,0.5500,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.5751,0.3330,-1.0622,7.5751,0.3330,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.6036,0.2640,-1.0622,7.6036,0.2640,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.5751,0.4810,-1.0622,7.5751,0.4810,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.5653,0.4070,-1.0622,7.5653,0.4070,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.9254,0.6833,-1.0622,7.9254,0.6833,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0433,0.4106,-0.9852,8.0433,0.4106,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0489,0.4206,-0.9852,8.0489,0.4206,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0255,0.3964,-0.9852,8.0255,0.3964,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0353,0.4023,-0.9852,8.0353,0.4023,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0517,0.4318,-0.9852,8.0517,0.4318,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,8.0536,0.6092,-1.0622,8.0536,0.6092,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.9943,0.6547,-1.0622,7.9943,0.6547,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,8.1276,0.4810,-1.0622,8.1276,0.4810,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,8.0990,0.5500,-1.0622,8.0990,0.5500,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.6491,0.2048,-1.0622,7.6491,0.2048,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6487,0.2378,-1.0182,7.6487,0.2378,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6994,0.1911,-1.0182,7.6994,0.1911,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.5912,0.3617,-1.0182,7.5912,0.3617,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6118,0.2960,-1.0182,7.6118,0.2960,,,,,,
1,Circle,,0.2190,-0.9852,7.8513,0.4070,0.2640,,,1.6588,0.5280,,,,,,,,,,,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.8966,0.1469,-1.0182,7.8966,0.1469,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.9624,0.1675,-1.0182,7.9624,0.1675,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.7605,0.1591,-1.0182,7.7605,0.1591,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.8277,0.1441,-1.0182,7.8277,0.1441,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.5884,0.4306,-1.0182,7.5884,0.4306,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.8513,0.1210,-1.0622,7.8513,0.1210,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.9254,0.1307,-1.0622,7.9254,0.1307,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.7083,0.1593,-1.0622,7.7083,0.1593,,,,,,
1,Line,0.0440,,,,,,,,,,0,0.0440,0.0000,0.0000,-1.0182,7.7773,0.1307,-1.0622,7.7773,0.1307,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.8061,0.6671,-1.0182,7.8061,0.6671,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6354,0.5589,-1.0182,7.6354,0.5589,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6035,0.4979,-1.0182,7.6035,0.4979,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.7403,0.6465,-1.0182,7.7403,0.6465,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,7.6821,0.6096,-1.0182,7.6821,0.6096,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9755,0.5662,-0.9852,7.9755,0.5662,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9814,0.5563,-0.9852,7.9814,0.5563,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9571,0.5797,-0.9852,7.9571,0.5797,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9672,0.5742,-0.9852,7.9672,0.5742,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9066,0.5114,-0.9852,7.9066,0.5114,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8974,0.5410,-0.9852,7.8974,0.5410,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8973,0.5437,-0.9852,7.8973,0.5437,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9007,0.5212,-0.9852,7.9007,0.5212,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.8975,0.5323,-0.9852,7.8975,0.5323,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9460,0.5825,-0.9852,7.9460,0.5825,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9149,0.5034,-0.9852,7.9149,0.5034,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9684,0.5043,-0.9852,7.9684,0.5043,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9249,0.4978,-0.9852,7.9249,0.4978,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9361,0.4951,-0.9852,7.9361,0.4951,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9586,0.4984,-0.9852,7.9586,0.4984,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9345,0.5823,-0.9852,7.9345,0.5823,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9235,0.5791,-0.9852,7.9235,0.5791,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9549,0.4974,-0.9852,7.9549,0.4974,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9476,0.4953,-0.9852,7.9476,0.4953,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9001,0.5549,-0.9852,7.9001,0.5549,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9726,0.4629,-0.9852,7.9726,0.4629,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9670,0.4529,-0.9852,7.9670,0.4529,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9805,0.4712,-0.9852,7.9805,0.4712,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9786,0.4692,-0.9852,7.9786,0.4692,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9884,0.3977,-0.9852,7.9884,0.3977,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0145,0.3932,-0.9852,8.0145,0.3932,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0182,0.3943,-0.9852,8.0182,0.3943,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9918,0.3958,-0.9852,7.9918,0.3958,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0030,0.3930,-0.9852,8.0030,0.3930,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9904,0.4771,-0.9852,7.9904,0.4771,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9136,0.5732,-0.9852,7.9136,0.5732,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0515,0.4433,-0.9852,8.0515,0.4433,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9057,0.5649,-0.9852,7.9057,0.5649,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.9076,0.5669,-0.9852,7.9076,0.5669,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,7.7846,0.2366,-0.9852,7.7846,0.2366,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0042,0.4803,-0.9852,8.0042,0.4803,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0014,0.4803,-0.9852,8.0014,0.4803,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0240,0.4777,-0.9852,8.0240,0.4777,,,,,,
1,Line,0.0550,,,,,,,,,,0,0.0550,0.0000,0.0000,-0.9302,8.0129,0.4805,-0.9852,8.0129,0.4805,,,,,,
1,Line,0.0330,,,,,,,,,,0,0.0330,0.0000,0.0000,-0.9852,8.0206,0.2044,-1.0182,8.0206,0.2044,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8678,0.3784,-1.0182,7.8678,0.3784,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8747,0.3837,-1.0182,7.8747,0.3837,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8513,0.3740,-1.0182,7.8513,0.3740,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8599,0.3751,-1.0182,7.8599,0.3751,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8799,0.3905,-1.0182,7.8799,0.3905,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8832,0.4155,-1.0182,7.8832,0.4155,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8799,0.4235,-1.0182,7.8799,0.4235,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8832,0.3985,-1.0182,7.8832,0.3985,,,,,,
1,Line,0.0220,,,,,,,,,,180,-0.0220,0.0000,0.0000,-1.0402,7.8843,0.4070,-1.0182,7.8843,0.4070,,,,,,
