Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.7937,,,,,,,,,,,,,,,,180,-0.3037,0.0000,-0.7333,27.0631,-82.9419,18.0468,27.3668,-82.9419,18.7801
1,Line,0.6181,,,,,,,,,,,,,,,,149,-0.5165,0.3100,0.1384,25.9964,-82.3918,18.3326,26.5129,-82.7018,18.1942
1,Line,0.7394,,,,,,,,,,,,,,,,180,-0.2829,0.0000,-0.6831,27.2643,-83.0000,17.9929,27.5472,-83.0000,18.6760
1,Line,0.6181,,,,,,,,,,,,,,,,156,-0.5502,0.2400,0.1474,26.5129,-82.7018,18.1942,27.0631,-82.9419,18.0468
1,Line,1.0820,,,,,,,,,,,,,,,,180,-0.4141,0.0000,-0.9996,25.9964,-82.3918,18.3326,26.4105,-82.3918,19.3323
1,Line,0.6181,,,,,,,,,,,,,,,,134,-0.4250,0.4340,0.1139,25.0969,-81.5828,18.5737,25.5219,-82.0168,18.4598
1,Line,0.9424,,,,,,,,,,,,,,,,180,-0.3606,0.0000,-0.8707,26.5129,-82.7018,18.1942,26.8736,-82.7018,19.0649
1,Line,0.6181,,,,,,,,,,,,,,,,142,-0.4746,0.3750,0.1272,25.5219,-82.0168,18.4598,25.9964,-82.3918,18.3326
1,Line,0.2162,,,,,,,,,,,,,,,,164,-0.2012,0.0581,0.0539,27.0631,-82.9419,18.0468,27.2643,-83.0000,17.9929
1,Line,1.3251,,,,,,,,,,,,,,,,180,-0.1730,0.0000,-1.3138,24.9239,-81.5828,17.2599,25.0969,-81.5828,18.5737
1,Line,0.6181,,,,,,,,,,,,,,,,121,-0.3173,0.5304,0.0000,24.2249,-80.5662,17.2599,24.5422,-81.0966,17.2599
1,Line,1.2103,,,,,,,,,,,,,,,,180,-0.1580,0.0000,-1.1999,25.3639,-82.0168,17.2599,25.5219,-82.0168,18.4598
1,Line,0.6181,,,,,,,,,,,,,,,,128,-0.3817,0.4861,0.0000,24.5422,-81.0966,17.2599,24.9239,-81.5828,17.2599
1,Line,1.5076,,,,,,,,,,,,,,,,180,-0.1968,0.0000,-1.4947,24.2249,-80.5662,17.2599,24.4217,-80.5662,18.7546
1,Line,1.5723,,,,,,,,,,,,,,,,180,-0.2052,0.0000,-1.5588,23.9771,-80.0000,17.2599,24.1823,-80.0000,18.8187
1,Line,1.4248,,,,,,,,,,,,,,,,180,-0.1860,0.0000,-1.4126,24.5422,-81.0966,17.2599,24.7282,-81.0966,18.6725
1,Line,0.6181,,,,,,,,,,,,,,,,114,-0.2478,0.5662,0.0000,23.9771,-80.0000,17.2599,24.2249,-80.5662,17.2599
1,Line,1.2103,,,,,,,,,,,,,,,,180,-0.4631,0.0000,-1.1181,25.5219,-82.0168,18.4598,25.9850,-82.0168,19.5779
1,Line,0.6181,,,,,,,,,,,,,,,,146,-0.4631,0.3100,0.2674,26.4105,-82.3918,19.3323,26.8736,-82.7018,19.0649
1,Line,0.9424,,,,,,,,,,,,,,,,180,-0.5737,0.0000,-0.7477,26.8736,-82.7018,19.0649,27.4473,-82.7018,19.8126
1,Line,0.6181,,,,,,,,,,,,,,,,154,-0.4933,0.2400,0.2848,26.8736,-82.7018,19.0649,27.3668,-82.9419,18.7801
1,Line,0.7937,,,,,,,,,,,,,,,,180,-0.4832,0.0000,-0.6297,27.3668,-82.9419,18.7801,27.8500,-82.9419,19.4099
1,Line,0.6181,,,,,,,,,,,,,,,,131,-0.3811,0.4340,0.2200,25.6040,-81.5828,19.7979,25.9850,-82.0168,19.5779
1,Line,1.2103,,,,,,,,,,,,,,,,180,-0.7368,0.0000,-0.9602,25.9850,-82.0168,19.5779,26.7218,-82.0168,20.5381
1,Line,0.6181,,,,,,,,,,,,,,,,139,-0.4255,0.3750,0.2456,25.9850,-82.0168,19.5779,26.4105,-82.3918,19.3323
1,Line,1.0820,,,,,,,,,,,,,,,,180,-0.6587,0.0000,-0.8584,26.4105,-82.3918,19.3323,27.0692,-82.3918,20.1907
1,Line,0.7394,,,,,,,,,,,,,,,,180,-0.4501,0.0000,-0.5866,27.5472,-83.0000,18.6760,27.9973,-83.0000,19.2626
1,Line,0.6181,,,,,,,,,,,,,,,,120,-0.3065,0.5304,0.0821,24.4217,-80.5662,18.7546,24.7282,-81.0966,18.6725
1,Line,1.4248,,,,,,,,,,,,,,,,180,-0.5452,0.0000,-1.3163,24.7282,-81.0966,18.6725,25.2734,-81.0966,19.9888
1,Line,0.6181,,,,,,,,,,,,,,,,127,-0.3687,0.4861,0.0988,24.7282,-81.0966,18.6725,25.0969,-81.5828,18.5737
1,Line,1.3251,,,,,,,,,,,,,,,,180,-0.5071,0.0000,-1.2243,25.0969,-81.5828,18.5737,25.6040,-81.5828,19.7979
1,Line,1.5723,,,,,,,,,,,,,,,,180,-0.6017,0.0000,-1.4526,24.1823,-80.0000,18.8187,24.7840,-80.0000,20.2713
1,Line,0.2162,,,,,,,,,,,,,,,,162,-0.1804,0.0581,0.1041,27.3668,-82.9419,18.7801,27.5472,-83.0000,18.6760
1,Line,0.6181,,,,,,,,,,,,,,,,113,-0.2394,0.5662,0.0641,24.1823,-80.0000,18.8187,24.4217,-80.5662,18.7546
1,Line,1.5076,,,,,,,,,,,,,,,,180,-0.5769,0.0000,-1.3928,24.4217,-80.5662,18.7546,24.9986,-80.5662,20.1474
1,Line,0.6181,,,,,,,,,,,,,,,,156,-0.5502,0.2400,-0.1474,26.5129,-82.7018,16.3255,27.0631,-82.9419,16.4729
1,Line,0.7937,,,,,,,,,,,,,,,,0,0.1036,0.0000,-0.7869,27.0631,-82.9419,16.4729,26.9595,-82.9419,17.2599
1,Line,0.2162,,,,,,,,,,,,,,,,164,-0.2012,0.0581,-0.0539,27.0631,-82.9419,16.4729,27.2643,-83.0000,16.5268
1,Line,0.7394,,,,,,,,,,,,,,,,0,0.0965,0.0000,-0.7330,27.2643,-83.0000,16.5268,27.1677,-83.0000,17.2599
1,Line,0.6181,,,,,,,,,,,,,,,,142,-0.4746,0.3750,-0.1272,25.5219,-82.0168,16.0600,25.9964,-82.3918,16.1871
1,Line,1.0820,,,,,,,,,,,,,,,,0,0.1412,0.0000,-1.0727,25.9964,-82.3918,16.1871,25.8552,-82.3918,17.2599
1,Line,0.6181,,,,,,,,,,,,,,,,149,-0.5165,0.3100,-0.1384,25.9964,-82.3918,16.1871,26.5129,-82.7018,16.3255
1,Line,0.9424,,,,,,,,,,,,,,,,0,0.1230,0.0000,-0.9344,26.5129,-82.7018,16.3255,26.3899,-82.7018,17.2599
1,Line,1.5723,,,,,,,,,,,,,,,,0,0.6017,0.0000,-1.4526,24.7840,-80.0000,14.2484,24.1823,-80.0000,15.7010
1,Line,0.6181,,,,,,,,,,,,,,,,124,-0.3306,0.4861,-0.1909,25.2734,-81.0966,14.5310,25.6040,-81.5828,14.7218
