Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7081.3916,2358.6059,1164.3170,7081.3916,2358.6059
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7073.4293,2342.4600,1164.3170,7073.4293,2342.4600
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7087.1783,2375.6529,1164.3170,7087.1783,2375.6529
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7090.6904,2393.3094,1164.3170,7090.6904,2393.3094
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7063.4277,2327.4915,1164.3170,7063.4277,2327.4915
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7023.0545,2292.0851,1164.3170,7023.0545,2292.0851
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7006.9086,2284.1229,1164.3170,7006.9086,2284.1229
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7051.5579,2313.9566,1164.3170,7051.5579,2313.9566
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,7038.0229,2302.0867,1164.3170,7038.0229,2302.0867
1,Line,16.0157,,,,,,,,,,,,,,,,90,0.0000,15.9814,-1.0475,1155.5170,6968.2401,3014.2029,1155.5170,6952.2586,3015.2503
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,7.7941,-11.6647,1155.5170,7047.1224,2961.4954,1155.5170,7039.3283,2973.1600
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,9.2500,-10.5475,1155.5170,7039.3283,2973.1600,1155.5170,7030.0784,2983.7076
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,4.5095,-13.2845,1155.5170,7057.8367,2935.6287,1155.5170,7053.3273,2948.9132
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,6.2049,-12.5822,1155.5170,7053.3273,2948.9132,1155.5170,7047.1224,2961.4954
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,10.5475,-9.2500,1155.5170,7030.0784,2983.7076,1155.5170,7019.5308,2992.9575
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,13.2845,-4.5095,1155.5170,6995.2839,3006.9565,1155.5170,6981.9995,3011.4659
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,13.7594,-2.7369,1155.5170,6981.9995,3011.4659,1155.5170,6968.2401,3014.2029
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,11.6647,-7.7941,1155.5170,7019.5308,2992.9575,1155.5170,7007.8662,3000.7516
1,Line,14.0290,,,,,,,,,,,,,,,,90,0.0000,12.5822,-6.2049,1155.5170,7007.8662,3000.7516,1155.5170,6995.2839,3006.9565
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,5469.2974,2358.6059,1164.3170,5469.2974,2358.6059
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,5463.5107,2375.6529,1164.3170,5463.5107,2375.6529
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,5487.2613,2327.4915,1164.3170,5487.2613,2327.4915
1,Line,8.8000,,,,,,,,,,,,,,,,180,-8.8000,0.0000,0.0000,1155.5170,5477.2596,2342.4600,1164.3170,5477.2596,2342.4600
